energy_ev,total_up,Ag_p_up,Ag_d_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up
-6.00000000,5.01487456,0.50748450,4.40813453,0.30292265,0.00888991,0.07582929,0.20830753
-5.99399700,5.02440151,0.51065161,4.41462688,0.30510077,0.00889557,0.07720030,0.20858465
-5.98799400,5.02331833,0.51197774,4.41260563,0.30621195,0.00888866,0.07829736,0.20809275
-5.98199100,5.01165314,0.51139087,4.40215333,0.30620671,0.00887000,0.07910742,0.20683333
-5.97598799,4.98963654,0.50885400,4.38351634,0.30505661,0.00884049,0.07962181,0.20482137
-5.96998499,4.95768714,0.50436584,4.35709067,0.30275460,0.00880105,0.07983634,0.20208481
-5.96398199,4.91639336,0.49796049,4.32340507,0.29931475,0.00875263,0.07975129,0.19866376
-5.95797899,4.86649280,0.48970615,4.28310256,0.29477150,0.00869615,0.07937140,0.19460937
-5.95197599,4.80885012,0.47970288,4.23692121,0.28917836,0.00863249,0.07870568,0.18998255
-5.94597299,4.74443460,0.46807960,4.18567520,0.28260624,0.00856249,0.07776723,0.18485252
-5.93996998,4.67429825,0.45499041,4.13023689,0.27514142,0.00848696,0.07657300,0.17929522
-5.93396698,4.59955530,0.44061042,4.07152068,0.26688325,0.00840667,0.07514344,0.17339170
-5.92796398,4.52136362,0.42513114,4.01046884,0.25794166,0.00832236,0.07350223,0.16722648
-5.92196098,4.44090847,0.40875580,3.94803983,0.24843457,0.00823481,0.07167590,0.16088600
-5.91595798,4.35938857,0.39169451,3.88519886,0.23848529,0.00814482,0.06969339,0.15445707
-5.90995498,4.27800456,0.37415961,3.82291063,0.22821991,0.00805328,0.06758571,0.14802549
-5.90395198,4.19794924,0.35636117,3.76213373,0.21776482,0.00796117,0.06538545,0.14167468
-5.89794897,4.12039929,0.33850295,3.70381606,0.20724435,0.00786960,0.06312632,0.13548458
-5.89194597,4.04650765,0.32077863,3.64889071,0.19677862,0.00777986,0.06084269,0.12953055
-5.88594297,3.97739582,0.30336877,3.59827135,0.18648157,0.00769339,0.05856904,0.12388245
