energy_ev,total_up,Bi_p_up,Bi_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,0.25712440,0.09818597,0.00136439,0.15104037,0.09870601,0.00533712,0.04073442
-5.99399700,0.26760979,0.10217118,0.00134590,0.15668209,0.10438168,0.00555854,0.04184965
-5.98799400,0.28091721,0.10741117,0.00133104,0.16394139,0.11143572,0.00583203,0.04320775
-5.98199100,0.29734400,0.11402540,0.00131945,0.17298048,0.12002233,0.00616372,0.04484430
-5.97598799,0.31723301,0.12214878,0.00131086,0.18398553,0.13031430,0.00656067,0.04680473
-5.96998499,0.34096978,0.13193027,0.00130517,0.19716506,0.14250096,0.00703077,0.04914456
-5.96398199,0.36897647,0.14353020,0.00130244,0.21274643,0.15678485,0.00758262,0.05192939
-5.95797899,0.40170263,0.15711636,0.00130284,0.23097049,0.17337705,0.00822529,0.05523434
-5.95197599,0.43961275,0.17285888,0.00130672,0.25208437,0.19249122,0.00896804,0.05914293
-5.94597299,0.48317082,0.19092391,0.00131454,0.27633254,0.21433640,0.00981997,0.06374551
-5.93996998,0.53282221,0.21146643,0.00132686,0.30394634,0.23910879,0.01078960,0.06913718
-5.93396698,0.58897344,0.23462220,0.00134427,0.33513246,0.26698268,0.01188438,0.07541513
-5.92796398,0.65197050,0.26049934,0.00136741,0.37006048,0.29810091,0.01311026,0.08267571
-5.92196098,0.72207647,0.28916970,0.00139688,0.40885032,0.33256508,0.01447114,0.09101096
-5.91595798,0.79944937,0.32066049,0.00143319,0.45155978,0.37042606,0.01596838,0.10050502
-5.90995498,0.88412114,0.35494648,0.00147675,0.49817297,0.41167497,0.01760041,0.11123034
-5.90395198,0.97597885,0.39194322,0.00152781,0.54859013,0.45623541,0.01936226,0.12324377
-5.89794897,1.07474890,0.43150158,0.00158644,0.60261932,0.50395689,0.02124532,0.13658295
-5.89194597,1.17998534,0.47340408,0.00165249,0.65997067,0.55461032,0.02323712,0.15126275
-5.88594297,1.29106292,0.51736314,0.00172556,0.72025342,0.60788549,0.02532125,0.16727228
-5.87993997,1.40717568,0.56302157,0.00180503,0.78297626,0.66339109,0.02747746,0.18457241
-5.87393697,1.52734138,0.60995546,0.00189004,0.84755107,0.72065726,0.02968186,0.20309400
-5.86793397,1.65041216,0.65767947,0.00197949,0.91330024,0.77914090,0.03190733,0.22273699
-5.86193097,1.77509132,0.70565452,0.00207209,0.97946748,0.83823364,0.03412400,0.24337044
-5.85592796,1.89995613,0.75329764,0.00216638,1.04523189,0.89727235,0.03629993,0.26483359
-5.84992496,2.02348587,0.79999391,0.00226074,1.10972491,0.95555200,0.03840191,0.28693804
-5.84392196,2.14409474,0.84510993,0.00235348,1.17204979,1.01234049,0.04039632,0.30947095
-5.83791896,2.26016831,0.88800858,0.00244289,1.23130281,1.06689507,0.04225004,0.33219927
-5.83191596,2.37010255,0.92806451,0.00252722,1.28659562,1.11847976,0.04393146,0.35487496
-5.82591296,2.47234410,0.96467983,0.00260483,1.33707795,1.16638325,0.04541136,0.37724087
-5.81990995,2.56543026,0.99729946,0.00267417,1.38195980,1.20993676,0.04666388,0.39903727
-5.81390695,2.64802744,1.02542563,0.00273385,1.42053241,1.24853103,0.04766728,0.42000869
-5.80790395,2.71896652,1.04863098,0.00278268,1.45218722,1.28163207,0.04840463,0.43991081
-5.80190095,2.77727382,1.06656974,0.00281968,1.47643203,1.30879495,0.04886436,0.45851712
-5.79589795,2.82219663,1.07898671,0.00284417,1.49290398,1.32967521,0.04904060,0.47562506
-5.78989495,2.85322210,1.08572362,0.00285571,1.50137865,1.34403740,0.04893336,0.49106127
-5.78389195,2.87008906,1.08672273,0.00285415,1.50177520,1.35176057,0.04854848,0.50468589
-5.77788894,2.87279212,1.08202749,0.00283962,1.49415727,1.35284038,0.04789742,0.51639545
-5.77188594,2.86157809,1.07178035,0.00281252,1.47872967,1.34738785,0.04699683,0.52612435
-5.76588294,2.83693485,1.05621780,0.00277351,1.45583114,1.33562487,0.04586800,0.53384491
-5.75987994,2.79957322,1.03566289,0.00272347,1.42592340,1.31787654,0.04453615,0.53956582
-5.75387694,2.75040269,1.01051552,0.00266349,1.38957703,1.29456088,0.04302959,0.54332917
-5.74787394,2.69050197,0.98124093,0.00259482,1.34745478,1.26617612,0.04137885,0.54520635
-5.74187094,2.62108579,0.94835684,0.00251885,1.30029283,1.23328630,0.03961576,0.54529282
-5.73586793,2.54346914,0.91241972,0.00243707,1.24888101,1.19650565,0.03777256,0.54370228
-5.72986493,2.45903068,0.87401072,0.00235105,1.19404232,1.15648243,0.03588099,0.54056046
-5.72386193,2.36917656,0.83372177,0.00226241,1.13661279,1.11388286,0.03397154,0.53599901
-5.71785893,2.27530616,0.79214226,0.00217277,1.07742224,1.06937568,0.03207272,0.53014965
-5.71185593,2.17878100,0.74984681,0.00208378,1.01727644,1.02361804,0.03021050,0.52313919
-5.70585293,2.08089779,0.70738440,0.00199708,0.95694132,0.97724299,0.02840784,0.51508546
-5.69984992,1.98286648,0.66526920,0.00191429,0.89712955,0.93084905,0.02668446,0.50609449
-5.69384692,1.88579369,0.62397320,0.00183704,0.83848973,0.88499208,0.02505658,0.49625901
-5.68784392,1.79067180,0.58392080,0.00176696,0.78159840,0.84017954,0.02353699,0.48565828
-5.68184092,1.69837358,0.54548534,0.00170568,0.72695478,0.79686714,0.02213504,0.47435927
-5.67583792,1.60965186,0.50898748,0.00165490,0.67497824,0.75545763,0.02085695,0.46241893
-5.66983492,1.52514370,0.47469517,0.00161631,0.62600822,0.71630166,0.01970598,0.44988731
-5.66383192,1.44537813,0.44282516,0.00159170,0.58030637,0.67970020,0.01868285,0.43681137
-5.65782891,1.37078661,0.41354568,0.00158292,0.53806050,0.64590816,0.01778606,0.42323892
-5.65182591,1.30171497,0.38697992,0.00159190,0.49938994,0.61513877,0.01701234,0.40922263
-5.64582291,1.23843594,0.36321011,0.00162065,0.46435203,0.58756827,0.01635697,0.39482345
