energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down
-6.00000000,0.10259259,-0.08484800,0.04515777,-0.00634175,0.03293828,-0.01431220,0.00190936,-0.00252345,0.00959466,-0.02068124,0.04449057,-0.02675939,0.00000000,-0.00000000
-5.99399700,0.12589220,-0.08362259,0.05536521,-0.00576731,0.04041392,-0.01409323,0.00234456,-0.00249827,0.01179304,-0.02062044,0.05456827,-0.02604277,0.00000000,-0.00000000
-5.98799400,0.15345479,-0.08209416,0.06740845,-0.00527609,0.04925380,-0.01382582,0.00286036,-0.00246157,0.01440384,-0.02043361,0.06647596,-0.02530301,0.00000000,-0.00000000
-5.98199100,0.18578569,-0.08022956,0.08150065,-0.00485117,0.05961931,-0.01350402,0.00346652,-0.00241274,0.01747743,-0.02011981,0.08042848,-0.02451974,0.00000000,-0.00000000
-5.97598799,0.22339079,-0.07801252,0.09785325,-0.00447818,0.07167191,-0.01312475,0.00417287,-0.00235160,0.02106479,-0.01968153,0.09664005,-0.02367884,0.00000000,-0.00000000
-5.96998499,0.26676101,-0.07544265,0.11666914,-0.00414526,0.08556812,-0.01268765,0.00498907,-0.00227842,0.02521608,-0.01912453,0.11531763,-0.02277208,0.00000000,-0.00000000
-5.96398199,0.31635424,-0.07253406,0.13813483,-0.00384286,0.10145375,-0.01219485,0.00592425,-0.00219387,0.02997884,-0.01845746,0.13665308,-0.02179667,0.00000000,-0.00000000
-5.95797899,0.37257495,-0.06931356,0.16241156,-0.00356353,0.11945744,-0.01165063,0.00698664,-0.00209897,0.03539605,-0.01769153,0.16081446,-0.02075458,0.00000000,-0.00000000
-5.95197599,0.43575209,-0.06581853,0.18962587,-0.00330169,0.13968359,-0.01106107,0.00818318,-0.00199503,0.04150393,-0.01683996,0.18793655,-0.01965187,0.00000000,-0.00000000
-5.94597299,0.50611576,-0.06209466,0.21985972,-0.00305337,0.16220492,-0.01043372,0.00951906,-0.00188357,0.04832962,-0.01591754,0.21811093,-0.01849790,0.00000000,-0.00000000
-5.93996998,0.58377370,-0.05819357,0.25314054,-0.00281596,0.18705502,-0.00977710,0.01099726,-0.00176628,0.05588878,-0.01494005,0.25137606,-0.01730450,0.00000000,-0.00000000
-5.93396698,0.66868839,-0.05417044,0.28943176,-0.00258796,0.21422108,-0.00910041,0.01261816,-0.00164493,0.06418325,-0.01392372,0.28770756,-0.01608522,0.00000000,-0.00000000
-5.92796398,0.76065603,-0.05008179,0.32862433,-0.00236874,0.24363721,-0.00841306,0.01437908,-0.00152132,0.07319880,-0.01288473,0.32700952,-0.01485454,0.00000000,-0.00000000
-5.92196098,0.85928856,-0.04598340,0.37052948,-0.00215835,0.27517875,-0.00772437,0.01627396,-0.00139720,0.08290323,-0.01183873,0.36910700,-0.01362720,0.00000000,-0.00000000
-5.91595798,0.96399993,-0.04192856,0.41487365,-0.00195736,0.30865799,-0.00704328,0.01829304,-0.00127424,0.09324475,-0.01080044,0.41374051,-0.01241759,0.00000000,-0.00000000
-5.90995498,1.07399782,-0.03796652,0.46129572,-0.00176668,0.34382151,-0.00637806,0.02042269,-0.00115396,0.10415094,-0.00978326,0.46056281,-0.01123929,0.00000000,-0.00000000
-5.90395198,1.18828187,-0.03414147,0.50934719,-0.00158751,0.38034976,-0.00573617,0.02264532,-0.00103772,0.11552832,-0.00879909,0.50913856,-0.01010467,0.00000000,-0.00000000
-5.89794897,1.30564929,-0.03049169,0.55849553,-0.00142124,0.41785881,-0.00512412,0.02493946,-0.00092670,0.12726260,-0.00785808,0.55894707,-0.00902462,0.00000000,-0.00000000
-5.89194597,1.42470834,-0.02704925,0.60813099,-0.00126950,0.45590475,-0.00454742,0.02727993,-0.00082186,0.13921979,-0.00696857,0.60938854,-0.00800848,0.00000000,-0.00000000
-5.88594297,1.54390009,-0.02383995,0.65757686,-0.00113414,0.49399063,-0.00401056,0.02963822,-0.00072398,0.15124805,-0.00613710,0.65979365,-0.00706401,0.00000000,-0.00000000
-5.87993997,1.66152815,-0.02088370,0.70610310,-0.00101736,0.53157596,-0.00351716,0.03198296,-0.00063363,0.16318044,-0.00536844,0.70943668,-0.00619751,0.00000000,-0.00000000
-5.87393697,1.77579590,-0.01819517,0.75294309,-0.00092187,0.56808856,-0.00307004,0.03428060,-0.00055120,0.17483841,-0.00466577,0.75755167,-0.00541407,0.00000000,-0.00000000
-5.86793397,1.88485025,-0.01578476,0.79731294,-0.00085109,0.60293851,-0.00267141,0.03649615,-0.00047694,0.18603600,-0.00403083,0.80335129,-0.00471791,0.00000000,-0.00000000
-5.86193097,1.98683040,-0.01365985,0.83843274,-0.00080945,0.63553363,-0.00232319,0.03859407,-0.00041098,0.19658467,-0.00346421,0.84604780,-0.00411287,0.00000000,-0.00000000
-5.85592796,2.07992013,-0.01182629,0.87554911,-0.00080281,0.66529608,-0.00202723,0.04053919,-0.00035335,0.20629843,-0.00296561,0.88487535,-0.00360295,0.00000000,-0.00000000
-5.84992496,2.16240130,-0.01029009,0.90795790,-0.00083882,0.69167933,-0.00178569,0.04229775,-0.00030407,0.21499931,-0.00253416,0.91911270,-0.00319294,0.00000000,-0.00000000
-5.84392196,2.23270658,-0.00905941,0.93502637,-0.00092761,0.71418489,-0.00160145,0.04383831,-0.00026313,0.22252273,-0.00216880,0.94810552,-0.00288925,0.00000000,-0.00000000
-5.83791896,2.28946911,-0.00814660,0.95621364,-0.00108239,0.73237803,-0.00147853,0.04513277,-0.00023062,0.22872270,-0.00186857,0.97128720,-0.00270075,0.00000000,-0.00000000
-5.83191596,2.33156682,-0.00757064,0.97108865,-0.00132029,0.74590178,-0.00142263,0.04615716,-0.00020672,0.23347657,-0.00163305,0.98819732,-0.00263971,0.00000000,-0.00000000
-5.82591296,2.35815946,-0.00735962,0.97934474,-0.00166330,0.75448867,-0.00144163,0.04689245,-0.00019177,0.23668901,-0.00146274,0.99849692,-0.00272294,0.00000000,-0.00000000
-5.81990995,2.36871663,-0.00755349,0.98081017,-0.00213933,0.75796958,-0.00154626,0.04732510,-0.00018636,0.23829528,-0.00135943,1.00197981,-0.00297297,0.00000000,-0.00000000
