energy_ev,total_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.13298161,0.00973539,0.69333980,0.02826839,0.00000000,0.57756718,0.36953715
-5.99399700,1.08332028,0.00925413,0.66480555,0.02720999,0.00000000,0.54354564,0.35698184
-5.98799400,1.03498907,0.00880406,0.63719287,0.02616685,0.00000000,0.51010707,0.34508142
-5.98199100,0.98835462,0.00838668,0.61068218,0.02514631,0.00000000,0.47753800,0.33389956
-5.97598799,0.94374913,0.00800309,0.58543294,0.02415498,0.00000000,0.44610116,0.32348805
-5.96998499,0.90146515,0.00765398,0.56158141,0.02319853,0.00000000,0.41603073,0.31388660
-5.96398199,0.86175244,0.00733962,0.53923968,0.02228159,0.00000000,0.38752914,0.30512340
-5.95797899,0.82481695,0.00705997,0.51849589,0.02140771,0.00000000,0.36076533,0.29721610
-5.95197599,0.79082182,0.00681465,0.49941564,0.02057930,0.00000000,0.33587450,0.29017337
-5.94597299,0.75989012,0.00660305,0.48204432,0.01979771,0.00000000,0.31295906,0.28399690
-5.93996998,0.73210898,0.00642436,0.46641024,0.01906329,0.00000000,0.29209061,0.27868360
-5.93396698,0.70753466,0.00627766,0.45252824,0.01837552,0.00000000,0.27331274,0.27422792
-5.92796398,0.68619814,0.00616195,0.44040348,0.01773318,0.00000000,0.25664430,0.27062415
-5.92196098,0.66811061,0.00607624,0.43003510,0.01713450,0.00000000,0.24208299,0.26786839
-5.91595798,0.65326854,0.00601953,0.42141950,0.01657733,0.00000000,0.22960886,0.26596016
-5.90995498,0.64165772,0.00599091,0.41455281,0.01605933,0.00000000,0.21918761,0.26490340
-5.90395198,0.63325607,0.00598951,0.40943255,0.01557809,0.00000000,0.21077344,0.26470678
-5.89794897,0.62803494,0.00601453,0.40605812,0.01513131,0.00000000,0.20431130,0.26538332
-5.89194597,0.62595870,0.00606519,0.40443023,0.01471680,0.00000000,0.19973848,0.26694918
-5.88594297,0.62698277,0.00614071,0.40454910,0.01433262,0.00000000,0.19698545,0.26942174
-5.87993997,0.63105024,0.00624026,0.40641173,0.01397706,0.00000000,0.19597607,0.27281711
-5.87393697,0.63808722,0.00636288,0.41000824,0.01364864,0.00000000,0.19662712,0.27714707
-5.86793397,0.64799753,0.00650744,0.41531772,0.01334603,0.00000000,0.19884734,0.28241582
-5.86193097,0.66065695,0.00667253,0.42230373,0.01306806,0.00000000,0.20253626,0.28861654
