energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.53025129,0.12556365,0.00000000,0.92674396,0.00000000,0.35017655,0.16171662
-5.99399700,1.58593156,0.13364749,0.00000000,0.95934794,0.00000000,0.36258544,0.16511480
-5.98799400,1.63704074,0.14147945,0.00000000,0.98920046,0.00000000,0.37367327,0.16798900
-5.98199100,1.68305866,0.14896970,0.00000000,1.01600283,0.00000000,0.38331784,0.17032263
-5.97598799,1.72350909,0.15603094,0.00000000,1.03948074,0.00000000,0.39141608,0.17210419
-5.96998499,1.75796629,0.16258015,0.00000000,1.05938768,0.00000000,0.39788567,0.17332710
-5.96398199,1.78606074,0.16854023,0.00000000,1.07550788,0.00000000,0.40266604,0.17398951
-5.95797899,1.80748398,0.17384156,0.00000000,1.08765899,0.00000000,0.40571896,0.17409407
-5.95197599,1.82199277,0.17842334,0.00000000,1.09569434,0.00000000,0.40702849,0.17364771
-5.94597299,1.82941237,0.18223477,0.00000000,1.09950499,0.00000000,0.40660055,0.17266139
-5.93996998,1.82963929,0.18523598,0.00000000,1.09902142,0.00000000,0.40446209,0.17114994
-5.93396698,1.82264322,0.18739878,0.00000000,1.09421514,0.00000000,0.40065987,0.16913183
-5.92796398,1.80846849,0.18870712,0.00000000,1.08509996,0.00000000,0.39525905,0.16662904
-5.92196098,1.78723484,0.18915734,0.00000000,1.07173307,0.00000000,0.38834158,0.16366696
-5.91595798,1.75913742,0.18875816,0.00000000,1.05421573,0.00000000,0.38000446,0.16027420
-5.90995498,1.72444611,0.18753038,0.00000000,1.03269368,0.00000000,0.37035790,0.15648254
-5.90395198,1.68350388,0.18550642,0.00000000,1.00735694,0.00000000,0.35952353,0.15232673
-5.89794897,1.63672404,0.18272952,0.00000000,0.97843902,0.00000000,0.34763246,0.14784433
-5.89194597,1.58458634,0.17925278,0.00000000,0.94621537,0.00000000,0.33482349,0.14307545
-5.88594297,1.52763175,0.17513798,0.00000000,0.91100095,0.00000000,0.32124124,0.13806242
-5.87993997,1.46645575,0.17045419,0.00000000,0.87314689,0.00000000,0.30703425,0.13284936
-5.87393697,1.40170028,0.16527621,0.00000000,0.83303615,0.00000000,0.29235323,0.12748168
-5.86793397,1.33404432,0.15968296,0.00000000,0.79107818,0.00000000,0.27734916,0.12200552
-5.86193097,1.26419324,0.15375577,0.00000000,0.74770273,0.00000000,0.26217152,0.11646705
-5.85592796,1.19286724,0.14757663,0.00000000,0.70335290,0.00000000,0.24696652,0.11091181
-5.84992496,1.12078915,0.14122653,0.00000000,0.65847754,0.00000000,0.23187542,0.10538398
-5.84392196,1.04867200,0.13478394,0.00000000,0.61352347,0.00000000,0.21703295,0.09992572
-5.83791896,0.97720680,0.12832336,0.00000000,0.56892747,0.00000000,0.20256589,0.09457652
-5.83191596,0.90705098,0.12191421,0.00000000,0.52510862,0.00000000,0.18859185,0.08937268
-5.82591296,0.83881798,0.11561990,0.00000000,0.48246111,0.00000000,0.17521824,0.08434693
-5.81990995,0.77306822,0.10949724,0.00000000,0.44134786,0.00000000,0.16254156,0.07952818
-5.81390695,0.71030200,0.10359612,0.00000000,0.40209509,0.00000000,0.15064700,0.07494145
-5.80790395,0.65095438,0.09795957,0.00000000,0.36498818,0.00000000,0.13960822,0.07060799
-5.80190095,0.59539213,0.09262401,0.00000000,0.33026872,0.00000000,0.12948755,0.06654551
-5.79589795,0.54391291,0.08761985,0.00000000,0.29813297,0.00000000,0.12033637,0.06276868
-5.78989495,0.49674640,0.08297220,0.00000000,0.26873159,0.00000000,0.11219570,0.05928959
-5.78389195,0.45405715,0.07870175,0.00000000,0.24217056,0.00000000,0.10509697,0.05611838
-5.77788894,0.41594898,0.07482575,0.00000000,0.21851320,0.00000000,0.09906289,0.05326390
-5.77188594,0.38247030,0.07135891,0.00000000,0.19778303,0.00000000,0.09410825,0.05073431
