energy_ev,total_up,Ru_p_up,Ru_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,1.34083830,0.71267338,0.72575245,0.24157138,0.00000000,0.44547731,0.00000000
-5.99399700,1.34763891,0.70336474,0.73852889,0.24562616,0.00000000,0.44183533,0.00000000
-5.98799400,1.35549355,0.69471100,0.75206534,0.25089128,0.00000000,0.43787352,0.00000000
-5.98199100,1.36472494,0.68690887,0.76647996,0.25737372,0.00000000,0.43379702,0.00000000
-5.97598799,1.37569909,0.68017576,0.78191332,0.26507351,0.00000000,0.42982954,0.00000000
-5.96998499,1.38881268,0.67474672,0.79852142,0.27398179,0.00000000,0.42620733,0.00000000
-5.96398199,1.40447919,0.67087106,0.81646808,0.28407894,0.00000000,0.42317271,0.00000000
-5.95797899,1.42311459,0.66880846,0.83591700,0.29533294,0.00000000,0.42096752,0.00000000
-5.95197599,1.44512311,0.66882496,0.85702396,0.30769798,0.00000000,0.41982639,0.00000000
-5.94597299,1.47088379,0.67118881,0.87992961,0.32111367,0.00000000,0.41997053,0.00000000
-5.93996998,1.50073849,0.67616648,0.90475314,0.33550475,0.00000000,0.42160174,0.00000000
-5.93396698,1.53498162,0.68401877,0.93158719,0.35078156,0.00000000,0.42489728,0.00000000
-5.92796398,1.57385226,0.69499725,0.96049419,0.36684121,0.00000000,0.43000548,0.00000000
-5.92196098,1.61752854,0.70934095,0.99150433,0.38356939,0.00000000,0.43704223,0.00000000
-5.91595798,1.66612467,0.72727335,1.02461513,0.40084290,0.00000000,0.44608861,0.00000000
-5.90995498,1.71969031,0.74899971,1.05979249,0.41853270,0.00000000,0.45718947,0.00000000
-5.90395198,1.77821212,0.77470454,1.09697326,0.43650728,0.00000000,0.47035311,0.00000000
-5.89794897,1.84161719,0.80454937,1.13606882,0.45463629,0.00000000,0.48555194,0.00000000
-5.89194597,1.90977786,0.83867044,1.17696951,0.47279417,0.00000000,0.50272408,0.00000000
-5.88594297,1.98251747,0.87717653,1.21954962,0.49086357,0.00000000,0.52177568,0.00000000
-5.87993997,2.05961646,0.92014670,1.26367229,0.50873842,0.00000000,0.54258395,0.00000000
-5.87393697,2.14081843,0.96762782,1.30919433,0.52632638,0.00000000,0.56500066,0.00000000
-5.86793397,2.22583558,1.01963207,1.35597026,0.54355068,0.00000000,0.58885594,0.00000000
