energy_ev,total_up,Cd_p_up,Cd_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,2.07021284,1.40442481,0.22540584,0.40045694,0.00000000,0.80368347,0.00000000
-5.99399700,2.06568090,1.39583264,0.22427802,0.39986461,0.00000000,0.80027111,0.00000000
-5.98799400,2.04868523,1.37822420,0.22170476,0.39690712,0.00000000,0.79196844,0.00000000
-5.98199100,2.01983571,1.35198128,0.21775079,0.39166834,0.00000000,0.77906738,0.00000000
-5.97598799,1.97998798,1.31764753,0.21250850,0.38427364,0.00000000,0.76195955,0.00000000
-5.96998499,1.93021349,1.27591014,0.20609469,0.37488562,0.00000000,0.74112258,0.00000000
-5.96398199,1.87176231,1.22757722,0.19864664,0.36369876,0.00000000,0.71710335,0.00000000
-5.95797899,1.80602049,1.17355224,0.19031754,0.35093328,0.00000000,0.69049903,0.00000000
-5.95197599,1.73446357,1.11480639,0.18127156,0.33682850,0.00000000,0.66193661,0.00000000
-5.94597299,1.65860848,1.05235017,0.17167872,0.32163584,0.00000000,0.63205188,0.00000000
-5.93996998,1.57996562,0.98720520,0.16170981,0.30561184,0.00000000,0.60146882,0.00000000
-5.93396698,1.49999322,0.92037754,0.15153161,0.28901137,0.00000000,0.57078009,0.00000000
-5.92796398,1.42005564,0.85283317,0.14130239,0.27208133,0.00000000,0.54052957,0.00000000
-5.92196098,1.34138719,0.78547662,0.13116816,0.25505497,0.00000000,0.51119753,0.00000000
-5.91595798,1.26506272,0.71913314,0.12125945,0.23814702,0.00000000,0.48318890,0.00000000
-5.90995498,1.19197573,0.65453493,0.11168897,0.22154975,0.00000000,0.45682509,0.00000000
-5.90395198,1.12282464,0.59231145,0.10255002,0.20543004,0.00000000,0.43233942,0.00000000
-5.89794897,1.05810713,0.53298395,0.09391568,0.18992747,0.00000000,0.40987626,0.00000000
-5.89194597,0.99812248,0.47696375,0.08583887,0.17515340,0.00000000,0.38949363,0.00000000
-5.88594297,0.94298117,0.42455422,0.07835296,0.16119107,0.00000000,0.37116900,0.00000000
-5.87993997,0.89262095,0.37595579,0.07147315,0.14809656,0.00000000,0.35480782,0.00000000
-5.87393697,0.84682817,0.33127350,0.06519822,0.13590048,0.00000000,0.34025424,0.00000000
-5.86793397,0.80526323,0.29052660,0.05951269,0.12461038,0.00000000,0.32730345,0.00000000
-5.86193097,0.76748865,0.25365944,0.05438932,0.11421357,0.00000000,0.31571499,0.00000000
-5.85592796,0.73299845,0.22055322,0.04979156,0.10468034,0.00000000,0.30522637,0.00000000
-5.84992496,0.70124755,0.19103802,0.04567622,0.09596735,0.00000000,0.29556642,0.00000000
-5.84392196,0.67167979,0.16490466,0.04199583,0.08802106,0.00000000,0.28646787,0.00000000
-5.83791896,0.64375364,0.14191594,0.03870102,0.08078105,0.00000000,0.27767855,0.00000000
-5.83191596,0.61696465,0.12181704,0.03574252,0.07418316,0.00000000,0.26897102,0.00000000
-5.82591296,0.59086398,0.10434480,0.03307288,0.06816232,0.00000000,0.26015020,0.00000000
-5.81990995,0.56507250,0.08923573,0.03064791,0.06265501,0.00000000,0.25105891,0.00000000
-5.81390695,0.53929049,0.07623274,0.02842770,0.05760124,0.00000000,0.24158129,0.00000000
-5.80790395,0.51330271,0.06509050,0.02637741,0.05294618,0.00000000,0.23164411,0.00000000
-5.80190095,0.48697929,0.05557955,0.02446760,0.04864123,0.00000000,0.22121619,0.00000000
-5.79589795,0.46027283,0.04748927,0.02267440,0.04464478,0.00000000,0.21030602,0.00000000
-5.78989495,0.43321222,0.04062975,0.02097936,0.04092249,0.00000000,0.19895805,0.00000000
-5.78389195,0.40589396,0.03483285,0.01936914,0.03744727,0.00000000,0.18724791,0.00000000
-5.77788894,0.37847170,0.02995243,0.01783500,0.03419899,0.00000000,0.17527679,0.00000000
-5.77188594,0.35114470,0.02586410,0.01637226,0.03116398,0.00000000,0.16316557,0.00000000
-5.76588294,0.32414597,0.02246453,0.01497966,0.02833440,0.00000000,0.15104886,0.00000000
-5.75987994,0.29773082,0.01967045,0.01365870,0.02570754,0.00000000,0.13906931,0.00000000
-5.75387694,0.27216626,0.01741760,0.01241302,0.02328511,0.00000000,0.12737243,0.00000000
-5.74787394,0.24772180,0.01565947,0.01124789,0.02107255,0.00000000,0.11610220,0.00000000
-5.74187094,0.22466191,0.01436620,0.01016963,0.01907847,0.00000000,0.10539743,0.00000000
-5.73586793,0.20324032,0.01352347,0.00918532,0.01731412,0.00000000,0.09538915,0.00000000
-5.72986493,0.18369621,0.01313152,0.00830239,0.01579306,0.00000000,0.08619885,0.00000000
-5.72386193,0.16625221,0.01320416,0.00752849,0.01453085,0.00000000,0.07793765,0.00000000
-5.71785893,0.15111389,0.01376797,0.00687129,0.01354491,0.00000000,0.07070616,0.00000000
-5.71185593,0.13847059,0.01486139,0.00633846,0.01285441,0.00000000,0.06459505,0.00000000
-5.70585293,0.12849708,0.01653383,0.00593763,0.01248023,0.00000000,0.05968600,0.00000000
-5.69984992,0.12135571,0.01884463,0.00567640,0.01244488,0.00000000,0.05605284,0.00000000
-5.69384692,0.11719857,0.02186178,0.00556237,0.01277241,0.00000000,0.05376281,0.00000000
-5.68784392,0.11616919,0.02566045,0.00560313,0.01348819,0.00000000,0.05287760,0.00000000
-5.68184092,0.11840358,0.03032111,0.00580627,0.01461862,0.00000000,0.05345404,0.00000000
-5.67583792,0.12403000,0.03592725,0.00617925,0.01619064,0.00000000,0.05554431,0.00000000
-5.66983492,0.13316745,0.04256267,0.00672926,0.01823101,0.00000000,0.05919552,0.00000000
-5.66383192,0.14592265,0.05030835,0.00746305,0.02076550,0.00000000,0.06444869,0.00000000
-5.65782891,0.16238544,0.05923887,0.00838660,0.02381774,0.00000000,0.07133694,0.00000000
-5.65182591,0.18262280,0.06941846,0.00950476,0.02740800,0.00000000,0.07988319,0.00000000
-5.64582291,0.20667157,0.08089683,0.01082083,0.03155175,0.00000000,0.09009720,0.00000000
-5.63981991,0.23453034,0.09370480,0.01233611,0.03625809,0.00000000,0.10197230,0.00000000
-5.63381691,0.26615087,0.10785008,0.01404939,0.04152822,0.00000000,0.11548197,0.00000000
-5.62781391,0.30142950,0.12331317,0.01595647,0.04735383,0.00000000,0.13057639,0.00000000
-5.62181091,0.34019934,0.14004381,0.01804969,0.05371565,0.00000000,0.14717939,0.00000000
-5.61580790,0.38222362,0.15795815,0.02031754,0.06058222,0.00000000,0.16518596,0.00000000
-5.60980490,0.42719098,0.17693679,0.02274437,0.06790892,0.00000000,0.18446062,0.00000000
-5.60380190,0.47471318,0.19682400,0.02531020,0.07563736,0.00000000,0.20483690,0.00000000
-5.59779890,0.52432577,0.21742832,0.02799069,0.08369528,0.00000000,0.22611808,0.00000000
-5.59179590,0.57549196,0.23852453,0.03075730,0.09199695,0.00000000,0.24807941,0.00000000
-5.58579290,0.62761015,0.25985724,0.03357763,0.10044409,0.00000000,0.27047184,0.00000000
-5.57978989,0.68002474,0.28114593,0.03641587,0.10892741,0.00000000,0.29302713,0.00000000
