energy_ev,total_up,total_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.90308722,-1.91816179,0.15695430,-0.31392903,0.00000000,-0.00000000,0.38106495,-0.92500253,0.23504321,-0.32686793,0.43374645,-1.03867197,0.00000000,-0.00000000
-5.99399700,0.84276331,-1.87210728,0.14491419,-0.30815335,0.00000000,-0.00000000,0.35466729,-0.89704543,0.22153908,-0.31921186,0.40617595,-1.01188717,0.00000000,-0.00000000
-5.98799400,0.78783992,-1.82238196,0.13373817,-0.30155917,0.00000000,-0.00000000,0.33029883,-0.86664495,0.20955127,-0.31113840,0.38122778,-0.98324994,0.00000000,-0.00000000
-5.98199100,0.73894112,-1.76926395,0.12355514,-0.29418165,0.00000000,-0.00000000,0.30825337,-0.83403526,0.19926794,-0.30269982,0.35917664,-0.95292044,0.00000000,-0.00000000
-5.97598799,0.69663020,-1.71308113,0.11447800,-0.28607071,0.00000000,-0.00000000,0.28879871,-0.79948687,0.19086168,-0.29395199,0.34027409,-0.92108127,0.00000000,-0.00000000
-5.96998499,0.66140076,-1.65420912,0.10660259,-0.27729123,0.00000000,-0.00000000,0.27217179,-0.76330133,0.18448649,-0.28495434,0.32474378,-0.88793548,0.00000000,-0.00000000
-5.96398199,0.63366851,-1.59306853,0.10000705,-0.26792287,0.00000000,-0.00000000,0.25857459,-0.72580514,0.18027499,-0.27576987,0.31277671,-0.85370434,0.00000000,-0.00000000
-5.95797899,0.61376393,-1.53012125,0.09475163,-0.25805952,0.00000000,-0.00000000,0.24817083,-0.68734324,0.17833554,-0.26646524,0.30452666,-0.81862482,0.00000000,-0.00000000
-5.95197599,0.60192590,-1.46586586,0.09087901,-0.24780843,0.00000000,-0.00000000,0.24108344,-0.64827216,0.17874965,-0.25711075,0.30010577,-0.78294668,0.00000000,-0.00000000
-5.94597299,0.59829630,-1.40083201,0.08841487,-0.23728878,0.00000000,-0.00000000,0.23739302,-0.60895310,0.18156951,-0.24778034,0.29958045,-0.74692948,0.00000000,-0.00000000
-5.93996998,0.60291581,-1.33557386,0.08736882,-0.22662994,0.00000000,-0.00000000,0.23713696,-0.56974512,0.18681581,-0.23855132,0.30296783,-0.71083924,0.00000000,-0.00000000
-5.93396698,0.61572119,-1.27066257,0.08773564,-0.21596919,0.00000000,-0.00000000,0.24030961,-0.53099865,0.19447595,-0.22950399,0.31023279,-0.67494510,0.00000000,-0.00000000
-5.92796398,0.63654400,-1.20667803,0.08949668,-0.20544917,0.00000000,-0.00000000,0.24686324,-0.49304957,0.20450275,-0.22072107,0.32128588,-0.63951581,0.00000000,-0.00000000
-5.92196098,0.66511132,-1.14419999,0.09262148,-0.19521484,0.00000000,-0.00000000,0.25670977,-0.45621387,0.21681374,-0.21228679,0.33598226,-0.60481632,0.00000000,-0.00000000
-5.91595798,0.70104844,-1.08379864,0.09706957,-0.18541035,0.00000000,-0.00000000,0.26972353,-0.42078318,0.23129125,-0.20428589,0.35412177,-0.57110439,0.00000000,-0.00000000
-5.90995498,0.74388383,-1.02602509,0.10279227,-0.17617561,0.00000000,-0.00000000,0.28574465,-0.38702118,0.24778324,-0.19680223,0.37545048,-0.53862744,0.00000000,-0.00000000
-5.90395198,0.79305649,-0.97140184,0.10973470,-0.16764284,0.00000000,-0.00000000,0.30458332,-0.35516092,0.26610514,-0.18991735,0.39966357,-0.50761952,0.00000000,-0.00000000
-5.89794897,0.84792569,-0.92041351,0.11783765,-0.15993318,0.00000000,-0.00000000,0.32602474,-0.32540317,0.28604255,-0.18370878,0.42640984,-0.47829864,0.00000000,-0.00000000
-5.89194597,0.90778307,-0.87349821,0.12703953,-0.15315343,0.00000000,-0.00000000,0.34983457,-0.29791564,0.30735494,-0.17824826,0.45529766,-0.45086440,0.00000000,-0.00000000
-5.88594297,0.97186687,-0.83103964,0.13727818,-0.14739305,0.00000000,-0.00000000,0.37576496,-0.27283311,0.32978026,-0.17359995,0.48590240,-0.42549589,0.00000000,-0.00000000
-5.87993997,1.03937793,-0.79336028,0.14849253,-0.14272167,0.00000000,-0.00000000,0.40356070,-0.25025835,0.35304033,-0.16981864,0.51777514,-0.40235010,0.00000000,-0.00000000
-5.87393697,1.10949698,-0.76071574,0.16062404,-0.13918694,0.00000000,-0.00000000,0.43296550,-0.23026370,0.37684684,-0.16694810,0.55045231,-0.38156052,0.00000000,-0.00000000
-5.86793397,1.18140262,-0.73329063,0.17361780,-0.13681312,0.00000000,-0.00000000,0.46372809,-0.21289321,0.40090784,-0.16501961,0.58346613,-0.36323620,0.00000000,-0.00000000
-5.86193097,1.25428935,-0.71119595,0.18742331,-0.13560028,0.00000000,-0.00000000,0.49560782,-0.19816517,0.42493442,-0.16405074,0.61635532,-0.34746113,0.00000000,-0.00000000
-5.85592796,1.32738482,-0.69446815,0.20199483,-0.13552424,0.00000000,-0.00000000,0.52837956,-0.18607491,0.44864723,-0.16404451,0.64867571,-0.33429394,0.00000000,-0.00000000
-5.84992496,1.39996560,-0.68306997,0.21729124,-0.13653732,0.00000000,-0.00000000,0.56183773,-0.17659784,0.47178279,-0.16498899,0.68001034,-0.32376791,0.00000000,-0.00000000
-5.84392196,1.47137074,-0.67689311,0.23327543,-0.13856986,0.00000000,-0.00000000,0.59579906,-0.16969240,0.49409909,-0.16685730,0.70997852,-0.31589130,0.00000000,-0.00000000
-5.83791896,1.54101250,-0.67576260,0.24991318,-0.14153257,0.00000000,-0.00000000,0.63010418,-0.16530308,0.51538033,-0.16960822,0.73824363,-0.31064796,0.00000000,-0.00000000
-5.83191596,1.60838378,-0.67944303,0.26717161,-0.14531955,0.00000000,-0.00000000,0.66461769,-0.16336325,0.53544070,-0.17318726,0.76451911,-0.30799825,0.00000000,-0.00000000
-5.82591296,1.67306197,-0.68764628,0.28501726,-0.14981205,0.00000000,-0.00000000,0.69922693,-0.16379787,0.55412684,-0.17752834,0.78857262,-0.30788025,0.00000000,-0.00000000
