energy_ev,total_up,Ge_p_up,Ge_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,2.16358645,0.37728105,0.00000000,0.69650481,1.16454869,0.61653887,0.00000000
-5.99399700,2.20020785,0.38181234,0.00000000,0.71646376,1.18346106,0.62816706,0.00000000
-5.98799400,2.23983615,0.38796047,0.00000000,0.73872466,1.20446744,0.63874658,0.00000000
-5.98199100,2.28223061,0.39574056,0.00000000,0.76317470,1.22747675,0.64816421,0.00000000
-5.97598799,2.32707655,0.40512876,0.00000000,0.78965715,1.25234599,0.65633275,0.00000000
-5.96998499,2.37399477,0.41606315,0.00000000,0.81797459,1.27888479,0.66319358,0.00000000
-5.96398199,2.42255228,0.42844569,0.00000000,0.84789280,1.30686122,0.66871809,0.00000000
-5.95797899,2.47227394,0.44214528,0.00000000,0.87914510,1.33600867,0.67290784,0.00000000
-5.95197599,2.52265449,0.45700149,0.00000000,0.91143690,1.36603341,0.67579338,0.00000000
-5.94597299,2.57317044,0.47282911,0.00000000,0.94445045,1.39662250,0.67743204,0.00000000
-5.93996998,2.62329148,0.48942298,0.00000000,0.97784960,1.42745186,0.67790448,0.00000000
-5.93396698,2.67249121,0.50656334,0.00000000,1.01128460,1.45819412,0.67731053,0.00000000
-5.92796398,2.72025688,0.52402110,0.00000000,1.04439686,1.48852623,0.67576429,0.00000000
-5.92196098,2.76609823,0.54156332,0.00000000,1.07682381,1.51813659,0.67338892,0.00000000
-5.91595798,2.80955539,0.55895839,0.00000000,1.10820373,1.54673156,0.67031122,0.00000000
-5.90995498,2.85020588,0.57598104,0.00000000,1.13818078,1.57404149,0.66665640,0.00000000
-5.90395198,2.88767086,0.59241709,0.00000000,1.16641015,1.59982596,0.66254322,0.00000000
-5.89794897,2.92162081,0.60806766,0.00000000,1.19256342,1.62387851,0.65807969,0.00000000
-5.89194597,2.95178056,0.62275301,0.00000000,1.21633405,1.64603069,0.65335955,0.00000000
-5.88594297,2.97793394,0.63631583,0.00000000,1.23744295,1.66615543,0.64845963,0.00000000
-5.87993997,2.99992784,0.64862398,0.00000000,1.25564407,1.68416980,0.64343809,0.00000000
-5.87393697,3.01767587,0.65957256,0.00000000,1.27072986,1.70003709,0.63833373,0.00000000
-5.86793397,3.03116125,0.66908545,0.00000000,1.28253628,1.71376817,0.63316620,0.00000000
-5.86193097,3.04043909,0.67711607,0.00000000,1.29094737,1.72542210,0.62793707,0.00000000
-5.85592796,3.04563765,0.68364757,0.00000000,1.29589898,1.73510598,0.62263173,0.00000000
-5.84992496,3.04695861,0.68869232,0.00000000,1.29738160,1.74297396,0.61722196,0.00000000
-5.84392196,3.04467607,0.69229075,0.00000000,1.29544194,1.74922549,0.61166900,0.00000000
-5.83791896,3.03913430,0.69450959,0.00000000,1.29018334,1.75410260,0.60592699,0.00000000
-5.83191596,3.03074410,0.69543958,0.00000000,1.28176471,1.75788655,0.59994666,0.00000000
-5.82591296,3.01997779,0.69519273,0.00000000,1.27039812,1.76089356,0.59367908,0.00000000
-5.81990995,3.00736290,0.69389918,0.00000000,1.25634501,1.76346999,0.58707929,0.00000000
-5.81390695,2.99347457,0.69170377,0.00000000,1.23991114,1.76598679,0.58010983,0.00000000
-5.80790395,2.97892695,0.68876253,0.00000000,1.22144037,1.76883353,0.57274381,0.00000000
-5.80190095,2.96436359,0.68523899,0.00000000,1.20130756,1.77241199,0.56496764,0.00000000
-5.79589795,2.95044711,0.68130067,0.00000000,1.17991073,1.77712944,0.55678317,0.00000000
-5.78989495,2.93784824,0.67711557,0.00000000,1.15766269,1.78339168,0.54820923,0.00000000
-5.78389195,2.92723444,0.67284899,0.00000000,1.13498249,1.79159597,0.53928251,0.00000000
-5.77788894,2.91925821,0.66866047,0.00000000,1.11228681,1.80212381,0.53005770,0.00000000
-5.77188594,2.91454517,0.66470117,0.00000000,1.08998151,1.81533374,0.52060690,0.00000000
-5.76588294,2.91368214,0.66111140,0.00000000,1.06845359,1.83155408,0.51101826,0.00000000
-5.75987994,2.91720517,0.65801855,0.00000000,1.04806362,1.85107582,0.50139397,0.00000000
-5.75387694,2.92558776,0.65553521,0.00000000,1.02913891,1.87414548,0.49184747,0.00000000
-5.74787394,2.93922938,0.65375768,0.00000000,1.01196738,1.90095833,0.48250016,0.00000000
-5.74187094,2.95844450,0.65276455,0.00000000,0.99679227,1.93165183,0.47347753,0.00000000
-5.73586793,2.98345228,0.65261561,0.00000000,0.98380784,1.96629953,0.46490500,0.00000000
-5.72986493,3.01436736,0.65335096,0.00000000,0.97315606,2.00490566,0.45690350,0.00000000
-5.72386193,3.05119194,0.65499031,0.00000000,0.96492427,2.04740056,0.44958500,0.00000000
-5.71785893,3.09380958,0.65753255,0.00000000,0.95914404,2.09363716,0.44304815,0.00000000
-5.71185593,3.14198111,0.66095553,0.00000000,0.95579112,2.14338888,0.43737431,0.00000000
-5.70585293,3.19534290,0.66521623,0.00000000,0.95478652,2.19634896,0.43262396,0.00000000
-5.69984992,3.25340802,0.67025118,0.00000000,0.95599884,2.25213168,0.42883385,0.00000000
-5.69384692,3.31557019,0.67597735,0.00000000,0.95924763,2.31027529,0.42601487,0.00000000
-5.68784392,3.38111101,0.68229336,0.00000000,0.96430792,2.37024709,0.42415090,0.00000000
-5.68184092,3.44921021,0.68908114,0.00000000,0.97091571,2.43145031,0.42319857,0.00000000
-5.67583792,3.51895889,0.69620800,0.00000000,0.97877435,2.49323295,0.42308807,0.00000000
-5.66983492,3.58937549,0.70352904,0.00000000,0.98756159,2.55489820,0.42372497,0.00000000
-5.66383192,3.65942398,0.71088992,0.00000000,0.99693717,2.61571634,0.42499298,0.00000000
-5.65782891,3.72803394,0.71812978,0.00000000,1.00655068,2.67493764,0.42675756,0.00000000
-5.65182591,3.79412167,0.72508441,0.00000000,1.01604946,2.73180601,0.42887027,0.00000000
-5.64582291,3.85661188,0.73158942,0.00000000,1.02508632,2.78557288,0.43117370,0.00000000
-5.63981991,3.91445921,0.73748333,0.00000000,1.03332684,2.83551096,0.43350673,0.00000000
-5.63381691,3.96666891,0.74261053,0.00000000,1.04045595,2.88092751,0.43571003,0.00000000
-5.62781391,4.01231619,0.74682407,0.00000000,1.04618383,2.92117673,0.43763146,0.00000000
-5.62181091,4.05056367,0.74998803,0.00000000,1.05025076,2.95567107,0.43913127,0.00000000
-5.61580790,4.08067654,0.75197965,0.00000000,1.05243101,2.98389118,0.44008686,0.00000000
-5.60980490,4.10203526,0.75269109,0.00000000,1.05253563,3.00539442,0.44039684,0.00000000
-5.60380190,4.11414550,0.75203078,0.00000000,1.05041424,3.01982179,0.43998441,0.00000000
-5.59779890,4.11664543,0.74992454,0.00000000,1.04595582,3.02690339,0.43879973,0.00000000
-5.59179590,4.10931027,0.74631628,0.00000000,1.03908864,3.02646229,0.43682132,0.00000000
-5.58579290,4.09205415,0.74116864,0.00000000,1.02977940,3.01841697,0.43405637,0.00000000
-5.57978989,4.06492964,0.73446319,0.00000000,1.01803176,3.00278232,0.43053997,0.00000000
-5.57378689,4.02812484,0.72620073,0.00000000,1.00388435,2.97966932,0.42633328,0.00000000
-5.56778389,3.98195834,0.71640119,0.00000000,0.98740836,2.94928333,0.42152066,0.00000000
-5.56178089,3.92687214,0.70510363,0.00000000,0.96870490,2.91192114,0.41620595,0.00000000
-5.55577789,3.86342269,0.69236589,0.00000000,0.94790209,2.86796665,0.41050796,0.00000000
-5.54977489,3.79227025,0.67826425,0.00000000,0.92515197,2.81788535,0.40455547,0.00000000
-5.54377189,3.71416658,0.66289273,0.00000000,0.90062739,2.76221736,0.39848176,0.00000000
-5.53776888,3.62994126,0.64636228,0.00000000,0.87451867,2.70156929,0.39241915,0.00000000
-5.53176588,3.54048678,0.62879952,0.00000000,0.84703028,2.63660490,0.38649350,0.00000000
-5.52576288,3.44674276,0.61034532,0.00000000,0.81837733,2.56803456,0.38081919,0.00000000
-5.51975988,3.34967946,0.59115287,0.00000000,0.78878213,2.49660390,0.37549467,0.00000000
-5.51375688,3.25028111,0.57138551,0.00000000,0.75847059,2.42308171,0.37059872,0.00000000
-5.50775388,3.14952938,0.55121416,0.00000000,0.72766877,2.34824743,0.36618777,0.00000000
-5.50175088,3.04838758,0.53081455,0.00000000,0.69659939,2.27287868,0.36229431,0.00000000
-5.49574787,2.94778585,0.51036417,0.00000000,0.66547860,2.19773899,0.35892642,0.00000000
-5.48974487,2.84860802,0.49003916,0.00000000,0.63451298,2.12356635,0.35606858,0.00000000
-5.48374187,2.75168043,0.47001121,0.00000000,0.60389682,2.05106275,0.35368354,0.00000000
-5.47773887,2.65776296,0.45044452,0.00000000,0.57380994,1.98088516,0.35171529,0.00000000
-5.47173587,2.56754267,0.43149307,0.00000000,0.54441591,1.91363811,0.35009293,0.00000000
-5.46573287,2.48162992,0.41329815,0.00000000,0.51586093,1.84986813,0.34873515,0.00000000
-5.45972986,2.40055709,0.39598638,0.00000000,0.48827316,1.79006003,0.34755521,0.00000000
-5.45372686,2.32477958,0.37966814,0.00000000,0.46176275,1.73463500,0.34646604,0.00000000
-5.44772386,2.25467884,0.36443654,0.00000000,0.43642231,1.68395052,0.34538525,0.00000000
-5.44172086,2.19056693,0.35036686,0.00000000,0.41232782,1.63830157,0.34423983,0.00000000
-5.43571786,2.13269225,0.33751655,0.00000000,0.38953993,1.59792317,0.34297012,0.00000000
-5.42971486,2.08124563,0.32592557,0.00000000,0.36810550,1.56299365,0.34153312,0.00000000
-5.42371186,2.03636655,0.31561709,0.00000000,0.34805912,1.53363834,0.33990475,0.00000000
-5.41770885,1.99814864,0.30659847,0.00000000,0.32942474,1.50993339,0.33808113,0.00000000
-5.41170585,1.96664432,0.29886245,0.00000000,0.31221701,1.49190924,0.33607875,0.00000000
-5.40570285,1.94186794,0.29238831,0.00000000,0.29644244,1.47955353,0.33393360,0.00000000
-5.39969985,1.92379743,0.28714312,0.00000000,0.28210021,1.47281323,0.33169933,0.00000000
-5.39369685,1.91237420,0.28308286,0.00000000,0.26918257,1.47159578,0.32944452,0.00000000
-5.38769385,1.90750142,0.28015350,0.00000000,0.25767493,1.47576927,0.32724938,0.00000000
-5.38169085,1.90904080,0.27829179,0.00000000,0.24755551,1.48516174,0.32520179,0.00000000
-5.37568784,1.91680821,0.27742611,0.00000000,0.23879482,1.49955958,0.32339317,0.00000000
-5.36968484,1.93056847,0.27747701,0.00000000,0.23135486,1.51870546,0.32191418,0.00000000
-5.36368184,1.95002993,0.27835775,0.00000000,0.22518827,1.54229595,0.32085054,0.00000000
-5.35767884,1.97483911,0.27997485,0.00000000,0.22023749,1.56997920,0.32027910,0.00000000
-5.35167584,2.00457629,0.28222854,0.00000000,0.21643410,1.60135307,0.32026435,0.00000000
-5.34567284,2.03875227,0.28501344,0.00000000,0.21369843,1.63596416,0.32085546,0.00000000
-5.33966983,2.07680699,0.28821930,0.00000000,0.21193947,1.67330789,0.32208387,0.00000000
