energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,Ta_p_up,Ta_d_up
-6.00000000,2.04287237,0.00324377,1.39357513,0.01620658,0.00009403,1.12224737,0.66605534
-5.99399700,2.01412211,0.00315011,1.37427422,0.01578396,0.00009209,1.10545233,0.65723437
-5.98799400,1.97742823,0.00304983,1.34979433,0.01531639,0.00008982,1.08486209,0.64652003
-5.98199100,1.93352206,0.00294538,1.32062628,0.01481053,0.00008728,1.06088072,0.63418053
-5.97598799,1.88333839,0.00283959,1.28740284,0.01427480,0.00008450,1.03401796,0.62054501
-5.96998499,1.82799019,0.00273555,1.25088242,0.01371912,0.00008157,1.00487212,0.60599715
-5.96398199,1.76873729,0.00263653,1.21192852,0.01315463,0.00007852,0.97410999,0.59096673
-5.95797899,1.70695012,0.00254596,1.17148538,0.01259332,0.00007544,0.94244430,0.57591937
-5.95197599,1.64406970,0.00246729,1.13055089,0.01204766,0.00007238,0.91060985,0.56134455
-5.94597299,1.58156533,0.00240392,1.09014738,0.01153028,0.00006941,0.87933897,0.54774236
-5.93996998,1.52089135,0.00235911,1.05129154,0.01105357,0.00006658,0.84933743,0.53560931
-5.93396698,1.46344434,0.00233591,1.01496417,0.01062931,0.00006395,0.82126156,0.52542349
-5.92796398,1.41052235,0.00233704,0.98208091,0.01026837,0.00006158,0.79569741,0.51762969
-5.92196098,1.36328715,0.00236485,0.95346477,0.00998042,0.00005949,0.77314270,0.51262476
-5.91595798,1.32273098,0.00242120,0.92982140,0.00977361,0.00005774,0.75399217,0.51074382
-5.90995498,1.28964865,0.00250741,0.91171783,0.00965445,0.00005634,0.73852674,0.51224773
-5.90395198,1.26461585,0.00262418,0.89956538,0.00962758,0.00005532,0.72690674,0.51731229
-5.89794897,1.24797437,0.00277159,0.89360730,0.00969574,0.00005469,0.71916954,0.52601962
-5.89194597,1.23982469,0.00294899,0.89391157,0.00985968,0.00005444,0.71523142,0.53835214
-5.88594297,1.24002606,0.00315502,0.90036913,0.01011831,0.00005456,0.71489350,0.55418947
-5.87993997,1.24820423,0.00338760,0.91269770,0.01046870,0.00005504,0.71785162,0.57330853
-5.87393697,1.26376642,0.00364395,0.93045110,0.01090639,0.00005586,0.72370959,0.59538695
-5.86793397,1.28592335,0.00392063,0.95303391,0.01142554,0.00005697,0.73199537,0.62001001
-5.86193097,1.31371742,0.00421359,0.97972115,0.01201936,0.00005833,0.74217954,0.64668085
-5.85592796,1.34605631,0.00451828,1.00968222,0.01268038,0.00005991,0.75369547,0.67483388
-5.84992496,1.38175101,0.00482975,1.04200870,0.01340098,0.00006164,0.76596043,0.70385107
-5.84392196,1.41955686,0.00514281,1.07574481,0.01417372,0.00006348,0.77839686,0.73308046
-5.83791896,1.45821646,0.00545210,1.10991979,0.01499189,0.00006536,0.79045331,0.76185657
-5.83191596,1.49650282,0.00575236,1.14358090,0.01584990,0.00006725,0.80162400,0.78952176
-5.82591296,1.53326129,0.00603851,1.17582594,0.01674368,0.00006908,0.81146674,0.81544782
-5.81990995,1.56744874,0.00630585,1.20583409,0.01767106,0.00007081,0.81961828,0.83905700
-5.81390695,1.59816842,0.00655022,1.23289374,0.01863201,0.00007240,0.82580686,0.85984149
-5.80790395,1.62469935,0.00676813,1.25642640,0.01962881,0.00007381,0.82986133,0.87738068
-5.80190095,1.64651877,0.00695690,1.27600543,0.02066609,0.00007501,0.83171669,0.89135523
-5.79589795,1.66331691,0.00711471,1.29136908,0.02175076,0.00007600,0.83141584,0.90155751
-5.78989495,1.67500348,0.00724071,1.30242696,0.02289174,0.00007675,0.82910739,0.90789778
-5.78389195,1.68170537,0.00733497,1.30925984,0.02409960,0.00007728,0.82503980,0.91040588
-5.77788894,1.68375587,0.00739854,1.31211265,0.02538608,0.00007760,0.81955190,0.90922826
-5.77188594,1.68167570,0.00743330,1.31138108,0.02676342,0.00007772,0.81306025,0.90462059
-5.76588294,1.67614681,0.00744192,1.30759216,0.02824365,0.00007767,0.80604368,0.89693620
