energy_ev,total_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.97349816,0.40778706,0.00032274,0.75113835,0.00000000,1.07794440,0.15376583
-5.99399700,1.93271637,0.40779639,0.00031406,0.73323654,0.00000000,1.05996831,0.14874649
-5.98799400,1.88480698,0.40611151,0.00030400,0.71241619,0.00000000,1.03783165,0.14326158
-5.98199100,1.83035990,0.40281841,0.00029268,0.68889713,0.00000000,1.01184809,0.13737518
-5.97598799,1.77003994,0.39802266,0.00028024,0.66293598,0.00000000,0.98237881,0.13115437
-5.96998499,1.70457342,0.39184475,0.00026684,0.63482225,0.00000000,0.94982363,0.12466807
-5.96398199,1.63473307,0.38441520,0.00025265,0.60487325,0.00000000,0.91461103,0.11798582
-5.95797899,1.56132160,0.37586967,0.00023784,0.57342800,0.00000000,0.87718757,0.11117659
-5.95197599,1.48515470,0.36634450,0.00022260,0.54084024,0.00000000,0.83800711,0.10430758
-5.94597299,1.40704393,0.35597267,0.00020712,0.50747097,0.00000000,0.79752032,0.09744306
-5.93996998,1.32778035,0.34488056,0.00019156,0.47368060,0.00000000,0.75616484,0.09064334
-5.93396698,1.24811942,0.33318546,0.00017610,0.43982120,0.00000000,0.71435654,0.08396379
-5.92796398,1.16876771,0.32099407,0.00016091,0.40622911,0.00000000,0.67248210,0.07745413
-5.92196098,1.09037197,0.30840180,0.00014612,0.37321817,0.00000000,0.63089330,0.07115780
-5.91595798,1.01351067,0.29549296,0.00013187,0.34107384,0.00000000,0.58990287,0.06511162
-5.90995498,0.93868837,0.28234157,0.00011826,0.31004850,0.00000000,0.54978217,0.05934551
-5.90395198,0.86633279,0.26901281,0.00010538,0.28035788,0.00000000,0.51076052,0.05388262
-5.89794897,0.79679445,0.25556480,0.00009331,0.25217892,0.00000000,0.47302593,0.04873943
-5.89194597,0.73034869,0.24205052,0.00008209,0.22564891,0.00000000,0.43672721,0.04392614
-5.88594297,0.66719968,0.22851979,0.00007175,0.20086586,0.00000000,0.40197699,0.03944720
-5.87993997,0.60748596,0.21502099,0.00006231,0.17789005,0.00000000,0.36885546,0.03530187
-5.87393697,0.55128712,0.20160255,0.00005376,0.15674656,0.00000000,0.33741450,0.03148492
-5.86793397,0.49863114,0.18831398,0.00004608,0.13742855,0.00000000,0.30768195,0.02798732
-5.86193097,0.44950197,0.17520637,0.00003923,0.11990121,0.00000000,0.27966575,0.02479701
-5.85592796,0.40384704,0.16233252,0.00003318,0.10410595,0.00000000,0.25335779,0.02189954
-5.84992496,0.36158426,0.14974652,0.00002788,0.08996486,0.00000000,0.22873725,0.01927878
-5.84392196,0.32260853,0.13750293,0.00002327,0.07738511,0.00000000,0.20577351,0.01691747
-5.83791896,0.28679733,0.12565568,0.00001929,0.06626315,0.00000000,0.18442840,0.01479779
-5.83191596,0.25401561,0.11425676,0.00001589,0.05648863,0.00000000,0.16465796,0.01290176
-5.82591296,0.22411973,0.10335480,0.00001300,0.04794789,0.00000000,0.14641375,0.01121162
-5.81990995,0.19696080,0.09299366,0.00001057,0.04052703,0.00000000,0.12964366,0.00971011
-5.81390695,0.17238716,0.08321119,0.00000854,0.03411445,0.00000000,0.11429252,0.00838067
-5.80790395,0.15024650,0.07403818,0.00000686,0.02860289,0.00000000,0.10030245,0.00720763
-5.80190095,0.13038746,0.06549760,0.00000549,0.02389108,0.00000000,0.08761317,0.00617624
-5.79589795,0.11266101,0.05760416,0.00000438,0.01988487,0.00000000,0.07616224,0.00527277
-5.78989495,0.09692170,0.05036426,0.00000349,0.01649803,0.00000000,0.06588542,0.00448452
-5.78389195,0.08302887,0.04377623,0.00000280,0.01365278,0.00000000,0.05671715,0.00379979
