energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,0.16669074,0.07815369,0.00000000,0.03062002,0.05202648,0.00066649,0.00921560
-5.99399700,0.15480251,0.07258007,0.00000000,0.02843643,0.04831601,0.00061896,0.00855836
-5.98799400,0.14273058,0.06692042,0.00000000,0.02621916,0.04454821,0.00057070,0.00789096
-5.98199100,0.13065623,0.06125977,0.00000000,0.02400157,0.04077966,0.00052243,0.00722342
-5.97598799,0.11874621,0.05567634,0.00000000,0.02181431,0.03706241,0.00047483,0.00656497
-5.96998499,0.10714944,0.05024006,0.00000000,0.01968482,0.03344295,0.00042848,0.00592385
-5.96398199,0.09599468,0.04501137,0.00000000,0.01763683,0.02996145,0.00038392,0.00530716
-5.95797899,0.08538898,0.04004063,0.00000000,0.01569013,0.02665135,0.00034157,0.00472083
-5.95197599,0.07541727,0.03536782,0.00000000,0.01386046,0.02353915,0.00030179,0.00416956
-5.94597299,0.06614257,0.03102275,0.00000000,0.01215963,0.02064454,0.00026485,0.00365683
-5.93996998,0.05760711,0.02702555,0.00000000,0.01059565,0.01798071,0.00023092,0.00318498
-5.93396698,0.04983402,0.02338748,0.00000000,0.00917314,0.01555489,0.00020015,0.00275529
-5.92796398,0.04282948,0.02011198,0.00000000,0.00789370,0.01336903,0.00017259,0.00236811
-5.92196098,0.03658530,0.01719593,0.00000000,0.00675641,0.01142059,0.00014828,0.00202299
-5.91595798,0.03108169,0.01463093,0.00000000,0.00575840,0.00970342,0.00012723,0.00171885
-5.90995498,0.02629010,0.01240470,0.00000000,0.00489535,0.00820865,0.00010944,0.00145412
-5.90395198,0.02217611,0.01050249,0.00000000,0.00416213,0.00692554,0.00009495,0.00122692
-5.89794897,0.01870216,0.00890835,0.00000000,0.00355326,0.00584243,0.00008382,0.00103517
-5.89194597,0.01583010,0.00760646,0.00000000,0.00306349,0.00494742,0.00007620,0.00087679
-5.88594297,0.01352354,0.00658220,0.00000000,0.00268823,0.00422918,0.00007235,0.00074981
-5.87993997,0.01174987,0.00582317,0.00000000,0.00242399,0.00367756,0.00007265,0.00065244
-5.87393697,0.01048197,0.00532005,0.00000000,0.00226873,0.00328411,0.00007768,0.00058324
-5.86793397,0.00969966,0.00506728,0.00000000,0.00222214,0.00304248,0.00008824,0.00054114
-5.86193097,0.00939070,0.00506356,0.00000000,0.00228586,0.00294883,0.00010537,0.00052553
-5.85592796,0.00955159,0.00531224,0.00000000,0.00246366,0.00300196,0.00013049,0.00053628
-5.84992496,0.01018790,0.00582140,0.00000000,0.00276145,0.00320346,0.00016536,0.00057380
-5.84392196,0.01131441,0.00660388,0.00000000,0.00318730,0.00355771,0.00021221,0.00063900
-5.83791896,0.01295473,0.00767704,0.00000001,0.00375132,0.00407178,0.00027379,0.00073334
-5.83191596,0.01514081,0.00906232,0.00000001,0.00446548,0.00475519,0.00035344,0.00085872
-5.82591296,0.01791189,0.01078461,0.00000002,0.00534328,0.00561965,0.00045514,0.00101751
-5.81990995,0.02131334,0.01287145,0.00000002,0.00639940,0.00667862,0.00058361,0.00121241
-5.81390695,0.02539498,0.01535193,0.00000003,0.00764918,0.00794680,0.00074433,0.00144644
-5.80790395,0.03020929,0.01825554,0.00000005,0.00910809,0.00943955,0.00094362,0.00172279
-5.80190095,0.03580923,0.02161070,0.00000007,0.01079107,0.01117224,0.00118863,0.00204475
-5.79589795,0.04224592,0.02544326,0.00000010,0.01271180,0.01315952,0.00148736,0.00241553
-5.78989495,0.04956614,0.02977485,0.00000014,0.01488200,0.01541458,0.00184862,0.00283821
-5.78389195,0.05780977,0.03462117,0.00000020,0.01731065,0.01794843,0.00228196,0.00331555
-5.77788894,0.06700734,0.03999033,0.00000028,0.02000326,0.02076918,0.00279756,0.00384988
-5.77188594,0.07717763,0.04588127,0.00000039,0.02296120,0.02388145,0.00340606,0.00444300
-5.76588294,0.08832571,0.05228234,0.00000055,0.02618118,0.02728587,0.00411834,0.00509609
-5.75987994,0.10044131,0.05917014,0.00000075,0.02965482,0.03097874,0.00494528,0.00580960
-5.75387694,0.11349784,0.06650877,0.00000102,0.03336842,0.03495199,0.00589739,0.00658327
-5.74787394,0.12745213,0.07424942,0.00000139,0.03730304,0.03919332,0.00698451,0.00741611
-5.74187094,0.14224499,0.08233057,0.00000186,0.04143476,0.04368663,0.00821534,0.00830647
-5.73586793,0.15780272,0.09067868,0.00000249,0.04573529,0.04841285,0.00959706,0.00925211
-5.72986493,0.17403953,0.09920946,0.00000330,0.05017281,0.05335097,0.01113485,0.01025043
-5.72386193,0.19086101,0.10782984,0.00000435,0.05471318,0.05847948,0.01283151,0.01129860
-5.71785893,0.20816843,0.11644035,0.00000569,0.05932136,0.06377799,0.01468699,0.01239388
-5.71185593,0.22586383,0.12493816,0.00000738,0.06396303,0.06922914,0.01669811,0.01353389
-5.70585293,0.24385575,0.13322037,0.00000952,0.06860645,0.07482054,0.01885823,0.01471693
-5.69984992,0.26206520,0.14118775,0.00001218,0.07322422,0.08054689,0.02115711,0.01594229
-5.69384692,0.28043181,0.14874842,0.00001548,0.07779521,0.08641186,0.02358083,0.01721061
-5.68784392,0.29891948,0.15582163,0.00001954,0.08230620,0.09242982,0.02611187,0.01852410
-5.68184092,0.31752151,0.16234120,0.00002448,0.08675336,0.09862727,0.02872929,0.01988680
-5.67583792,0.33626457,0.16825856,0.00003046,0.09114332,0.10504366,0.03140916,0.02130471
-5.66983492,0.35521122,0.17354516,0.00003763,0.09549382,0.11173167,0.03412494,0.02278583
-5.66383192,0.37446067,0.17819411,0.00004615,0.09983379,0.11875672,0.03684817,0.02434009
