energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,3.06685015,0.31149913,2.52580406,0.27170859,0.00395395,0.04181724,0.13908641
-5.99399700,3.03019563,0.30566764,2.50072646,0.26977033,0.00382384,0.03967968,0.13477408
-5.98799400,2.99133145,0.29929979,2.47395841,0.26744522,0.00369385,0.03761308,0.13042747
-5.98199100,2.95068620,0.29248661,2.44582366,0.26477930,0.00356518,0.03562647,0.12607884
-5.97598799,2.90872029,0.28533273,2.41666536,0.26182421,0.00343900,0.03372723,0.12176224
-5.96998499,2.86592598,0.27795507,2.38684652,0.25863639,0.00331639,0.03192140,0.11751351
-5.96398199,2.82282652,0.27048112,2.35675034,0.25527620,0.00319841,0.03021401,0.11337017
-5.95797899,2.77997463,0.26304679,2.32678030,0.25180692,0.00308601,0.02860940,0.10937104
-5.95197599,2.73795006,0.25579408,2.29735968,0.24829378,0.00298004,0.02711141,0.10555577
-5.94597299,2.69735603,0.24886837,2.26893071,0.24480292,0.00288127,0.02572355,0.10196417
-5.93996998,2.65881471,0.24241572,2.24195281,0.24140036,0.00279037,0.02444912,0.09863543
-5.93396698,2.62296140,0.23658000,2.21690003,0.23815099,0.00270787,0.02329118,0.09560722
-5.92796398,2.59043745,0.23150006,2.19425728,0.23511759,0.00263423,0.02225252,0.09291467
-5.92196098,2.56188177,0.22730690,2.17451536,0.23235989,0.00256977,0.02133557,0.09058939
-5.91595798,2.53792100,0.22412104,2.15816453,0.22993360,0.00251473,0.02054225,0.08865845
-5.90995498,2.51915815,0.22205002,2.14568660,0.22788954,0.00246922,0.01987374,0.08714345
-5.90395198,2.50616009,0.22118602,2.13754542,0.22627274,0.00243328,0.01933040,0.08605967
-5.89794897,2.49944369,0.22160381,2.13417601,0.22512161,0.00240684,0.01891147,0.08541540
-5.89194597,2.49946121,0.22335890,2.13597241,0.22446706,0.00238974,0.01861502,0.08521143
-5.88594297,2.50658515,0.22648596,2.14327449,0.22433175,0.00238172,0.01843775,0.08544082
-5.87993997,2.52109302,0.23099755,2.15635435,0.22472936,0.00238245,0.01837497,0.08608882
-5.87393697,2.54315279,0.23688319,2.17540258,0.22566389,0.00239152,0.01842054,0.08713312
-5.86793397,2.57280946,0.24410879,2.20051524,0.22712917,0.00240842,0.01856692,0.08854433
-5.86193097,2.60997369,0.25261647,2.23168199,0.22910845,0.00243257,0.01880527,0.09028675
-5.85592796,2.65441299,0.26232485,2.26877630,0.23157427,0.00246331,0.01912560,0.09231926
-5.84992496,2.70574636,0.27312978,2.31154823,0.23448848,0.00249990,0.01951698,0.09459657
-5.84392196,2.76344289,0.28490560,2.35962055,0.23780260,0.00254155,0.01996780,0.09707048
-5.83791896,2.82682479,0.29750696,2.41248867,0.24145847,0.00258738,0.02046605,0.09969135
-5.83191596,2.89507530,0.31077112,2.46952474,0.24538926,0.00263647,0.02099965,0.10240959
-5.82591296,2.96725156,0.32452091,2.52998620,0.24952077,0.00268783,0.02155678,0.10517715
-5.81990995,3.04230234,0.33856807,2.59302888,0.25377304,0.00274047,0.02212619,0.10794898
-5.81390695,3.11909045,0.35271716,2.65772434,0.25806234,0.00279335,0.02269754,0.11068437
-5.80790395,3.19641923,0.36676979,2.72308119,0.26230328,0.00284545,0.02326166,0.11334811
-5.80190095,3.27306243,0.38052920,2.78806983,0.26641121,0.00289575,0.02381084,0.11591146
-5.79589795,3.34779660,0.39380490,2.85164984,0.27030462,0.00294330,0.02433900,0.11835290
-5.78989495,3.41943490,0.40641740,2.91279914,0.27390760,0.00298717,0.02484184,0.12065853
-5.78389195,3.48686121,0.41820272,2.97054401,0.27715217,0.00302654,0.02531692,0.12282230
-5.77788894,3.54906335,0.42901656,3.02398874,0.27998048,0.00306070,0.02576368,0.12484585
-5.77188594,3.60516407,0.43873800,3.07234407,0.28234658,0.00308905,0.02618338,0.12673814
