energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.06721213,-1.08633356,0.58697003,-0.59884253,0.19795597,-0.17739375,0.16863988,-0.14322065,0.00077548,-0.00076384,0.64397355,-0.70354904,0.00000000,-0.00000000
-5.99399700,1.05263339,-1.09043639,0.56783517,-0.60826224,0.20224474,-0.16928705,0.16641610,-0.15078459,0.00076649,-0.00076974,0.63150027,-0.70318669,0.00000000,-0.00000000
-5.98799400,1.03663462,-1.09541557,0.54679052,-0.61767162,0.20654169,-0.16231984,0.16371175,-0.15783811,0.00075866,-0.00077510,0.61820995,-0.70357606,0.00000000,-0.00000000
-5.98199100,1.01972365,-1.10032675,0.52421957,-0.62652558,0.21084749,-0.15635652,0.16061513,-0.16423508,0.00075241,-0.00077924,0.60444446,-0.70412039,0.00000000,-0.00000000
-5.97598799,1.00237479,-1.10425148,0.50051502,-0.63429295,0.21515124,-0.15125379,0.15721504,-0.16983826,0.00074805,-0.00078156,0.59052477,-0.70423935,0.00000000,-0.00000000
-5.96998499,0.98501299,-1.10633274,0.47606759,-0.64047566,0.21942916,-0.14686751,0.15359747,-0.17452380,0.00074578,-0.00078152,0.57674166,-0.70339174,0.00000000,-0.00000000
-5.96398199,0.96800157,-1.10580722,0.45125588,-0.64462660,0.22364430,-0.14305892,0.14984247,-0.17818550,0.00074571,-0.00077869,0.56334860,-0.70109585,0.00000000,-0.00000000
-5.95797899,0.95163410,-1.10203297,0.42643789,-0.64636515,0.22774706,-0.13970019,0.14602159,-0.18073860,0.00074782,-0.00077274,0.55055712,-0.69694690,0.00000000,-0.00000000
-5.95197599,0.93613040,-1.09451159,0.40194403,-0.64538998,0.23167668,-0.13667889,0.14219584,-0.18212282,0.00075200,-0.00076348,0.53853468,-0.69063074,0.00000000,-0.00000000
-5.94597299,0.92163695,-1.08290396,0.37807205,-0.64148847,0.23536370,-0.13390153,0.13841435,-0.18230473,0.00075803,-0.00075082,0.52740493,-0.68193345,0.00000000,-0.00000000
