energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.54187785,0.24183984,0.00041542,0.12249523,0.00000000,0.34222230,0.03719794
-5.99399700,0.50282943,0.23325292,0.00035913,0.10890235,0.00000000,0.32136361,0.03346027
-5.98799400,0.46651573,0.22458563,0.00030843,0.09661603,0.00000000,0.30167194,0.03006140
-5.98199100,0.43272113,0.21579367,0.00026315,0.08556339,0.00000000,0.28303306,0.02698195
-5.97598799,0.40121973,0.20683934,0.00022302,0.07566279,0.00000000,0.26533137,0.02420020
-5.96998499,0.37178626,0.19769514,0.00018775,0.06682693,0.00000000,0.24845611,0.02169300
-5.96398199,0.34420548,0.18834644,0.00015700,0.05896577,0.00000000,0.23230658,0.01943661
-5.95797899,0.31827971,0.17879313,0.00013039,0.05198907,0.00000000,0.21679613,0.01740749
-5.95197599,0.29383428,0.16905035,0.00010756,0.04580861,0.00000000,0.20185479,0.01558287
-5.94597299,0.27072104,0.15914822,0.00008812,0.04034003,0.00000000,0.18743069,0.01394131
-5.93996998,0.24881981,0.14913061,0.00007170,0.03550416,0.00000000,0.17349011,0.01246296
-5.93396698,0.22803814,0.13905326,0.00005794,0.03122802,0.00000000,0.16001660,0.01112987
-5.92796398,0.20830945,0.12898126,0.00004650,0.02744538,0.00000000,0.14700899,0.00992605
-5.92196098,0.18959008,0.11898614,0.00003706,0.02409699,0.00000000,0.13447894,0.00883745
-5.91595798,0.17185541,0.10914278,0.00002933,0.02113054,0.00000000,0.12244783,0.00785194
-5.90995498,0.15509554,0.09952631,0.00002306,0.01850035,0.00000000,0.11094356,0.00695911
-5.90395198,0.13931080,0.09020918,0.00001801,0.01616688,0.00000000,0.09999732,0.00615011
-5.89794897,0.12450740,0.08125851,0.00001398,0.01409621,0.00000000,0.08964054,0.00541742
-5.89194597,0.11069345,0.07273393,0.00001079,0.01225937,0.00000000,0.07990223,0.00475465
-5.88594297,0.09787559,0.06468589,0.00000830,0.01063171,0.00000000,0.07080673,0.00415632
-5.87993997,0.08605636,0.05715450,0.00000637,0.00919229,0.00000000,0.06237209,0.00361764
-5.87393697,0.07523231,0.05016894,0.00000490,0.00792338,0.00000000,0.05460894,0.00313440
-5.86793397,0.06539297,0.04374743,0.00000382,0.00680997,0.00000000,0.04752002,0.00270275
-5.86193097,0.05652062,0.03789765,0.00000306,0.00583944,0.00000000,0.04110021,0.00231916
-5.85592796,0.04859072,0.03261755,0.00000257,0.00500137,0.00000000,0.03533704,0.00198033
-5.84992496,0.04157312,0.02789658,0.00000233,0.00428741,0.00000000,0.03021167,0.00168314
-5.84392196,0.03543373,0.02371710,0.00000232,0.00369131,0.00000000,0.02570017,0.00142460
-5.83791896,0.03013667,0.02005598,0.00000255,0.00320907,0.00000000,0.02177506,0.00120196
-5.83191596,0.02564680,0.01688634,0.00000304,0.00283921,0.00000000,0.01840704,0.00101261
-5.82591296,0.02193252,0.01417926,0.00000382,0.00258315,0.00000000,0.01556682,0.00085424
-5.81990995,0.01896874,0.01190550,0.00000496,0.00244567,0.00000000,0.01322699,0.00072483
-5.81390695,0.01674001,0.01003712,0.00000654,0.00243553,0.00000000,0.01136388,0.00062273
-5.80790395,0.01524367,0.00854905,0.00000867,0.00256615,0.00000000,0.00995942,0.00054676
