energy_ev,total_up,Pb_p_up,Pb_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,1.03796118,0.01690330,0.00039830,0.46987161,0.38063345,0.64220702,0.00000000
-5.99399700,1.02015909,0.01631044,0.00040089,0.45864566,0.37426320,0.63253959,0.00000000
-5.98799400,0.99803596,0.01574345,0.00040134,0.44536791,0.36638881,0.61997207,0.00000000
-5.98199100,0.97199301,0.01523380,0.00039972,0.43023301,0.35715370,0.60470405,0.00000000
-5.97598799,0.94250787,0.01481526,0.00039616,0.41346289,0.34673019,0.58698167,0.00000000
-5.96998499,0.91012853,0.01452372,0.00039085,0.39530228,0.33531788,0.56709402,0.00000000
-5.96398199,0.87546549,0.01439704,0.00038405,0.37601371,0.32314120,0.54536851,0.00000000
-5.95797899,0.83918228,0.01447474,0.00037605,0.35587221,0.31044625,0.52216513,0.00000000
-5.95197599,0.80198441,0.01479785,0.00036719,0.33515965,0.29749702,0.49786984,0.00000000
-5.94597299,0.76460693,0.01540847,0.00035787,0.31415909,0.28457082,0.47288716,0.00000000
-5.93996998,0.72780077,0.01634939,0.00034849,0.29314923,0.27195319,0.44763205,0.00000000
-5.93396698,0.69231811,0.01766354,0.00033949,0.27239906,0.25993230,0.42252146,0.00000000
-5.92796398,0.65889708,0.01939330,0.00033131,0.25216291,0.24879290,0.39796555,0.00000000
-5.92196098,0.62824606,0.02157965,0.00032440,0.23267603,0.23880998,0.37435893,0.00000000
-5.91595798,0.60102792,0.02426121,0.00031917,0.21415082,0.23024232,0.35207213,0.00000000
-5.90995498,0.57784460,0.02747311,0.00031602,0.19677369,0.22332600,0.33144347,0.00000000
-5.90395198,0.55922241,0.03124574,0.00031533,0.18070277,0.21826817,0.31277161,0.00000000
-5.89794897,0.54559842,0.03560343,0.00031738,0.16606645,0.21524107,0.29630896,0.00000000
-5.89194597,0.53730839,0.04056314,0.00032244,0.15296261,0.21437668,0.28225613,0.00000000
-5.88594297,0.53457669,0.04613307,0.00033067,0.14145885,0.21576212,0.27075760,0.00000000
-5.87993997,0.53750857,0.05231158,0.00034218,0.13159337,0.21943600,0.26189874,0.00000000
-5.87393697,0.54608520,0.05908613,0.00035698,0.12337665,0.22538583,0.25570425,0.00000000
-5.86793397,0.56016190,0.06643265,0.00037499,0.11679388,0.23354692,0.25213825,0.00000000
-5.86193097,0.57946980,0.07431520,0.00039606,0.11180789,0.24380257,0.25110584,0.00000000
