energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,0.45952634,0.12295803,0.00000000,0.11348699,0.30663748,0.01746784,0.04717767
-5.99399700,0.50534289,0.13584486,0.00000000,0.12453453,0.33779862,0.01915803,0.05177996
-5.98799400,0.55299505,0.14934363,0.00000000,0.13602353,0.37038770,0.02089765,0.05651544
-5.98199100,0.60197978,0.16333649,0.00000000,0.14783028,0.40409659,0.02266421,0.06132538
-5.97598799,0.65173188,0.17768846,0.00000000,0.15981653,0.43857535,0.02443278,0.06614477
-5.96998499,0.70163472,0.19224968,0.00000000,0.17183220,0.47343848,0.02617642,0.07090364
-5.96398199,0.75103334,0.20685831,0.00000000,0.18371862,0.50827262,0.02786684,0.07552872
-5.95797899,0.79924941,0.22134381,0.00000000,0.19531220,0.54264541,0.02947509,0.07994519
-5.95197599,0.84559762,0.23553069,0.00000000,0.20644837,0.57611530,0.03097231,0.08407874
-5.94597299,0.88940295,0.24924239,0.00000000,0.21696569,0.60824179,0.03233056,0.08785761
-5.93996998,0.93001806,0.26230541,0.00000000,0.22670998,0.63859587,0.03352363,0.09121474
-5.93396698,0.96684020,0.27455315,0.00000000,0.23553820,0.66677020,0.03452785,0.09408976
-5.92796398,0.99932709,0.28582981,0.00000000,0.24332212,0.69238872,0.03532279,0.09643093
-5.92196098,1.02701085,0.29599371,0.00000000,0.24995142,0.71511512,0.03589196,0.09819677
-5.91595798,1.04950979,0.30492033,0.00000000,0.25533628,0.73466016,0.03622331,0.09935743
-5.90995498,1.06653741,0.31250467,0.00000000,0.25940925,0.75078742,0.03630966,0.09989574
-5.90395198,1.07790842,0.31866312,0.00000000,0.26212640,0.76331735,0.03614886,0.09980781
-5.89794897,1.08354161,0.32333464,0.00000000,0.26346776,0.77212957,0.03574393,0.09910322
-5.89194597,1.08345958,0.32648127,0.00000000,0.26343696,0.77716356,0.03510291,0.09780488
-5.88594297,1.07778555,0.32808817,0.00000000,0.26206023,0.77841757,0.03423859,0.09594838
-5.87993997,1.06673746,0.32816306,0.00000000,0.25938481,0.77594628,0.03316807,0.09358106
-5.87393697,1.05061981,0.32673516,0.00000000,0.25547683,0.76985710,0.03191221,0.09076071
-5.86793397,1.02981372,0.32385392,0.00000000,0.25041888,0.76030562,0.03049492,0.08755403
-5.86193097,1.00476561,0.31958731,0.00000000,0.24430723,0.74749031,0.02894244,0.08403495
-5.85592796,0.97597518,0.31402008,0.00000000,0.23724907,0.73164689,0.02728253,0.08028279
-5.84992496,0.94398306,0.30725181,0.00000000,0.22935961,0.71304241,0.02554366,0.07638035
-5.84392196,0.90935854,0.29939494,0.00000000,0.22075937,0.69196946,0.02375420,0.07241209
-5.83791896,0.87268786,0.29057283,0.00000000,0.21157160,0.66874048,0.02194171,0.06846234
-5.83191596,0.83456316,0.28091777,0.00000000,0.20191999,0.64368234,0.02013226,0.06461365
-5.82591296,0.79557241,0.27056908,0.00000000,0.19192656,0.61713125,0.01834989,0.06094527
-5.81990995,0.75629023,0.25967113,0.00000000,0.18170998,0.58942800,0.01661609,0.05753179
-5.81390695,0.71726979,0.24837142,0.00000000,0.17138399,0.56091340,0.01494955,0.05444202
-5.80790395,0.67903560,0.23681858,0.00000000,0.16105626,0.53192410,0.01336587,0.05173796
-5.80190095,0.64207705,0.22516037,0.00000000,0.15082737,0.50278843,0.01187754,0.04947399
-5.79589795,0.60684278,0.21354150,0.00000000,0.14078997,0.47382247,0.01049386,0.04769614
-5.78989495,0.57373553,0.20210155,0.00000000,0.13102821,0.44532617,0.00922114,0.04644154
-5.78389195,0.54310756,0.19097269,0.00000000,0.12161719,0.41757956,0.00806285,0.04573793
-5.77788894,0.51525651,0.18027748,0.00000000,0.11262253,0.39083905,0.00701987,0.04560326
-5.77188594,0.49042163,0.17012669,0.00000000,0.10410010,0.36533394,0.00609080,0.04604540
-5.76588294,0.46878067,0.16061718,0.00000000,0.09609575,0.34126316,0.00527229,0.04706188
-5.75987994,0.45044720,0.15183003,0.00000000,0.08864515,0.31879231,0.00455941,0.04863977
-5.75387694,0.43546880,0.14382891,0.00000000,0.08177375,0.29805132,0.00394593,0.05075560
-5.74787394,0.42382610,0.13665875,0.00000000,0.07549683,0.27913261,0.00342470,0.05337545
