energy_ev,total_up,B_p_up,B_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.03803821,0.01430371,0.00000000,0.05888423,0.47103018,0.15973184,0.28334900
-5.99399700,1.08204608,0.01521436,0.00000000,0.06052018,0.49269830,0.16864334,0.29142557
-5.98799400,1.12592901,0.01617566,0.00000000,0.06204906,0.51477059,0.17762459,0.29891327
-5.98199100,1.16922482,0.01718419,0.00000000,0.06344553,0.53700123,0.18661289,0.30570029
-5.97598799,1.21150672,0.01823689,0.00000000,0.06468757,0.55914297,0.19555150,0.31169502
-5.96998499,1.25238659,0.01933110,0.00000000,0.06575658,0.58094920,0.20439003,0.31682657
-5.96398199,1.29151683,0.02046446,0.00000000,0.06663732,0.60217614,0.21308465,0.32104470
-5.95797899,1.32859068,0.02163481,0.00000000,0.06731790,0.62258497,0.22159785,0.32431909
-5.95197599,1.36334134,0.02284012,0.00000000,0.06778960,0.64194406,0.22989796,0.32663799
-5.94597299,1.39554006,0.02407827,0.00000000,0.06804680,0.66003148,0.23795836,0.32800649
-5.93996998,1.42499343,0.02534693,0.00000000,0.06808672,0.67663750,0.24575646,0.32844439
-5.93396698,1.45154018,0.02664331,0.00000000,0.06790930,0.69156744,0.25327250,0.32798383
-5.92796398,1.47504774,0.02796402,0.00000000,0.06751703,0.70464450,0.26048826,0.32666679
-5.92196098,1.49540864,0.02930484,0.00000000,0.06691473,0.71571265,0.26738569,0.32454259
-5.91595798,1.51253716,0.03066053,0.00000000,0.06610945,0.72463949,0.27394563,0.32166551
-5.90995498,1.52636625,0.03202474,0.00000000,0.06511029,0.73131875,0.28014661,0.31809252
-5.90395198,1.53684485,0.03338984,0.00000000,0.06392824,0.73567260,0.28596392,0.31388138
-5.89794897,1.54393578,0.03474687,0.00000000,0.06257605,0.73765326,0.29136883,0.30908891
-5.89194597,1.54761420,0.03608553,0.00000000,0.06106803,0.73724413,0.29632829,0.30376975
-5.88594297,1.54786660,0.03739423,0.00000000,0.05941994,0.73446015,0.30080480,0.29797539
-5.87993997,1.54469046,0.03866016,0.00000000,0.05764872,0.72934727,0.30475688,0.29175361
-5.87393697,1.53809442,0.03986952,0.00000000,0.05577232,0.72198128,0.30813972,0.28514820
-5.86793397,1.52809899,0.04100767,0.00000000,0.05380943,0.71246570,0.31090633,0.27819905
-5.86193097,1.51473773,0.04205951,0.00000000,0.05177925,0.70092906,0.31300899,0.27094247
-5.85592796,1.49805874,0.04300973,0.00000000,0.04970116,0.68752155,0.31440090,0.26341169
-5.84992496,1.47812655,0.04384330,0.00000000,0.04759448,0.67241121,0.31503813,0.25563755
-5.84392196,1.45502411,0.04454580,0.00000000,0.04547814,0.65577984,0.31488156,0.24764927
-5.83791896,1.42885492,0.04510388,0.00000000,0.04337038,0.63781881,0.31389890,0.23947523
-5.83191596,1.39974511,0.04550573,0.00000000,0.04128850,0.61872495,0.31206662,0.23114376
-5.82591296,1.36784536,0.04574146,0.00000000,0.03924858,0.59869667,0.30937161,0.22268387
-5.81990995,1.33333258,0.04580350,0.00000000,0.03726526,0.57793043,0.30581267,0.21412587
-5.81390695,1.29641112,0.04568695,0.00000000,0.03535157,0.55661777,0.30140162,0.20550183
-5.80790395,1.25731353,0.04538987,0.00000000,0.03351879,0.53494279,0.29616390,0.19684599
-5.80190095,1.21630065,0.04491342,0.00000000,0.03177635,0.51308035,0.29013893,0.18819487
-5.79589795,1.17366097,0.04426203,0.00000000,0.03013184,0.49119476,0.28337982,0.17958738
-5.78989495,1.12970937,0.04344340,0.00000000,0.02859102,0.46943913,0.27595274,0.17106468
-5.78389195,1.08478488,0.04246839,0.00000000,0.02715789,0.44795513,0.26793590,0.16266990
-5.77788894,1.03924785,0.04135086,0.00000000,0.02583486,0.42687328,0.25941808,0.15444779
-5.77188594,0.99347627,0.04010740,0.00000000,0.02462289,0.40631343,0.25049695,0.14644430
-5.76588294,0.94786150,0.03875696,0.00000000,0.02352175,0.38638561,0.24127710,0.13870595
-5.75987994,0.90280344,0.03732043,0.00000000,0.02253020,0.36719086,0.23186803,0.13127934
-5.75387694,0.85870520,0.03582014,0.00000000,0.02164632,0.34882221,0.22238197,0.12421048
-5.74787394,0.81596752,0.03427937,0.00000000,0.02086770,0.33136547,0.21293176,0.11754416
-5.74187094,0.77498299,0.03272177,0.00000000,0.02019174,0.31489999,0.20362888,0.11132336
-5.73586793,0.73613022,0.03117084,0.00000000,0.01961585,0.29949914,0.19458145,0.10558861
-5.72986493,0.69976802,0.02964940,0.00000000,0.01913768,0.28523059,0.18589255,0.10037738
-5.72386193,0.66622981,0.02817908,0.00000000,0.01875522,0.27215633,0.17765864,0.09572355
-5.71785893,0.63581829,0.02677989,0.00000000,0.01846693,0.26033238,0.16996819,0.09165677
-5.71185593,0.60880036,0.02546980,0.00000000,0.01827176,0.24980829,0.16290048,0.08820196
-5.70585293,0.58540256,0.02426443,0.00000000,0.01816914,0.24062635,0.15652461,0.08537874
-5.69984992,0.56580687,0.02317678,0.00000000,0.01815887,0.23282069,0.15089865,0.08320092
-5.69384692,0.55014710,0.02221706,0.00000000,0.01824097,0.22641612,0.14606892,0.08167599
-5.68784392,0.53850587,0.02139256,0.00000000,0.01841552,0.22142701,0.14206941,0.08080465
-5.68184092,0.53091221,0.02070764,0.00000000,0.01868235,0.21785613,0.13892134,0.08058036
-5.67583792,0.52733989,0.02016373,0.00000000,0.01904082,0.21569359,0.13663278,0.08098901
-5.66983492,0.52770665,0.01975944,0.00000000,0.01948951,0.21491590,0.13519850,0.08200858
-5.66383192,0.53187423,0.01949072,0.00000000,0.02002596,0.21548536,0.13459983,0.08360904
-5.65782891,0.53964944,0.01935105,0.00000000,0.02064641,0.21734972,0.13480481,0.08575227
-5.65182591,0.55078624,0.01933168,0.00000000,0.02134555,0.22044226,0.13576844,0.08839224
-5.64582291,0.56498891,0.01942187,0.00000000,0.02211641,0.22468232,0.13743319,0.09147527
-5.63981991,0.58191632,0.01960927,0.00000000,0.02295019,0.22997622,0.13972970,0.09494062
-5.63381691,0.60118732,0.01988013,0.00000000,0.02383632,0.23621880,0.14257774,0.09872112
-5.62781391,0.62238705,0.02021969,0.00000000,0.02476241,0.24329528,0.14588745,0.10274416
-5.62181091,0.64507428,0.02061247,0.00000000,0.02571447,0.25108361,0.14956074,0.10693274
-5.61580790,0.66878942,0.02104260,0.00000000,0.02667709,0.25945715,0.15349301,0.11120680
-5.60980490,0.69306316,0.02149410,0.00000000,0.02763368,0.26828758,0.15757497,0.11548453
-5.60380190,0.71742549,0.02195115,0.00000000,0.02856687,0.27744803,0.16169467,0.11968395
-5.59779890,0.74141474,0.02239842,0.00000000,0.02945886,0.28681620,0.16573964,0.12372439
