energy_ev,total_up,B_p_up,B_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.00352147,0.13989442,0.00000000,0.40006180,0.48935631,0.34657016,0.00000000
-5.99399700,1.00083770,0.14106055,0.00000000,0.39665398,0.48981473,0.34419059,0.00000000
-5.98799400,0.99786745,0.14183366,0.00000000,0.39381502,0.48949111,0.34229682,0.00000000
-5.98199100,0.99466543,0.14219305,0.00000000,0.39163448,0.48839712,0.34094708,0.00000000
-5.97598799,0.99129160,0.14212339,0.00000000,0.39019564,0.48655706,0.34019563,0.00000000
-5.96998499,0.98781054,0.14161535,0.00000000,0.38957512,0.48400765,0.34009122,0.00000000
-5.96398199,0.98429164,0.14066627,0.00000000,0.38984287,0.48079801,0.34067588,0.00000000
-5.95797899,0.98081003,0.13928071,0.00000000,0.39106235,0.47698985,0.34198412,0.00000000
-5.95197599,0.97744808,0.13747112,0.00000000,0.39329080,0.47265776,0.34404256,0.00000000
-5.94597299,0.97429704,0.13525827,0.00000000,0.39657953,0.46788950,0.34686967,0.00000000
-5.93996998,0.97145874,0.13267164,0.00000000,0.40097392,0.46278622,0.35047584,0.00000000
-5.93396698,0.96904697,0.12974969,0.00000000,0.40651330,0.45746254,0.35486333,0.00000000
-5.92796398,0.96718828,0.12653988,0.00000000,0.41323047,0.45204626,0.36002645,0.00000000
-5.92196098,0.96602209,0.12309850,0.00000000,0.42115091,0.44667780,0.36595146,0.00000000
-5.91595798,0.96569992,0.11949031,0.00000000,0.43029172,0.44150910,0.37261653,0.00000000
-5.90995498,0.96638365,0.11578784,0.00000000,0.44066035,0.43670208,0.37999159,0.00000000
-5.90395198,0.96824293,0.11207053,0.00000000,0.45225317,0.43242658,0.38803811,0.00000000
-5.89794897,0.97145169,0.10842356,0.00000000,0.46505410,0.42885779,0.39670886,0.00000000
-5.89194597,0.97618409,0.10493645,0.00000000,0.47903332,0.42617329,0.40594785,0.00000000
-5.88594297,0.98260993,0.10170149,0.00000000,0.49414628,0.42454971,0.41569026,0.00000000
-5.87993997,0.99088994,0.09881194,0.00000000,0.51033303,0.42415913,0.42586282,0.00000000
-5.87393697,1.00117113,0.09636013,0.00000000,0.52751801,0.42516544,0.43638439,0.00000000
-5.86793397,1.01358248,0.09443549,0.00000000,0.54561042,0.42772065,0.44716696,0.00000000
-5.86193097,1.02823115,0.09312250,0.00000000,0.56450499,0.43196138,0.45811711,0.00000000
-5.85592796,1.04519948,0.09249873,0.00000000,0.58408336,0.43800569,0.46913787,0.00000000
-5.84992496,1.06454286,0.09263292,0.00000000,0.60421584,0.44595029,0.48013098,0.00000000
-5.84392196,1.08628854,0.09358317,0.00000000,0.62476351,0.45586824,0.49099949,0.00000000
-5.83791896,1.11043537,0.09539544,0.00000000,0.64558066,0.46780728,0.50165052,0.00000000
-5.83191596,1.13695444,0.09810213,0.00000000,0.66651722,0.48178873,0.51199821,0.00000000
-5.82591296,1.16579043,0.10172106,0.00000000,0.68742133,0.49780707,0.52196652,0.00000000
-5.81990995,1.19686367,0.10625475,0.00000000,0.70814172,0.51583008,0.53149182,0.00000000
-5.81390695,1.23007251,0.11168998,0.00000000,0.72853000,0.53579966,0.54052523,0.00000000
-5.80790395,1.26529603,0.11799781,0.00000000,0.74844266,0.55763303,0.54903426,0.00000000
