energy_ev,total_up,Al_p_up,Al_d_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-6.00000000,0.31104447,0.01477556,0.00000000,0.14739821,0.03578519,0.00228199,0.12768726
-5.99399700,0.32772418,0.01255720,0.00000000,0.15841293,0.03862390,0.00192521,0.14007590
-5.98799400,0.34605510,0.01062713,0.00000000,0.16987579,0.04163360,0.00161319,0.15285739
-5.98199100,0.36565340,0.00896565,0.00000000,0.18159914,0.04477429,0.00134253,0.16588737
-5.97598799,0.38610493,0.00755167,0.00000000,0.19338232,0.04800211,0.00110964,0.17900815
-5.96998499,0.40697572,0.00636334,0.00000000,0.20501657,0.05127047,0.00091088,0.19205238
-5.96398199,0.42782321,0.00537874,0.00000000,0.21629053,0.05453113,0.00074257,0.20484732
-5.95797899,0.44820800,0.00457634,0.00000000,0.22699595,0.05773552,0.00060120,0.21721941
-5.95197599,0.46770548,0.00393538,0.00000000,0.23693359,0.06083599,0.00048338,0.22899917
-5.94597299,0.48591725,0.00343623,0.00000000,0.24591889,0.06378710,0.00038595,0.24002604
-5.93996998,0.50248162,0.00306050,0.00000000,0.25378732,0.06654688,0.00030603,0.25015305
-5.93396698,0.51708290,0.00279121,0.00000000,0.26039915,0.06907792,0.00024097,0.25925110
-5.92796398,0.52945925,0.00261277,0.00000000,0.26564331,0.07134832,0.00018842,0.26721264
-5.92196098,0.53940853,0.00251101,0.00000000,0.26944039,0.07333253,0.00014630,0.27395462
-5.91595798,0.54679214,0.00247305,0.00000000,0.27174446,0.07501181,0.00011280,0.27942051
-5.90995498,0.55153666,0.00248725,0.00000000,0.27254371,0.07637458,0.00008636,0.28358141
-5.90395198,0.55363320,0.00254311,0.00000000,0.27185992,0.07741648,0.00006566,0.28643615
-5.89794897,0.55313465,0.00263113,0.00000000,0.26974678,0.07814010,0.00004956,0.28801032
-5.89194597,0.55015089,0.00274268,0.00000000,0.26628710,0.07855460,0.00003715,0.28835453
-5.88594297,0.54484227,0.00287000,0.00000000,0.26158914,0.07867502,0.00002765,0.28754166
-5.87993997,0.53741170,0.00300603,0.00000000,0.25578220,0.07852147,0.00002044,0.28566358
-5.87393697,0.52809572,0.00314438,0.00000000,0.24901170,0.07811815,0.00001500,0.28282728
-5.86793397,0.51715490,0.00327934,0.00000000,0.24143393,0.07749229,0.00001093,0.27915065
-5.86193097,0.50486408,0.00340580,0.00000000,0.23321079,0.07667310,0.00000791,0.27475815
-5.85592796,0.49150275,0.00351929,0.00000000,0.22450463,0.07569062,0.00000568,0.26977650
-5.84992496,0.47734603,0.00361596,0.00000000,0.21547345,0.07457466,0.00000405,0.26433054
-5.84392196,0.46265643,0.00369262,0.00000000,0.20626665,0.07335390,0.00000287,0.25853951
-5.83791896,0.44767681,0.00374673,0.00000000,0.19702137,0.07205492,0.00000202,0.25251369
-5.83191596,0.43262451,0.00377645,0.00000000,0.18785960,0.07070156,0.00000141,0.24635169
-5.82591296,0.41768698,0.00378060,0.00000000,0.17888608,0.06931432,0.00000098,0.24013828
