energy_ev,total_up,total_down,Al_p_up,Al_p_down,Al_d_up,Al_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.09686646,-0.09686646,0.00215315,-0.00215315,0.00000000,-0.00000000,0.05415652,-0.05415652,0.01777183,-0.01777183,0.00037038,-0.00037038,0.02076162,-0.02076162
-5.99399700,0.08493171,-0.08493171,0.00169684,-0.00169684,0.00000000,-0.00000000,0.04830562,-0.04830562,0.01563049,-0.01563049,0.00032075,-0.00032075,0.01786466,-0.01786466
-5.98799400,0.07407517,-0.07407517,0.00132868,-0.00132868,0.00000000,-0.00000000,0.04279859,-0.04279859,0.01366830,-0.01366830,0.00027630,-0.00027630,0.01530896,-0.01530896
-5.98199100,0.06425720,-0.06425720,0.00103420,-0.00103420,0.00000000,-0.00000000,0.03766404,-0.03766404,0.01188282,-0.01188282,0.00023674,-0.00023674,0.01306323,-0.01306323
-5.97598799,0.05543241,-0.05543241,0.00080087,-0.00080087,0.00000000,-0.00000000,0.03292101,-0.03292101,0.01026967,-0.01026967,0.00020175,-0.00020175,0.01109804,-0.01109804
-5.96998499,0.04755031,-0.04755031,0.00061799,-0.00061799,0.00000000,-0.00000000,0.02857946,-0.02857946,0.00882276,-0.00882276,0.00017103,-0.00017103,0.00938586,-0.00938586
-5.96398199,0.04055620,-0.04055620,0.00047656,-0.00047656,0.00000000,-0.00000000,0.02464098,-0.02464098,0.00753457,-0.00753457,0.00014425,-0.00014425,0.00790102,-0.00790102
-5.95797899,0.03439215,-0.03439215,0.00036917,-0.00036917,0.00000000,-0.00000000,0.02109973,-0.02109973,0.00639642,-0.00639642,0.00012107,-0.00012107,0.00661971,-0.00661971
-5.95197599,0.02899808,-0.02899808,0.00028986,-0.00028986,0.00000000,-0.00000000,0.01794349,-0.01794349,0.00539875,-0.00539875,0.00010117,-0.00010117,0.00551989,-0.00551989
-5.94597299,0.02431292,-0.02431292,0.00023399,-0.00023399,0.00000000,-0.00000000,0.01515484,-0.01515484,0.00453151,-0.00453151,0.00008427,-0.00008427,0.00458133,-0.00458133
-5.93996998,0.02027575,-0.02027575,0.00019815,-0.00019815,0.00000000,-0.00000000,0.01271228,-0.01271228,0.00378438,-0.00378438,0.00007006,-0.00007006,0.00378548,-0.00378548
-5.93396698,0.01682694,-0.01682694,0.00018004,-0.00018004,0.00000000,-0.00000000,0.01059136,-0.01059136,0.00314711,-0.00314711,0.00005830,-0.00005830,0.00311552,-0.00311552
-5.92796398,0.01390922,-0.01390922,0.00017845,-0.00017845,0.00000000,-0.00000000,0.00876578,-0.00876578,0.00260975,-0.00260975,0.00004877,-0.00004877,0.00255630,-0.00255630
-5.92196098,0.01146860,-0.01146860,0.00019318,-0.00019318,0.00000000,-0.00000000,0.00720833,-0.00720833,0.00216296,-0.00216296,0.00004126,-0.00004126,0.00209430,-0.00209430
-5.91595798,0.00945528,-0.00945528,0.00022501,-0.00022501,0.00000000,-0.00000000,0.00589178,-0.00589178,0.00179817,-0.00179817,0.00003562,-0.00003562,0.00171764,-0.00171764
-5.90995498,0.00782439,-0.00782439,0.00027575,-0.00027575,0.00000000,-0.00000000,0.00478954,-0.00478954,0.00150777,-0.00150777,0.00003176,-0.00003176,0.00141602,-0.00141602
-5.90395198,0.00653652,-0.00653652,0.00034825,-0.00034825,0.00000000,-0.00000000,0.00387632,-0.00387632,0.00128532,-0.00128532,0.00002961,-0.00002961,0.00118075,-0.00118075
-5.89794897,0.00555826,-0.00555826,0.00044642,-0.00044642,0.00000000,-0.00000000,0.00312853,-0.00312853,0.00112561,-0.00112561,0.00002915,-0.00002915,0.00100466,-0.00100466
-5.89194597,0.00486254,-0.00486254,0.00057534,-0.00057534,0.00000000,-0.00000000,0.00252464,-0.00252464,0.00102482,-0.00102482,0.00003044,-0.00003044,0.00088210,-0.00088210
-5.88594297,0.00442880,-0.00442880,0.00074128,-0.00074128,0.00000000,-0.00000000,0.00204536,-0.00204536,0.00098054,-0.00098054,0.00003355,-0.00003355,0.00080893,-0.00080893
-5.87993997,0.00424317,-0.00424317,0.00095181,-0.00095181,0.00000000,-0.00000000,0.00167380,-0.00167380,0.00099187,-0.00099187,0.00003866,-0.00003866,0.00078243,-0.00078243
-5.87393697,0.00429840,-0.00429840,0.00121583,-0.00121583,0.00000000,-0.00000000,0.00139545,-0.00139545,0.00105940,-0.00105940,0.00004597,-0.00004597,0.00080129,-0.00080129
-5.86793397,0.00459382,-0.00459382,0.00154362,-0.00154362,0.00000000,-0.00000000,0.00119814,-0.00119814,0.00118522,-0.00118522,0.00005575,-0.00005575,0.00086557,-0.00086557
-5.86193097,0.00513505,-0.00513505,0.00194687,-0.00194687,0.00000000,-0.00000000,0.00107198,-0.00107198,0.00137289,-0.00137289,0.00006833,-0.00006833,0.00097661,-0.00097661
-5.85592796,0.00593372,-0.00593372,0.00243859,-0.00243859,0.00000000,-0.00000000,0.00100916,-0.00100916,0.00162735,-0.00162735,0.00008411,-0.00008411,0.00113696,-0.00113696
