energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.50354542,0.09446754,0.00000000,0.07551850,0.60656649,0.52916399,0.24315216
-5.99399700,1.50747202,0.09389327,0.00000000,0.07514657,0.61005629,0.53209738,0.24508914
-5.98799400,1.51118532,0.09315955,0.00000000,0.07472410,0.61421751,0.53425454,0.24698525
-5.98199100,1.51496877,0.09230164,0.00000000,0.07427180,0.61912680,0.53570778,0.24885899
-5.97598799,1.51903929,0.09135275,0.00000000,0.07380700,0.62482541,0.53652122,0.25071816
-5.96998499,1.52354063,0.09034311,0.00000000,0.07334322,0.63131849,0.53674853,0.25255947
-5.96398199,1.52853956,0.08929916,0.00000000,0.07288981,0.63857522,0.53643157,0.25436853
-5.95797899,1.53402508,0.08824304,0.00000000,0.07245184,0.64652993,0.53559968,0.25612035
-5.95197599,1.53991040,0.08719218,0.00000000,0.07203018,0.65508391,0.53426979,0.25778020
-5.94597299,1.54603762,0.08615925,0.00000000,0.07162169,0.66410800,0.53244729,0.25930481
-5.93996998,1.55218476,0.08515216,0.00000000,0.07121962,0.67344573,0.53012747,0.26064393
-5.93396698,1.55807493,0.08417436,0.00000000,0.07081413,0.68291705,0.52729759,0.26174214
-5.92796398,1.56338713,0.08322526,0.00000000,0.07039287,0.69232249,0.52393926,0.26254077
-5.92196098,1.56776831,0.08230073,0.00000000,0.06994170,0.70144776,0.52003112,0.26297999
-5.91595798,1.57084625,0.08139379,0.00000000,0.06944537,0.71006857,0.51555160,0.26300089
-5.90995498,1.57224278,0.08049522,0.00000000,0.06888826,0.71795579,0.51048164,0.26254758
-5.90395198,1.57158686,0.07959434,0.00000000,0.06825513,0.72488069,0.50480709,0.26156906
-5.89794897,1.56852718,0.07867966,0.00000000,0.06753171,0.73062025,0.49852088,0.26002108
-5.89194597,1.56274373,0.07773953,0.00000000,0.06670536,0.73496242,0.49162458,0.25786759
-5.88594297,1.55395814,0.07676278,0.00000000,0.06576551,0.73771120,0.48412952,0.25508207
-5.87993997,1.54194230,0.07573912,0.00000000,0.06470413,0.73869145,0.47605718,0.25164847
-5.87393697,1.52652513,0.07465962,0.00000000,0.06351595,0.73775320,0.46743900,0.24756179
-5.86793397,1.50759732,0.07351697,0.00000000,0.06219865,0.73477543,0.45831560,0.24282838
-5.86193097,1.48511387,0.07230561,0.00000000,0.06075293,0.72966920,0.44873533,0.23746581
-5.85592796,1.45909452,0.07102184,0.00000000,0.05918244,0.72237993,0.43875249,0.23150247
-5.84992496,1.42962200,0.06966373,0.00000000,0.05749362,0.71288880,0.42842512,0.22497679
-5.84392196,1.39683856,0.06823103,0.00000000,0.05569542,0.70121324,0.41781260,0.21793624
-5.83791896,1.36094064,0.06672494,0.00000000,0.05379906,0.68740651,0.40697327,0.21043604
-5.83191596,1.32217237,0.06514790,0.00000000,0.05181757,0.67155628,0.39596215,0.20253776
-5.82591296,1.28081800,0.06350327,0.00000000,0.04976547,0.65378241,0.38482897,0.19430774
-5.81990995,1.23719382,0.06179513,0.00000000,0.04765830,0.63423401,0.37361667,0.18581556
-5.81390695,1.19163990,0.06002801,0.00000000,0.04551224,0.61308577,0.36236039,0.17713238
-5.80790395,1.14451208,0.05820669,0.00000000,0.04334375,0.59053399,0.35108720,0.16832953
-5.80190095,1.09617451,0.05633608,0.00000000,0.04116921,0.56679216,0.33981646,0.15947710
-5.79589795,1.04699305,0.05442113,0.00000000,0.03900463,0.54208652,0.32856083,0.15064280
-5.78989495,0.99732982,0.05246685,0.00000000,0.03686544,0.51665165,0.31732791,0.14189093
-5.78389195,0.94753883,0.05047834,0.00000000,0.03476633,0.49072625,0.30612244,0.13328168
-5.77788894,0.89796291,0.04846098,0.00000000,0.03272112,0.46454920,0.29494874,0.12487060
-5.77188594,0.84893177,0.04642052,0.00000000,0.03074271,0.43835610,0.28381349,0.11670831
-5.76588294,0.80076110,0.04436336,0.00000000,0.02884310,0.41237617,0.27272843,0.10884042
-5.75987994,0.75375243,0.04229670,0.00000000,0.02703337,0.38682976,0.26171288,0.10130759
-5.75387694,0.70819359,0.04022878,0.00000000,0.02532376,0.36192613,0.25079592,0.09414576
-5.74787394,0.66435941,0.03816904,0.00000000,0.02372369,0.33786187,0.24001801,0.08738645
-5.74187094,0.62251245,0.03612825,0.00000000,0.02224183,0.31481948,0.22943200,0.08105704
-5.73586793,0.58290341,0.03411857,0.00000000,0.02088609,0.29296634,0.21910325,0.07518119
-5.72986493,0.54577110,0.03215357,0.00000000,0.01966362,0.27245385,0.20910910,0.06977905
-5.72386193,0.51134178,0.03024815,0.00000000,0.01858075,0.25341669,0.19953744,0.06486750
-5.71785893,0.47982772,0.02841837,0.00000000,0.01764291,0.23597210,0.19048455,0.06046031
-5.71185593,0.45142502,0.02668127,0.00000000,0.01685450,0.22021924,0.18205225,0.05656807
-5.70585293,0.42631069,0.02505458,0.00000000,0.01621872,0.20623849,0.17434460,0.05319818
-5.69984992,0.40463920,0.02355640,0.00000000,0.01573737,0.19409067,0.16746417,0.05035462
-5.69384692,0.38653851,0.02220483,0.00000000,0.01541064,0.18381639,0.16150810,0.04803767
-5.68784392,0.37210590,0.02101757,0.00000000,0.01523690,0.17543528,0.15656422,0.04624360
-5.68184092,0.36140381,0.02001155,0.00000000,0.01521254,0.16894542,0.15270731,0.04496435
-5.67583792,0.35445592,0.01920248,0.00000000,0.01533175,0.16432285,0.14999571,0.04418716
-5.66983492,0.35124366,0.01860450,0.00000000,0.01558643,0.16152136,0.14846841,0.04389429
-5.66383192,0.35170346,0.01822972,0.00000000,0.01596616,0.16047245,0.14814282,0.04406285
-5.65782891,0.35572480,0.01808792,0.00000000,0.01645817,0.16108581,0.14901315,0.04466466
-5.65182591,0.36314930,0.01818618,0.00000000,0.01704746,0.16325002,0.15104960,0.04566629
-5.64582291,0.37377084,0.01852853,0.00000000,0.01771702,0.16683380,0.15419833,0.04702927
