energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.26355343,0.10902400,0.00000000,0.48672062,0.17566632,0.22728468,0.00000000
-5.99399700,1.27912940,0.11122067,0.00000000,0.49925551,0.17644976,0.22905060,0.00000000
-5.98799400,1.29016931,0.11300209,0.00000000,0.50959894,0.17662193,0.23099736,0.00000000
-5.98199100,1.29661312,0.11435921,0.00000000,0.51756945,0.17620731,0.23321269,0.00000000
-5.97598799,1.29851540,0.11529271,0.00000000,0.52304275,0.17524353,0.23580110,0.00000000
-5.96998499,1.29604847,0.11581336,0.00000000,0.52595675,0.17378113,0.23888231,0.00000000
-5.96398199,1.28950215,0.11594210,0.00000000,0.52631450,0.17188293,0.24258903,0.00000000
-5.95797899,1.27927973,0.11570985,0.00000000,0.52418501,0.16962297,0.24706422,0.00000000
-5.95197599,1.26589003,0.11515685,0.00000000,0.51970181,0.16708520,0.25245777,0.00000000
-5.94597299,1.24993565,0.11433177,0.00000000,0.51305922,0.16436166,0.25892272,0.00000000
-5.93996998,1.23209747,0.11329036,0.00000000,0.50450650,0.16155044,0.26661104,0.00000000
-5.93396698,1.21311597,0.11209393,0.00000000,0.49433995,0.15875319,0.27566906,0.00000000
-5.92796398,1.19376978,0.11080741,0.00000000,0.48289355,0.15607254,0.28623260,0.00000000
-5.92196098,1.17485223,0.10949738,0.00000000,0.47052812,0.15360916,0.29842209,0.00000000
-5.91595798,1.15714676,0.10822989,0.00000000,0.45761989,0.15145889,0.31233758,0.00000000
-5.90995498,1.14140204,0.10706831,0.00000000,0.44454851,0.14970980,0.32805399,0.00000000
-5.90395198,1.12830776,0.10607121,0.00000000,0.43168538,0.14843938,0.34561673,0.00000000
-5.89794897,1.11847214,0.10529039,0.00000000,0.41938240,0.14771193,0.36503772,0.00000000
-5.89194597,1.11240188,0.10476923,0.00000000,0.40796181,0.14757640,0.38629219,0.00000000
-5.88594297,1.11048546,0.10454122,0.00000000,0.39770737,0.14806450,0.40931623,0.00000000
-5.87993997,1.11298040,0.10462896,0.00000000,0.38885713,0.14918944,0.43400537,0.00000000
-5.87393697,1.12000494,0.10504354,0.00000000,0.38159803,0.15094521,0.46021417,0.00000000
-5.86793397,1.13153447,0.10578429,0.00000000,0.37606241,0.15330646,0.48775699,0.00000000
-5.86193097,1.14740279,0.10683902,0.00000000,0.37232645,0.15622905,0.51640994,0.00000000
-5.85592796,1.16730805,0.10818468,0.00000000,0.37041048,0.15965122,0.54591399,0.00000000
-5.84992496,1.19082311,0.10978829,0.00000000,0.37028094,0.16349531,0.57597917,0.00000000
-5.84392196,1.21740990,0.11160833,0.00000000,0.37185397,0.16767010,0.60628987,0.00000000
-5.83791896,1.24643695,0.11359625,0.00000000,0.37500020,0.17207350,0.63651090,0.00000000
-5.83191596,1.27719968,0.11569825,0.00000000,0.37955065,0.17659566,0.66629436,0.00000000
-5.82591296,1.30894228,0.11785709,0.00000000,0.38530331,0.18112228,0.69528688,0.00000000
-5.81990995,1.34088071,0.12001396,0.00000000,0.39203032,0.18553804,0.72313722,0.00000000
-5.81390695,1.37222562,0.12211026,0.00000000,0.39948533,0.18973005,0.74950385,0.00000000
-5.80790395,1.40220470,0.12408928,0.00000000,0.40741094,0.19359107,0.77406230,0.00000000
-5.80190095,1.43008357,0.12589764,0.00000000,0.41554599,0.19702257,0.79651215,0.00000000
-5.79589795,1.45518466,0.12748656,0.00000000,0.42363255,0.19993744,0.81658337,0.00000000
-5.78989495,1.47690365,0.12881277,0.00000000,0.43142246,0.20226216,0.83404195,0.00000000
-5.78389195,1.49472299,0.12983927,0.00000000,0.43868341,0.20393863,0.84869461,0.00000000
-5.77788894,1.50822257,0.13053569,0.00000000,0.44520439,0.20492539,0.86039263,0.00000000
-5.77188594,1.51708716,0.13087848,0.00000000,0.45080058,0.20519830,0.86903470,0.00000000
-5.76588294,1.52111103,0.13085084,0.00000000,0.45531754,0.20475077,0.87456884,0.00000000
-5.75987994,1.52019959,0.13044245,0.00000000,0.45863474,0.20359345,0.87699336,0.00000000
-5.75387694,1.51436858,0.12964908,0.00000000,0.46066839,0.20175349,0.87635703,0.00000000
-5.74787394,1.50374090,0.12847213,0.00000000,0.46137347,0.19927341,0.87275839,0.00000000
-5.74187094,1.48854145,0.12691809,0.00000000,0.46074505,0.19620974,0.86634434,0.00000000
-5.73586793,1.46909023,0.12499796,0.00000000,0.45881869,0.19263126,0.85730800,0.00000000
-5.72986493,1.44579397,0.12272684,0.00000000,0.45566995,0.18861723,0.84588585,0.00000000
-5.72386193,1.41913639,0.12012339,0.00000000,0.45141292,0.18425531,0.83235420,0.00000000
-5.71785893,1.38966737,0.11720947,0.00000000,0.44619770,0.17963956,0.81702482,0.00000000
-5.71185593,1.35799089,0.11400982,0.00000000,0.44020685,0.17486824,0.80023987,0.00000000
-5.70585293,1.32475200,0.11055176,0.00000000,0.43365065,0.17004168,0.78236586,0.00000000
-5.69984992,1.29062270,0.10686494,0.00000000,0.42676138,0.16526007,0.76378684,0.00000000
-5.69384692,1.25628680,0.10298108,0.00000000,0.41978645,0.16062128,0.74489657,0.00000000
-5.68784392,1.22242392,0.09893372,0.00000000,0.41298076,0.15621865,0.72608987,0.00000000
-5.68184092,1.18969263,0.09475788,0.00000000,0.40659824,0.15213881,0.70775323,0.00000000
-5.67583792,1.15871319,0.09048971,0.00000000,0.40088285,0.14845957,0.69025467,0.00000000
-5.66983492,1.13005004,0.08616597,0.00000000,0.39605949,0.14524780,0.67393346,0.00000000
-5.66383192,1.10419469,0.08182350,0.00000000,0.39232488,0.14255752,0.65908956,0.00000000
-5.65782891,1.08154947,0.07749863,0.00000000,0.38983900,0.14042811,0.64597362,0.00000000
-5.65182591,1.06241289,0.07322641,0.00000000,0.38871738,0.13888278,0.63477764,0.00000000
-5.64582291,1.04696722,0.06903996,0.00000000,0.38902464,0.13792738,0.62562699,0.00000000
-5.63981991,1.03526918,0.06496970,0.00000000,0.39076965,0.13754961,0.61857411,0.00000000
-5.63381691,1.02724421,0.06104268,0.00000000,0.39390257,0.13771867,0.61359445,0.00000000
-5.62781391,1.02268504,0.05728193,0.00000000,0.39831417,0.13838558,0.61058498,0.00000000
-5.62181091,1.02125493,0.05370605,0.00000000,0.40383735,0.13948399,0.60936543,0.00000000
-5.61580790,1.02249579,0.05032874,0.00000000,0.41025113,0.14093166,0.60968272,0.00000000
-5.60980490,1.02584125,0.04715873,0.00000000,0.41728697,0.14263263,0.61121819,0.00000000
-5.60380190,1.03063431,0.04419973,0.00000000,0.42463720,0.14447985,0.61359782,0.00000000
-5.59779890,1.03614914,0.04145065,0.00000000,0.43196533,0.14635848,0.61640497,0.00000000
-5.59179590,1.04161630,0.03890602,0.00000000,0.43891785,0.14814954,0.61919517,0.00000000
-5.58579290,1.04625025,0.03655649,0.00000000,0.44513698,0.14973382,0.62151248,0.00000000
-5.57978989,1.04927831,0.03438961,0.00000000,0.45027393,0.15099604,0.62290667,0.00000000
-5.57378689,1.04996954,0.03239057,0.00000000,0.45400200,0.15182885,0.62295050,0.00000000
-5.56778389,1.04766254,0.03054315,0.00000000,0.45602900,0.15213674,0.62125633,0.00000000
-5.56178089,1.04179071,0.02883058,0.00000000,0.45610844,0.15183955,0.61749135,0.00000000
-5.55577789,1.03190421,0.02723648,0.00000000,0.45404902,0.15087543,0.61139079,0.00000000
-5.54977489,1.01768725,0.02574566,0.00000000,0.44972201,0.14920322,0.60276844,0.00000000
-5.54377189,0.99897054,0.02434495,0.00000000,0.44306622,0.14680404,0.59152427,0.00000000
-5.53776888,0.97573796,0.02302380,0.00000000,0.43409043,0.14368213,0.57764866,0.00000000
-5.53176588,0.94812776,0.02177483,0.00000000,0.42287323,0.13986485,0.56122332,0.00000000
-5.52576288,0.91642815,0.02059423,0.00000000,0.40956044,0.13540191,0.54241896,0.00000000
-5.51975988,0.88106779,0.01948201,0.00000000,0.39436012,0.13036387,0.52148988,0.00000000
-5.51375688,0.84260188,0.01844206,0.00000000,0.37753578,0.12484000,0.49876591,0.00000000
-5.50775388,0.80169457,0.01748219,0.00000000,0.35939792,0.11893565,0.47464221,0.00000000
-5.50175088,0.75909865,0.01661395,0.00000000,0.34029450,0.11276921,0.44956737,0.00000000
-5.49574787,0.71563353,0.01585237,0.00000000,0.32060072,0.10646882,0.42403060,0.00000000
-5.48974487,0.67216251,0.01521563,0.00000000,0.30070861,0.10016902,0.39854824,0.00000000
-5.48374187,0.62957008,0.01472460,0.00000000,0.28101685,0.09400737,0.37365053,0.00000000
-5.47773887,0.58874018,0.01440239,0.00000000,0.26192108,0.08812124,0.34986867,0.00000000
-5.47173587,0.55053601,0.01427370,0.00000000,0.24380515,0.08264477,0.32772292,0.00000000
-5.46573287,0.51578172,0.01436426,0.00000000,0.22703338,0.07770616,0.30771160,0.00000000
-5.45972986,0.48524628,0.01470010,0.00000000,0.21194403,0.07342519,0.29030153,0.00000000
-5.45372686,0.45962972,0.01530681,0.00000000,0.19884391,0.06991110,0.27591960,0.00000000
-5.44772386,0.43955148,0.01620873,0.00000000,0.18800424,0.06726079,0.26494564,0.00000000
-5.44172086,0.42554088,0.01742813,0.00000000,0.17965753,0.06555723,0.25770645,0.00000000
-5.43571786,0.41802932,0.01898423,0.00000000,0.17399551,0.06486815,0.25447082,0.00000000
-5.42971486,0.41734411,0.02089236,0.00000000,0.17116774,0.06524496,0.25544537,0.00000000
-5.42371186,0.42370363,0.02316295,0.00000000,0.17128102,0.06672177,0.26077122,0.00000000
-5.41770885,0.43721361,0.02580062,0.00000000,0.17439926,0.06931470,0.27052127,0.00000000
-5.41170585,0.45786463,0.02880329,0.00000000,0.18054387,0.07302119,0.28469810,0.00000000
-5.40570285,0.48553065,0.03216142,0.00000000,0.18969454,0.07781965,0.30323264,0.00000000
-5.39969985,0.51996897,0.03585726,0.00000000,0.20179036,0.08366924,0.32598355,0.00000000
-5.39369685,0.56082165,0.03986448,0.00000000,0.21673147,0.09050986,0.35273766,0.00000000
-5.38769385,0.60761879,0.04414779,0.00000000,0.23438109,0.09826264,0.38321151,0.00000000
-5.38169085,0.65978400,0.04866307,0.00000000,0.25456817,0.10683060,0.41705433,0.00000000
-5.37568784,0.71664231,0.05335760,0.00000000,0.27709062,0.11609989,0.45385261,0.00000000
-5.36968484,0.77743081,0.05817075,0.00000000,0.30171920,0.12594149,0.49313640,0.00000000
-5.36368184,0.84131207,0.06303499,0.00000000,0.32820208,0.13621339,0.53438746,0.00000000
-5.35767884,0.90739033,0.06787718,0.00000000,0.35627006,0.14676324,0.57704920,0.00000000
-5.35167584,0.97473025,0.07262025,0.00000000,0.38564226,0.15743161,0.62053828,0.00000000
-5.34567284,1.04237769,0.07718508,0.00000000,0.41603218,0.16805546,0.66425760,0.00000000
-5.33966983,1.10938194,0.08149263,0.00000000,0.44715391,0.17847205,0.70761022,0.00000000
-5.33366683,1.17481860,0.08546618,0.00000000,0.47872813,0.18852294,0.75001377,0.00000000
-5.32766383,1.23781215,0.08903357,0.00000000,0.51048767,0.19805802,0.79091473,0.00000000
-5.32166083,1.29755709,0.09212949,0.00000000,0.54218219,0.20693931,0.82980185,0.00000000
-5.31565783,1.35333683,0.09469743,0.00000000,0.57358185,0.21504451,0.86621818,0.00000000
-5.30965483,1.40453910,0.09669154,0.00000000,0.60447952,0.22226992,0.89977098,0.00000000
-5.30365183,1.45066731,0.09807805,0.00000000,0.63469146,0.22853276,0.93013908,0.00000000
-5.29764882,1.49134706,0.09883630,0.00000000,0.66405636,0.23377268,0.95707718,0.00000000
-5.29164582,1.52632761,0.09895928,0.00000000,0.69243272,0.23795242,0.98041701,0.00000000
-5.28564282,1.55547810,0.09845372,0.00000000,0.71969483,0.24105754,1.00006522,0.00000000
-5.27963982,1.57877904,0.09733960,0.00000000,0.74572756,0.24309535,1.01599821,0.00000000
-5.27363682,1.59630951,0.09564934,0.00000000,0.77042036,0.24409305,1.02825427,0.00000000
-5.26763382,1.60823093,0.09342636,0.00000000,0.79366100,0.24409512,1.03692364,0.00000000
-5.26163082,1.61476867,0.09072348,0.00000000,0.81532957,0.24316036,1.04213705,0.00000000
-5.25562781,1.61619260,0.08760094,0.00000000,0.83529327,0.24135850,1.04405374,0.00000000
-5.24962481,1.61279789,0.08412429,0.00000000,0.85340266,0.23876681,1.04284953,0.00000000
-5.24362181,1.60488744,0.08036220,0.00000000,0.86948964,0.23546674,1.03870594,0.00000000
-5.23761881,1.59275691,0.07638435,0.00000000,0.88336767,0.23154090,1.03180097,0.00000000
-5.23161581,1.57668332,0.07225942,0.00000000,0.89483435,0.22707051,1.02230216,0.00000000
-5.22561281,1.55691792,0.06805324,0.00000000,0.90367645,0.22213344,1.01036226,0.00000000
-5.21960980,1.53368343,0.06382737,0.00000000,0.90967716,0.21680282,0.99611777,0.00000000
-5.21360680,1.50717580,0.05963780,0.00000000,0.91262531,0.21114646,0.97969018,0.00000000
