energy_ev,total_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.75406797,0.03402396,0.00000000,0.47887600,0.00000000,0.40898987,0.20389848
-5.99399700,0.76037835,0.03524656,0.00000000,0.48094777,0.00000000,0.41091223,0.20485518
-5.98799400,0.76833227,0.03674113,0.00000000,0.48373907,0.00000000,0.41348919,0.20619842
-5.98199100,0.77812520,0.03851923,0.00000000,0.48733926,0.00000000,0.41698352,0.20796085
-5.97598799,0.78995553,0.04059125,0.00000000,0.49183869,0.00000000,0.42168056,0.21017380
-5.96998499,0.80401797,0.04296610,0.00000000,0.49732513,0.00000000,0.42788127,0.21286594
-5.96398199,0.82049642,0.04565075,0.00000000,0.50388014,0.00000000,0.43589411,0.21606182
-5.95797899,0.83955657,0.04864987,0.00000000,0.51157535,0.00000000,0.44602611,0.21978049
-5.95197599,0.86133851,0.05196523,0.00000000,0.52046908,0.00000000,0.45857322,0.22403423
-5.94597299,0.88594956,0.05559531,0.00000000,0.53060323,0.00000000,0.47381008,0.22882740
-5.93996998,0.91345725,0.05953466,0.00000000,0.54200048,0.00000000,0.49197952,0.23415548
-5.93396698,0.94388288,0.06377343,0.00000000,0.55466194,0.00000000,0.51328188,0.24000431
-5.92796398,0.97719528,0.06829676,0.00000000,0.56856508,0.00000000,0.53786445,0.24634950
-5.92196098,1.01330517,0.07308436,0.00000000,0.58366195,0.00000000,0.56581117,0.25315595
-5.91595798,1.05205997,0.07810997,0.00000000,0.59987762,0.00000000,0.59713304,0.26037753
-5.90995498,1.09323915,0.08334097,0.00000000,0.61710881,0.00000000,0.63175940,0.26795680
-5.90395198,1.13655046,0.08873815,0.00000000,0.63522266,0.00000000,0.66953070,0.27582494
-5.89794897,1.18162707,0.09425548,0.00000000,0.65405582,0.00000000,0.71019285,0.28390164
-5.89194597,1.22802607,0.09984017,0.00000000,0.67341373,0.00000000,0.75339398,0.29209521
-5.88594297,1.27522875,0.10543286,0.00000000,0.69307050,0.00000000,0.79868375,0.30030285
-5.87993997,1.32264285,0.11096812,0.00000000,0.71276941,0.00000000,0.84551574,0.30841117
-5.87393697,1.36960751,0.11637514,0.00000000,0.73222430,0.00000000,0.89325324,0.31629707
-5.86793397,1.41540099,0.12157879,0.00000000,0.75112211,0.00000000,0.94117870,0.32382898
-5.86193097,1.45925166,0.12650090,0.00000000,0.76912676,0.00000000,0.98850678,0.33086863
-5.85592796,1.50035222,0.13106183,0.00000000,0.78588446,0.00000000,1.03440113,0.33727334
-5.84992496,1.53787717,0.13518235,0.00000000,0.80103063,0.00000000,1.07799429,0.34289888
-5.84392196,1.57100322,0.13878565,0.00000000,0.81419825,0.00000000,1.11841059,0.34760290
-5.83791896,1.59893218,0.14179956,0.00000000,0.82502772,0.00000000,1.15479095,0.35124879
-5.83191596,1.62091553,0.14415875,0.00000000,0.83317766,0.00000000,1.18631905,0.35370994
-5.82591296,1.63627982,0.14580700,0.00000000,0.83833659,0.00000000,1.21224763,0.35487432
-5.81990995,1.64445179,0.14669924,0.00000000,0.84023481,0.00000000,1.23192386,0.35464896
-5.81390695,1.64498210,0.14680349,0.00000000,0.83865598,0.00000000,1.24481273,0.35296441
-5.80790395,1.63756639,0.14610230,0.00000000,0.83344789,0.00000000,1.25051730,0.34977874
-5.80190095,1.62206266,0.14459397,0.00000000,0.82453174,0.00000000,1.24879474,0.34508096
-5.79589795,1.59850390,0.14229313,0.00000000,0.81190951,0.00000000,1.23956756,0.33889366
-5.78989495,1.56710524,0.13923093,0.00000000,0.79566878,0.00000000,1.22292918,0.33127462
-5.78389195,1.52826502,0.13545458,0.00000000,0.77598489,0.00000000,1.19914368,0.32231742
-5.77788894,1.48255962,0.13102638,0.00000000,0.75312002,0.00000000,1.16863963,0.31215073
-5.77188594,1.43073217,0.12602228,0.00000000,0.72741922,0.00000000,1.13199822,0.30093655
-5.76588294,1.37367538,0.12052994,0.00000000,0.69930351,0.00000000,1.08993620,0.28886727
-5.75987994,1.31240937,0.11464644,0.00000000,0.66926030,0.00000000,1.04328453,0.27616166
-5.75387694,1.24805532,0.10847571,0.00000000,0.63783138,0.00000000,0.99296346,0.26306003
-5.74787394,1.18180609,0.10212580,0.00000000,0.60559916,0.00000000,0.93995540,0.24981866
-5.74187094,1.11489502,0.09570612,0.00000000,0.57317164,0.00000000,0.88527654,0.23670382
-5.73586793,1.04856425,0.08932472,0.00000000,0.54116667,0.00000000,0.82994854,0.22398551
-5.72986493,0.98403363,0.08308577,0.00000000,0.51019624,0.00000000,0.77497135,0.21193122
-5.72386193,0.92247166,0.07708727,0.00000000,0.48085118,0.00000000,0.72129820,0.20079988
-5.71785893,0.86496906,0.07141918,0.00000000,0.45368711,0.00000000,0.66981349,0.19083626
-5.71185593,0.81251620,0.06616188,0.00000000,0.42921177,0.00000000,0.62131449,0.18226587
-5.70585293,0.76598457,0.06138511,0.00000000,0.40787426,0.00000000,0.57649695,0.17529066
