energy_ev,total_up,Ag_p_up,Ag_d_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up
-6.00000000,5.25191817,0.39505716,4.77296607,0.08476085,0.00000000,0.28773877,0.00000000
-5.99399700,5.18650424,0.39832171,4.70639629,0.08214101,0.00000000,0.29161459,0.00000000
-5.98799400,5.10833132,0.40115345,4.62777987,0.07945345,0.00000000,0.29489704,0.00000000
-5.98199100,5.01858696,0.40355611,4.53827027,0.07672565,0.00000000,0.29758014,0.00000000
-5.97598799,4.91867289,0.40553191,4.43922949,0.07398493,0.00000000,0.29966477,0.00000000
-5.96998499,4.81016178,0.40708082,4.33218629,0.07125802,0.00000000,0.30115795,0.00000000
-5.96398199,4.69474919,0.40820016,4.21878981,0.06857053,0.00000000,0.30207202,0.00000000
-5.95797899,4.57420319,0.40888448,4.10076066,0.06594652,0.00000000,0.30242377,0.00000000
-5.95197599,4.45031394,0.40912587,3.97984196,0.06340819,0.00000000,0.30223356,0.00000000
-5.94597299,4.32484559,0.40891476,3.85775232,0.06097552,0.00000000,0.30152453,0.00000000
-5.93996998,4.19949247,0.40824104,3.73614290,0.05866615,0.00000000,0.30032190,0.00000000
-5.93396698,4.07584138,0.40709568,3.61656013,0.05649527,0.00000000,0.29865252,0.00000000
-5.92796398,3.95534124,0.40547256,3.50041543,0.05447562,0.00000000,0.29654452,0.00000000
-5.92196098,3.83928086,0.40337059,3.38896264,0.05261770,0.00000000,0.29402720,0.00000000
-5.91595798,3.72877528,0.40079588,3.28328367,0.05092993,0.00000000,0.29113115,0.00000000
-5.90995498,3.62476033,0.39776387,3.18428210,0.04941896,0.00000000,0.28788849,0.00000000
-5.90395198,3.52799499,0.39430123,3.09268436,0.04809009,0.00000000,0.28433326,0.00000000
-5.89794897,3.43907039,0.39044743,3.00904740,0.04694760,0.00000000,0.28050189,0.00000000
-5.89194597,3.35842419,0.38625585,2.93377184,0.04599518,0.00000000,0.27643365,0.00000000
-5.88594297,3.28635889,0.38179425,2.86711908,0.04523630,0.00000000,0.27217113,0.00000000
-5.87993997,3.22306240,0.37714463,2.80923093,0.04467454,0.00000000,0.26776051,0.00000000
-5.87393697,3.16862922,0.37240227,2.76015023,0.04431381,0.00000000,0.26325175,0.00000000
-5.86793397,3.12308082,0.36767416,2.71984101,0.04415851,0.00000000,0.25869851,0.00000000
-5.86193097,3.08638373,0.36307658,2.68820687,0.04421357,0.00000000,0.25415784,0.00000000
-5.85592796,3.05846435,0.35873211,2.66510658,0.04448431,0.00000000,0.24968961,0.00000000
-5.84992496,3.03921961,0.35476604,2.65036601,0.04497625,0.00000000,0.24535566,0.00000000
-5.84392196,3.02852291,0.35130237,2.64378587,0.04569473,0.00000000,0.24121865,0.00000000
-5.83791896,3.02622539,0.34845944,2.64514508,0.04664442,0.00000000,0.23734079,0.00000000
-5.83191596,3.03215242,0.34634555,2.65419987,0.04782879,0.00000000,0.23378226,0.00000000
-5.82591296,3.04609606,0.34505450,2.67067887,0.04924940,0.00000000,0.23059960,0.00000000
-5.81990995,3.06780409,0.34466143,2.69427504,0.05090530,0.00000000,0.22784402,0.00000000
-5.81390695,3.09696659,0.34521906,2.72463500,0.05279224,0.00000000,0.22555972,0.00000000
-5.80790395,3.13320137,0.34675445,2.76134701,0.05490212,0.00000000,0.22378234,0.00000000
-5.80190095,3.17603928,0.34926654,2.80392860,0.05722234,0.00000000,0.22253759,0.00000000
-5.79589795,3.22491091,0.35272452,2.85181498,0.05973538,0.00000000,0.22184015,0.00000000
-5.78989495,3.27913574,0.35706711,2.90434937,0.06241849,0.00000000,0.22169290,0.00000000
-5.78389195,3.33791503,0.36220293,2.96077635,0.06524356,0.00000000,0.22208655,0.00000000
-5.77788894,3.40032924,0.36801185,3.02023901,0.06817728,0.00000000,0.22299969,0.00000000
-5.77188594,3.46534095,0.37434748,3.08178068,0.07118137,0.00000000,0.22439932,0.00000000
-5.76588294,3.53180352,0.38104052,3.14435169,0.07421324,0.00000000,0.22624184,0.00000000
-5.75987994,3.59847573,0.38790318,3.20682129,0.07722674,0.00000000,0.22847448,0.00000000
-5.75387694,3.66404232,0.39473427,3.26799476,0.08017315,0.00000000,0.23103713,0.00000000
-5.74787394,3.72713982,0.40132498,3.32663522,0.08300240,0.00000000,0.23386455,0.00000000
-5.74187094,3.78638691,0.40746506,3.38148955,0.08566435,0.00000000,0.23688882,0.00000000
-5.73586793,3.84041832,0.41294928,3.43131757,0.08811027,0.00000000,0.24004197,0.00000000
-5.72986493,3.88792084,0.41758384,3.47492331,0.09029424,0.00000000,0.24325870,0.00000000
-5.72386193,3.92767023,0.42119257,3.51118718,0.09217460,0.00000000,0.24647900,0.00000000
-5.71785893,3.95856717,0.42362265,3.53909778,0.09371527,0.00000000,0.24965061,0.00000000
-5.71185593,3.97967104,0.42474970,3.55778180,0.09488699,0.00000000,0.25273123,0.00000000
-5.70585293,3.99022983,0.42448196,3.56653101,0.09566828,0.00000000,0.25569030,0.00000000
-5.69984992,3.98970490,0.42276350,3.56482487,0.09604621,0.00000000,0.25851026,0.00000000
-5.69384692,3.97778957,0.41957625,3.55234792,0.09601689,0.00000000,0.26118730,0.00000000
-5.68784392,3.95442044,0.41494087,3.52900113,0.09558562,0.00000000,0.26373150,0.00000000
-5.68184092,3.91978121,0.40891638,3.49490662,0.09476680,0.00000000,0.26616630,0.00000000
-5.67583792,3.87429851,0.40159861,3.45040554,0.09358348,0.00000000,0.26852738,0.00000000
-5.66983492,3.81863002,0.39311752,3.39604924,0.09206668,0.00000000,0.27086098,0.00000000
-5.66383192,3.75364532,0.38363352,3.33258392,0.09025445,0.00000000,0.27322171,0.00000000
-5.65782891,3.68040019,0.37333292,3.26092942,0.08819069,0.00000000,0.27566992,0.00000000
-5.65182591,3.60010547,0.36242273,3.18215315,0.08592390,0.00000000,0.27826880,0.00000000
-5.64582291,3.51409164,0.35112494,3.09743988,0.08350578,0.00000000,0.28108131,0.00000000
-5.63981991,3.42377061,0.33967059,3.00805881,0.08098979,0.00000000,0.28416710,0.00000000
-5.63381691,3.33059612,0.32829367,2.91532915,0.07842980,0.00000000,0.28757950,0.00000000
-5.62781391,3.23602429,0.31722519,2.82058534,0.07587870,0.00000000,0.29136284,0.00000000
-5.62181091,3.14147568,0.30668759,2.72514335,0.07338725,0.00000000,0.29555006,0.00000000
-5.61580790,3.04830034,0.29688952,2.63026903,0.07100303,0.00000000,0.30016082,0.00000000
-5.60980490,2.95774679,0.28802126,2.53714982,0.06876951,0.00000000,0.30520023,0.00000000
-5.60380190,2.87093605,0.28025082,2.44687032,0.06672546,0.00000000,0.31065810,0.00000000
-5.59779890,2.78884135,0.27372075,2.36039280,0.06490441,0.00000000,0.31650889,0.00000000
-5.59179590,2.71227393,0.26854579,2.27854271,0.06333438,0.00000000,0.32271224,0.00000000
-5.58579290,2.64187510,0.26481129,2.20199966,0.06203782,0.00000000,0.32921416,0.00000000
-5.57978989,2.57811445,0.26257244,2.13129377,0.06103158,0.00000000,0.33594866,0.00000000
-5.57378689,2.52129384,0.26185419,2.06680710,0.06032715,0.00000000,0.34283988,0.00000000
-5.56778389,2.47155657,0.26265187,2.00877971,0.05993088,0.00000000,0.34980459,0.00000000
-5.56178089,2.42890086,0.26493241,1.95731981,0.05984432,0.00000000,0.35675478,0.00000000
-5.55577789,2.39319679,0.26863607,1.91241707,0.06006460,0.00000000,0.36360047,0.00000000
-5.54977489,2.36420554,0.27367857,1.87395828,0.06058474,0.00000000,0.37025245,0.00000000
-5.54377189,2.34159987,0.27995355,1.84174440,0.06139400,0.00000000,0.37662479,0.00000000
-5.53776888,2.32498471,0.28733520,1.81550796,0.06247821,0.00000000,0.38263722,0.00000000
-5.53176588,2.31391682,0.29568108,1.79492999,0.06381997,0.00000000,0.38821699,0.00000000
-5.52576288,2.30792255,0.30483499,1.77965555,0.06539887,0.00000000,0.39330046,0.00000000
-5.51975988,2.30651295,0.31462974,1.76930708,0.06719163,0.00000000,0.39783411,0.00000000
-5.51375688,2.30919567,0.32488996,1.76349523,0.06917221,0.00000000,0.40177505,0.00000000
-5.50775388,2.31548336,0.33543475,1.76182656,0.07131193,0.00000000,0.40509116,0.00000000
-5.50175088,2.32489830,0.34608025,1.76390815,0.07357950,0.00000000,0.40776059,0.00000000
