energy_ev,total_up,total_down,Ga_p_up,Ga_p_down,Ga_d_up,Ga_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.29043077,-1.29043077,0.02202998,-0.02202998,0.00000000,-0.00000000,0.67724681,-0.67724680,0.33878240,-0.33878240,0.02054589,-0.02054589,0.82333607,-0.82333607
-5.99399700,1.21525101,-1.21525100,0.02031095,-0.02031095,0.00000000,-0.00000000,0.62467865,-0.62467864,0.32701692,-0.32701692,0.01982319,-0.01982319,0.77244367,-0.77244366
-5.98799400,1.14480910,-1.14480910,0.01864410,-0.01864410,0.00000000,-0.00000000,0.57436198,-0.57436197,0.31648282,-0.31648282,0.01916697,-0.01916697,0.72455551,-0.72455551
-5.98199100,1.07959548,-1.07959548,0.01704509,-0.01704509,0.00000000,-0.00000000,0.52665559,-0.52665558,0.30724333,-0.30724333,0.01858152,-0.01858152,0.68000615,-0.68000615
-5.97598799,1.01991972,-1.01991972,0.01552670,-0.01552670,0.00000000,-0.00000000,0.48183314,-0.48183313,0.29931239,-0.29931240,0.01806835,-0.01806835,0.63901481,-0.63901480
-5.96998499,0.96591214,-0.96591214,0.01409873,-0.01409873,0.00000000,-0.00000000,0.44008316,-0.44008315,0.29265536,-0.29265536,0.01762612,-0.01762612,0.60168654,-0.60168654
-5.96398199,0.91753198,-0.91753198,0.01276811,-0.01276811,0.00000000,-0.00000000,0.40151186,-0.40151186,0.28719167,-0.28719167,0.01725084,-0.01725084,0.56801752,-0.56801752
-5.95797899,0.87458147,-0.87458147,0.01153903,-0.01153903,0.00000000,-0.00000000,0.36614850,-0.36614850,0.28279937,-0.28279937,0.01693604,-0.01693604,0.53790389,-0.53790389
-5.95197599,0.83672482,-0.83672482,0.01041317,-0.01041317,0.00000000,-0.00000000,0.33395274,-0.33395274,0.27932125,-0.27932126,0.01667317,-0.01667317,0.51115377,-0.51115376
-5.94597299,0.80351123,-0.80351123,0.00939000,-0.00939000,0.00000000,-0.00000000,0.30482365,-0.30482365,0.27657223,-0.27657223,0.01645196,-0.01645196,0.48750159,-0.48750159
-5.93996998,0.77440067,-0.77440067,0.00846713,-0.00846713,0.00000000,-0.00000000,0.27860981,-0.27860981,0.27434770,-0.27434770,0.01626093,-0.01626093,0.46662422,-0.46662422
-5.93396698,0.74879142,-0.74879142,0.00764065,-0.00764065,0.00000000,-0.00000000,0.25512002,-0.25512001,0.27243248,-0.27243248,0.01608789,-0.01608789,0.44815796,-0.44815796
-5.92796398,0.72604810,-0.72604810,0.00690556,-0.00690556,0.00000000,-0.00000000,0.23413422,-0.23413421,0.27060996,-0.27060996,0.01592049,-0.01592049,0.43171589,-0.43171589
-5.92196098,0.70552924,-0.70552924,0.00625608,-0.00625608,0.00000000,-0.00000000,0.21541416,-0.21541416,0.26867101,-0.26867101,0.01574670,-0.01574670,0.41690480,-0.41690480
-5.91595798,0.68661318,-0.68661318,0.00568612,-0.00568612,0.00000000,-0.00000000,0.19871346,-0.19871346,0.26642245,-0.26642245,0.01555531,-0.01555531,0.40334112,-0.40334112
-5.90995498,0.66872171,-0.66872171,0.00518952,-0.00518952,0.00000000,-0.00000000,0.18378677,-0.18378677,0.26369458,-0.26369458,0.01533641,-0.01533641,0.39066527,-0.39066527
-5.90395198,0.65134046,-0.65134046,0.00476045,-0.00476045,0.00000000,-0.00000000,0.17039773,-0.17039773,0.26034762,-0.26034762,0.01508168,-0.01508168,0.37855412,-0.37855412
-5.89794897,0.63403571,-0.63403571,0.00439366,-0.00439366,0.00000000,-0.00000000,0.15832573,-0.15832573,0.25627679,-0.25627679,0.01478476,-0.01478476,0.36673116,-0.36673116
-5.89194597,0.61646711,-0.61646710,0.00408469,-0.00408469,0.00000000,-0.00000000,0.14737116,-0.14737116,0.25141600,-0.25141600,0.01444139,-0.01444139,0.35497421,-0.35497421
