energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.03684305,0.08054827,0.00000000,0.01419877,1.08211371,0.49542811,0.65760778
-5.99399700,1.97268882,0.07803320,0.00000000,0.01411531,1.05257970,0.47576224,0.64265880
-5.98799400,1.90372289,0.07531566,0.00000000,0.01404139,1.02097322,0.45485531,0.62642224
-5.98199100,1.83107602,0.07244072,0.00000000,0.01397189,0.98777388,0.43303988,0.60912621
-5.97598799,1.75591669,0.06945513,0.00000000,0.01390193,0.95347880,0.41065731,0.59100820
-5.96998499,1.67942094,0.06640617,0.00000000,0.01382693,0.91859082,0.38804845,0.57230957
-5.96398199,1.60274436,0.06334046,0.00000000,0.01374282,0.88360753,0.36554495,0.55327064
-5.95797899,1.52699731,0.06030289,0.00000000,0.01364619,0.84901167,0.34346155,0.53412651
-5.95197599,1.45322362,0.05733574,0.00000000,0.01353433,0.81526296,0.32208966,0.51510372
-5.94597299,1.38238321,0.05447794,0.00000000,0.01340538,0.78279131,0.30169214,0.49641753
-5.93996998,1.31533858,0.05176440,0.00000000,0.01325841,0.75199144,0.28249950,0.47826998
-5.93396698,1.25284477,0.04922563,0.00000000,0.01309337,0.72321860,0.26470739,0.46084831
-5.92796398,1.19554255,0.04688738,0.00000000,0.01291116,0.69678522,0.24847529,0.44432379
-5.92196098,1.14395414,0.04477043,0.00000000,0.01271351,0.67295822,0.23392622,0.42885069
-5.91595798,1.09848118,0.04289047,0.00000000,0.01250293,0.65195676,0.22114743,0.41456523
-5.90995498,1.05940420,0.04125810,0.00000000,0.01228254,0.63395034,0.21019172,0.40158449
-5.90395198,1.02688347,0.03987880,0.00000000,0.01205595,0.61905700,0.20107936,0.39000520
-5.89794897,1.00096087,0.03875305,0.00000000,0.01182698,0.60734186,0.19380046,0.37990234
-5.89194597,0.98156279,0.03787642,0.00000000,0.01159956,0.59881590,0.18831761,0.37132784
-5.88594297,0.96850409,0.03723978,0.00000000,0.01137742,0.59343541,0.18456878,0.36430933
-5.87993997,0.96149340,0.03682950,0.00000000,0.01116395,0.59110208,0.18247043,0.35884913
-5.87393697,0.96014007,0.03662778,0.00000000,0.01096198,0.59166435,0.18192081,0.35492387
-5.86793397,0.96396297,0.03661299,0.00000000,0.01077362,0.59492002,0.18280346,0.35248461
-5.86193097,0.97240159,0.03676014,0.00000000,0.01060018,0.60062049,0.18499087,0.35145794
-5.85592796,0.98482958,0.03704144,0.00000000,0.01044209,0.60847687,0.18834842,0.35174799
-5.84992496,1.00057076,0.03742697,0.00000000,0.01029885,0.61816780,0.19273844,0.35323949
-5.84392196,1.01891756,0.03788538,0.00000000,0.01016913,0.62934911,0.19802455,0.35580178
-5.83791896,1.03915153,0.03838472,0.00000000,0.01005082,0.64166501,0.20407605,0.35929381
-5.83191596,1.06056538,0.03889335,0.00000000,0.00994121,0.65476048,0.21077238,0.36356985
