energy_ev,total_up,Ga_p_up,Ga_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.33846067,0.06534433,0.00000000,0.46943047,1.21360885,0.01529778,1.32641417
-5.99399700,2.24354315,0.06006850,0.00000000,0.44651939,1.18195023,0.01364115,1.28158871
-5.98799400,2.15442866,0.05506061,0.00000000,0.42517243,1.15219010,0.01209959,1.23937739
-5.98199100,2.07152937,0.05035445,0.00000000,0.40550831,1.12444177,0.01068206,1.20002421
-5.97598799,1.99510967,0.04597578,0.00000000,0.38761479,1.09876645,0.00939505,1.16369869
-5.96998499,1.92530572,0.04194290,0.00000000,0.37155249,1.07518318,0.00824285,1.13050573
-5.96398199,1.86214924,0.03826750,0.00000000,0.35735955,1.05368038,0.00722779,1.10049792
-5.95797899,1.80559417,0.03495553,0.00000000,0.34505691,1.03422869,0.00635065,1.07368938
-5.95197599,1.75554453,0.03200819,0.00000000,0.33465367,1.01679406,0.00561094,1.05007053
-5.94597299,1.71188202,0.02942295,0.00000000,0.32615240,1.00135054,0.00500725,1.02962263
-5.93996998,1.67449160,0.02719442,0.00000000,0.31955393,0.98789186,0.00453757,1.01233140
-5.93396698,1.64328368,0.02531522,0.00000000,0.31486141,0.97644112,0.00419956,0.99819873
-5.92796398,1.61821166,0.02377664,0.00000000,0.31208332,0.96705797,0.00399076,0.98725184
-5.92196098,1.59928368,0.02256914,0.00000000,0.31123522,0.95984272,0.00390873,0.97954920
-5.91595798,1.58656787,0.02168277,0.00000000,0.31234015,0.95493691,0.00395114,0.97518277
-5.90995498,1.58019077,0.02110727,0.00000000,0.31542748,0.95252033,0.00411582,0.97427632
-5.90395198,1.58032874,0.02083210,0.00000000,0.32053035,0.95280426,0.00440063,0.97697982
-5.89794897,1.58719278,0.02084625,0.00000000,0.32768169,0.95602123,0.00480339,0.98345991
-5.89194597,1.60100741,0.02113798,0.00000000,0.33690897,0.96241162,0.00532170,0.99388703
-5.88594297,1.62198465,0.02169445,0.00000000,0.34822806,0.97220769,0.00595270,1.00841970
-5.87993997,1.65029447,0.02250121,0.00000000,0.36163628,0.98561575,0.00669280,1.02718665
-5.87393697,1.68603315,0.02354179,0.00000000,0.37710521,1.00279734,0.00753748,1.05026796
-5.86793397,1.72919148,0.02479725,0.00000000,0.39457362,1.02385035,0.00848096,1.07767592
-5.86193097,1.77962445,0.02624579,0.00000000,0.41394087,1.04879116,0.00951597,1.10933703
-5.85592796,1.83702442,0.02786247,0.00000000,0.43506128,1.07753874,0.01063357,1.14507591
-5.84992496,1.90089930,0.02961910,0.00000000,0.45773993,1.10990175,0.01182303,1.18460247
-5.84392196,1.97055753,0.03148419,0.00000000,0.48173015,1.14556937,0.01307167,1.22750301
-5.83791896,2.04510092,0.03342321,0.00000000,0.50673313,1.18410677,0.01436496,1.27323622
-5.83191596,2.12342632,0.03539891,0.00000000,0.53239970,1.22495555,0.01568657,1.32113445
-5.82591296,2.20423672,0.03737190,0.00000000,0.55833459,1.26743951,0.01701857,1.37041079
-5.81990995,2.28606168,0.03930137,0.00000000,0.58410296,1.31077580,0.01834174,1.42017171
-5.81390695,2.36728674,0.04114594,0.00000000,0.60923928,1.35409122,0.01963592,1.46943529
-5.80790395,2.44619091,0.04286465,0.00000000,0.63325806,1.39644315,0.02088045,1.51715426
-5.80190095,2.52099093,0.04441802,0.00000000,0.65566635,1.43684436,0.02205468,1.56224325
-5.79589795,2.58989053,0.04576913,0.00000000,0.67597727,1.47429082,0.02313855,1.60360906
-5.78989495,2.65113279,0.04688464,0.00000000,0.69372423,1.50779144,0.02411306,1.64018283
-5.78389195,2.70305335,0.04773588,0.00000000,0.70847514,1.53639832,0.02496090,1.67095273
-5.77788894,2.74413219,0.04829961,0.00000000,0.71984603,1.55923653,0.02566690,1.69499582
-5.77188594,2.77304185,0.04855882,0.00000000,0.72751346,1.57553192,0.02621852,1.71150767
-5.76588294,2.78868983,0.04850321,0.00000000,0.73122521,1.58463591,0.02660619,1.71982843
-5.75987994,2.79025351,0.04812950,0.00000000,0.73080868,1.58604624,0.02682360,1.71946440
-5.75387694,2.77720602,0.04744152,0.00000000,0.72617671,1.57942271,0.02686787,1.71010387
-5.74787394,2.74933211,0.04644997,0.00000000,0.71733048,1.56459747,0.02673957,1.69162697
-5.74187094,2.70673336,0.04517206,0.00000000,0.70435949,1.54157938,0.02644269,1.66410882
-5.73586793,2.64982279,0.04363086,0.00000000,0.68743851,1.51055242,0.02598443,1.62781624
-5.72986493,2.57930919,0.04185450,0.00000000,0.66682173,1.47186832,0.02537490,1.58319799
-5.72386193,2.49617214,0.03987522,0.00000000,0.64283441,1.42603392,0.02462681,1.53086938
-5.71785893,2.40162902,0.03772829,0.00000000,0.61586241,1.37369387,0.02375496,1.47159176
-5.71185593,2.29709554,0.03545089,0.00000000,0.58634013,1.31560956,0.02277580,1.40624814
-5.70585293,2.18414170,0.03308104,0.00000000,0.55473733,1.25263528,0.02170690,1.33581584
-5.69984992,2.06444512,0.03065647,0.00000000,0.52154548,1.18569263,0.02056644,1.26133756
-5.69384692,1.93974362,0.02821365,0.00000000,0.48726423,1.11574430,0.01937268,1.18389197
-5.68784392,1.81178909,0.02578687,0.00000000,0.45238840,1.04376833,0.01814357,1.10456512
-5.68184092,1.68230419,0.02340757,0.00000000,0.41739616,0.97073367,0.01689627,1.02442360
-5.67583792,1.55294353,0.02110371,0.00000000,0.38273867,0.89757802,0.01564681,0.94449047
-5.66983492,1.42526030,0.01889939,0.00000000,0.34883154,0.82518851,0.01440984,0.86572472
-5.66383192,1.30067932,0.01681466,0.00000000,0.31604820,0.75438591,0.01319840,0.78900457
