energy_ev,total_up,Ga_p_up,Ga_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,1.67747369,0.44032694,0.00000000,0.78633248,0.90857151,0.40733771,0.00000000
-5.99399700,1.71092824,0.46437714,0.00000000,0.80739049,0.93434857,0.40562229,0.00000000
-5.98799400,1.75770698,0.49079775,0.00000000,0.83262862,0.96811731,0.40777066,0.00000000
-5.98199100,1.81762281,0.51951540,0.00000000,0.86179729,1.00984966,0.41373314,0.00000000
-5.97598799,1.89024321,0.55042007,0.00000000,0.89455052,1.05938095,0.42338699,0.00000000
-5.96998499,1.97489893,0.58336616,0.00000000,0.93045346,1.11641174,0.43653982,0.00000000
-5.96398199,2.07069592,0.61817370,0.00000000,0.96899138,1.18051126,0.45293381,0.00000000
-5.95797899,2.17652990,0.65462948,0.00000000,1.00957981,1.25112261,0.47225076,0.00000000
-5.95197599,2.29110372,0.69248846,0.00000000,1.05157581,1.32756953,0.49411775,0.00000000
-5.94597299,2.41294715,0.73147511,0.00000000,1.09429015,1.40906481,0.51811362,0.00000000
-5.93996998,2.54043923,0.77128513,0.00000000,1.13700034,1.49472043,0.54377605,0.00000000
-5.93396698,2.67183298,0.81158744,0.00000000,1.17896433,1.58355929,0.57060937,0.00000000
-5.92796398,2.80528256,0.85202664,0.00000000,1.21943486,1.67452861,0.59809306,0.00000000
-5.92196098,2.93887266,0.89222610,0.00000000,1.25767422,1.76651505,0.62569085,0.00000000
-5.91595798,3.07064986,0.93179172,0.00000000,1.29296927,1.85836125,0.65286037,0.00000000
-5.90995498,3.19865583,0.97031643,0.00000000,1.32464634,1.94888389,0.67906333,0.00000000
-5.90395198,3.32096158,1.00738556,0.00000000,1.35208582,2.03689281,0.70377591,0.00000000
-5.89794897,3.43570244,1.04258284,0.00000000,1.37473597,2.12121099,0.72649931,0.00000000
-5.89194597,3.54111279,1.07549710,0.00000000,1.39212550,2.20069509,0.74677008,0.00000000
-5.88594297,3.63555991,1.10572950,0.00000000,1.40387456,2.27425589,0.76417012,0.00000000
