energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,1.64685301,0.05562916,0.00168193,0.00303538,1.16664498,0.99347113,0.69109227
-5.99399700,1.62004612,0.05535754,0.00173355,0.00308625,1.14489699,0.99656569,0.66933655
-5.98799400,1.59679619,0.05522075,0.00178479,0.00313915,1.12567813,1.00126452,0.64927846
-5.98199100,1.57716182,0.05518322,0.00183446,0.00319134,1.10920987,1.00734010,0.63115799
-5.97598799,1.56109518,0.05520598,0.00188131,0.00324018,1.09563636,1.01451403,0.61516086
-5.96998499,1.54845279,0.05524843,0.00192409,0.00328321,1.08502583,1.02246917,0.60141760
-5.96398199,1.53900976,0.05527007,0.00196162,0.00331819,1.07737477,1.03086333,0.59000453
-5.95797899,1.53247662,0.05523235,0.00199277,0.00334316,1.07261417,1.03934364,0.58094638
-5.95197599,1.52851733,0.05510033,0.00201657,0.00335652,1.07061716,1.04756071,0.57422007
-5.94597299,1.52676750,0.05484421,0.00203220,0.00335712,1.07120757,1.05518192,0.56975935
-5.93996998,1.52685160,0.05444064,0.00203906,0.00334422,1.07416857,1.06190306,0.56746000
-5.93396698,1.52839853,0.05387375,0.00203679,0.00331762,1.07925110,1.06745779,0.56718516
-5.92796398,1.53105461,0.05313591,0.00202525,0.00327763,1.08618163,1.07162453,0.56877071
-5.92196098,1.53449384,0.05222805,0.00200459,0.00322508,1.09466905,1.07423067,0.57203042
-5.91595798,1.53842510,0.05115977,0.00197519,0.00316136,1.10441065,1.07515409,0.57676079
-5.90995498,1.54259658,0.04994900,0.00193768,0.00308831,1.11509724,1.07432213,0.58274569
-5.90395198,1.54679751,0.04862143,0.00189292,0.00300826,1.12641765,1.07170851,0.58976060
-5.89794897,1.55085788,0.04720961,0.00184196,0.00292391,1.13806271,1.06732860,0.59757682
-5.89194597,1.55464655,0.04575177,0.00178600,0.00283828,1.14972925,1.06123354,0.60596544
-5.88594297,1.55806833,0.04429055,0.00172636,0.00275465,1.16112404,1.05350397,0.61470141
-5.87993997,1.56106065,0.04287146,0.00166443,0.00267639,1.17196825,1.04424368,0.62356751
-5.87393697,1.56359011,0.04154138,0.00160165,0.00260694,1.18200215,1.03357383,0.63235850
-5.86793397,1.56564939,0.04034691,0.00153941,0.00254964,1.19099036,1.02162793,0.64088511
-5.86193097,1.56725460,0.03933280,0.00147907,0.00250765,1.19872730,1.00854802,0.64897804
-5.85592796,1.56844303,0.03854048,0.00142189,0.00248386,1.20504275,0.99448189,0.65649157
-5.84992496,1.56927128,0.03800667,0.00136901,0.00248073,1.20980703,0.97958145,0.66330679
-5.84392196,1.56981362,0.03776212,0.00132140,0.00250027,1.21293561,0.96400204,0.66933418
-5.83791896,1.57016007,0.03783062,0.00127988,0.00254390,1.21439249,0.94790235,0.67451525
-5.83191596,1.57041424,0.03822816,0.00124505,0.00261244,1.21419225,0.93144481,0.67882328
-5.82591296,1.57069048,0.03896241,0.00121735,0.00270600,1.21240024,0.91479588,0.68226279
-5.81990995,1.57111036,0.04003240,0.00119698,0.00282402,1.20913084,0.89812615,0.68486796
-5.81390695,1.57179830,0.04142849,0.00118399,0.00296518,1.20454368,0.88160992,0.68669983
-5.80790395,1.57287662,0.04313269,0.00117822,0.00312749,1.19883788,0.86542403,0.68784242
-5.80190095,1.57446011,0.04511913,0.00117934,0.00330827,1.19224461,0.84974597,0.68839815
-5.79589795,1.57665054,0.04735493,0.00118691,0.00350422,1.18501829,0.83475117,0.68848246
-5.78989495,1.57953137,0.04980121,0.00120033,0.00371154,1.17742680,0.82060970,0.68821828
