energy_ev,total_up,Hg_p_up,Hg_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-6.00000000,2.22859813,0.58652257,0.33400965,0.10657275,0.00270633,1.52887378,0.00000000
-5.99399700,2.10996775,0.54071668,0.31477289,0.10100944,0.00252405,1.45022667,0.00000000
-5.98799400,1.98808352,0.49619060,0.29544555,0.09573853,0.00234347,1.36767095,0.00000000
-5.98199100,1.86449256,0.45325123,0.27624398,0.09083282,0.00216599,1.28234408,0.00000000
-5.97598799,1.74069009,0.41215302,0.25737098,0.08635624,0.00199286,1.19536843,0.00000000
-5.96998499,1.61808995,0.37309908,0.23901240,0.08236275,0.00182518,1.10782708,0.00000000
-5.96398199,1.49799822,0.33624330,0.22133425,0.07889529,0.00166388,1.02074192,0.00000000
-5.95797899,1.38159057,0.30169325,0.20448034,0.07598487,0.00150975,0.93505499,0.00000000
-5.95197599,1.26989403,0.26951379,0.18857040,0.07364993,0.00136342,0.85161310,0.00000000
-5.94597299,1.16377329,0.23973105,0.17369892,0.07189582,0.00122537,0.77115634,0.00000000
-5.93996998,1.06392205,0.21233667,0.15993450,0.07071460,0.00109595,0.69431041,0.00000000
-5.93396698,0.97085914,0.18729222,0.14731985,0.07008506,0.00097537,0.62158278,0.00000000
-5.92796398,0.88492962,0.16453354,0.13587244,0.06997306,0.00086370,0.55336251,0.00000000
-5.92196098,0.80631035,0.14397509,0.12558566,0.07033226,0.00076094,0.48992344,0.00000000
-5.91595798,0.73501983,0.12551401,0.11643058,0.07110509,0.00066693,0.43143025,0.00000000
-5.90995498,0.67093170,0.10903412,0.10835821,0.07222410,0.00058148,0.37794713,0.00000000
-5.90395198,0.61379125,0.09440950,0.10130208,0.07361366,0.00050426,0.32944821,0.00000000
-5.89794897,0.56323446,0.08150785,0.09518128,0.07519188,0.00043494,0.28582958,0.00000000
-5.89194597,0.51880863,0.07019358,0.08990368,0.07687287,0.00037308,0.24692208,0.00000000
-5.88594297,0.47999401,0.06033052,0.08536926,0.07856906,0.00031824,0.21250445,0.00000000
-5.87993997,0.44622557,0.05178434,0.08147354,0.08019374,0.00026992,0.18231639,0.00000000
-5.87393697,0.41691443,0.04442459,0.07811090,0.08166356,0.00022763,0.15607115,0.00000000
-5.86793397,0.39146799,0.03812651,0.07517774,0.08290094,0.00019085,0.13346716,0.00000000
-5.86193097,0.36930848,0.03277247,0.07257540,0.08383637,0.00015908,0.11419863,0.00000000
-5.85592796,0.34988928,0.02825306,0.07021269,0.08441041,0.00013181,0.09796478,0.00000000
-5.84992496,0.33270868,0.02446797,0.06800802,0.08457535,0.00010857,0.08447756,0.00000000
-5.84392196,0.31732080,0.02132653,0.06589112,0.08429650,0.00008891,0.07346795,0.00000000
-5.83791896,0.30334353,0.01874803,0.06380414,0.08355294,0.00007238,0.06469060,0.00000000
-5.83191596,0.29046343,0.01666170,0.06170235,0.08233792,0.00005859,0.05792700,0.00000000
-5.82591296,0.27843764,0.01500658,0.05955428,0.08065855,0.00004719,0.05298721,0.00000000
-5.81990995,0.26709303,0.01373112,0.05734138,0.07853522,0.00003784,0.04971021,0.00000000
-5.81390695,0.25632277,0.01279265,0.05505724,0.07600042,0.00003025,0.04796304,0.00000000
-5.80790395,0.24608061,0.01215663,0.05270644,0.07309723,0.00002418,0.04763883,0.00000000
-5.80190095,0.23637347,0.01179587,0.05030309,0.06987747,0.00001939,0.04865390,0.00000000
-5.79589795,0.22725244,0.01168960,0.04786915,0.06639964,0.00001572,0.05094406,0.00000000
-5.78989495,0.21880296,0.01182254,0.04543255,0.06272668,0.00001302,0.05446031,0.00000000
-5.78389195,0.21113431,0.01218385,0.04302532,0.05892371,0.00001117,0.05916406,0.00000000
-5.77788894,0.20436919,0.01276620,0.04068170,0.05505586,0.00001009,0.06502213,0.00000000
-5.77188594,0.19863353,0.01356480,0.03843630,0.05118613,0.00000975,0.07200163,0.00000000
-5.76588294,0.19404699,0.01457649,0.03632251,0.04737358,0.00001012,0.08006498,0.00000000
-5.75987994,0.19071461,0.01579897,0.03437104,0.04367172,0.00001122,0.08916521,0.00000000
-5.75387694,0.18871963,0.01723007,0.03260876,0.04012722,0.00001310,0.09924171,0.00000000
-5.74787394,0.18811790,0.01886721,0.03105776,0.03677900,0.00001584,0.11021675,0.00000000
-5.74187094,0.18893397,0.02070699,0.02973478,0.03365762,0.00001956,0.12199275,0.00000000
-5.73586793,0.19115882,0.02274486,0.02865087,0.03078507,0.00002438,0.13445056,0.00000000
-5.72986493,0.19474943,0.02497509,0.02781136,0.02817487,0.00003050,0.14744888,0.00000000
-5.72386193,0.19962992,0.02739070,0.02721607,0.02583239,0.00003811,0.16082487,0.00000000
-5.71785893,0.20569436,0.02998371,0.02685977,0.02375555,0.00004745,0.17439595,0.00000000
-5.71185593,0.21281082,0.03274533,0.02673278,0.02193564,0.00005879,0.18796287,0.00000000
-5.70585293,0.22082671,0.03566638,0.02682177,0.02035830,0.00007241,0.20131392,0.00000000
-5.69984992,0.22957488,0.03873762,0.02711059,0.01900459,0.00008863,0.21423015,0.00000000
-5.69384692,0.23888040,0.04195019,0.02758121,0.01785218,0.00010777,0.22649150,0.00000000
-5.68784392,0.24856753,0.04529599,0.02821462,0.01687647,0.00013017,0.23788348,0.00000000
-5.68184092,0.25846671,0.04876793,0.02899170,0.01605172,0.00015617,0.24820427,0.00000000
-5.67583792,0.26842120,0.05236016,0.02989399,0.01535205,0.00018612,0.25727179,0.00000000
-5.66983492,0.27829306,0.05606806,0.03090440,0.01475244,0.00022033,0.26493062,0.00000000
