energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,2.27385117,0.50497011,0.26303845,0.06009293,0.11062609,0.11949180,1.64213163
-5.99399700,2.28189246,0.50845247,0.26340918,0.06048633,0.11207509,0.12008760,1.64753287
-5.98799400,2.28662294,0.51137781,0.26400914,0.06103451,0.11335444,0.12063668,1.64867741
-5.98199100,2.28842059,0.51385148,0.26487322,0.06175563,0.11448922,0.12114664,1.64576166
-5.97598799,2.28777451,0.51600261,0.26603570,0.06266673,0.11551392,0.12162671,1.63908479
-5.96998499,2.28527947,0.51798216,0.26753038,0.06378372,0.11647210,0.12208767,1.62904504
-5.96398199,2.28162649,0.51996008,0.26939057,0.06512124,0.11741561,0.12254165,1.61613272
-5.95797899,2.27758923,0.52212160,0.27164898,0.06669254,0.11840355,0.12300190,1.60092005
-5.95197599,2.27400635,0.52466256,0.27433740,0.06850920,0.11950081,0.12348250,1.58404806
-5.94597299,2.27176001,0.52778380,0.27748616,0.07058084,0.12077630,0.12399801,1.56621073
-5.93996998,2.27175091,0.53168475,0.28112329,0.07291465,0.12230075,0.12456306,1.54813688
-5.93396698,2.27487059,0.53655639,0.28527350,0.07551489,0.12414438,0.12519183,1.53057038
-5.92796398,2.28197157,0.54257357,0.28995679,0.07838230,0.12637421,0.12589754,1.51424913
-5.92196098,2.29383648,0.54988724,0.29518685,0.08151338,0.12905137,0.12669175,1.49988362
-5.91595798,2.31114702,0.55861657,0.30096930,0.08489974,0.13222830,0.12758375,1.48813569
-5.90995498,2.33445398,0.56884151,0.30729969,0.08852736,0.13594604,0.12857982,1.47959816
-5.90395198,2.36414955,0.58059595,0.31416155,0.09237599,0.14023175,0.12968249,1.47477608
-5.89794897,2.40044291,0.59386205,0.32152445,0.09641851,0.14509653,0.13088986,1.47407008
-5.89194597,2.44334048,0.60856577,0.32934225,0.10062057,0.15053363,0.13219496,1.47776263
-5.88594297,2.49263173,0.62457426,0.33755165,0.10494037,0.15651729,0.13358517,1.48600736
-5.87993997,2.54788147,0.64169509,0.34607124,0.10932865,0.16300211,0.13504183,1.49882218
-5.87393697,2.60842941,0.65967770,0.35480109,0.11372903,0.16992318,0.13654006,1.51608618
-5.86793397,2.67339742,0.67821710,0.36362308,0.11807858,0.17719695,0.13804875,1.53754065
-5.86193097,2.74170469,0.69695992,0.37240199,0.12230885,0.18472288,0.13953086,1.56279415
-5.85592796,2.81209078,0.71551264,0.38098750,0.12634707,0.19238575,0.14094402,1.59133157
-5.84992496,2.88314591,0.73345198,0.38921702,0.13011780,0.20005883,0.14224146,1.62252696
-5.84392196,2.95334802,0.75033694,0.39691938,0.13354480,0.20760749,0.14337316,1.65565979
-5.83791896,3.02110536,0.76572231,0.40391935,0.13655311,0.21489342,0.14428740,1.68993408
-5.83191596,3.08480321,0.77917310,0.41004268,0.13907131,0.22177917,0.14493251,1.72450005
