energy_ev,total_up,P_s_up,P_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,6.85823306,0.02215641,2.10900945,2.46367897,0.00000000,1.84442790,2.34147463
-5.99399700,6.84998560,0.02125012,2.16026173,2.42257607,0.00000000,1.86602229,2.41115002
-5.98799400,6.84985786,0.02037949,2.21511114,2.38412010,0.00000000,1.89087860,2.48465279
-5.98199100,6.85598315,0.01954699,2.27277773,2.34768989,0.00000000,1.91833080,2.56086599
-5.97598799,6.86604622,0.01875341,2.33229251,2.31252521,0.00000000,1.94754569,2.63847535
-5.96998499,6.87736723,0.01799798,2.39250987,2.27777280,0.00000000,1.97754507,2.71599480
-5.96398199,6.88700192,0.01727857,2.45212809,2.24253621,0.00000000,2.00723412,2.79179993
-5.95797899,6.89185380,0.01659194,2.50971796,2.20592651,0.00000000,2.03543492,2.86416860
-5.95197599,6.88879360,0.01593399,2.56375873,2.16711143,0.00000000,2.06092405,2.93132767
-5.94597299,6.87478092,0.01530007,2.61268043,2.12536044,0.00000000,2.08247281,2.99150419
-5.93996998,6.84698270,0.01468527,2.65491098,2.08008340,0.00000000,2.09888854,3.04297949
-5.93396698,6.80288371,0.01408472,2.68892653,2.03086126,0.00000000,2.10905548,3.08414381
-5.92796398,6.74038410,0.01349385,2.71330269,1.97746719,0.00000000,2.11197352,3.11354965
-5.92196098,6.65788005,0.01290862,2.72676469,1.91987756,0.00000000,2.10679323,3.12996114
-5.91595798,6.55432428,0.01232571,2.72823396,1.85827251,0.00000000,2.09284585,3.13239768
-5.90995498,6.42926384,0.01174268,2.71686919,1.79302639,0.00000000,2.06966688,3.12016943
-5.90395198,6.28285416,0.01115799,2.69209966,1.72468896,0.00000000,2.03701248,3.09290330
-5.89794897,6.11584896,0.01057112,2.65364939,1.65395874,0.00000000,1.99486785,3.05055785
-5.89194597,5.92956715,0.00998249,2.60155073,1.58165000,0.00000000,1.94344748,2.99342658
-5.88594297,5.72583853,0.00939342,2.53614684,1.50865548,0.00000000,1.88318724,2.92212910
-5.87993997,5.50693148,0.00880603,2.45808274,1.43590681,0.00000000,1.81472883,2.83759081
-5.87393697,5.27546627,0.00822309,2.36828551,1.36433483,0.00000000,1.73889735,2.74101175
-5.86793397,5.03431828,0.00764790,2.26793447,1.29483163,0.00000000,1.65667313,2.63382626
-5.86193097,4.78651605,0.00708411,2.15842293,1.22821641,0.00000000,1.56915907,2.51765527
-5.85592796,4.53513878,0.00653553,2.04131309,1.16520650,0.00000000,1.47754515,2.39425341
-5.84992496,4.28321808,0.00600602,1.91828660,1.10639489,0.00000000,1.38307152,2.26545353
-5.84392196,4.03364817,0.00549935,1.79109263,1.05223512,0.00000000,1.28699187,2.13311088
-5.83791896,3.78910833,0.00501903,1.66149609,1.00303388,0.00000000,1.19053853,1.99904972
-5.83191596,3.55200042,0.00456828,1.53122795,0.95895151,0.00000000,1.09489069,1.86501429
-5.82591296,3.32440354,0.00414994,1.40193980,0.92000994,0.00000000,1.00114680,1.73262616
-5.81990995,3.10804682,0.00376647,1.27516418,0.88610733,0.00000000,0.91030199,1.60334944
-5.81390695,2.90430036,0.00341988,1.15228187,0.85703853,0.00000000,0.82323113,1.47846477
-5.80790395,2.71418343,0.00311186,1.03449717,0.83252000,0.00000000,0.74067772,1.35905258
-5.80190095,2.53838809,0.00284372,0.92282129,0.81221770,0.00000000,0.66324859,1.24598559
-5.79589795,2.37731569,0.00261652,0.81806388,0.79577662,0.00000000,0.59141395,1.13992998
-5.78989495,2.23112323,0.00243115,0.72083233,0.78285011,0.00000000,0.52551252,1.04135429
-5.78389195,2.09977604,0.00228834,0.63153785,0.77312772,0.00000000,0.46576059,0.95054487
-5.77788894,1.98310334,0.00218881,0.55040746,0.76636006,0.00000000,0.41226455,0.86762623
-5.77188594,1.88085302,0.00213331,0.47750062,0.76237944,0.00000000,0.36503565,0.79258484
-5.76588294,1.79274249,0.00212263,0.41272921,0.76111534,0.00000000,0.32400615,0.72529462
-5.75987994,1.71850269,0.00215773,0.35587959,0.76260392,0.00000000,0.28904599,0.66554266
-5.75387694,1.65791298,0.00223965,0.30663546,0.76699124,0.00000000,0.25997900,0.61305370
-5.74787394,1.61082538,0.00236956,0.26460051,0.77452988,0.00000000,0.23659811,0.56751233
-5.74187094,1.57717704,0.00254872,0.22931992,0.78556930,0.00000000,0.21867883,0.52858184
-5.73586793,1.55699096,0.00277839,0.20029989,0.80054023,0.00000000,0.20599058,0.49591936
-5.72986493,1.55036520,0.00305976,0.17702484,0.81993384,0.00000000,0.19830568,0.46918682
-5.72386193,1.55745190,0.00339388,0.15897188,0.84427667,0.00000000,0.19540576,0.44805783
-5.71785893,1.57842748,0.00378146,0.14562243,0.87410226,0.00000000,0.19708557,0.43222064
-5.71185593,1.61345628,0.00422285,0.13647110,0.90992086,0.00000000,0.20315443,0.42137772
-5.70585293,1.66264973,0.00471779,0.13103199,0.95218829,0.00000000,0.21343533,0.41524257
-5.69984992,1.72602363,0.00526537,0.12884275,1.00127546,0.00000000,0.22776213,0.41353435
-5.69384692,1.80345591,0.00586385,0.12946672,1.05743959,0.00000000,0.24597505,0.41597127
-5.68784392,1.89464726,0.00651059,0.13249354,1.12079842,0.00000000,0.26791492,0.42226339
-5.68184092,1.99908671,0.00720192,0.13753872,1.19130842,0.00000000,0.29341649,0.43210553
-5.67583792,2.11602402,0.00793312,0.14424252,1.26874780,0.00000000,0.32230123,0.44517103
-5.66983492,2.24445032,0.00869835,0.15226841,1.35270503,0.00000000,0.35437001,0.46110678
-5.66383192,2.38308809,0.00949068,0.16130149,1.44257346,0.00000000,0.38939594,0.47952995
-5.65782891,2.53039101,0.01030215,0.17104707,1.53755206,0.00000000,0.42711790,0.50002670
-5.65182591,2.68455402,0.01112380,0.18122956,1.63665265,0.00000000,0.46723486,0.52215300
-5.64582291,2.84353333,0.01194584,0.19159172,1.73871313,0.00000000,0.50940152,0.54543748
-5.63981991,3.00507577,0.01275778,0.20189434,1.84241677,0.00000000,0.55322536,0.56938630
-5.63381691,3.16675667,0.01354863,0.21191636,1.94631665,0.00000000,0.59826547,0.59348976
-5.62781391,3.32602511,0.01430713,0.22145529,2.04886493,0.00000000,0.64403333,0.61723040
-5.62181091,3.48025510,0.01502196,0.23032785,2.14844595,0.00000000,0.68999560,0.64009218
-5.61580790,3.62680113,0.01568203,0.23837085,2.24341239,0.00000000,0.73557912,0.66157041
-5.60980490,3.76305659,0.01627672,0.24544198,2.33212336,0.00000000,0.78017812,0.68118204
-5.60380190,3.88651302,0.01679616,0.25142062,2.41298358,0.00000000,0.82316345,0.69847582
-5.59779890,3.99481880,0.01723149,0.25620847,2.48448231,0.00000000,0.86389386,0.71304211
-5.59179590,4.08583524,0.01757504,0.25972991,2.54523112,0.00000000,0.90172893,0.72452177
-5.58579290,4.15768850,0.01782062,0.26193214,2.59399925,0.00000000,0.93604332,0.73261407
-5.57978989,4.20881588,0.01796363,0.26278491,2.62974556,0.00000000,0.96624205,0.73708306
-5.57378689,4.23800483,0.01800121,0.26228005,2.65164612,0.00000000,0.99177599,0.73776252
-5.56778389,4.24442360,0.01793234,0.26043052,2.65911633,0.00000000,1.01215728,0.73455902
-5.56178089,4.22764243,0.01775785,0.25726933,2.65182708,0.00000000,1.02697393,0.72745322
-5.55577789,4.18764452,0.01748044,0.25284807,2.62971415,0.00000000,1.03590284,0.71649929
-5.54977489,4.12482632,0.01710457,0.24723524,2.59298049,0.00000000,1.03872096,0.70182241
-5.54377189,4.03998699,0.01663639,0.24051446,2.54209132,0.00000000,1.03531361,0.68361462
-5.53776888,3.93430735,0.01608353,0.23278241,2.47776199,0.00000000,1.02567997,0.66212892
-5.53176588,3.80931876,0.01545495,0.22414679,2.40093898,0.00000000,1.00993498,0.63767207
-5.52576288,3.66686296,0.01476066,0.21472410,2.31277476,0.00000000,0.98830781,0.61059611
-5.51975988,3.50904426,0.01401151,0.20463750,2.21459716,0.00000000,0.96113661,0.58128901
-5.51375688,3.33817547,0.01321890,0.19401460,2.10787442,0.00000000,0.92885996,0.55016473
-5.50775388,3.15671961,0.01239447,0.18298532,1.99417719,0.00000000,0.89200502,0.51765302
-5.50175088,2.96722930,0.01154989,0.17167984,1.87513870,0.00000000,0.85117324,0.48418924
-5.49574787,2.77228603,0.01069660,0.16022672,1.75241470,0.00000000,0.80702383,0.45020471
-5.48974487,2.57444130,0.00984555,0.14875109,1.62764439,0.00000000,0.76025601,0.41611758
-5.48374187,2.37616181,0.00900704,0.13737324,1.50241392,0.00000000,0.71159070,0.38232496
-5.47773887,2.17978032,0.00819055,0.12620728,1.37822343,0.00000000,0.66175225,0.34919604
