energy_ev,total_up,P_s_up,P_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,3.94400030,0.01141867,0.68901415,1.59589989,1.79834786,1.60155204,0.00000000
-5.99399700,3.99366791,0.01174693,0.69691240,1.60310916,1.83146960,1.61949540,0.00000000
-5.98799400,4.04454832,0.01209927,0.70576441,1.61098433,1.86581469,1.63705444,0.00000000
-5.98199100,4.09643689,0.01246873,0.71563255,1.61957207,1.90129948,1.65400199,0.00000000
-5.97598799,4.14910451,0.01284917,0.72655109,1.62889787,1.93782231,1.67012325,0.00000000
-5.96998499,4.20229969,0.01323535,0.73852243,1.63896599,1.97526229,1.68522180,0.00000000
-5.96398199,4.25575194,0.01362299,0.75151437,1.64976040,2.01347872,1.69912560,0.00000000
-5.95797899,4.30917591,0.01400877,0.76545860,1.66124629,2.05231103,1.71169219,0.00000000
-5.95197599,4.36227550,0.01439031,0.78025044,1.67337183,2.09157900,1.72281290,0.00000000
-5.94597299,4.41474731,0.01476609,0.79574969,1.68606988,2.13108314,1.73241559,0.00000000
-5.93996998,4.46628294,0.01513533,0.81178267,1.69925921,2.17060492,1.74046549,0.00000000
-5.93396698,4.51656944,0.01549790,0.82814521,1.71284520,2.20990685,1.74696410,0.00000000
-5.92796398,4.56528791,0.01585409,0.84460652,1.72671957,2.24873229,1.75194598,0.00000000
-5.92196098,4.61211018,0.01620451,0.86091378,1.74075937,2.28680504,1.75547341,0.00000000
-5.91595798,4.65669381,0.01654979,0.87679726,1.75482520,2.32382881,1.75762948,0.00000000
-5.90995498,4.69867602,0.01689051,0.89197586,1.76875886,2.35948686,1.75850962,0.00000000
-5.90395198,4.73766726,0.01722689,0.90616291,1.78238078,2.39344203,1.75821240,0.00000000
-5.89794897,4.77324539,0.01755872,0.91907218,1.79548765,2.42533745,1.75683003,0.00000000
-5.89194597,4.80495138,0.01788518,0.93042377,1.80785071,2.45479843,1.75443935,0.00000000
-5.88594297,4.83228755,0.01820474,0.93995017,1.81921507,2.48143557,1.75109384,0.00000000
-5.87993997,4.85471927,0.01851514,0.94740196,1.82930068,2.50484967,1.74681747,0.00000000
-5.87393697,4.87168078,0.01881331,0.95255342,1.83780502,2.52463831,1.74160065,0.00000000
-5.86793397,4.88258551,0.01909551,0.95520781,1.84440811,2.54040435,1.73539902,0.00000000
-5.86193097,4.88684127,0.01935733,0.95520231,1.84877958,2.55176617,1.72813498,0.00000000
-5.85592796,4.88386983,0.01959389,0.95241242,1.85058799,2.55836946,1.71970226,0.00000000
-5.84992496,4.87313058,0.01980001,0.94675594,1.84951214,2.55990028,1.70997334,0.00000000
-5.84392196,4.85414730,0.01997041,0.93819618,1.84525387,2.55609875,1.69880936,0.00000000
-5.83791896,4.82653698,0.02009996,0.92674454,1.83755199,2.54677300,1.68607207,0.00000000
-5.83191596,4.79003925,0.02018394,0.91246222,1.82619659,2.53181266,1.67163727,0.00000000
-5.82591296,4.74454503,0.02021828,0.89546096,1.81104307,2.51120119,1.65540899,0.00000000
-5.81990995,4.69012284,0.02019981,0.87590286,1.79202516,2.48502646,1.63733353,0.00000000
-5.81390695,4.62704120,0.02012648,0.85399909,1.76916612,2.45348904,1.61741280,0.00000000
-5.80790395,4.55578579,0.01999757,0.83000757,1.74258753,2.41690748,1.59571597,0.00000000
-5.80190095,4.47707026,0.01981379,0.80422954,1.71251504,2.37572040,1.57238884,0.00000000
-5.79589795,4.39183967,0.01957741,0.77700506,1.67928060,2.33048486,1.54766033,0.00000000
-5.78989495,4.30126595,0.01929231,0.74870765,1.64332093,2.28187115,1.52184564,0.00000000
-5.78389195,4.20673532,0.01896393,0.71973794,1.60517210,2.23065373,1.49534568,0.00000000
-5.77788894,4.10982748,0.01859924,0.69051673,1.56546022,2.17769870,1.46864283,0.00000000
-5.77188594,4.01228729,0.01820657,0.66147740,1.52488862,2.12394801,1.44229281,0.00000000
-5.76588294,3.91598946,0.01779547,0.63305801,1.48422170,2.07040081,1.41691313,0.00000000
-5.75987994,3.82289745,0.01737646,0.60569320,1.44426628,2.01809250,1.39316825,0.00000000
-5.75387694,3.73501780,0.01696076,0.57980611,1.40585086,1.96807214,1.37175209,0.00000000
-5.74787394,3.65435121,0.01656004,0.55580051,1.36980365,1.92137877,1.35336848,0.00000000
-5.74187094,3.58284209,0.01618607,0.53405335,1.33693012,1.87901730,1.33871021,0.00000000
-5.73586793,3.52232791,0.01585042,0.51490777,1.30799084,1.84193483,1.32843743,0.00000000
-5.72986493,3.47449010,0.01556415,0.49866689,1.28368039,1.81099777,1.32315620,0.00000000
-5.72386193,3.44080793,0.01533751,0.48558832,1.26460801,1.78697060,1.32339795,0.00000000
-5.71785893,3.42251655,0.01517961,0.47587956,1.25128053,1.77049669,1.32960055,0.00000000
-5.71185593,3.42057075,0.01509825,0.46969434,1.24408829,1.76208174,1.34209167,0.00000000
-5.70585293,3.43561511,0.01509962,0.46712993,1.24329415,1.76208013,1.36107504,0.00000000
-5.69984992,3.46796162,0.01518817,0.46822545,1.24902611,1.77068470,1.38662003,0.00000000
-5.69384692,3.51757531,0.01536645,0.47296114,1.26127357,1.78792004,1.41865497,0.00000000
-5.68784392,3.58406832,0.01563504,0.48125870,1.27988721,1.81363962,1.45696436,0.00000000
-5.68184092,3.66670256,0.01599253,0.49298252,1.30458258,1.84752672,1.50119024,0.00000000
-5.67583792,3.76440108,0.01643549,0.50794201,1.33494700,1.88909937,1.55083744,0.00000000
-5.66983492,3.87576782,0.01695860,0.52589471,1.37044979,1.93771901,1.60528290,0.00000000
-5.66383192,3.99911539,0.01755473,0.54655049,1.41045516,1.99260308,1.66378842,0.00000000
-5.65782891,4.13250022,0.01821508,0.56957648,1.45423771,2.05284093,1.72551681,0.00000000
-5.65182591,4.27376437,0.01892944,0.59460295,1.50099985,2.11741309,1.78955069,0.00000000
-5.64582291,4.42058294,0.01968639,0.62122990,1.54989080,2.18521340,1.85491357,0.00000000
-5.63981991,4.57051596,0.02047359,0.64903432,1.60002664,2.25507337,1.92059248,0.00000000
-5.63381691,4.72106354,0.02127806,0.67757806,1.65051083,2.32578853,1.98556160,0.00000000
-5.62781391,4.86972274,0.02208651,0.70641608,1.70045474,2.39614579,2.04880602,0.00000000
-5.62181091,5.01404474,0.02288568,0.73510503,1.74899764,2.46495136,2.10934518,0.00000000
-5.61580790,5.15169064,0.02366265,0.76321185,1.79532561,2.53105831,2.16625507,0.00000000
-5.60980490,5.28048449,0.02440513,0.79032228,1.83868883,2.59339300,2.21868871,0.00000000
-5.60380190,5.39846166,0.02510184,0.81604892,1.87841692,2.65097962,2.26589430,0.00000000
-5.59779890,5.50391148,0.02574273,0.84003875,1.91393175,2.70296206,2.30723051,0.00000000
-5.59179590,5.59541252,0.02631923,0.86197980,1.94475745,2.74862230,2.34217848,0.00000000
-5.58579290,5.67185963,0.02682448,0.88160666,1.97052747,2.78739486,2.37035041,0.00000000
-5.57978989,5.73248173,0.02725347,0.89870483,1.99098823,2.81887668,2.39149430,0.00000000
-5.57378689,5.77685005,0.02760311,0.91311356,2.00599968,2.84283215,2.40549504,0.00000000
-5.56778389,5.80487641,0.02787232,0.92472719,2.01553254,2.85919315,2.41237186,0.00000000
-5.56178089,5.81680191,0.02806197,0.93349485,2.01966250,2.86805408,2.41227226,0.00000000
-5.55577789,5.81317647,0.02817479,0.93941866,2.01856175,2.86966217,2.40546287,0.00000000
