energy_ev,total_up,P_s_up,P_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,6.44890336,0.00315844,0.03227532,0.36863979,5.86335653,1.04337349,0.00000000
-5.99399700,6.46249772,0.00309051,0.03162737,0.36037724,5.88426905,1.04831072,0.00000000
-5.98799400,6.46570258,0.00303098,0.03102102,0.35298732,5.89363448,1.05261764,0.00000000
-5.98199100,6.45857376,0.00298310,0.03045553,0.34647049,5.89131759,1.05645332,0.00000000
-5.97598799,6.44138990,0.00295042,0.02993299,0.34085511,5.87736709,1.06002877,0.00000000
-5.96998499,6.41467026,0.00293676,0.02945801,0.33619222,5.85204018,1.06360243,0.00000000
-5.96398199,6.37918727,0.00294622,0.02903736,0.33255068,5.81582200,1.06747514,0.00000000
-5.95797899,6.33597212,0.00298313,0.02867953,0.33001262,5.76943799,1.07198450,0.00000000
-5.95197599,6.28631201,0.00305201,0.02839432,0.32866945,5.71385793,1.07749881,0.00000000
-5.94597299,6.23173783,0.00315751,0.02819234,0.32861859,5.65029025,1.08441018,0.00000000
-5.93996998,6.17400161,0.00330438,0.02808450,0.32996067,5.58016606,1.09312700,0.00000000
-5.93396698,6.11504344,0.00349731,0.02808155,0.33279751,5.50511272,1.10406554,0.00000000
-5.92796398,6.05694830,0.00374087,0.02819355,0.33723037,5.42691734,1.11764076,0.00000000
-5.92196098,6.00189343,0.00403938,0.02842939,0.34335872,5.34748120,1.13425620,0.00000000
-5.91595798,5.95208790,0.00439679,0.02879635,0.35127908,5.26876645,1.15429314,0.00000000
-5.90995498,5.90970608,0.00481652,0.02929968,0.36108395,5.19273709,1.17809914,0.00000000
-5.90395198,5.87681749,0.00530137,0.02994218,0.37286057,5.12129651,1.20597618,0.00000000
-5.89794897,5.85531549,0.00585332,0.03072393,0.38668951,5.05622394,1.23816874,0.00000000
-5.89194597,5.84684788,0.00647348,0.03164204,0.40264289,4.99911271,1.27485215,0.00000000
-5.88594297,5.85275219,0.00716192,0.03269052,0.42078226,4.95131271,1.31612181,0.00000000
-5.87993997,5.87399860,0.00791764,0.03386017,0.44115614,4.91387980,1.36198362,0.00000000
-5.87393697,5.91114315,0.00873848,0.03513874,0.46379734,4.88753434,1.41234618,0.00000000
-5.86793397,5.96429374,0.00962114,0.03651101,0.48872007,4.87263085,1.46701548,0.00000000
-5.86193097,6.03309074,0.01056114,0.03795917,0.51591709,4.86914039,1.52569216,0.00000000
-5.85592796,6.11670361,0.01155295,0.03946322,0.54535709,4.87664661,1.58797220,0.00000000
-5.84992496,6.21384449,0.01259003,0.04100153,0.57698246,4.89435611,1.65335100,0.00000000
-5.84392196,6.32279868,0.01366500,0.04255146,0.61070771,4.92112284,1.72123112,0.00000000
-5.83791896,6.44147149,0.01476984,0.04409015,0.64641876,4.95548603,1.79093381,0.00000000
