energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,4.06295066,0.20925725,0.00000000,0.28502129,1.00449148,0.54706123,1.56086777
-5.99399700,3.94744850,0.21562437,0.00000000,0.27172413,0.97416834,0.54419593,1.49116258
-5.98799400,3.82533661,0.22182387,0.00000000,0.25740152,0.94201928,0.54035414,1.41979724
-5.98199100,3.69778866,0.22779118,0.00000000,0.24228235,0.90832877,0.53557030,1.34735285
-5.97598799,3.56597322,0.23345739,0.00000000,0.22659859,0.87338869,0.52987966,1.27439942
-5.96998499,3.43103055,0.23874998,0.00000000,0.21057942,0.83749332,0.52331703,1.20148805
-5.96398199,3.29405059,0.24359372,0.00000000,0.19444560,0.80093398,0.51591575,1.12914312
-5.95797899,3.15605300,0.24791184,0.00000000,0.17840457,0.76399379,0.50770687,1.05785482
-5.95197599,3.01797008,0.25162746,0.00000000,0.16264620,0.72694260,0.49871868,0.98807233
-5.94597299,2.88063325,0.25466510,0.00000000,0.14733940,0.69003246,0.48897662,0.92019780
-5.93996998,2.74476372,0.25695251,0.00000000,0.13262969,0.65349363,0.47850343,0.85458158
-5.93396698,2.61096750,0.25842252,0.00000000,0.11863766,0.61753148,0.46731976,0.79151873
-5.92796398,2.47973507,0.25901499,0.00000000,0.10545838,0.58232435,0.45544503,0.73124708
-5.92196098,2.35144529,0.25867874,0.00000000,0.09316167,0.54802228,0.44289858,0.67394681
-5.91595798,2.22637343,0.25737342,0.00000000,0.08179309,0.51474697,0.42970106,0.61974167
-5.90995498,2.10470256,0.25507124,0.00000000,0.07137564,0.48259255,0.41587597,0.56870162
-5.90395198,1.98653768,0.25175842,0.00000000,0.06191193,0.45162734,0.40145117,0.52084680
-5.89794897,1.87192168,0.24743639,0.00000000,0.05338673,0.42189633,0.38646045,0.47615268
-5.89194597,1.76085217,0.24212262,0.00000000,0.04576977,0.39342432,0.37094491,0.43455596
-5.88594297,1.65329844,0.23585098,0.00000000,0.03901861,0.36621937,0.35495411,0.39596114
-5.87993997,1.54921742,0.22867176,0.00000000,0.03308153,0.34027651,0.33854689,0.36024723
-5.87393697,1.44856813,0.22065108,0.00000000,0.02790023,0.31558145,0.32179185,0.32727459
-5.86793397,1.35132378,0.21186997,0.00000000,0.02341237,0.29211403,0.30476738,0.29689130
-5.86193097,1.25748128,0.20242292,0.00000000,0.01955384,0.26985140,0.28756123,0.26893918
-5.85592796,1.16706767,0.19241611,0.00000000,0.01626069,0.24877068,0.27026958,0.24325893
-5.84992496,1.08014360,0.18196520,0.00000000,0.01347077,0.22885105,0.25299580,0.21969463
-5.84392196,0.99680384,0.17119306,0.00000000,0.01112502,0.21007521,0.23584871,0.19809711
-5.83791896,0.91717518,0.16022716,0.00000000,0.00916845,0.19243023,0.21894063,0.17832664
-5.83191596,0.84141210,0.14919702,0.00000000,0.00755083,0.17590778,0.20238514,0.16025449
-5.82591296,0.76969063,0.13823171,0.00000000,0.00622714,0.16050384,0.18629482,0.14376388
-5.81990995,0.70220118,0.12745751,0.00000000,0.00515776,0.14621791,0.17077895,0.12875004
-5.81390695,0.63914067,0.11699576,0.00000000,0.00430853,0.13305195,0.15594129,0.11511983
-5.80790395,0.58070469,0.10696111,0.00000000,0.00365062,0.12100899,0.14187817,0.10279083
-5.80190095,0.52708015,0.09746011,0.00000000,0.00316035,0.11009174,0.12867679,0.09169016
-5.79589795,0.47843876,0.08859026,0.00000000,0.00281887,0.10030109,0.11641397,0.08175311
-5.78989495,0.43493180,0.08043945,0.00000000,0.00261184,0.09163477,0.10515527,0.07292179
-5.78389195,0.39668631,0.07308581,0.00000000,0.00252903,0.08408626,0.09495461,0.06514380
-5.77788894,0.36380275,0.06659804,0.00000000,0.00256395,0.07764388,0.08585427,0.05837102
-5.77188594,0.33635421,0.06103591,0.00000000,0.00271347,0.07229029,0.07788544,0.05255868
-5.76588294,0.31438707,0.05645120,0.00000000,0.00297736,0.06800232,0.07106900,0.04766457
-5.75987994,0.29792276,0.05288864,0.00000000,0.00335796,0.06475118,0.06541677,0.04364864
-5.75387694,0.28696060,0.05038704,0.00000000,0.00385969,0.06250315,0.06093284,0.04047269
-5.74787394,0.28148120,0.04898036,0.00000000,0.00448869,0.06122051,0.05761524,0.03810042
-5.74187094,0.28145028,0.04869866,0.00000000,0.00525235,0.06086290,0.05545748,0.03649759
-5.73586793,0.28682250,0.04956885,0.00000000,0.00615888,0.06138896,0.05445019,0.03563237
-5.72986493,0.29754495,0.05161514,0.00000000,0.00721684,0.06275817,0.05458253,0.03547575
-5.72386193,0.31356020,0.05485919,0.00000000,0.00843464,0.06493289,0.05584348,0.03600206
-5.71785893,0.33480842,0.05931988,0.00000000,0.00982005,0.06788040,0.05822271,0.03718939
-5.71185593,0.36122863,0.06501261,0.00000000,0.01137969,0.07157496,0.06171120,0.03902000
-5.70585293,0.39275878,0.07194829,0.00000000,0.01311852,0.07599971,0.06630136,0.04148063
-5.69984992,0.42933466,0.08013194,0.00000000,0.01503932,0.08114831,0.07198681,0.04456258
-5.69384692,0.47088766,0.08956098,0.00000000,0.01714224,0.08702623,0.07876158,0.04826165
-5.68784392,0.51734132,0.10022327,0.00000000,0.01942435,0.09365148,0.08661903,0.05257784
-5.68184092,0.56860696,0.11209506,0.00000000,0.02187929,0.10105486,0.09555020,0.05751472
-5.67583792,0.62457840,0.12513884,0.00000000,0.02449695,0.10927943,0.10554200,0.06307864
-5.66983492,0.68512610,0.13930141,0.00000000,0.02726328,0.11837927,0.11657494,0.06927756
-5.66383192,0.75009099,0.15451207,0.00000000,0.03016024,0.12841743,0.12862088,0.07611971
-5.65782891,0.81927822,0.17068124,0.00000000,0.03316582,0.13946305,0.14164060,0.08361191
-5.65182591,0.89245120,0.18769957,0.00000000,0.03625422,0.15158776,0.15558154,0.09175783
-5.64582291,0.96932635,0.20543762,0.00000000,0.03939622,0.16486131,0.17037568,0.10055598
-5.63981991,1.04956869,0.22374629,0.00000000,0.04255958,0.17934668,0.18593789,0.10999773
-5.63381691,1.13278873,0.24245796,0.00000000,0.04570971,0.19509475,0.20216470,0.12006527
-5.62781391,1.21854087,0.26138844,0.00000000,0.04881033,0.21213876,0.21893371,0.13072976
-5.62181091,1.30632343,0.28033968,0.00000000,0.05182430,0.23048882,0.23610375,0.14194958
-5.61580790,1.39558053,0.29910324,0.00000000,0.05471455,0.25012674,0.25351579,0.15366897
-5.60980490,1.48570578,0.31746434,0.00000000,0.05744492,0.27100142,0.27099470,0.16581704
-5.60380190,1.57604778,0.33520648,0.00000000,0.05998114,0.29302513,0.28835187,0.17830723
-5.59779890,1.66591720,0.35211629,0.00000000,0.06229174,0.31607087,0.30538848,0.19103738
-5.59179590,1.75459542,0.36798867,0.00000000,0.06434881,0.33997117,0.32189961,0.20389035
-5.58579290,1.84134423,0.38263169,0.00000000,0.06612876,0.36451835,0.33767880,0.21673535
-5.57978989,1.92541640,0.39587137,0.00000000,0.06761289,0.38946648,0.35252298,0.22942984
-5.57378689,2.00606684,0.40755583,0.00000000,0.06878780,0.41453507,0.36623767,0.24182206
-5.56778389,2.08256384,0.41755885,0.00000000,0.06964560,0.43941442,0.37864213,0.25375419
-5.56178089,2.15420024,0.42578257,0.00000000,0.07018400,0.46377252,0.38957424,0.26506583
-5.55577789,2.22030418,0.43215919,0.00000000,0.07040611,0.48726342,0.39889506,0.27559796
-5.54977489,2.28024926,0.43665175,0.00000000,0.07032014,0.50953663,0.40649264,0.28519712
-5.54377189,2.33346402,0.43925380,0.00000000,0.06993890,0.53024734,0.41228523,0.29371959
-5.53776888,2.37944054,0.43998812,0.00000000,0.06927916,0.54906710,0.41622351,0.30103556
-5.53176588,2.41774230,0.43890464,0.00000000,0.06836095,0.56569444,0.41829192,0.30703304
-5.52576288,2.44801131,0.43607751,0.00000000,0.06720674,0.57986506,0.41850901,0.31162139
-5.51975988,2.46997447,0.43160175,0.00000000,0.06584069,0.59136123,0.41692695,0.31473430
-5.51375688,2.48344937,0.42558949,0.00000000,0.06428780,0.60001992,0.41363004,0.31633217
-5.50775388,2.48834941,0.41816609,0.00000000,0.06257327,0.60573930,0.40873255,0.31640369
-5.50175088,2.48468834,0.40946637,0.00000000,0.06072185,0.60848345,0.40237586,0.31496662
-5.49574787,2.47258401,0.39963107,0.00000000,0.05875738,0.60828483,0.39472515,0.31206778
-5.48974487,2.45226119,0.38880372,0.00000000,0.05670243,0.60524471,0.38596564,0.30778209
-5.48374187,2.42405322,0.37712803,0.00000000,0.05457819,0.59953111,0.37629859,0.30221086
-5.47773887,2.38840207,0.36474579,0.00000000,0.05240445,0.59137465,0.36593726,0.29547926
-5.47173587,2.34585649,0.35179543,0.00000000,0.05019977,0.58106225,0.35510271,0.28773310
-5.46573287,2.29706782,0.33841100,0.00000000,0.04798183,0.56892888,0.34401967,0.27913505
-5.45972986,2.24278312,0.32472165,0.00000000,0.04576789,0.55534776,0.33291255,0.26986034
-5.45372686,2.18383534,0.31085141,0.00000000,0.04357534,0.54071923,0.32200148,0.26009217
-5.44772386,2.12113030,0.29691920,0.00000000,0.04142240,0.52545873,0.31149854,0.25001691
-5.44172086,2.05563060,0.28303885,0.00000000,0.03932882,0.50998432,0.30160405,0.23981922
-5.43571786,1.98833656,0.26931912,0.00000000,0.03731662,0.49470413,0.29250315,0.22967736
-5.42971486,1.92026464,0.25586355,0.00000000,0.03541089,0.48000426,0.28436245,0.21975870
-5.42371186,1.85242396,0.24277006,0.00000000,0.03364046,0.46623742,0.27732696,0.21021559
-5.41770885,1.78579175,0.23013032,0.00000000,0.03203867,0.45371285,0.27151727,0.20118179
-5.41170585,1.72128862,0.21802885,0.00000000,0.03064390,0.44268776,0.26702717,0.19276948
-5.40570285,1.65975488,0.20654198,0.00000000,0.02950016,0.43336070,0.26392164,0.18506703
-5.39969985,1.60192886,0.19573661,0.00000000,0.02865750,0.42586692,0.26223550,0.17813747
-5.39369685,1.54842844,0.18566902,0.00000000,0.02817222,0.42027607,0.26197265,0.17201783
-5.38769385,1.49973671,0.17638382,0.00000000,0.02810702,0.41659219,0.26310615,0.16671930
-5.38169085,1.45619265,0.16791306,0.00000000,0.02853086,0.41475596,0.26557919,0.16222817
-5.37568784,1.41798726,0.16027583,0.00000000,0.02951858,0.41464923,0.26930692,0.15850761
-5.36968484,1.38516565,0.15347820,0.00000000,0.03115027,0.41610143,0.27417920,0.15550012
-5.36368184,1.35763479,0.14751385,0.00000000,0.03351033,0.41889781,0.28006437,0.15313058
-5.35767884,1.33517684,0.14236513,0.00000000,0.03668611,0.42278898,0.28681366,0.15130984
