energy_ev,total_up,As_p_up,As_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,6.01665785,0.03897804,0.00000000,0.39871455,5.33029311,1.08686027,0.00000000
-5.99399700,6.18717129,0.03987435,0.00000000,0.40666484,5.48255577,1.12708500,0.00000000
-5.98799400,6.35962205,0.04066602,0.00000000,0.41612530,5.63473901,1.17041147,0.00000000
-5.98199100,6.53399974,0.04135831,0.00000000,0.42727218,5.78652770,1.21694769,0.00000000
-5.97598799,6.71028184,0.04196164,0.00000000,0.44029997,5.93755736,1.26677723,0.00000000
-5.96998499,6.88844384,0.04249152,0.00000000,0.45542261,6.08742371,1.31996206,0.00000000
-5.96398199,7.06846836,0.04296838,0.00000000,0.47287392,6.23569348,1.37654565,0.00000000
-5.95797899,7.25035242,0.04341708,0.00000000,0.49290672,6.38191579,1.43655608,0.00000000
-5.95197599,7.43411192,0.04386642,0.00000000,0.51579040,6.52563353,1.50000867,0.00000000
-5.94597299,7.61978222,0.04434836,0.00000000,0.54180685,6.66639390,1.56690780,0.00000000
-5.93996998,7.80741456,0.04489716,0.00000000,0.57124456,6.80375763,1.63724759,0.00000000
-5.93396698,7.99706746,0.04554838,0.00000000,0.60439103,6.93730600,1.71101113,0.00000000
-5.92796398,8.18879318,0.04633784,0.00000000,0.64152351,7.06664524,1.78816799,0.00000000
-5.92196098,8.38261922,0.04730041,0.00000000,0.68289834,7.19140781,1.86867011,0.00000000
-5.91595798,8.57852509,0.04846894,0.00000000,0.72873928,7.31125021,1.95244589,0.00000000
-5.90995498,8.77641530,0.04987312,0.00000000,0.77922512,7.42584718,2.03939268,0.00000000
-5.90395198,8.97608941,0.05153839,0.00000000,0.83447726,7.53488255,2.12936802,0.00000000
-5.89794897,9.17721058,0.05348503,0.00000000,0.89454754,7.63803690,2.22217994,0.00000000
-5.89194597,9.37927423,0.05572727,0.00000000,0.95940707,7.73497287,2.31757690,0.00000000
-5.88594297,9.58157872,0.05827268,0.00000000,1.02893658,7.82531900,2.41523800,0.00000000
-5.87993997,9.78320004,0.06112167,0.00000000,1.10291879,7.90865323,2.51476409,0.00000000
-5.87393697,9.98297267,0.06426721,0.00000000,1.18103330,7.98448743,2.61567063,0.00000000
-5.86793397,10.17947843,0.06769476,0.00000000,1.26285447,8.05225440,2.71738292,0.00000000
-5.86193097,10.37104534,0.07138247,0.00000000,1.34785246,8.11129878,2.81923441,0.00000000
-5.85592796,10.55575781,0.07530151,0.00000000,1.43539791,8.16087318,2.92046872,0.00000000
-5.84992496,10.73147901,0.07941673,0.00000000,1.52476999,8.20014073,3.02024559,0.00000000
-5.84392196,10.89588610,0.08368737,0.00000000,1.61516807,8.22818476,3.11765135,0.00000000
-5.83791896,11.04651779,0.08806808,0.00000000,1.70572664,8.24402603,3.21171351,0.00000000
-5.83191596,11.18083332,0.09251002,0.00000000,1.79553322,8.24664744,3.30141964,0.00000000
-5.82591296,11.29628124,0.09696206,0.00000000,1.88364873,8.23502562,3.38573984,0.00000000
-5.81990995,11.39037558,0.10137213,0.00000000,1.96912983,8.20816833,3.46365219,0.00000000
-5.81390695,11.46077649,0.10568853,0.00000000,2.05105244,8.16515607,3.53417042,0.00000000
-5.80790395,11.50537209,0.10986132,0.00000000,2.12853565,8.10518611,3.59637249,0.00000000
-5.80190095,11.52235785,0.11384356,0.00000000,2.20076532,8.02761656,3.64942911,0.00000000
-5.79589795,11.51030976,0.11759262,0.00000000,2.26701623,7.93200835,3.69263088,0.00000000
-5.78989495,11.46824785,0.12107115,0.00000000,2.32667221,7.81816252,3.72541275,0.00000000
-5.78389195,11.39568654,0.12424810,0.00000000,2.37924305,7.68615096,3.74737456,0.00000000
-5.77788894,11.29266928,0.12709934,0.00000000,2.42437765,7.53633825,3.75829669,0.00000000
-5.77188594,11.15978510,0.12960815,0.00000000,2.46187261,7.36939349,3.75814982,0.00000000
-5.76588294,10.99816584,0.13176542,0.00000000,2.49167574,7.18629077,3.74709805,0.00000000
-5.75987994,10.80946351,0.13356951,0.00000000,2.51388407,6.98829795,3.72549516,0.00000000
-5.75387694,10.59580812,0.13502592,0.00000000,2.52873631,6.77695379,3.69387371,0.00000000
-5.74787394,10.35974747,0.13614657,0.00000000,2.53659971,6.55403425,3.65292740,0.00000000
-5.74187094,10.10417086,0.13694888,0.00000000,2.53795186,6.32150904,3.60348709,0.00000000
-5.73586793,9.83221990,0.13745465,0.00000000,2.53335784,6.08149030,3.54649153,0.00000000
-5.72986493,9.54719000,0.13768866,0.00000000,2.52344378,5.83617552,3.48295386,0.00000000
-5.72386193,9.25242658,0.13767723,0.00000000,2.50886782,5.58778708,3.41392538,0.00000000
-5.71785893,8.95122064,0.13744670,0.00000000,2.49028986,5.33851116,3.34045817,0.00000000
-5.71185593,8.64670802,0.13702191,0.00000000,2.46834148,5.09043840,3.26356829,0.00000000
-5.70585293,8.34177693,0.13642486,0.00000000,2.44359762,4.84550919,3.18420126,0.00000000
-5.69984992,8.03898777,0.13567341,0.00000000,2.41655133,4.60546558,3.10320155,0.00000000
-5.69384692,7.74050875,0.13478040,0.00000000,2.38759325,4.37181200,3.02128745,0.00000000
-5.68784392,7.44807005,0.13375292,0.00000000,2.35699668,4.14578630,2.93903264,0.00000000
-5.68184092,7.16293855,0.13259208,0.00000000,2.32490936,3.92834211,2.85685541,0.00000000
-5.67583792,6.88591379,0.13129306,0.00000000,2.29135241,3.72014308,2.77501584,0.00000000
-5.66983492,6.61734514,0.12984557,0.00000000,2.25622662,3.52156891,2.69362122,0.00000000
-5.66383192,6.35716887,0.12823476,0.00000000,2.21932575,3.33273254,2.61263917,0.00000000
-5.65782891,6.10496289,0.12644232,0.00000000,2.18035626,3.15350737,2.53191778,0.00000000
-5.65182591,5.86001600,0.12444798,0.00000000,2.13896230,2.98356297,2.45121148,0.00000000
-5.64582291,5.62140799,0.12223112,0.00000000,2.09475466,2.82240724,2.37021126,0.00000000
-5.63981991,5.38809612,0.11977247,0.00000000,2.04734195,2.66943295,2.28857726,0.00000000
-5.63381691,5.15900359,0.11705590,0.00000000,1.99636233,2.52396637,2.20597224,0.00000000
-5.62781391,4.93310558,0.11407001,0.00000000,1.94151393,2.38531559,2.12209373,0.00000000
-5.62181091,4.70950853,0.11080955,0.00000000,1.88258230,2.25281652,2.03670331,0.00000000
-5.61580790,4.48751911,0.10727663,0.00000000,1.81946338,2.12587455,1.94965145,0.00000000
-5.60980490,4.26669996,0.10348150,0.00000000,1.75218069,2.00400037,1.86089661,0.00000000
-5.60380190,4.04691007,0.09944303,0.00000000,1.68089605,1.88683875,1.77051788,0.00000000
-5.59779890,3.82832866,0.09518872,0.00000000,1.60591322,1.77418951,1.67872054,0.00000000
-5.59179590,3.61146245,0.09075436,0.00000000,1.52767448,1.66602044,1.58583472,0.00000000
-5.58579290,3.39713702,0.08618329,0.00000000,1.44675061,1.56247224,1.49230735,0.00000000
-5.57978989,3.18647377,0.08152535,0.00000000,1.36382497,1.46385606,1.39868830,0.00000000
-5.57378689,2.98085465,0.07683556,0.00000000,1.27967264,1.37064433,1.30561170,0.00000000
-5.56778389,2.78187740,0.07217260,0.00000000,1.19513613,1.28345596,1.21377368,0.00000000
-5.56178089,2.59130399,0.06759721,0.00000000,1.11109883,1.20303705,1.12390793,0.00000000
-5.55577789,2.41100534,0.06317051,0.00000000,1.02845777,1.13023820,1.03676056,0.00000000
-5.54977489,2.24290492,0.05895241,0.00000000,0.94809708,1.06598950,0.95306545,0.00000000
-5.54377189,2.08892378,0.05500017,0.00000000,0.87086330,1.01127420,0.87352146,0.00000000
-5.53776888,1.95092880,0.05136703,0.00000000,0.79754361,0.96710181,0.79877235,0.00000000
-5.53176588,1.83068581,0.04810112,0.00000000,0.72884775,0.93448102,0.72939032,0.00000000
-5.52576288,1.72981817,0.04524464,0.00000000,0.66539417,0.91439305,0.66586345,0.00000000
-5.51975988,1.64977132,0.04283317,0.00000000,0.60770047,0.90776528,0.60858744,0.00000000
-5.51375688,1.59178315,0.04089530,0.00000000,0.55617819,0.91544531,0.55786137,0.00000000
-5.50775388,1.55685946,0.03945245,0.00000000,0.51113157,0.93817534,0.51388741,0.00000000
-5.50175088,1.54575403,0.03851884,0.00000000,0.47275983,0.97656672,0.47677375,0.00000000
-5.49574787,1.55895218,0.03810164,0.00000000,0.44116226,1.03107464,0.44654036,0.00000000
-5.48974487,1.59665722,0.03820118,0.00000000,0.41634549,1.10197313,0.42312668,0.00000000
-5.48374187,1.65877888,0.03881127,0.00000000,0.39823207,1.18933052,0.40640078,0.00000000
-5.47773887,1.74492368,0.03991946,0.00000000,0.38666989,1.29298610,0.39616895,0.00000000
-5.47173587,1.85438684,0.04150743,0.00000000,0.38144151,1.41252852,0.39218543,0.00000000
-5.46573287,1.98614634,0.04355121,0.00000000,0.38227322,1.54727721,0.39416165,0.00000000
-5.45972986,2.13885980,0.04602148,0.00000000,0.38884318,1.69626778,0.40177449,0.00000000
-5.45372686,2.31086500,0.04888381,0.00000000,0.40078867,1.85824299,0.41467356,0.00000000
-5.44772386,2.50018559,0.05209887,0.00000000,0.41771220,2.03165053,0.43248718,0.00000000
-5.44172086,2.70454299,0.05562268,0.00000000,0.43918671,2.21464892,0.45482721,0.00000000
-5.43571786,2.92137601,0.05940685,0.00000000,0.46475990,2.40512276,0.48129289,0.00000000
-5.42971486,3.14786911,0.06339897,0.00000000,0.49395807,2.60070798,0.51147377,0.00000000
-5.42371186,3.38099007,0.06754298,0.00000000,0.52628973,2.79882755,0.54495223,0.00000000
-5.41770885,3.61753734,0.07177980,0.00000000,0.56124929,2.99673754,0.58130563,0.00000000
-5.41170585,3.85419665,0.07604797,0.00000000,0.59832120,3.19158262,0.62010852,0.00000000
-5.40570285,4.08760602,0.08028455,0.00000000,0.63698467,3.38045993,0.66093516,0.00000000
-5.39969985,4.31442746,0.08442613,0.00000000,0.67671916,3.56048924,0.70336232,0.00000000
-5.39369685,4.53142318,0.08841001,0.00000000,0.71701077,3.72888700,0.74697276,0.00000000
-5.38769385,4.73553364,0.09217548,0.00000000,0.75735932,3.88304157,0.79135909,0.00000000
-5.38169085,4.92395424,0.09566522,0.00000000,0.79728606,4.02058643,0.83612810,0.00000000
-5.37568784,5.09420756,0.09882669,0.00000000,0.83634173,4.13946824,0.88090537,0.00000000
-5.36968484,5.24420772,0.10161361,0.00000000,0.87411455,4.23800670,0.92533998,0.00000000
-5.36368184,5.37231408,0.10398726,0.00000000,0.91023792,4.31494341,0.96910902,0.00000000
-5.35767884,5.47737150,0.10591777,0.00000000,0.94439723,4.36947738,1.01192169,0.00000000
-5.35167584,5.55873543,0.10738517,0.00000000,0.97633554,4.40128556,1.05352287,0.00000000
-5.34567284,5.61628057,0.10838025,0.00000000,1.00585781,4.41052739,1.09369581,0.00000000
-5.33966983,5.65039280,0.10890522,0.00000000,1.03283325,4.39783319,1.13226400,0.00000000
-5.33366683,5.66194500,0.10897402,0.00000000,1.05719590,4.36427718,1.16909207,0.00000000
-5.32766383,5.65225819,0.10861245,0.00000000,1.07894319,4.31133637,1.20408582,0.00000000
-5.32166083,5.62305008,0.10785796,0.00000000,1.09813267,4.24083767,1.23719157,0.00000000
-5.31565783,5.57637392,0.10675925,0.00000000,1.11487704,4.15489564,1.26839478,0.00000000
-5.30965483,5.51455069,0.10537559,0.00000000,1.12933781,4.05584410,1.29771840,0.00000000
-5.30365183,5.44009802,0.10377600,0.00000000,1.14171787,3.94616467,1.32522101,0.00000000
-5.29764882,5.35565906,0.10203822,0.00000000,1.15225344,3.82841548,1.35099488,0.00000000
-5.29164582,5.26393431,0.10024761,0.00000000,1.16120572,3.70516293,1.37516435,0.00000000
-5.28564282,5.16761886,0.09849589,0.00000000,1.16885261,3.57891897,1.39788417,0.00000000
-5.27963982,5.06934706,0.09687986,0.00000000,1.17548090,3.45208614,1.41933824,0.00000000
-5.27363682,4.97164552,0.09549996,0.00000000,1.18137903,3.32691149,1.43973817,0.00000000
-5.26763382,4.87689519,0.09445887,0.00000000,1.18683074,3.20545031,1.45932184,0.00000000
-5.26163082,4.78730195,0.09385990,0.00000000,1.19210951,3.08953974,1.47835137,0.00000000
