energy_ev,total_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,5.53168436,3.23807699,2.46255942,0.02795844,3.59984401,0.38609552,0.00691262
-5.99399700,5.63036766,3.31373515,2.50397726,0.02930717,3.65963989,0.40001580,0.00709480
-5.98799400,5.73157360,3.39003973,2.54710763,0.03063631,3.72128855,0.41400943,0.00728111
-5.98199100,5.83482033,3.46653857,2.59177137,0.03192725,3.78450115,0.42800673,0.00746961
-5.97598799,5.93939303,3.54273412,2.63762230,0.03316159,3.84879609,0.44194999,0.00765812
-5.96998499,6.04435865,3.61809034,2.68415266,0.03432155,3.91350723,0.45579628,0.00784423
-5.96398199,6.14858969,3.69204084,2.73070551,0.03539053,3.97780015,0.46951945,0.00802542
-5.95797899,6.25079554,3.76399780,2.77649358,0.03635354,4.04069536,0.48311099,0.00819911
-5.95197599,6.34955991,3.83336124,2.82062354,0.03719764,4.10109749,0.49657988,0.00836275
-5.94597299,6.44338231,3.89952803,2.86212469,0.03791233,4.15782892,0.50995120,0.00851388
-5.93996998,6.53072172,3.96190054,2.89998080,0.03848982,4.20966657,0.52326357,0.00865021
-5.93396698,6.61004080,4.01989442,2.93316362,0.03892531,4.25537999,0.53656564,0.00876966
-5.92796398,6.67984876,4.07294564,2.96066686,0.03921707,4.29376961,0.54991176,0.00887046
-5.92196098,6.73874170,4.12051682,2.98153925,0.03936653,4.32370352,0.56335708,0.00895113
-5.91595798,6.78543931,4.16210290,2.99491556,0.03937827,4.34415175,0.57695240,0.00901058
-5.90995498,6.81881709,4.19723668,3.00004442,0.03925986,4.35421687,0.59073909,0.00904806
-5.90395198,6.83793379,4.22549438,2.99631228,0.03902169,4.35316042,0.60474447,0.00906324
-5.89794897,6.84205379,4.24650171,2.98326273,0.03867678,4.34042436,0.61897784,0.00905614
-5.89194597,6.83066458,4.25994077,2.96061088,0.03824044,4.31564747,0.63342762,0.00902719
-5.88594297,6.80348945,4.26555782,2.92825253,0.03772994,4.27867642,0.64805970,0.00897718
-5.87993997,6.76049577,4.26317234,2.88626808,0.03716420,4.22957166,0.66281715,0.00890726
-5.87393697,6.70189917,4.25268692,2.83492145,0.03656342,4.16860832,0.67762144,0.00881893
-5.86793397,6.62816403,4.23409798,2.77465427,0.03594867,4.09627233,0.69237513,0.00871398
-5.86193097,6.54000031,4.20750665,2.70607572,0.03534160,4.01325222,0.70696581,0.00859453
-5.85592796,6.43835721,4.17312941,2.62994858,0.03476401,3.92042696,0.72127134,0.00846296
-5.84992496,6.32441337,4.13130751,2.54717211,0.03423760,3.81885016,0.73516583,0.00832192
-5.84392196,6.19956396,4.08251452,2.45876227,0.03378355,3.70973127,0.74852634,0.00817428
-5.83791896,6.06540431,4.02736101,2.36583007,0.03342232,3.59441403,0.76123970,0.00802311
-5.83191596,5.92371012,3.96659578,2.26955846,0.03317330,3.47435263,0.77320922,0.00787169
-5.82591296,5.77641407,3.90110266,2.17117858,0.03305457,3.35108612,0.78436091,0.00772341
-5.81990995,5.62557887,3.83189260,2.07194573,0.03308265,3.22621127,0.79464874,0.00758179
-5.81390695,5.47336662,3.76009066,1.97311580,0.03327227,3.10135457,0.80405876,0.00745038
-5.80790395,5.32200467,3.68691768,1.87592231,0.03363614,2.97814355,0.81261176,0.00733277
-5.80190095,5.17374834,3.61366714,1.78155472,0.03418478,2.85817800,0.82036424,0.00723249
-5.79589795,5.03084067,3.54167733,1.69113825,0.03492628,2.74300151,0.82740765,0.00715293
-5.78989495,4.89547006,3.47229983,1.60571537,0.03586618,2.63407370,0.83386583,0.00709734
-5.78389195,4.76972627,3.40686505,1.52622938,0.03700723,2.53274375,0.83989065,0.00706865
-5.77788894,4.65555595,3.34664615,1.45351000,0.03834932,2.44022556,0.84565608,0.00706950
-5.77188594,4.55471857,3.29282250,1.38826135,0.03988926,2.35757508,0.85135084,0.00710206
-5.76588294,4.46874399,3.24644406,1.33105227,0.04162071,2.28567033,0.85716995,0.00716805
-5.75987994,4.39889304,3.20839814,1.28230901,0.04353407,2.22519448,0.86330547,0.00726856
-5.75387694,4.34612238,3.17937988,1.24231054,0.04561640,2.17662267,0.86993693,0.00740408
-5.74787394,4.31105501,3.15986768,1.21118643,0.04785139,2.14021267,0.87722176,0.00757441
-5.74187094,4.29395786,3.15010471,1.18891735,0.05021937,2.11600020,0.88528625,0.00777858
-5.73586793,4.29472765,3.15008742,1.17533830,0.05269740,2.10379892,0.89421748,0.00801491
-5.72986493,4.31288603,3.15956179,1.17014463,0.05525939,2.10320552,0.90405655,0.00828095
-5.72386193,4.34758512,3.17802756,1.17290073,0.05787633,2.11361004,0.91479369,0.00857352
-5.71785893,4.39762369,3.20475076,1.18305161,0.06051663,2.13421151,0.92636527,0.00888875
-5.71185593,4.46147454,3.23878417,1.19993703,0.06314649,2.16403861,0.93865328,0.00922218
-5.70585293,4.53732261,3.27899526,1.22280821,0.06573046,2.20197533,0.95148721,0.00956883
-5.69984992,4.62311342,3.32410081,1.25084678,0.06823205,2.24679089,0.96464839,0.00992333
-5.69384692,4.71661062,3.37270712,1.28318569,0.07061446,2.29717338,0.97787682,0.01028007
-5.68784392,4.81546111,3.42335447,1.31893156,0.07284139,2.35176625,0.99088017,0.01063334
-5.68184092,4.91726583,3.47456419,1.35718799,0.07487788,2.40920650,1.00334473,0.01097753
-5.67583792,5.01965372,3.52488686,1.39707909,0.07669129,2.46816352,1.01494781,0.01130728
-5.66983492,5.12035634,3.57294966,1.43777259,0.07825216,2.52737712,1.02537117,0.01161768
-5.66383192,5.21728011,3.61750118,1.47850171,0.07953512,2.58569345,1.03431479,0.01190441
-5.65782891,5.30857350,3.65745187,1.51858495,0.08051972,2.64209743,1.04151047,0.01216394
-5.65182591,5.39268600,3.69190866,1.55744312,0.08119110,2.69574036,1.04673454,0.01239360
-5.64582291,5.46841659,3.72020210,1.59461274,0.08154059,2.74596151,1.04981914,0.01259173
-5.63981991,5.53494910,3.74190511,1.62975543,0.08156608,2.79230268,1.05066139,0.01275773
-5.63381691,5.59187295,3.75684237,1.66266250,0.08127213,2.83451504,1.04923018,0.01289210
-5.62781391,5.63918785,3.76508995,1.69325480,0.08066999,2.87255772,1.04556994,0.01299643
-5.62181091,5.67729212,3.76696505,1.72157736,0.07977723,2.90658817,1.03980145,0.01307330
-5.61580790,5.70695469,3.76300636,1.74778927,0.07861725,2.93694434,1.03211931,0.01312628
-5.60980490,5.72927180,3.75394561,1.77214890,0.07721853,2.96411956,1.02278637,0.01315970
-5.60380190,5.74561011,3.74067158,1.79499508,0.07561371,2.98873082,1.01212515,0.01317855
-5.59779890,5.75753836,3.72418799,1.81672503,0.07383848,3.01148190,1.00050676,0.01318825
-5.59179590,5.76675058,3.70556701,1.83776986,0.07193046,3.03312287,0.98833761,0.01319444
-5.58579290,5.77498410,3.68590033,1.85856876,0.06992791,3.05440755,0.97604464,0.01320280
-5.57978989,5.78393581,3.66624995,1.87954295,0.06786853,3.07605103,0.96405951,0.01321873
-5.57378689,5.79518058,3.64760061,1.90107044,0.06578830,3.09868897,0.95280270,0.01324724
-5.56778389,5.81009509,3.63081604,1.92346303,0.06372034,3.12284054,0.94266788,0.01329266
-5.56178089,5.82979090,3.61660080,1.94694623,0.06169408,3.14887689,0.93400743,0.01335850
-5.55577789,5.85505935,3.60546947,1.97164334,0.05973443,3.17699644,0.92711961,0.01344729
-5.54977489,5.88633110,3.59772433,1.99756428,0.05786131,3.20720836,0.92223794,0.01356049
-5.54377189,5.92365199,3.59344263,2.02459984,0.05608930,3.23932505,0.91952316,0.01369840
-5.53776888,5.96667641,3.59247392,2.05252160,0.05442758,3.27296407,0.91905812,0.01386019
-5.53176588,6.01467854,3.59444752,2.08098769,0.05288008,3.30755961,0.92084572,0.01404385
-5.52576288,6.06658089,3.59878984,2.10955404,0.05144581,3.34238297,0.92481003,0.01424634
-5.51975988,6.12099910,3.60475059,2.13769090,0.05011939,3.37657144,0.93080039,0.01446368
-5.51375688,6.17630074,3.61143690,2.16480367,0.04889173,3.40916405,0.93859840,0.01469109
-5.50775388,6.23067568,3.61785364,2.19025731,0.04775081,3.43914286,0.94792731,0.01492320
-5.50175088,6.28221471,3.62294810,2.21340318,0.04668251,3.46547776,0.95846357,0.01515426
-5.49574787,6.32899283,3.62565720,2.23360705,0.04567152,3.48717276,0.96984984,0.01537835
-5.48974487,6.36915340,3.62495475,2.25027697,0.04470220,3.50331166,0.98170901,0.01558962
-5.48374187,6.40098923,3.61989698,2.26288975,0.04375935,3.51310078,0.99365857,0.01578252
-5.47773887,6.42301687,3.60966406,2.27101477,0.04282897,3.51590690,1.00532470,0.01595199
-5.47173587,6.43404063,3.59359582,2.27433383,0.04189887,3.51128849,1.01635548,0.01609366
-5.46573287,6.43320338,3.57122022,2.27265641,0.04095913,3.49901858,1.02643266,0.01620401
-5.45972986,6.42002185,3.54227325,2.26592919,0.04000247,3.47909848,1.03528154,0.01628047
-5.45372686,6.39440483,3.50670965,2.25423974,0.03902439,3.45176141,1.04267851,0.01632151
-5.44772386,6.35665364,3.46470398,2.23781405,0.03802322,3.41746602,1.04845592,0.01632662
-5.44172086,6.30744502,3.41664259,2.21700804,0.03700002,3.37688018,1.05250434,0.01629636
-5.43571786,6.24779763,3.36310678,2.19229366,0.03595830,3.33085592,1.05477192,0.01623222
-5.42971486,6.17902403,3.30484851,2.16424025,0.03490371,3.28039680,1.05526121,0.01613658
-5.42371186,6.10267086,3.24276018,2.13349215,0.03384361,3.22661948,1.05402355,0.01601251
-5.41770885,6.02045047,3.17784000,2.10074386,0.03278654,3.17071151,1.05115148,0.01586364
-5.41170585,5.93416771,3.11115513,2.06671393,0.03174173,3.11388747,1.04676966,0.01569397
-5.40570285,5.84564573,3.04380454,2.03211910,0.03071855,3.05734576,1.04102481,0.01550766
-5.39969985,5.75665465,2.97688336,1.99764987,0.02972604,3.00222822,1.03407521,0.01530886
-5.39369685,5.66884679,2.91145074,1.96394881,0.02877241,2.94958445,1.02608054,0.01510151
-5.38769385,5.58370144,2.84850256,1.93159262,0.02786468,2.90034261,1.01719239,0.01488919
-5.38169085,5.50248193,2.78895011,1.90107873,0.02700837,2.85528788,1.00754611,0.01467500
-5.37568784,5.42620657,2.73360553,1.87281687,0.02620726,2.81504939,0.99725432,0.01446144
-5.36968484,5.35563454,2.68317418,1.84712595,0.02546329,2.78009588,0.98640245,0.01425040
-5.36368184,5.29126651,2.63825374,1.82423595,0.02477654,2.75073976,0.97504637,0.01404307
-5.35767884,5.23335939,2.59933946,1.80429439,0.02414531,2.72714898,0.96321231,0.01384001
-5.35167584,5.18195324,2.56683441,1.78737681,0.02356626,2.70936531,0.95089875,0.01364122
-5.34567284,5.13690821,2.54106354,1.77350017,0.02303469,2.69732776,0.93808030,0.01344617
-5.33966983,5.09794857,2.52228993,1.76263807,0.02254480,2.69089902,0.92471299,0.01325395
-5.33366683,5.06471065,2.51073181,1.75473679,0.02209001,2.68989331,0.91074080,0.01306341
-5.32766383,5.03679139,2.50657859,1.74973082,0.02166339,2.69410356,0.89610283,0.01287325
-5.32166083,5.01379444,2.51000462,1.74755686,0.02125797,2.70332622,0.88074064,0.01268220
-5.31565783,4.99537095,2.52117957,1.74816536,0.02086710,2.71738209,0.86460541,0.01248912
-5.30965483,4.98125265,2.54027451,1.75152892,0.02048479,2.73613205,0.84766432,0.01229314
-5.30365183,4.97127562,2.56746325,1.75764707,0.02010603,2.75948679,0.82990600,0.01209373
-5.29764882,4.96539364,2.60291900,1.76654717,0.01972696,2.78741040,0.81134455,0.01189077
-5.29164582,4.96368105,2.64680659,1.77828175,0.01934511,2.81991764,0.79202218,0.01168461
-5.28564282,4.96632540,2.69927108,1.79292246,0.01895950,2.85706577,0.77201019,0.01147607
-5.27963982,4.97361127,2.76042366,1.81055137,0.01857071,2.89894160,0.75140843,0.01126639
-5.27363682,4.98589682,2.83032628,1.83125037,0.01818088,2.94564518,0.73034335,0.01105725
-5.26763382,5.00358523,2.90897606,1.85508969,0.01779364,2.99727150,0.70896473,0.01085065
-5.26163082,5.02709346,2.99629123,1.88211627,0.01741404,3.05389170,0.68744145,0.01064886
-5.25562781,5.05682062,3.09209940,1.91234326,0.01704840,3.11553538,0.66595654,0.01045433
-5.24962481,5.09311832,3.19612962,1.94574117,0.01670416,3.18217527,0.64470184,0.01026956
-5.24362181,5.13626493,3.30800869,1.98223151,0.01638968,3.25371546,0.62387247,0.01009702
-5.23761881,5.18644538,3.42726225,2.02168343,0.01611404,3.32998390,0.60366167,0.00993907
-5.23161581,5.24373753,3.55332062,2.06391339,0.01588686,3.41072974,0.58425588,0.00979788
-5.22561281,5.30810554,3.68552913,2.10868812,0.01571807,3.49562537,0.56583062,0.00967534
-5.21960980,5.37940023,3.82316198,2.15573026,0.01561776,3.58427293,0.54854709,0.00957303
-5.21360680,5.45736569,3.96543891,2.20472651,0.01559597,3.67621455,0.53254965,0.00949217
-5.20760380,5.54165110,4.11154318,2.25533735,0.01566253,3.77094530,0.51796420,0.00943364
-5.20160080,5.63182612,4.26063970,2.30720773,0.01582688,3.86792777,0.50489743,0.00939797
-5.19559780,5.72739842,4.41189181,2.35997770,0.01609796,3.96660682,0.49343676,0.00938535
-5.18959480,5.82783123,4.56447558,2.41329234,0.01648405,4.06642346,0.48365094,0.00939568
-5.18359180,5.93255956,4.71759055,2.46681002,0.01699261,4.16682655,0.47559113,0.00942860
-5.17758879,6.04100326,4.87046614,2.52020856,0.01763019,4.26728149,0.46929211,0.00948356
-5.17158579,6.15257614,5.02236347,2.57318876,0.01840227,4.36727521,0.46477366,0.00955984
-5.16558279,6.26669011,5.17257256,2.62547517,0.01931315,4.46631728,0.46204179,0.00965662
-5.15957979,6.38275440,5.32040540,2.67681410,0.02036581,4.56393710,0.46108964,0.00977298
-5.15357679,6.50016992,5.46518574,2.72696923,0.02156181,4.65967776,0.46189808,0.00990799
-5.14757379,6.61831974,5.60623672,2.77571526,0.02290115,4.75308725,0.46443567,0.01006067
-5.14157079,6.73655664,5.74286787,2.82283037,0.02438221,4.84370816,0.46865831,0.01023000
-5.13556778,6.85418951,5.87436291,2.86808821,0.02600165,4.93106710,0.47450822,0.01041493
-5.12956478,6.97047005,5.99996991,2.91125042,0.02775437,5.01466514,0.48191262,0.01061438
-5.12356178,7.08458173,6.11889544,2.95206047,0.02963346,5.09397068,0.49078217,0.01082714
-5.11755878,7.19563268,6.23030377,2.99023966,0.03163028,5.16841579,0.50100917,0.01105188
-5.11155578,7.30265403,6.33332219,3.02548591,0.03373445,5.23739724,0.51246601,0.01128711
-5.10555278,7.40460481,6.42705289,3.05747595,0.03593401,5.30028261,0.52500381,0.01153113
-5.09954977,7.50038438,6.51059165,3.08587093,0.03821550,5.35642207,0.53845169,0.01178199
-5.09354677,7.58885246,6.58305282,3.11032573,0.04056419,5.40516560,0.55261669,0.01203748
-5.08754377,7.66885667,6.64359976,3.13050150,0.04296427,5.44588519,0.56728470,0.01229510
-5.08154077,7.73926668,6.69147966,3.14608094,0.04539908,5.47800123,0.58222235,0.01255207
-5.07553777,7.79901386,6.72606086,3.15678576,0.04785139,5.50101185,0.59718007,0.01280537
-5.06953477,7.84713457,6.74687096,3.16239511,0.05030364,5.51452363,0.61189628,0.01305178
-5.06353177,7.88281512,6.75363363,3.16276425,0.05273824,5.51828229,0.62610267,0.01328792
-5.05752876,7.90543609,6.74630195,3.15784206,0.05513778,5.51220126,0.63953036,0.01351038
-5.05152576,7.91461366,6.72508626,3.14768642,0.05748530,5.49638660,0.65191692,0.01371575
-5.04552276,7.91023545,6.69047463,3.13247633,0.05976450,5.47115652,0.66301377,0.01390082
-5.03951976,7.89248881,6.64324442,3.11251994,0.06195991,5.43705409,0.67259379,0.01406262
-5.03351676,7.86187951,6.58446358,3.08825749,0.06405708,5.39485186,0.68045878,0.01419859
-5.02751376,7.81923925,6.51548101,3.06025886,0.06604269,5.34554766,0.68644639,0.01430668
-5.02151076,7.76572104,6.43790570,3.02921535,0.06790470,5.29035115,0.69043616,0.01438547
-5.01550775,7.70278182,6.35357476,2.99592571,0.06963248,5.23066109,0.69235434,0.01443424
-5.00950475,7.63215240,6.26451119,2.96127668,0.07121684,5.16803380,0.69217731,0.01445306
-5.00350175,7.55579545,6.17287269,2.92621872,0.07265025,5.10414378,0.68993314,0.01444282
-4.99749875,7.47585283,6.08089297,2.89173772,0.07392688,5.04073764,0.68570147,0.01440523
-4.99149575,7.39458394,5.99081801,2.85882377,0.07504278,4.97958324,0.67961134,0.01434285
-4.98549275,7.31429752,5.90483928,2.82843827,0.07599605,4.92241566,0.67183720,0.01425895
