energy_ev,total_up,Au_p_up,Au_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,7.10311557,0.84438402,5.15753687,0.14092553,0.42701906,0.90302728,0.03486134
-5.99399700,6.98037406,0.82161479,5.07379015,0.14092222,0.42091644,0.87931084,0.03408321
-5.98799400,6.85186636,0.79787685,4.98537420,0.14074915,0.41462487,0.85551089,0.03324682
-5.98199100,6.71997878,0.77351755,4.89408249,0.14040584,0.40829007,0.83193495,0.03236524
-5.97598799,6.58714349,0.74889247,4.80173311,0.13989529,0.40206760,0.80888601,0.03145187
-5.96998499,6.45576487,0.72435552,4.71011447,0.13922343,0.39611648,0.78665526,0.03052017
-5.96398199,6.32814621,0.70024935,4.62093143,0.13839849,0.39059257,0.76551497,0.02958327
-5.95797899,6.20641955,0.67689612,4.53575421,0.13743028,0.38564214,0.74571171,0.02865373
-5.95197599,6.09248163,0.65458915,4.45597208,0.13632948,0.38139577,0.72746020,0.02774322
-5.94597299,5.98793840,0.63358579,4.38275364,0.13510699,0.37796307,0.71093794,0.02686232
-5.93996998,5.89406024,0.61410149,4.31701529,0.13377330,0.37542812,0.69628090,0.02602027
-5.93396698,5.81174961,0.59630553,4.25939905,0.13233806,0.37384613,0.68358024,0.02522483
-5.92796398,5.74152207,0.58031833,4.21026053,0.13080970,0.37324126,0.67288035,0.02448219
-5.92196098,5.68350137,0.56621041,4.16966735,0.12919529,0.37360566,0.66417807,0.02379683
-5.91595798,5.63742835,0.55400295,4.13740800,0.12750047,0.37489986,0.65742325,0.02317161
-5.90995498,5.60268307,0.54366988,4.11301040,0.12572960,0.37705440,0.65252050,0.02260771
-5.90395198,5.57831899,0.53514130,4.09576945,0.12388597,0.37997247,0.64933213,0.02210476
-5.89794897,5.56310758,0.52830800,4.08478210,0.12197219,0.38353370,0.64768219,0.02166094
-5.89194597,5.55559140,0.52302702,4.07898858,0.11999055,0.38759868,0.64736139,0.02127312
-5.88594297,5.55414335,0.51912771,4.07721786,0.11794352,0.39201407,0.64813288,0.02093706
-5.87993997,5.55702997,0.51641834,4.07823568,0.11583421,0.39661813,0.64973866,0.02064760
-5.87393697,5.56247604,0.51469279,4.08079318,0.11366681,0.40124647,0.65190640,0.02039885
-5.86793397,5.56872851,0.51373729,4.08367436,0.11144702,0.40573764,0.65435660,0.02018443
-5.86193097,5.57411736,0.51333675,4.08574070,0.10918232,0.40993856,0.65680978,0.01999771
-5.85592796,5.57711149,0.51328082,4.08597149,0.10688234,0.41370953,0.65899365,0.01983196
-5.84992496,5.57636812,0.51336928,4.08349861,0.10455889,0.41692859,0.66064991,0.01968065
-5.84392196,5.57077415,0.51341686,4.07763472,0.10222616,0.41949526,0.66154064,0.01953754
-5.83791896,5.55947878,0.51325721,4.06789450,0.09990061,0.42133340,0.66145409,0.01939694
-5.83191596,5.54191669,0.51274625,4.05400819,0.09760097,0.42239330,0.66020969,0.01925381
-5.82591296,5.51782145,0.51176463,4.03592773,0.09534798,0.42265282,0.65766215,0.01910392
-5.81990995,5.48722963,0.51021955,4.01382562,0.09316427,0.42211771,0.65370459,0.01894392
-5.81390695,5.45047559,0.50804581,3.98808691,0.09107405,0.42082102,0.64827067,0.01877146
-5.80790395,5.40817815,0.50520619,3.95929518,0.08910289,0.41882177,0.64133550,0.01858517
-5.80190095,5.36121964,0.50169125,3.92821323,0.08727739,0.41620292,0.63291555,0.01838477
-5.79589795,5.31071872,0.49751863,3.89575962,0.08562488,0.41306861,0.62306744,0.01817098
-5.78989495,5.25799811,0.49273180,3.86298193,0.08417322,0.40954102,0.61188570,0.01794553
-5.78389195,5.20454841,0.48739841,3.83102796,0.08295044,0.40575675,0.59949966,0.01771109
-5.77788894,5.15198940,0.48160838,3.80111583,0.08198447,0.40186299,0.58606941,0.01747117
-5.77188594,5.10203001,0.47547153,3.77450391,0.08130294,0.39801345,0.57178125,0.01723006
-5.76588294,5.05642807,0.46911509,3.75246154,0.08093282,0.39436441,0.55684251,0.01699263
-5.75987994,5.01695085,0.46268092,3.73624111,0.08090013,0.39107073,0.54147607,0.01676428
-5.75387694,4.98533733,0.45632262,3.72705221,0.08122968,0.38828215,0.52591476,0.01655070
-5.74787394,4.96326278,0.45020243,3.72603809,0.08194462,0.38613988,0.51039571,0.01635779
-5.74187094,4.95230619,0.44448810,3.73425487,0.08306607,0.38477353,0.49515486,0.01619142
-5.73586793,4.95392092,0.43934967,3.75265339,0.08461269,0.38429851,0.48042184,0.01605734
-5.72986493,4.96940873,0.43495616,3.78206378,0.08660012,0.38481388,0.46641521,0.01596095
-5.72386193,4.99989718,0.43147230,3.82318269,0.08904047,0.38640068,0.45333825,0.01590717
-5.71785893,5.04632040,0.42905529,3.87656272,0.09194174,0.38912076,0.44137537,0.01590031
-5.71185593,5.10940306,0.42785157,3.94260409,0.09530718,0.39301606,0.43068910,0.01594391
-5.70585293,5.18964737,0.42799374,4.02154821,0.09913474,0.39810827,0.42141782,0.01604064
-5.69984992,5.28732300,0.42959752,4.11347283,0.10341646,0.40439894,0.41367405,0.01619223
-5.69384692,5.40245973,0.43275902,4.21828883,0.10813798,0.41186979,0.40754347,0.01639937
-5.68784392,5.53484289,0.43755211,4.33573846,0.11327810,0.42048342,0.40308446,0.01666168
-5.68184092,5.68401155,0.44402618,4.46539515,0.11880850,0.43018409,0.40032823,0.01697771
-5.67583792,5.84925968,0.45220412,4.60666490,0.12469357,0.44089872,0.39927944,0.01734491
-5.66983492,6.02964042,0.46208081,4.75878969,0.13089047,0.45253804,0.39991725,0.01775974
-5.66383192,6.22397390,0.47362202,4.92085291,0.13734934,0.46499779,0.40219678,0.01821767
-5.65782891,6.43085878,0.48676379,5.09178749,0.14401378,0.47816006,0.40605088,0.01871332
-5.65182591,6.64868803,0.50141247,5.27038668,0.15082154,0.49189466,0.41139218,0.01924055
-5.64582291,6.87566897,0.51744532,5.45531805,0.15770541,0.50606071,0.41811537,0.01979263
-5.63981991,7.10984808,0.53471176,5.64514082,0.16459437,0.52050828,0.42609972,0.02036234
-5.63381691,7.34914020,0.55303538,5.83832646,0.17141488,0.53508020,0.43521173,0.02094219
-5.62781391,7.59136235,0.57221657,6.03328275,0.17809234,0.54961411,0.44530782,0.02152457
-5.62181091,7.83427137,0.59203588,6.22838068,0.18455270,0.56394460,0.45623724,0.02210190
-5.61580790,8.07560502,0.61225795,6.42198402,0.19072409,0.57790569,0.46784487,0.02266685
-5.60980490,8.31312548,0.63263606,6.61248065,0.19653848,0.59133332,0.47997411,0.02321245
-5.60380190,8.54466417,0.65291716,6.79831499,0.20193332,0.60406821,0.49246968,0.02373228
-5.59779890,8.76816658,0.67284719,6.97802033,0.20685308,0.61595862,0.50518023,0.02422056
-5.59179590,8.98173563,0.69217670,7.15025006,0.21125068,0.62686330,0.51796097,0.02467229
-5.58579290,9.18367213,0.71066642,7.31380668,0.21508877,0.63665433,0.53067588,0.02508333
-5.57978989,9.37251074,0.72809276,7.46766728,0.21834071,0.64521988,0.54319980,0.02545042
-5.57378689,9.54705009,0.74425301,7.61100456,0.22099153,0.65246667,0.55542014,0.02577128
-5.56778389,9.70637585,0.75896997,7.74320241,0.22303843,0.65832218,0.56723823,0.02604455
-5.56178089,9.84987573,0.77209599,7.86386537,0.22449128,0.66273638,0.57857036,0.02626980
-5.55577789,9.97724579,0.78351619,7.97282143,0.22537271,0.66568297,0.58934829,0.02644748
-5.54977489,10.08848773,0.79315068,8.07011800,0.22571814,0.66716001,0.59951945,0.02657886
-5.54377189,10.18389732,0.80095587,8.15601130,0.22557548,0.66718999,0.60904668,0.02666592
-5.53776888,10.26404428,0.80692460,8.23094937,0.22500476,0.66581915,0.61790761,0.02671130
-5.53176588,10.32974461,0.81108530,8.29554962,0.22407753,0.66311625,0.62609361,0.02671813
-5.52576288,10.38202633,0.81350006,8.35057172,0.22287614,0.65917066,0.63360854,0.02668996
-5.51975988,10.42209022,0.81426180,8.39688706,0.22149280,0.65408992,0.64046718,0.02663064
-5.51375688,10.45126697,0.81349060,8.43544605,0.22002855,0.64799681,0.64669342,0.02654416
-5.50775388,10.47097255,0.81132935,8.46724458,0.21859202,0.64102606,0.65231841,0.02643459
-5.50175088,10.48266346,0.80793901,8.49329103,0.21729798,0.63332077,0.65737862,0.02630592
-5.49574787,10.48779344,0.80349342,8.51457503,0.21626576,0.62502870,0.66191388,0.02616201
-5.48974487,10.48777319,0.79817415,8.53203916,0.21561735,0.61629853,0.66596554,0.02600648
-5.48374187,10.48393446,0.79216540,8.54655460,0.21547533,0.60727627,0.66957471,0.02584267
-5.47773887,10.47749934,0.78564912,8.55890123,0.21596051,0.59810183,0.67278075,0.02567353
-5.47173587,10.46955566,0.77880065,8.56975293,0.21718932,0.58890594,0.67561989,0.02550165
-5.46573287,10.46103886,0.77178482,8.57966811,0.21927104,0.57980750,0.67812418,0.02532922
-5.45972986,10.45272058,0.76475282,8.58908554,0.22230472,0.57091136,0.68032062,0.02515800
-5.45372686,10.44520361,0.75783965,8.59832512,0.22637609,0.56230667,0.68223068,0.02498941
-5.44772386,10.43892308,0.75116246,8.60759321,0.23155436,0.55406576,0.68386992,0.02482448
-5.44172086,10.43415314,0.74481948,8.61699195,0.23788905,0.54624357,0.68524806,0.02466397
-5.43571786,10.43101835,0.73888984,8.62653157,0.24540704,0.53887765,0.68636913,0.02450841
-5.42971486,10.42950907,0.73343390,8.63614523,0.25410993,0.53198867,0.68723189,0.02435814
-5.42371186,10.42949975,0.72849422,8.64570521,0.26397175,0.52558139,0.68783048,0.02421343
-5.41770885,10.43076926,0.72409704,8.65503988,0.27493744,0.51964606,0.68815512,0.02407453
-5.41170585,10.43302235,0.72025408,8.66395046,0.28692187,0.51416019,0.68819299,0.02394176
-5.40570285,10.43591140,0.71696462,8.67222713,0.29980984,0.50909057,0.68792915,0.02381555
