energy_ev,total_up,Bi_p_up,Bi_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,2.98605076,0.80968267,0.00402448,1.46960851,0.74647270,0.06499469,1.05504320
-5.99399700,3.03533912,0.82366399,0.00409825,1.48457699,0.76487404,0.06653233,1.06173478
-5.98799400,3.08221600,0.83770548,0.00418390,1.49881515,0.78308175,0.06792657,1.06571827
-5.98199100,3.12610116,0.85146246,0.00428220,1.51199629,0.80099221,0.06916131,1.06720750
-5.97598799,3.16652817,0.86461158,0.00439410,1.52385682,0.81853312,0.07022458,1.06648844
-5.96998499,3.20316259,0.87686076,0.00452065,1.53420828,0.83566598,0.07110903,1.06391197
-5.96398199,3.23581625,0.88795810,0.00466297,1.54294693,0.85238742,0.07181225,1.05988495
-5.95797899,3.26445694,0.89769931,0.00482219,1.55006028,0.86872936,0.07233704,1.05485978
-5.95197599,3.28921247,0.90593319,0.00499936,1.55562984,0.88475778,0.07269144,1.04932287
-5.94597299,3.31036884,0.91256499,0.00519543,1.55982989,0.90057014,0.07288856,1.04378237
-5.93996998,3.32836206,0.91755731,0.00541110,1.56292206,0.91629144,0.07294630,1.03875532
-5.93396698,3.34376364,0.92092859,0.00564681,1.56524559,0.93206902,0.07288686,1.03475464
-5.92796398,3.35726005,0.92274920,0.00590263,1.56720367,0.94806613,0.07273603,1.03227632
-5.92196098,3.36962683,0.92313545,0.00617822,1.56924634,0.96445466,0.07252246,1.03178679
-5.91595798,3.38169816,0.92224171,0.00647275,1.57185056,0.98140717,0.07227666,1.03371105
-5.90995498,3.39433313,0.92025121,0.00678490,1.57549826,0.99908858,0.07203004,1.03842156
-5.90395198,3.40838008,0.91736599,0.00711282,1.58065361,1.01764781,0.07181382,1.04622817
-5.89794897,3.42464066,0.91379660,0.00745413,1.58774028,1.03720982,0.07165795,1.05736933
-5.89194597,3.44383499,0.90975206,0.00780596,1.59712003,1.05786838,0.07159013,1.07200471
-5.88594297,3.46656977,0.90543069,0.00816498,1.60907360,1.07967983,0.07163476,1.09020952
-5.87993997,3.49331073,0.90101227,0.00852751,1.62378494,1.10265826,0.07181216,1.11197057
-5.87393697,3.52436075,0.89665193,0.00888956,1.64132949,1.12677227,0.07213781,1.13718442
-5.86793397,3.55984474,0.89247602,0.00924697,1.66166734,1.15194357,0.07262183,1.16565763
-5.86193097,3.59970214,0.88858011,0.00959554,1.68464154,1.17804745,0.07326866,1.19710929
-5.85592796,3.64368737,0.88502914,0.00993114,1.70998175,1.20491523,0.07407687,1.23117592
-5.84992496,3.69137839,0.88185970,0.01024986,1.73731323,1.23233858,0.07503928,1.26741881
-5.84392196,3.74219301,0.87908394,0.01054813,1.76617068,1.26007567,0.07614323,1.30533354
-5.83791896,3.79541233,0.87669511,0.01082286,1.79601650,1.28785881,0.07737107,1.34436189
-5.83191596,3.85021028,0.87467408,0.01107154,1.82626260,1.31540341,0.07870080,1.38390555
-5.82591296,3.90568796,0.87299651,0.01129231,1.85629485,1.34241789,0.08010692,1.42334158
-5.81990995,3.96091129,0.87164016,0.01148407,1.88549902,1.36861415,0.08156133,1.46203896
-5.81390695,4.01495030,0.87059192,0.01164650,1.91328726,1.39371815,0.08303436,1.49937587
-5.80790395,4.06691814,0.86985411,0.01178005,1.93912374,1.41748016,0.08449584,1.53475700
-5.80190095,4.11600816,0.86944969,0.01188598,1.96254840,1.43968433,0.08591616,1.56763021
-5.79589795,4.16152729,0.86942619,0.01196627,1.98319777,1.46015700,0.08726723,1.59750191
-5.78989495,4.20292404,0.86985798,0.01202358,2.00082196,1.47877340,0.08852349,1.62395039
-5.78389195,4.23980992,0.87084686,0.01206114,2.01529691,1.49546249,0.08966263,1.64663655
-5.77788894,4.27197302,0.87252101,0.01208267,2.02663147,1.51020949,0.09066629,1.66531139
-5.77188594,4.29938325,0.87503218,0.01209225,2.03496886,1.52305611,0.09152047,1.67982002
-5.76588294,4.32218881,0.87855134,0.01209416,2.04058254,1.53409819,0.09221585,1.69010166
-5.75987994,4.34070399,0.88326303,0.01209277,2.04386646,1.54348103,0.09274777,1.69618595
-5.75387694,4.35538904,0.88935856,0.01209241,2.04532024,1.55139236,0.09311613,1.69818540
-5.74787394,4.36682287,0.89702839,0.01209718,2.04552987,1.55805332,0.09332501,1.69628458
-5.74187094,4.37567025,0.90645409,0.01211088,2.04514478,1.56370798,0.09338218,1.69072652
-5.73586793,4.38264500,0.91780017,0.01213687,2.04485229,1.56861164,0.09329841,1.68179708
-5.72986493,4.38847123,0.93120616,0.01217797,2.04535078,1.57301879,0.09308674,1.66980823
-5.72386193,4.39384479,0.94677935,0.01223640,2.04732255,1.57717114,0.09276165,1.65508114
-5.71785893,4.39939699,0.96458854,0.01231370,2.05140796,1.58128653,0.09233827,1.63793003
-5.71185593,4.40566273,0.98465905,0.01241074,2.05818177,1.58554926,0.09183152,1.61864782
-5.70585293,4.41305464,1.00696935,0.01252766,2.06813312,1.59010248,0.09125545,1.59749432
-5.69984992,4.42184506,1.03144956,0.01266398,2.08164976,1.59504299,0.09062261,1.57468768
-5.69384692,4.43215653,1.05798178,0.01281858,2.09900746,1.60041895,0.08994359,1.55039947
-5.68784392,4.44396152,1.08640249,0.01298982,2.12036492,1.60623041,0.08922672,1.52475375
-5.68184092,4.45709137,1.11650683,0.01317564,2.14576427,1.61243293,0.08847790,1.49782987
-5.67583792,4.47125365,1.14805469,0.01337368,2.17513703,1.61894382,0.08770070,1.46966900
-5.66983492,4.48605699,1.18077825,0.01358141,2.20831491,1.62565074,0.08689647,1.44028347
-5.66383192,4.50104168,1.21439074,0.01379627,2.24504472,1.63242208,0.08606475,1.40966857
-5.65782891,4.51571394,1.24859585,0.01401579,2.28500627,1.63911845,0.08520364,1.37781564
-5.65182591,4.52958176,1.28309736,0.01423776,2.32783215,1.64560446,0.08431036,1.34472566
-5.64582291,4.54218992,1.31760854,0.01446029,2.37312795,1.65176000,0.08338178,1.31042228
-5.63981991,4.55315175,1.35186064,0.01468194,2.42049182,1.65749034,0.08241500,1.27496333
-5.63381691,4.56217576,1.38561013,0.01490172,2.46953189,1.66273417,0.08140783,1.23845008
-5.62781391,4.56908518,1.41864423,0.01511919,2.51988071,1.66746908,0.08035932,1.20103349
-5.62181091,4.57382933,1.45078442,0.01533438,2.57120584,1.67171408,0.07927002,1.16291707
-5.61580790,4.57648589,1.48188773,0.01554776,2.62321603,1.67552891,0.07814233,1.12435603
-5.60980490,4.57725410,1.51184588,0.01576017,2.67566281,1.67901007,0.07698057,1.08565289
-5.60380190,4.57643944,1.54058223,0.01597272,2.72833776,1.68228397,0.07579100,1.04714956
-5.59779890,4.57443056,1.56804699,0.01618661,2.78106577,1.68549737,0.07458166,1.00921660
-5.59179590,4.57167048,1.59421089,0.01640308,2.83369527,1.68880603,0.07336216,0.97224015
-5.58579290,4.56862364,1.61905801,0.01662315,2.88608627,1.69236197,0.07214333,0.93660724
-5.57978989,4.56574125,1.64257819,0.01684758,2.93809742,1.69630054,0.07093677,0.90269049
-5.57378689,4.56342719,1.66475971,0.01707669,2.98957338,1.70072794,0.06975439,0.87083288
-5.56778389,4.56200674,1.68558280,0.01731029,3.04033359,1.70571007,0.06860792,0.84133356
-5.56178089,4.56170020,1.70501448,0.01754760,3.09016347,1.71126363,0.06750839,0.81443537
-5.55577789,4.56260307,1.72300511,0.01778720,3.13880899,1.71734991,0.06646565,0.79031468
-5.54977489,4.56467402,1.73948710,0.01802708,3.18597511,1.72387184,0.06548792,0.76907419
-5.54377189,4.56773148,1.75437560,0.01826461,3.23132828,1.73067443,0.06458145,0.75073881
-5.53776888,4.57145869,1.76757143,0.01849670,3.27450302,1.73754879,0.06375016,0.73525483
-5.53176588,4.57541700,1.77896576,0.01871981,3.31511202,1.74423927,0.06299551,0.72249241
-5.52576288,4.57906639,1.78844637,0.01893014,3.35275922,1.75045356,0.06231633,0.71225105
-5.51975988,4.58179167,1.79590490,0.01912373,3.38705474,1.75587497,0.06170882,0.70426778
-5.51375688,4.58293272,1.80124449,0.01929660,3.41763064,1.76017620,0.06116664,0.69822756
-5.50775388,4.58181677,1.80438734,0.01944489,3.44415647,1.76303394,0.06068104,0.69377534
-5.50175088,4.57779073,1.80528143,0.01956498,3.46635321,1.76414324,0.06024113,0.69052922
-5.49574787,4.57025169,1.80390606,0.01965359,3.48400495,1.76323107,0.05983416,0.68809397
-5.48974487,4.55867373,1.80027560,0.01970789,3.49696718,1.76006824,0.05944593,0.68607454
-5.48374187,4.54262994,1.79444134,0.01972550,3.50517133,1.75447911,0.05906115,0.68408872
-5.47773887,4.52180837,1.78649118,0.01970457,3.50862540,1.74634876,0.05866393,0.68177874
-5.47173587,4.49602165,1.77654723,0.01964379,3.50741046,1.73562718,0.05823821,0.67882129
-5.46573287,4.46521006,1.76476162,0.01954234,3.50167375,1.72233070,0.05776822,0.67493565
-5.45972986,4.42943841,1.75131063,0.01939992,3.49161875,1.70654046,0.05723897,0.66988990
-5.45372686,4.38888760,1.73638775,0.01921666,3.47749316,1.68839844,0.05663665,0.66350499
-5.44772386,4.34384166,1.72019616,0.01899312,3.45957571,1.66810129,0.05594907,0.65565681
-5.44172086,4.29467172,1.70294099,0.01873023,3.43816277,1.64589249,0.05516601,0.64627631
-5.43571786,4.24181796,1.68482203,0.01842925,3.41355575,1.62205340,0.05427956,0.63534794
-5.42971486,4.18577098,1.66602730,0.01809175,3.38605002,1.59689357,0.05328433,0.62290654
-5.42371186,4.12705354,1.64672772,0.01771958,3.35592605,1.57074100,0.05217769,0.60903309
-5.41770885,4.06620377,1.62707323,0.01731486,3.32344312,1.54393266,0.05095987,0.59384949
-5.41170585,4.00376036,1.60719035,0.01687997,3.28883573,1.51680556,0.04963396,0.57751277
-5.40570285,3.94025021,1.58718128,0.01641752,3.25231259,1.48968874,0.04820592,0.56020886
-5.39969985,3.87617866,1.56712420,0.01593040,3.21405791,1.46289624,0.04668442,0.54214635
-5.39369685,3.81202204,1.54707471,0.01542172,3.17423435,1.43672107,0.04508060,0.52355025
-5.38769385,3.74822239,1.52706797,0.01489482,3.13298708,1.41143027,0.04340786,0.50465602
-5.38169085,3.68518362,1.50712127,0.01435327,3.09044814,1.38726079,0.04168143,0.48570402
-5.37568784,3.62326888,1.48723660,0.01380078,3.04674052,1.36441624,0.03991800,0.46693432
-5.36968484,3.56279833,1.46740304,0.01324121,3.00198132,1.34306431,0.03813527,0.44858211
-5.36368184,3.50404704,1.44759866,0.01267851,2.95628347,1.32333478,0.03635146,0.43087353
-5.35767884,3.44724271,1.42779178,0.01211659,2.90975594,1.30531799,0.03458483,0.41402206
-5.35167584,3.39256294,1.40794162,0.01155933,2.86250214,1.28906380,0.03285319,0.39822537
-5.34567284,3.34013233,1.38799837,0.01101042,2.81461688,1.27458112,0.03117346,0.38366264
-5.33966983,3.29001942,1.36790281,0.01047333,2.76618223,1.26183792,0.02956125,0.37049232
-5.33366683,3.24223391,1.34758576,0.00995119,2.71726266,1.25076197,0.02803050,0.35885027
-5.32766383,3.19672480,1.32696764,0.00944676,2.66790027,1.24124242,0.02659320,0.34884828
-5.32166083,3.15337968,1.30595840,0.00896233,2.61811068,1.23313217,0.02525919,0.34057295
-5.31565783,3.11202588,1.28445814,0.00849971,2.56788015,1.22625146,0.02403600,0.33408492
-5.30965483,3.07243380,1.26235859,0.00806016,2.51716468,1.22039234,0.02292882,0.32941845
-5.30365183,3.03432271,1.23954567,0.00764443,2.46589126,1.21532432,0.02194052,0.32658125
-5.29764882,2.99736904,1.21590316,0.00725276,2.41396163,1.21080091,0.02107178,0.32555474
-5.29164582,2.96121714,1.19131737,0.00688489,2.36125844,1.20656702,0.02032121,0.32629454
-5.28564282,2.92549198,1.16568271,0.00654015,2.30765362,1.20236683,0.01968558,0.32873132
-5.27963982,2.88981347,1.13890788,0.00621749,2.25301858,1.19795199,0.01916008,0.33277189
-5.27363682,2.85381156,1.11092227,0.00591558,2.19723550,1.19308962,0.01873859,0.33830066
-5.26763382,2.81714133,1.08168228,0.00563287,2.14020907,1.18756991,0.01841394,0.34518127
-5.26163082,2.77949733,1.05117706,0.00536771,2.08187793,1.18121281,0.01817823,0.35325861
-5.25562781,2.74062629,1.01943323,0.00511838,2.02222489,1.17387356,0.01802303,0.36236097
-5.24962481,2.70033757,0.98651836,0.00488323,1.96128539,1.16544680,0.01793970,0.37230248
-5.24362181,2.65851073,0.95254275,0.00466070,1.89915351,1.15586911,0.01791956,0.38288584
-5.23761881,2.61509998,0.91765952,0.00444938,1.83598517,1.14511980,0.01795407,0.39390514
-5.23161581,2.57013544,0.88206277,0.00424807,1.77199830,1.13322013,0.01803500,0.40514900
-5.22561281,2.52372118,0.84598399,0.00405583,1.70747007,1.12023106,0.01815453,0.41640386
-5.21960980,2.47603061,0.80968698,0.00387193,1.64273135,1.10624976,0.01830538,0.42745744
-5.21360680,2.42729967,0.77346125,0.00369590,1.57815889,1.09140525,0.01848082,0.43810237
-5.20760380,2.37781853,0.73761476,0.00352754,1.51416577,1.07585350,0.01867478,0.44813988
-5.20160080,2.32792253,0.70246591,0.00336684,1.45119082,1.05977250,0.01888183,0.45738365
-5.19559780,2.27798314,0.66833566,0.00321401,1.38968776,1.04335750,0.01909727,0.46566351
-5.18959480,2.22839973,0.63553991,0.00306943,1.33011470,1.02681700,0.01931708,0.47282915
-5.18359180,2.17959251,0.60438270,0.00293358,1.27292473,1.01036954,0.01953801,0.47875365
