energy_ev,total_up,Bi_p_up,Bi_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,5.05006288,1.74499209,0.01474862,2.05508832,2.14071948,0.93097052,0.00000000
-5.99399700,5.16729567,1.77372185,0.01452794,2.11895010,2.19257997,0.96976522,0.00000000
-5.98799400,5.28642535,1.80239436,0.01431147,2.18442864,2.24517131,1.00987701,0.00000000
-5.98199100,5.40710917,1.83098488,0.01410589,2.25137587,2.29828660,1.05100652,0.00000000
-5.97598799,5.52868715,1.85935032,0.01391691,2.31946300,2.35159691,1.09280817,0.00000000
-5.96998499,5.65017180,1.88722308,0.01374904,2.38816810,2.40465031,1.13489723,0.00000000
-5.96398199,5.77025429,1.91421119,0.01360549,2.45677302,2.45687724,1.17685864,0.00000000
-5.95797899,5.88732777,1.93980546,0.01348812,2.52437028,2.50760224,1.21825709,0.00000000
-5.95197599,5.99952719,1.96339321,0.01339746,2.58988024,2.55606173,1.25864812,0.00000000
-5.94597299,6.10478449,1.98427820,0.01333275,2.65207834,2.60142717,1.29758957,0.00000000
-5.93996998,6.20089667,2.00170594,0.01329209,2.70963137,2.64283267,1.33465302,0.00000000
-5.93396698,6.28560384,2.01489319,0.01327263,2.76114140,2.67940562,1.36943451,0.00000000
-5.92796398,6.35667358,2.02306020,0.01327076,2.80519548,2.71029912,1.40156419,0.00000000
-5.92196098,6.41198749,2.02546416,0.01328237,2.84041883,2.73472449,1.43071443,0.00000000
-5.91595798,6.44962577,2.02143221,0.01330310,2.86552895,2.75198229,1.45660599,0.00000000
-5.90995498,6.46794586,2.01039237,0.01332860,2.87938798,2.76149052,1.47901215,0.00000000
-5.90395198,6.46565116,1.99190079,0.01335478,2.88105093,2.76280845,1.49776070,0.00000000
-5.89794897,6.44184693,1.96566414,0.01337805,2.86980714,2.75565524,1.51273386,0.00000000
-5.89194597,6.39608070,1.93155596,0.01339548,2.84521316,2.73992254,1.52386642,0.00000000
-5.88594297,6.32836584,1.88962638,0.01340499,2.80711545,2.71568053,1.53114227,0.00000000
-5.87993997,6.23918754,1.84010480,0.01340543,2.75566182,2.68317761,1.53459012,0.00000000
-5.87393697,6.12949148,1.78339551,0.01339666,2.69130133,2.64283379,1.53427841,0.00000000
-5.86793397,6.00065646,1.72006679,0.01337953,2.61477267,2.59522845,1.53031037,0.00000000
-5.86193097,5.85445278,1.65083405,0.01335589,2.52708209,2.54108340,1.52281935,0.00000000
-5.85592796,5.69298891,1.57653812,0.01332844,2.42947184,2.48124200,1.51196503,0.00000000
-5.84992496,5.51864936,1.49811978,0.01330067,2.32338115,2.41664571,1.49793057,0.00000000
-5.84392196,5.33402668,1.41659191,0.01327663,2.21040151,2.34830895,1.48092107,0.00000000
-5.83791896,5.14185089,1.33301055,0.01326080,2.09222861,2.27729354,1.46116313,0.00000000
-5.83191596,4.94491902,1.24844621,0.01325782,1.97061306,2.20468350,1.43890537,0.00000000
-5.82591296,4.74602744,1.16395660,0.01327232,1.84731208,2.13156110,1.41441979,0.00000000
-5.81990995,4.54790907,1.08056181,0.01330865,1.72404400,2.05898481,1.38800331,0.00000000
-5.81390695,4.35317713,0.99922268,0.01337069,1.60244725,1.98796951,1.35997925,0.00000000
-5.80790395,4.16427651,0.92082301,0.01346160,1.48404500,1.91946925,1.33069821,0.00000000
-5.80190095,3.98344333,0.84615573,0.01358368,1.37021642,1.85436265,1.30053775,0.00000000
-5.79589795,3.81267297,0.77591328,0.01373814,1.26217486,1.79344087,1.26990081,0.00000000
-5.78989495,3.65369620,0.71068184,0.01392507,1.16095309,1.73739806,1.23921224,0.00000000
-5.78389195,3.50796306,0.65093910,0.01414325,1.06739525,1.68682411,1.20891361,0.00000000
-5.77788894,3.37663371,0.59705512,0.01439018,0.98215499,1.64219945,1.17945618,0.00000000
-5.77188594,3.26057557,0.54929556,0.01466209,0.90569888,1.60389178,1.15129218,0.00000000
-5.76588294,3.16036593,0.50782678,0.01495394,0.83831443,1.57215448,1.12486488,0.00000000
-5.75987994,3.07629923,0.47272200,0.01525963,0.78012137,1.54712675,1.10059775,0.00000000
-5.75387694,3.00839854,0.44396820,0.01557205,0.73108560,1.52883524,1.07888334,0.00000000
-5.74787394,2.95643046,0.42147303,0.01588338,0.69103468,1.51719727,1.06007242,0.00000000
-5.74187094,2.91992317,0.40507156,0.01618529,0.65967411,1.51202559,1.04446397,0.00000000
-5.73586793,2.89818717,0.39453254,0.01646922,0.63660395,1.51303466,1.03229659,0.00000000
-5.72986493,2.89033841,0.38956410,0.01672667,0.62133500,1.51984857,1.02374175,0.00000000
-5.72386193,2.89532356,0.38981899,0.01694955,0.61330449,1.53201032,1.01889923,0.00000000
-5.71785893,2.91194712,0.39489936,0.01713043,0.61189101,1.54899271,1.01779498,0.00000000
-5.71185593,2.93890007,0.40436146,0.01726286,0.61642854,1.57021037,1.02038159,0.00000000
-5.70585293,2.97478976,0.41772044,0.01734166,0.62621975,1.59503309,1.02654107,0.00000000
-5.69984992,3.01817056,0.43445554,0.01736309,0.64054858,1.62279987,1.03609005,0.00000000
-5.69384692,3.06757497,0.45401604,0.01732510,0.65869224,1.65283373,1.04878695,0.00000000
-5.68784392,3.12154469,0.47582813,0.01722740,0.67993272,1.68445679,1.06434090,0.00000000
-5.68184092,3.17866103,0.49930282,0.01707160,0.70356791,1.71700539,1.08242196,0.00000000
-5.67583792,3.23757444,0.52384506,0.01686114,0.72892239,1.74984486,1.10267231,0.00000000
-5.66983492,3.29703249,0.54886399,0.01660133,0.75535784,1.78238375,1.12471812,0.00000000
-5.66383192,3.35590592,0.57378411,0.01629917,0.78228297,1.81408718,1.14818168,0.00000000
-5.65782891,3.41321244,0.59805717,0.01596326,0.80916294,1.84448910,1.17269353,0.00000000
-5.65182591,3.46813794,0.62117446,0.01560353,0.83552796,1.87320325,1.19790456,0.00000000
-5.64582291,3.52005479,0.64267892,0.01523108,0.86098098,1.89993265,1.22349762,0.00000000
-5.63981991,3.56853708,0.66217679,0.01485786,0.88520419,1.92447763,1.24919879,0.00000000
-5.63381691,3.61337263,0.67934824,0.01449647,0.90796421,1.94674207,1.27478801,0.00000000
-5.62781391,3.65457159,0.69395638,0.01415982,0.92911560,1.96673805,1.30010900,0.00000000
-5.62181091,3.69237155,0.70585447,0.01386090,0.94860284,1.98458870,1.32507834,0.00000000
-5.61580790,3.72723904,0.71499076,0.01361255,0.96646036,2.00052912,1.34969344,0.00000000
-5.60980490,3.75986720,0.72141081,0.01342719,0.98281088,2.01490561,1.37403920,0.00000000
-5.60380190,3.79116964,0.72525710,0.01331670,0.99786187,2.02817280,1.39829292,0.00000000
-5.59779890,3.82227003,0.72676592,0.01329220,1.01190024,2.04088877,1.42272724,0.00000000
-5.59179590,3.85448743,0.72626161,0.01336396,1.02528547,2.05370806,1.44771054,0.00000000
-5.58579290,3.88931700,0.72414828,0.01354130,1.03844122,2.06737238,1.47370432,0.00000000
-5.57978989,3.92840587,0.72089941,0.01383255,1.05184550,2.08269903,1.50125734,0.00000000
-5.57378689,3.97352396,0.71704552,0.01424501,1.06601980,2.10056674,1.53099583,0.00000000
-5.56778389,4.02652955,0.71316037,0.01478499,1.08151704,2.12189912,1.56360983,0.00000000
-5.56178089,4.08932973,0.70984611,0.01545774,1.09890874,2.14764545,1.59983524,0.00000000
