energy_ev,total_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,3.25575765,0.54854383,1.39567428,0.09727169,0.41524757,0.24057254,0.00000000
-5.99399700,3.12130716,0.52543015,1.33617675,0.09342792,0.39837848,0.23103484,0.00000000
-5.98799400,2.97651964,0.50062052,1.27274693,0.08921856,0.38010279,0.22059382,0.00000000
-5.98199100,2.82317960,0.47442034,1.20608725,0.08470497,0.36066034,0.20940247,0.00000000
-5.97598799,2.66318722,0.44715204,1.13695032,0.07995161,0.34030364,0.19762180,0.00000000
-5.96998499,2.49850951,0.41914706,1.06611929,0.07502434,0.31929139,0.18541676,0.00000000
-5.96398199,2.33113218,0.39073791,0.99438845,0.06998883,0.29788235,0.17295224,0.00000000
-5.95797899,2.16301398,0.36225080,0.92254471,0.06490907,0.27632936,0.16038930,0.00000000
-5.95197599,1.99604502,0.33399876,0.85135063,0.05984604,0.25487407,0.14788182,0.00000000
-5.94597299,1.83201018,0.30627580,0.78152942,0.05485651,0.23374221,0.13557366,0.00000000
-5.93996998,1.67255860,0.27935195,0.71375236,0.04999213,0.21313975,0.12359622,0.00000000
-5.93396698,1.51917978,0.25346947,0.64862875,0.04529869,0.19324983,0.11206677,0.00000000
-5.92796398,1.37318656,0.22884023,0.58669869,0.04081562,0.17423068,0.10108716,0.00000000
-5.92196098,1.23570495,0.20564409,0.52842850,0.03657579,0.15621430,0.09074328,0.00000000
-5.91595798,1.10767041,0.18402854,0.47420883,0.03260540,0.13930611,0.08110495,0.00000000
-5.90995498,0.98982997,0.16410912,0.42435504,0.02892418,0.12358532,0.07222631,0.00000000
-5.90395198,0.88274947,0.14597083,0.37910969,0.02554573,0.10910596,0.06414665,0.00000000
-5.89794897,0.78682481,0.12967009,0.33864666,0.02247792,0.09589859,0.05689149,0.00000000
-5.89194597,0.70229628,0.11523733,0.30307654,0.01972354,0.08397233,0.05047396,0.00000000
-5.88594297,0.62926476,0.10267981,0.27245279,0.01728089,0.07331734,0.04489629,0.00000000
-5.87993997,0.56770884,0.09198462,0.24677830,0.01514453,0.06390741,0.04015135,0.00000000
-5.87393697,0.51750178,0.08312168,0.22601179,0.01330589,0.05570268,0.03622419,0.00000000
