energy_ev,total_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,9.64593396,1.96812963,6.73985151,0.07593856,1.62257837,3.38339733,0.00000000
-5.99399700,9.53300348,1.94477123,6.64587945,0.07591224,1.62210977,3.33387674,0.00000000
-5.98799400,9.38048761,1.91709421,6.52113641,0.07571512,1.61633777,3.26778012,0.00000000
-5.98199100,9.19023420,1.88525542,6.36716727,0.07534735,1.60539981,3.18584859,0.00000000
-5.97598799,8.96503213,1.84954718,6.18625040,0.07481284,1.58954432,3.08921919,0.00000000
-5.96998499,8.70853215,1.81039236,5.98132497,0.07411980,1.56912954,2.97938412,0.00000000
-5.96398199,8.42514394,1.76833764,5.75589826,0.07328131,1.54462072,2.85813921,0.00000000
-5.95797899,8.11991346,1.72404483,5.51393687,0.07231574,1.51658496,2.72752393,0.00000000
-5.95197599,7.79838486,1.67828027,5.25974648,0.07124701,1.48568387,2.58975576,0.00000000
-5.94597299,7.46645175,1.63190218,4.99784481,0.07010471,1.45266345,2.44716175,0.00000000
-5.93996998,7.13020274,1.58584598,4.73283270,0.06892402,1.41834121,2.30210986,0.00000000
-5.93396698,6.79576580,1.54110751,4.46926775,0.06774532,1.38359054,2.15694289,0.00000000
-5.92796398,6.46915631,1.49872413,4.21154490,0.06661366,1.34932237,2.01391718,0.00000000
-5.92196098,6.15613261,1.45975400,3.96378744,0.06557789,1.31646452,1.87514800,0.00000000
-5.91595798,5.86206312,1.42525349,3.72975153,0.06468968,1.28593908,1.74256321,0.00000000
-5.90995498,5.59180778,1.39625323,3.51274659,0.06400221,1.25863856,1.61786597,0.00000000
-5.90395198,5.34961661,1.37373316,3.31557289,0.06356879,1.23540142,1.50250721,0.00000000
-5.89794897,5.13904709,1.35859706,3.14047729,0.06344132,1.21698793,1.39766781,0.00000000
-5.89194597,4.96290163,1.35164718,2.98912701,0.06366868,1.20405710,1.30425001,0.00000000
-5.88594297,4.82318574,1.35355974,2.86260105,0.06429512,1.19714575,1.22287753,0.00000000
-5.87993997,4.72108681,1.36486196,2.76139794,0.06535867,1.19665042,1.15390322,0.00000000
-5.87393697,4.65697318,1.38591132,2.68545834,0.06688969,1.20281291,1.09742310,0.00000000
-5.86793397,4.63041219,1.41687804,2.63420059,0.06890956,1.21571017,1.05329559,0.00000000
-5.86193097,4.64020612,1.45773121,2.60656702,0.07142954,1.23524884,1.02116455,0.00000000
-5.85592796,4.68444399,1.50822953,2.60107870,0.07444997,1.26116490,1.00048488,0.00000000
-5.84992496,4.76056732,1.56791700,2.61589650,0.07795966,1.29302835,0.99054960,0.00000000
-5.84392196,4.86544757,1.63612412,2.64888596,0.08193564,1.33025286,0.99051735,0.00000000
-5.83791896,4.99547292,1.71197500,2.69768408,0.08634324,1.37211003,0.99943952,0.00000000
-5.83191596,5.14664189,1.79440030,2.75976582,0.09113645,1.41774782,1.01628645,0.00000000
-5.82591296,5.31466147,1.88215618,2.83250890,0.09625866,1.46621237,1.03997215,0.00000000
-5.81990995,5.49504727,1.97384886,2.91325508,0.10164366,1.51647262,1.06937732,0.00000000
-5.81390695,5.68322355,2.06796444,2.99936706,0.10721695,1.56744670,1.10337055,0.00000000
-5.80790395,5.87462090,2.16290322,3.08827985,0.11289730,1.61802945,1.14082763,0.00000000
-5.80190095,6.06476977,2.25701776,3.17754618,0.11859852,1.66711996,1.18064913,0.00000000
-5.79589795,6.24938804,2.34865349,3.26487542,0.12423135,1.71364855,1.22177618,0.00000000
-5.78989495,6.42446126,2.43619077,3.34816608,0.12970554,1.75660221,1.26320474,0.00000000
-5.78389195,6.58631422,2.51808701,3.42553184,0.13493195,1.79504806,1.30399829,0.00000000
-5.77788894,6.73167286,2.59291737,3.49532137,0.13982459,1.82815408,1.34329909,0.00000000
-5.77188594,6.85771575,2.65941271,3.55613244,0.14430276,1.85520682,1.38033796,0.00000000
-5.76588294,6.96211445,2.71649325,3.60682053,0.14829289,1.87562569,1.41444251,0.00000000
-5.75987994,7.04306251,2.76329668,3.64650268,0.15173032,1.88897362,1.44504365,0.00000000
-5.75387694,7.09929266,2.79919965,3.67455677,0.15456085,1.89496411,1.47168038,0.00000000
-5.74787394,7.13008239,2.82383157,3.69061690,0.15674199,1.89346443,1.49400241,0.00000000
-5.74187094,7.13524796,2.83708023,3.69456509,0.15824386,1.88449539,1.51177074,0.00000000
-5.73586793,7.11512711,2.83908890,3.68651968,0.15904990,1.86822752,1.52485571,0.00000000
-5.72986493,7.07055122,2.83024493,3.66682077,0.15915700,1.84497407,1.53323281,0.00000000
-5.72386193,7.00280763,2.81116050,3.63601287,0.15857550,1.81518116,1.53697584,0.00000000
-5.71785893,6.91359302,2.78264595,3.59482511,0.15732863,1.77941521,1.53624788,0.00000000
-5.71185593,6.80495934,2.74567733,3.54414917,0.15545174,1.73834825,1.53129003,0.00000000
-5.70585293,6.67925369,2.70135910,3.48501542,0.15299115,1.69274140,1.52240843,0.00000000
-5.69984992,6.53905384,2.65088408,3.41856754,0.15000277,1.64342699,1.50995986,0.00000000
-5.69384692,6.38710142,2.59549203,3.34603618,0.14655051,1.59128979,1.49433668,0.00000000
-5.68784392,6.22623468,2.53642899,3.26871224,0.14270445,1.53724780,1.47595151,0.00000000
-5.68184092,6.05932294,2.47490896,3.18792033,0.13853909,1.48223317,1.45522245,0.00000000
-5.67583792,5.88920478,2.41207956,3.10499329,0.13413139,1.42717352,1.43255945,0.00000000
-5.66983492,5.71863178,2.34899303,3.02124823,0.12955902,1.37297430,1.40835249,0.00000000
-5.66383192,5.55021939,2.28658369,2.93796494,0.12489862,1.32050249,1.38296197,0.00000000
-5.65782891,5.38640642,2.22565237,2.85636727,0.12022428,1.27057197,1.35671180,0.00000000
-5.65182591,5.22942379,2.16685829,2.77760778,0.11560622,1.22393090,1.32988543,0.00000000
-5.64582291,5.08127314,2.11071820,2.70275615,0.11110971,1.18125134,1.30272475,0.00000000
-5.63981991,4.94371522,2.05761219,2.63279135,0.10679426,1.14312116,1.27543194,0.00000000
-5.63381691,4.81826747,2.00779552,2.56859754,0.10271314,1.11003845,1.24817375,0.00000000
-5.62781391,4.70621000,1.96141529,2.51096336,0.09891306,1.08240833,1.22108792,0.00000000
-5.62181091,4.60859853,1.91853065,2.46058416,0.09543418,1.06054210,1.19429106,0.00000000
-5.61580790,4.52628282,1.87913520,2.41806653,0.09231035,1.04465872,1.16788743,0.00000000
-5.60980490,4.45992879,1.84318012,2.38393445,0.08956944,1.03488828,1.14197773,0.00000000
-5.60380190,4.41004263,1.81059671,2.35863615,0.08723394,1.03127737,1.11666750,0.00000000
-5.59779890,4.37699507,1.78131720,2.34255106,0.08532150,1.03379606,1.09207416,0.00000000
-5.59179590,4.36104434,1.75529269,2.33599597,0.08384563,1.04234615,1.06833244,0.00000000
-5.58579290,4.36235635,1.73250746,2.33922989,0.08281634,1.05677059,1.04559760,0.00000000
-5.57978989,4.38102107,1.71298927,2.35245702,0.08224075,1.07686345,1.02404626,0.00000000
-5.57378689,4.41706445,1.69681520,2.37582760,0.08212364,1.10238037,1.00387476,0.00000000
-5.56778389,4.47045518,1.68411311,2.40943637,0.08246783,1.13304898,0.98529506,0.00000000
-5.56178089,4.54110650,1.67505887,2.45331888,0.08327454,1.16857899,0.96852846,0.00000000
-5.55577789,4.62887290,1.66986978,2.50744557,0.08454351,1.20867151,0.95379747,0.00000000
-5.54977489,4.73354243,1.66879461,2.57171429,0.08627302,1.25302736,0.94131629,0.00000000
-5.54377189,4.85482491,1.67210096,2.64594144,0.08845980,1.30135384,0.93128042,0.00000000
-5.53776888,4.99233718,1.68006042,2.72985267,0.09109876,1.35336978,0.92385605,0.00000000
-5.53176588,5.14558599,1.69293248,2.82307340,0.09418266,1.40880858,0.91916973,0.00000000
-5.52576288,5.31394980,1.71094756,2.92512027,0.09770166,1.46741899,0.91729891,0.00000000
-5.51975988,5.49666049,1.73429005,3.03539388,0.10164282,1.52896363,0.91826391,0.00000000
-5.51375688,5.69278608,1.76308186,3.15317383,0.10598961,1.59321520,0.92202172,0.00000000
-5.50775388,5.90121575,1.79736709,3.27761640,0.11072136,1.65995064,0.92846202,0.00000000
-5.50175088,6.12064817,1.83709841,3.40775573,0.11581282,1.72894346,0.93740559,0.00000000
-5.49574787,6.34958444,1.88212562,3.54250863,0.12123378,1.79995469,0.94860545,0.00000000
-5.48974487,6.58632647,1.93218681,3.68068372,0.12694883,1.87272308,0.96175048,0.00000000
-5.48374187,6.82898184,1.98690272,3.82099468,0.13291719,1.94695518,0.97647177,0.00000000
-5.47773887,7.07547577,2.04577434,3.96207782,0.13909288,2.02231593,0.99235115,0.00000000
-5.47173587,7.32357062,2.10818442,4.10251360,0.14542491,2.09842071,1.00893200,0.00000000
-5.46573287,7.57089300,2.17340266,4.24085173,0.15185781,2.17482938,1.02573155,0.00000000
-5.45972986,7.81496836,2.24059494,4.37563912,0.15833234,2.25104305,1.04225460,0.00000000
-5.45372686,8.05326219,2.30883641,4.50544973,0.16478638,2.32650409,1.05800783,0.00000000
-5.44772386,8.28322699,2.37712819,4.62891544,0.17115605,2.40059968,1.07251427,0.00000000
-5.44172086,8.50235337,2.44441725,4.74475659,0.17737696,2.47266907,1.08532741,0.00000000
-5.43571786,8.70822349,2.50961914,4.85181095,0.18338558,2.54201445,1.09604419,0.00000000
-5.42971486,8.89856485,2.57164253,4.94905992,0.18912065,2.60791504,1.10431654,0.00000000
-5.42371186,9.07130203,2.62941510,5.03565061,0.19452463,2.66964397,1.10986082,0.00000000
-5.41770885,9.22460417,2.68190958,5.11091274,0.19954506,2.72648708,1.11246486,0.00000000
-5.41170585,9.35692585,2.72816916,5.17436953,0.20413576,2.77776272,1.11199229,0.00000000
-5.40570285,9.46703955,2.76733115,5.22574192,0.20825791,2.82284171,1.10838399,0.00000000
-5.39969985,9.55405787,2.79864812,5.26494583,0.21188081,2.86116617,1.10165665,0.00000000
-5.39369685,9.61744459,2.82150559,5.29208261,0.21498237,2.89226639,1.09189854,0.00000000
-5.38769385,9.65701383,2.83543561,5.30742298,0.21754931,2.91577477,1.07926276,0.00000000
-5.38169085,9.67291756,2.84012578,5.31138554,0.21957698,2.93143604,1.06395832,0.00000000
-5.37568784,9.66562221,2.83542338,5.30451081,0.22106883,2.93911329,1.04623958,0.00000000
-5.36968484,9.63587568,2.82133466,5.28743226,0.22203566,2.93878951,1.02639452,0.00000000
-5.36368184,9.58466686,2.79801938,5.26084603,0.22249446,2.93056461,1.00473254,0.00000000
-5.35767884,9.51317996,2.76578109,5.22548107,0.22246719,2.91464828,0.98157233,0.00000000
-5.35167584,9.42274641,2.72505370,5.18207133,0.22197935,2.89134913,0.95723048,0.00000000
-5.34567284,9.31479723,2.67638517,5.13133171,0.22105845,2.86106090,0.93201125,0.00000000
-5.33966983,9.19081853,2.62041917,5.07393908,0.21973267,2.82424676,0.90619806,0.00000000
-5.33366683,9.05231275,2.55787550,5.01051953,0.21802947,2.78142246,0.88004697,0.00000000
-5.32766383,8.90076771,2.48953044,4.94164246,0.21597456,2.73313972,0.85378239,0.00000000
-5.32166083,8.73763499,2.41619753,4.86782170,0.21359103,2.67997052,0.82759509,0.00000000
-5.31565783,8.56431834,2.33870985,4.78952347,0.21089891,2.62249334,0.80164241,0.00000000
-5.30965483,8.38217225,2.25790413,4.70718043,0.20791498,2.56128199,0.77605053,0.00000000
-5.30365183,8.19250977,2.17460713,4.62121048,0.20465300,2.49689739,0.75091845,0.00000000
-5.29764882,7.99661819,2.08962464,4.53203891,0.20112432,2.42988255,0.72632331,0.00000000
-5.29164582,7.79578021,2.00373285,4.44012189,0.19733865,2.36076062,0.70232651,0.00000000
-5.28564282,7.59129802,1.91767212,4.34596924,0.19330523,2.29003565,0.67898029,0.00000000
-5.27963982,7.38451727,1.83214272,4.25016441,0.18903395,2.21819550,0.65633403,0.00000000
-5.27363682,7.17684776,1.74780213,4.15337965,0.18453666,2.14571616,0.63444002,0.00000000
-5.26763382,6.96977806,1.66526340,4.05638458,0.17982835,2.07306667,0.61335814,0.00000000
-5.26163082,6.76488130,1.58509398,3.96004682,0.17492819,2.00071373,0.59315918,0.00000000
-5.25562781,6.56381045,1.50781471,3.86532377,0.16986029,1.92912530,0.57392650,0.00000000
-5.24962481,6.36828182,1.43389832,3.77324524,0.16465420,1.85877243,0.55575600,0.00000000
-5.24362181,6.18004654,1.36376743,3.68488728,0.15934499,1.79012893,0.53875431,0.00000000
-5.23761881,6.00085093,1.29779162,3.60133817,0.15397297,1.72366855,0.52303541,0.00000000
-5.23161581,5.83238739,1.23628393,3.52365832,0.14858302,1.65985976,0.50871579,0.00000000
-5.22561281,5.67623837,1.17949661,3.45283590,0.14322359,1.59915828,0.49590864,0.00000000
-5.21960980,5.53381701,1.12761673,3.38974114,0.13794537,1.54199798,0.48471732,0.00000000
-5.21360680,5.40630800,1.08076194,3.33508182,0.13279981,1.48878079,0.47522862,0.00000000
-5.20760380,5.29461297,1.03897691,3.28936299,0.12783752,1.43986627,0.46750637,0.00000000
-5.20160080,5.19930427,1.00223105,3.25285362,0.12310664,1.39556202,0.46158560,0.00000000
-5.19559780,5.12059099,0.97041794,3.22556276,0.11865135,1.35611544,0.45746805,0.00000000
-5.18959480,5.05830010,0.94335702,3.20722705,0.11451057,1.32170788,0.45511894,0.00000000
-5.18359180,5.01187502,0.92079783,3.19731115,0.11071692,1.29245153,0.45446568,0.00000000
-5.17758879,4.98039254,0.90242696,3.19502151,0.10729605,1.26838957,0.45539833,0.00000000
-5.17158579,4.96259825,0.88787779,3.19933342,0.10426630,1.24949975,0.45777202,0.00000000
-5.16558279,4.95695904,0.87674280,3.20903028,0.10163878,1.23570106,0.46141124,0.00000000
-5.15957979,4.96173034,0.86858809,3.22275341,0.09941777,1.22686332,0.46611573,0.00000000
-5.15357679,4.97503474,0.86296952,3.23905991,0.09760141,1.22281897,0.47166764,0.00000000
-5.14757379,4.99494789,0.85944995,3.25648560,0.09618268,1.22337624,0.47783975,0.00000000
-5.14157079,5.01958690,0.85761653,3.27360998,0.09515042,1.22833298,0.48440409,0.00000000
-5.13556778,5.04719663,0.85709751,3.28911960,0.09449052,1.23748996,0.49114065,0.00000000
-5.12956478,5.07622909,0.85757748,3.30186671,0.09418693,1.25066296,0.49784565,0.00000000
-5.12356178,5.10541184,0.85881034,3.31092022,0.09422263,1.26769282,0.50433903,0.00000000
-5.11755878,5.13380176,0.86062941,3.31560647,0.09458037,1.28845272,0.51047066,0.00000000
-5.11155578,5.16082187,0.86295392,3.31553794,0.09524309,1.31285241,0.51612516,0.00000000
-5.10555278,5.18627956,0.86579172,3.31062882,0.09619411,1.34083916,0.52122499,0.00000000
-5.09954977,5.21036596,0.86923780,3.30109712,0.09741699,1.37239547,0.52573188,0.00000000
-5.09354677,5.23363717,0.87346891,3.28745365,0.09889513,1.40753387,0.52964654,0.00000000
-5.08754377,5.25697917,0.87873420,3.27047904,0.10061119,1.44628923,0.53300671,0.00000000
-5.08154077,5.28155874,0.88534249,3.25119041,0.10254630,1.48870919,0.53588396,0.00000000
-5.07553777,5.30876381,0.89364656,3.23079978,0.10467927,1.53484339,0.53837926,0.00000000
-5.06953477,5.34013628,0.90402524,3.21066659,0.10698582,1.58473219,0.54061772,0.00000000
-5.06353177,5.37730111,0.91686394,3.19224669,0.10943795,1.63839551,0.54274282,0.00000000
-5.05752876,5.42189484,0.93253442,3.17704017,0.11200353,1.69582231,0.54491037,0.00000000
-5.05152576,5.47549635,0.95137470,3.16654007,0.11464621,1.75696120,0.54728243,0.00000000
