energy_ev,total_up,Au_p_up,Au_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,10.05078905,0.58935288,9.12548261,0.16090139,0.00000000,0.62795882,0.00000000
-5.99399700,9.98015703,0.58419066,9.05732157,0.16146697,0.00000000,0.62537815,0.00000000
-5.98799400,9.90943134,0.58006306,8.98597944,0.16217007,0.00000000,0.62434589,0.00000000
-5.98199100,9.83994755,0.57695837,8.91307292,0.16296708,0.00000000,0.62469997,0.00000000
-5.97598799,9.77255051,0.57482772,8.83980208,0.16380916,0.00000000,0.62623620,0.00000000
-5.96998499,9.70759018,0.57359108,8.76693319,0.16464527,0.00000000,0.62871519,0.00000000
-5.96398199,9.64494414,0.57314467,8.69480634,0.16542527,0.00000000,0.63187068,0.00000000
-5.95797899,9.58406533,0.57336957,8.62336672,0.16610301,0.00000000,0.63541868,0.00000000
-5.95197599,9.52405214,0.57414092,8.55221755,0.16663928,0.00000000,0.63906740,0.00000000
-5.94597299,9.46373666,0.57533747,8.48069099,0.16700429,0.00000000,0.64252733,0.00000000
-5.93996998,9.40178584,0.57685088,8.40793253,0.16717975,0.00000000,0.64552125,0.00000000
-5.93396698,9.33680943,0.57859432,8.33299331,0.16716030,0.00000000,0.64779370,0.00000000
-5.92796398,9.26746845,0.58051012,8.25492467,0.16695429,0.00000000,0.64911959,0.00000000
-5.92196098,9.19257758,0.58257580,8.17286895,0.16658380,0.00000000,0.64931153,0.00000000
-5.91595798,9.11119555,0.58480858,8.08614080,0.16608405,0.00000000,0.64822580,0.00000000
-5.90995498,9.02269810,0.58726771,7.99429404,0.16550204,0.00000000,0.64576647,0.00000000
-5.90395198,8.92682937,0.59005492,7.89716993,0.16489461,0.00000000,0.64188779,0.00000000
-5.89794897,8.82372861,0.59331256,7.79492394,0.16432607,0.00000000,0.63659456,0.00000000
-5.89194597,8.71393090,0.59721973,7.68802948,0.16386534,0.00000000,0.62994060,0.00000000
-5.88594297,8.59834181,0.60198638,7.57725848,0.16358296,0.00000000,0.62202541,0.00000000
-5.87993997,8.47818775,0.60784558,7.46364013,0.16354795,0.00000000,0.61298910,0.00000000
-5.87393697,8.35494511,0.61504431,7.34840052,0.16382466,0.00000000,0.60300586,0.00000000
-5.86793397,8.23025225,0.62383292,7.23288708,0.16446987,0.00000000,0.59227623,0.00000000
-5.86193097,8.10580999,0.63445373,7.11848244,0.16553013,0.00000000,0.58101849,0.00000000
-5.85592796,7.98327624,0.64712915,7.00651328,0.16703949,0.00000000,0.56945955,0.00000000
-5.84992496,7.86416109,0.66204964,6.89815983,0.16901770,0.00000000,0.55782570,0.00000000
-5.84392196,7.74972855,0.67936203,6.79437148,0.17146891,0.00000000,0.54633348,0.00000000
-5.83791896,7.64091060,0.69915857,6.69579397,0.17438088,0.00000000,0.53518125,0.00000000
-5.83191596,7.53823856,0.72146717,6.60271240,0.17772483,0.00000000,0.52454159,0.00000000
-5.82591296,7.44179560,0.74624325,6.51501375,0.18145578,0.00000000,0.51455487,0.00000000
-5.81990995,7.35119333,0.77336347,6.43217128,0.18551337,0.00000000,0.50532427,0.00000000
-5.81390695,7.26557355,0.80262189,6.35325179,0.18982327,0.00000000,0.49691241,0.00000000
-5.80790395,7.18363530,0.83372868,6.27694564,0.19429892,0.00000000,0.48933959,0.00000000
-5.80190095,7.10368570,0.86631171,6.20161786,0.19884372,0.00000000,0.48258389,0.00000000
-5.79589795,7.02371189,0.89992115,6.12537785,0.20335352,0.00000000,0.47658288,0.00000000
-5.78989495,6.94147035,0.93403717,6.04616379,0.20771938,0.00000000,0.47123700,0.00000000
-5.78389195,6.85458892,0.96808061,5.96183748,0.21183045,0.00000000,0.46641438,0.00000000
-5.77788894,6.76067635,1.00142661,5.87028460,0.21557711,0.00000000,0.46195688,0.00000000
-5.77188594,6.65743400,1.03342073,5.76951517,0.21885399,0.00000000,0.45768717,0.00000000
-5.76588294,6.54276402,1.06339723,5.65775934,0.22156309,0.00000000,0.45341644,0.00000000
-5.75987994,6.41486904,1.09069895,5.53355358,0.22361670,0.00000000,0.44895260,0.00000000
-5.75387694,6.27233869,1.11469812,5.39581338,0.22494016,0.00000000,0.44410840,0.00000000
-5.74787394,6.11421910,1.13481725,5.24388891,0.22547434,0.00000000,0.43870940,0.00000000
