energy_ev,total_up,Ge_p_up,Ge_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,6.16240843,2.10973202,0.00000000,3.62742572,2.41485134,1.84915963,0.00000000
-5.99399700,5.97981992,2.07660962,0.00000000,3.48153220,2.37190314,1.77800852,0.00000000
-5.98799400,5.78923465,2.03870807,0.00000000,3.33545818,2.32392575,1.70621985,0.00000000
-5.98199100,5.59404912,1.99681966,0.00000000,3.19222774,2.27173894,1.63498107,0.00000000
-5.97598799,5.39743292,1.95171310,0.00000000,3.05461455,2.21612356,1.56536902,0.00000000
-5.96998499,5.20225858,1.90411543,0.00000000,2.92507185,2.15780653,1.49832779,0.00000000
-5.96398199,5.01104514,1.85469709,0.00000000,2.80567433,2.09744963,1.43465184,0.00000000
-5.95797899,4.82591652,1.80406028,0.00000000,2.69807362,2.03564205,1.37497449,0.00000000
-5.95197599,4.64857475,1.75273073,0.00000000,2.60346797,1.97289650,1.31976180,0.00000000
-5.94597299,4.48028779,1.70115267,0.00000000,2.52258650,1.90964845,1.26931159,0.00000000
-5.93996998,4.32189128,1.64968702,0.00000000,2.45568806,1.84625821,1.22375726,0.00000000
-5.93396698,4.17380299,1.59861223,0.00000000,2.40257394,1.78301518,1.18307605,0.00000000
-5.92796398,4.03604872,1.54812776,0.00000000,2.36261382,1.72014397,1.14710122,0.00000000
-5.92196098,3.90829810,1.49835950,0.00000000,2.33478362,1.65781169,1.11553747,0.00000000
-5.91595798,3.78990864,1.44936706,0.00000000,2.31771397,1.59613620,1.08797927,0.00000000
-5.90995498,3.67997647,1.40115244,0.00000000,2.30974758,1.53519482,1.06393129,0.00000000
-5.90395198,3.57739210,1.35366975,0.00000000,2.30900374,1.47503337,1.04283053,0.00000000
-5.89794897,3.48089951,1.30683566,0.00000000,2.31344804,1.41567515,1.02406950,0.00000000
-5.89194597,3.38915704,1.26054044,0.00000000,2.32096509,1.35712990,1.00701980,0.00000000
-5.88594297,3.30079855,1.21465904,0.00000000,2.32943229,1.29940255,0.99105570,0.00000000
-5.87993997,3.21449313,1.16906225,0.00000000,2.33679228,1.24250163,0.97557702,0.00000000
-5.87393697,3.12900215,1.12362741,0.00000000,2.34112207,1.18644742,0.96003083,0.00000000
-5.86793397,3.04323191,1.07824860,0.00000000,2.34069657,1.13127957,0.94393133,0.00000000
-5.86193097,2.95628078,1.03284596,0.00000000,2.33404484,1.07706432,0.92687751,0.00000000
-5.85592796,2.86747942,0.98737390,0.00000000,2.31999708,1.02390088,0.90856804,0.00000000
-5.84992496,2.77642313,0.94182801,0.00000000,2.29772113,0.97192717,0.88881301,0.00000000
-5.84392196,2.68299526,0.89625039,0.00000000,2.26674731,0.92132446,0.86754215,0.00000000
-5.83791896,2.58738122,0.85073330,0.00000000,2.22698097,0.87232087,0.84480934,0.00000000
-5.83191596,2.49007260,0.80542099,0.00000000,2.17870249,0.82519355,0.82079324,0.00000000
