energy_ev,total_up,Pd_p_up,Pd_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,4.44682537,1.65913282,2.62077259,0.64436848,0.00068755,1.42618919,0.00000000
-5.99399700,4.47076903,1.65948946,2.65228740,0.64497883,0.00070653,1.41737825,0.00000000
-5.98799400,4.50547515,1.66698655,2.69009239,0.65007949,0.00072863,1.40833826,0.00000000
-5.98199100,4.55074967,1.68149092,2.73414830,0.65964025,0.00075391,1.39903934,0.00000000
-5.97598799,4.60637061,1.70286905,2.78440067,0.67359228,0.00078236,1.38946766,0.00000000
-5.96998499,4.67211229,1.73100390,2.84079246,0.69183356,0.00081402,1.37962723,0.00000000
-5.96398199,4.74776654,1.76580842,2.90327500,0.71423361,0.00084888,1.36954154,0.00000000
-5.95797899,4.83315951,1.80723481,2.97181647,0.74063740,0.00088694,1.35925509,0.00000000
-5.95197599,4.92816311,1.85527895,3.04640731,0.77086829,0.00092821,1.34883444,0.00000000
-5.94597299,5.03270017,1.90997958,3.12706215,0.80472988,0.00097264,1.33836879,0.00000000
-5.93996998,5.14674281,1.97141243,3.21381776,0.84200678,0.00102019,1.32796970,0.00000000
-5.93396698,5.27030399,2.03967924,3.30672720,0.88246439,0.00107081,1.31776986,0.00000000
-5.92796398,5.40342235,2.11489241,3.40585008,0.92584790,0.00112440,1.30792079,0.00000000
-5.92196098,5.54614099,2.19715595,3.51123934,0.97188076,0.00118082,1.29858924,0.00000000
-5.91595798,5.69848114,2.28654375,3.62292520,1.02026278,0.00123989,1.28995242,0.00000000
-5.90995498,5.86041200,2.38307637,3.74089676,1.07066832,0.00130140,1.28219202,0.00000000
-5.90395198,6.03181823,2.48669759,3.86508248,1.12274484,0.00136507,1.27548732,0.00000000
-5.89794897,6.21246689,2.59725195,3.99533017,1.17611209,0.00143056,1.27000739,0.00000000
-5.89194597,6.40197552,2.71446485,4.13138786,1.23036217,0.00149749,1.26590300,0.00000000
-5.88594297,6.59978334,2.83792599,4.27288645,1.28506094,0.00156543,1.26329834,0.00000000
-5.87993997,6.80512718,2.96707769,4.41932530,1.33975058,0.00163387,1.26228324,0.00000000
-5.87393697,7.01702389,3.10120850,4.57006156,1.39395371,0.00170230,1.26290603,0.00000000
-5.86793397,7.23426038,3.23945299,4.72430432,1.44717898,0.00177014,1.26516769,0.00000000
-5.86193097,7.45539255,3.38079791,4.88111390,1.49892801,0.00183681,1.26901761,0.00000000
-5.85592796,7.67875346,3.52409478,5.03940707,1.54870360,0.00190171,1.27435111,0.00000000
-5.84992496,7.90247129,3.66807852,5.19796802,1.59601895,0.00196427,1.28100919,0.00000000
-5.84392196,8.12449663,3.81139172,5.35546538,1.64040765,0.00202392,1.28878044,0.00000000
-5.83791896,8.34263866,3.95261352,5.51047468,1.68143393,0.00208013,1.29740515,0.00000000
-5.83191596,8.55460906,4.09029221,5.66150596,1.71870300,0.00213243,1.30658162,0.00000000
-5.82591296,8.75807245,4.22298016,5.80703549,1.75187084,0.00218041,1.31597425,0.00000000
-5.81990995,8.95070146,4.34926982,5.94554087,1.78065316,0.00222374,1.32522336,0.00000000
-5.81390695,9.13023468,4.46782935,6.07553818,1.80483308,0.00226218,1.33395611,0.00000000
-5.80790395,9.29453529,4.57743652,6.19561995,1.82426716,0.00229557,1.34179819,0.00000000
-5.80190095,9.44164825,4.67700944,6.30449268,1.83888952,0.00232385,1.34838579,0.00000000
-5.79589795,9.56985394,4.76563303,6.40101239,1.84871370,0.00234706,1.35337730,0.00000000
-5.78989495,9.67771602,4.84258014,6.48421695,1.85383228,0.00236532,1.35646429,0.00000000
-5.78389195,9.76412180,4.90732649,6.55335386,1.85441405,0.00237885,1.35738125,0.00000000
-5.77788894,9.82831337,4.95955899,6.60790228,1.85069882,0.00238793,1.35591379,0.00000000
-5.77188594,9.86990816,4.99917702,6.64758849,1.84299006,0.00239294,1.35190489,0.00000000
-5.76588294,9.88890818,5.02628690,6.67239380,1.83164555,0.00239428,1.34525898,0.00000000
-5.75987994,9.88569715,5.04118964,6.68255472,1.81706636,0.00239241,1.33594372,0.00000000
-5.75387694,9.86102592,5.04436293,6.67855505,1.79968457,0.00238783,1.32398949,0.00000000
-5.74787394,9.81598629,5.03643792,6.66111012,1.77995023,0.00238104,1.30948658,0.00000000
-5.74187094,9.75197458,5.01817213,6.63114383,1.75831800,0.00237255,1.29258028,0.00000000
-5.73586793,9.67064623,4.99041981,6.58975921,1.73523398,0.00236286,1.27346420,0.00000000
-5.72986493,9.57386340,4.95410104,6.53820383,1.71112334,0.00235244,1.25237206,0.00000000
-5.72386193,9.46363787,4.91017120,6.47783148,1.68637916,0.00234173,1.22956849,0.00000000
-5.71785893,9.34207188,4.85959223,6.41006195,1.66135300,0.00233115,1.20533918,0.00000000
-5.71185593,9.21129944,4.80330714,6.33634056,1.63634757,0.00232102,1.17998094,0.00000000
-5.70585293,9.07343093,4.74221884,6.25809967,1.61161171,0.00231165,1.15379212,0.00000000
-5.69984992,8.93050368,4.67717457,6.17672369,1.58733811,0.00230328,1.12706389,0.00000000
-5.69384692,8.78444072,4.60895624,6.09351959,1.56366357,0.00229610,1.10007274,0.00000000
-5.68784392,8.63701966,4.53827743,6.00969426,1.54067203,0.00229022,1.07307459,0.00000000
-5.68184092,8.48985319,4.46578670,5.92633976,1.51840003,0.00228575,1.04630075,0.00000000
-5.67583792,8.34438186,4.39207695,5.84442733,1.49684440,0.00228273,1.01995588,0.00000000
-5.66983492,8.20187920,4.31770005,5.76481011,1.47597174,0.00228120,0.99421803,0.00000000
-5.66383192,8.06346866,4.24318549,5.68823444,1.45572934,0.00228119,0.96924065,0.00000000
-5.65782891,7.93015085,4.16906167,5.61535880,1.43605678,0.00228274,0.94515638,0.00000000
-5.65182591,7.80283917,4.09587826,5.54677910,1.41689775,0.00228591,0.92208239,0.00000000
-5.64582291,7.68240132,4.02422769,5.48305861,1.39821145,0.00229084,0.90012679,0.00000000
-5.63981991,7.56970365,3.95476423,5.42476043,1.37998297,0.00229771,0.87939576,0.00000000
-5.63381691,7.46565540,3.88821872,5.37248045,1.36223197,0.00230679,0.86000078,0.00000000
-5.62781391,7.37124946,3.82540766,5.32687826,1.34501942,0.00231848,0.84206556,0.00000000
-5.62181091,7.28759683,3.76723541,5.28870410,1.32845181,0.00233325,0.82573206,0.00000000
-5.61580790,7.21595196,3.71468867,5.25881965,1.31268262,0.00235172,0.81116517,0.00000000
-5.60980490,7.15772697,3.66882297,5.23821115,1.29791110,0.00237463,0.79855561,0.00000000
-5.60380190,7.11449321,3.63074132,5.22799360,1.28437819,0.00240285,0.78812080,0.00000000
-5.59779890,7.08796934,3.60156552,5.22940532,1.27235985,0.00243734,0.78010343,0.00000000
-5.59179590,7.07999606,3.58240152,5.24379285,1.26215815,0.00247918,0.77476770,0.00000000
-5.58579290,7.09249815,3.57430005,5.27258630,1.25409049,0.00252954,0.77239319,0.00000000
-5.57978989,7.12743546,3.57821464,5.31726640,1.24847751,0.00258964,0.77326669,0.00000000
-5.57378689,7.18674469,3.59495907,5.37932418,1.24563024,0.00266073,0.77767226,0.00000000
-5.56778389,7.27227477,3.62516643,5.46021524,1.24583710,0.00274406,0.78587975,0.00000000
-5.56178089,7.38571849,3.66925208,5.56131036,1.24935135,0.00284087,0.79813269,0.00000000
-5.55577789,7.52854347,3.72738251,5.68384445,1.25637954,0.00295229,0.81463566,0.00000000
-5.54977489,7.70192539,3.79945201,5.82886597,1.26707137,0.00307939,0.83554218,0.00000000
-5.54377189,7.90668613,3.88506842,5.99718857,1.28151148,0.00322306,0.86094338,0.00000000
-5.53776888,8.14323950,3.98354906,6.18934687,1.29971329,0.00338404,0.89085834,0.00000000
-5.53176588,8.41154624,4.09392722,6.40555770,1.32161512,0.00356284,0.92522640,0.00000000
-5.52576288,8.71108009,4.21496909,6.64568808,1.34707857,0.00375972,0.96390204,0.00000000
-5.51975988,9.04080583,4.34520052,6.90923086,1.37588923,0.00397469,1.00665262,0.00000000
-5.51375688,9.39916981,4.48294250,7.19528856,1.40775932,0.00420743,1.05315919,0.00000000
-5.50775388,9.78410314,4.62635371,7.50256581,1.44233226,0.00445732,1.10302048,0.00000000
-5.50175088,10.19303718,4.77347847,7.82937053,1.47918871,0.00472341,1.15575998,0.00000000
-5.49574787,10.62293081,4.92229775,8.17362374,1.51785400,0.00500439,1.21083602,0.00000000
-5.48974487,11.07030853,5.07078134,8.53287798,1.55780639,0.00529859,1.26765430,0.00000000
-5.48374187,11.53130864,5.21693891,8.90434393,1.59848619,0.00560404,1.32558266,0.00000000
-5.47773887,12.00174030,5.35886807,9.28492510,1.63930528,0.00591838,1.38396747,0.00000000
-5.47173587,12.47714853,5.49479779,9.67126006,1.67965703,0.00623898,1.44215089,0.00000000
-5.46573287,12.95288596,5.62312580,10.05977193,1.71892640,0.00656290,1.49948852,0.00000000
-5.45972986,13.42419036,5.74244905,10.44672453,1.75650018,0.00688696,1.55536672,0.00000000
-5.45372686,13.88626661,5.85158678,10.82828464,1.79177733,0.00720777,1.60921879,0.00000000
-5.44772386,14.33437209,5.94959596,11.20058934,1.82417929,0.00752180,1.66053954,0.00000000
-5.44172086,14.76390391,6.03577948,11.55981773,1.85316038,0.00782543,1.70889772,0.00000000
-5.43571786,15.17048656,6.10968764,11.90226531,1.87821807,0.00811502,1.75394561,0.00000000
-5.42971486,15.55005807,6.17111358,12.22441969,1.89890302,0.00838700,1.79542572,0.00000000
-5.42371186,15.89895270,6.22008382,12.52303561,1.91482880,0.00863793,1.83317414,0.00000000
-5.41770885,16.21397789,6.25684470,12.79520709,1.92568100,0.00886458,1.86712066,0.00000000
-5.41170585,16.49248308,6.28184565,13.03843419,1.93122539,0.00906404,1.89728544,0.00000000
-5.40570285,16.73241769,6.29572028,13.25068212,1.93131494,0.00923373,1.92377277,0.00000000
-5.39969985,16.93237599,6.29926581,13.43042979,1.92589514,0.00937155,1.94676183,0.00000000
-5.39369685,17.09162626,6.29342140,13.57670571,1.91500741,0.00947588,1.96649521,0.00000000
-5.38769385,17.21012233,6.27924579,13.68910884,1.89879019,0.00954562,1.98326550,0.00000000
-5.38169085,17.28849595,6.25789426,13.76781293,1.87747741,0.00958026,1.99740060,0.00000000
-5.37568784,17.32802905,6.23059508,13.81355304,1.85139415,0.00957988,2.00924826,0.00000000
