energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.40411558,0.07278408,0.00088803,0.03426397,2.18229136,2.27324872,0.90213976
-5.99399700,3.28496099,0.07320530,0.00083148,0.03518525,2.10478571,2.16135108,0.89213496
-5.98799400,3.16668225,0.07371145,0.00077566,0.03617885,2.02782940,2.04789788,0.88269021
-5.98199100,3.05002190,0.07425550,0.00072103,0.03721650,1.95194426,1.93407297,0.87372526
-5.97598799,2.93564225,0.07479082,0.00066803,0.03826990,1.87759948,1.82097904,0.86516303
-5.96998499,2.82413103,0.07527276,0.00061707,0.03931170,1.80521414,1.70962515,0.85693668
-5.96398199,2.71600992,0.07566008,0.00056851,0.04031638,1.73516173,1.60091818,0.84899625
-5.95797899,2.61174482,0.07591646,0.00052267,0.04126102,1.66777585,1.49565796,0.84131439
-5.95197599,2.51175696,0.07601161,0.00047983,0.04212600,1.60335659,1.39453545,0.83389096
-5.94597299,2.41643363,0.07592235,0.00044023,0.04289559,1.54217684,1.29813349,0.82675615
-5.93996998,2.32613775,0.07563334,0.00040407,0.04355833,1.48448791,1.20692964,0.81997198
-5.93396698,2.24121558,0.07513752,0.00037151,0.04410721,1.43052417,1.12130056,0.81363206
-5.92796398,2.16200201,0.07443636,0.00034268,0.04453976,1.38050631,1.04152747,0.80785971
-5.92196098,2.08882347,0.07353969,0.00031768,0.04485787,1.33464313,0.96780236,0.80280450
-5.91595798,2.02199835,0.07246539,0.00029658,0.04506749,1.29313199,0.90023474,0.79863753
-5.90995498,1.96183543,0.07123874,0.00027945,0.04517820,1.25615809,0.83885865,0.79554574
-5.90395198,1.90863068,0.06989162,0.00026632,0.04520259,1.22389284,0.78363993,0.79372566
-5.89794897,1.86266322,0.06846150,0.00025723,0.04515569,1.19649176,0.73448358,0.79337702
-5.89194597,1.82419093,0.06699042,0.00025221,0.04505425,1.17409241,0.69124132,0.79469663
-5.88594297,1.79344642,0.06552379,0.00025130,0.04491606,1.15681247,0.65371929,0.79787286
-5.87993997,1.77063387,0.06410930,0.00025455,0.04475929,1.14474859,0.62168576,0.80308108
-5.87393697,1.75592697,0.06279576,0.00026200,0.04460193,1.13797583,0.59487903,0.81048012
-5.86793397,1.74946811,0.06163209,0.00027373,0.04446128,1.13654805,0.57301519,0.82020993
-5.86193097,1.75136862,0.06066635,0.00028982,0.04435352,1.14049892,0.55579574,0.83239031
-5.85592796,1.76170973,0.05994487,0.00031037,0.04429345,1.14984329,0.54291484,0.84712048
-5.84992496,1.78054367,0.05951149,0.00033548,0.04429428,1.16457864,0.53406592,0.86447929
-5.84392196,1.80789405,0.05940683,0.00036528,0.04436747,1.18468604,0.52894757,0.88452563
-5.83791896,1.84375504,0.05966769,0.00039988,0.04452278,1.21013010,0.52726819,0.90729857
-5.83191596,1.88808820,0.06032640,0.00043938,0.04476820,1.24085745,0.52874951,0.93281701
-5.82591296,1.94081673,0.06141024,0.00048388,0.04510997,1.27679335,0.53312850,0.96107822
-5.81990995,2.00181641,0.06294081,0.00053342,0.04555267,1.31783611,0.54015784,0.99205528
-5.81390695,2.07090325,0.06493336,0.00058800,0.04609914,1.36384930,0.54960469,1.02569300
-5.80790395,2.14781804,0.06739615,0.00064756,0.04675047,1.41465181,0.56124801,1.06190259
