energy_ev,total_up,Nb_p_up,Nb_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,2.76064912,1.40228289,1.73477801,0.00828469,0.00064865,0.00047784,2.10241440
-5.99399700,2.82877527,1.44138961,1.77650296,0.00874153,0.00065909,0.00051707,2.15432504
-5.98799400,2.88447087,1.47323331,1.80885676,0.00932613,0.00067127,0.00057959,2.19628478
-5.98199100,2.92693377,1.49745358,1.83119631,0.01005780,0.00068501,0.00066818,2.22764028
-5.97598799,2.95581975,1.51392625,1.84315125,0.01095957,0.00070024,0.00078611,2.24808177
-5.96998499,2.97126359,1.52277374,1.84463767,0.01205812,0.00071700,0.00093711,2.25765892
-5.96398199,2.97388269,1.52436673,1.83586181,0.01338369,0.00073546,0.00112541,2.25678364
-5.95797899,2.96476280,1.51931713,1.81731327,0.01496982,0.00075591,0.00135571,2.24621961
-5.95197599,2.94542595,1.50846196,1.78974809,0.01685284,0.00077876,0.00163314,2.22705853
-5.94597299,2.91778177,1.49283895,1.75416217,0.01907124,0.00080451,0.00196324,2.20068393
-5.93996998,2.88406389,1.47365431,1.71175635,0.02166489,0.00083373,0.00235183,2.16872412
-5.93396698,2.84675395,1.45224412,1.66389457,0.02467402,0.00086704,0.00280493,2.13299586
-5.92796398,2.80849638,1.43003058,1.61205690,0.02813810,0.00090507,0.00332865,2.09544144
-5.92196098,2.77200729,1.40847490,1.55778959,0.03209456,0.00094843,0.00392901,2.05806149
-5.91595798,2.73998134,1.38902857,1.50265419,0.03657745,0.00099770,0.00461176,2.02284652
-5.90995498,2.71500018,1.37308496,1.44817783,0.04161597,0.00105335,0.00538221,1.99170990
-5.90395198,2.69944626,1.36193297,1.39580667,0.04723307,0.00111574,0.00624501,1.96642493
-5.89794897,2.69542527,1.35671449,1.34686440,0.05344397,0.00118511,0.00720391,1.94856864
-5.89194597,2.70470009,1.35838721,1.30251705,0.06025490,0.00126151,0.00826159,1.93947418
-5.88594297,2.72863858,1.36769404,1.26374536,0.06766187,0.00134481,0.00941938,1.94019364
-5.87993997,2.76817693,1.38514016,1.23132539,0.07564972,0.00143470,0.01067710,1.95147227
-5.87393697,2.82379934,1.41097830,1.20581764,0.08419138,0.00153067,0.01203289,1.97373484
-5.86793397,2.89553436,1.44520268,1.18756453,0.09324748,0.00163203,0.01348303,2.00708398
-5.86193097,2.98296728,1.48755160,1.17669588,0.10276627,0.00173792,0.01502186,2.05131021
-5.85592796,3.08526736,1.53751828,1.17314141,0.11268392,0.00184732,0.01664175,2.10591239
-5.84992496,3.20122809,1.59436945,1.17664928,0.12292526,0.00195911,0.01833305,2.17012736
-5.84392196,3.32931819,1.65717074,1.18680932,0.13340482,0.00207209,0.02008425,2.24296694
-5.83791896,3.46774070,1.72481781,1.20307969,0.14402835,0.00218500,0.02188205,2.32326015
-5.83191596,3.61449726,1.79607196,1.22481533,0.15469456,0.00229660,0.02371157,2.40969875
-5.82591296,3.76745457,1.86959881,1.25129698,0.16529723,0.00240568,0.02555669,2.50088376
-5.81990995,3.92441028,1.94400874,1.28175935,0.17572750,0.00251111,0.02740029,2.59537093
-5.81390695,4.08315547,2.01789738,1.31541742,0.18587626,0.00261190,0.02922469,2.69171332
-5.80790395,4.24153148,2.08988516,1.35148982,0.19563667,0.00270717,0.03101202,2.78849940
-5.80190095,4.39747903,2.15865424,1.38921866,0.20490655,0.00279625,0.03274471,2.88438535
-5.79589795,4.54907836,2.22298195,1.42788539,0.21359066,0.00287863,0.03440586,2.97812075
-5.78989495,4.69457947,2.28176972,1.46682248,0.22160273,0.00295399,0.03597972,3.06856720
-5.78389195,4.83242209,2.33406663,1.50542095,0.22886725,0.00302220,0.03745207,3.15470982
-5.77788894,4.96124578,2.37908739,1.54313417,0.23532079,0.00308330,0.03881054,3.23566204
-5.77188594,5.07989090,2.41622410,1.57947814,0.24091296,0.00313747,0.04004493,3.31066436
-5.76588294,5.18739169,2.44505213,1.61402918,0.24560696,0.00318500,0.04114743,3.37907804
-5.75987994,5.28296295,2.46533011,1.64641946,0.24937960,0.00322626,0.04211269,3.44037504
-5.75387694,5.36598231,2.47699449,1.67633117,0.25222100,0.00326167,0.04293789,3.49412540
-5.74787394,5.43596975,2.48014942,1.70349020,0.25413381,0.00329163,0.04362270,3.53998348
-5.74187094,5.49256652,2.47505232,1.72765971,0.25513217,0.00331652,0.04416911,3.57767431
-5.73586793,5.53551490,2.46209637,1.74863444,0.25524042,0.00333661,0.04458123,3.60698121
-5.72986493,5.56464059,2.44179045,1.76623596,0.25449154,0.00335209,0.04486499,3.62773558
-5.72386193,5.57983865,2.41473758,1.78030938,0.25292564,0.00336302,0.04502780,3.63980950
-5.71785893,5.58106390,2.38161262,1.79072143,0.25058831,0.00336930,0.04507821,3.64311157
-5.71185593,5.56832600,2.34314009,1.79736009,0.24752910,0.00337069,0.04502547,3.63758600
-5.70585293,5.54168937,2.30007268,1.80013553,0.24380014,0.00336684,0.04487918,3.62321479
-5.69984992,5.50127721,2.25317130,1.79898225,0.23945488,0.00335726,0.04464890,3.60002255
-5.69384692,5.44727918,2.20318693,1.79386190,0.23454707,0.00334135,0.04434379,3.56808335
-5.68784392,5.37996149,2.15084490,1.78476676,0.22913001,0.00331850,0.04397237,3.52752878
-5.68184092,5.29967853,2.09683182,1.77172317,0.22325597,0.00328805,0.04354226,3.47855662
