energy_ev,total_up,Hf_p_up,Hf_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,3.70385160,1.44059433,1.45119481,0.15852390,0.00396638,0.06379983,2.66143681
-5.99399700,3.50324546,1.39622123,1.35553875,0.15358065,0.00371827,0.06139642,2.50632668
-5.98799400,3.31691598,1.35501346,1.26646254,0.14861997,0.00347813,0.05889855,2.36391787
-5.98199100,3.14661195,1.31740031,1.18492548,0.14364127,0.00324845,0.05633062,2.23562070
-5.97598799,2.99392951,1.28382311,1.11180353,0.13864812,0.00303142,0.05371721,2.12271125
-5.96998499,2.86031532,1.25473800,1.04788846,0.13364953,0.00282895,0.05108292,2.02633331
-5.96398199,2.74706509,1.23061405,0.99388669,0.12866075,0.00264262,0.04845219,1.94749711
-5.95797899,2.65531686,1.21192667,0.95041724,0.12370352,0.00247372,0.04584909,1.88707421
-5.95197599,2.58603870,1.19914629,0.91800842,0.11880599,0.00232321,0.04329711,1.84578810
-5.94597299,2.54001095,1.19272272,0.89709316,0.11400199,0.00219175,0.04081892,1.82420069
-5.93996998,2.51780379,1.19306594,0.88800273,0.10933012,0.00207968,0.03843611,1.82269512
-5.93396698,2.51975135,1.20052433,0.89095907,0.10483242,0.00198706,0.03616893,1.84145562
-5.92796398,2.54592407,1.21536140,0.90606591,0.10055292,0.00191365,0.03403606,1.88044585
-5.92196098,2.59610102,1.23773266,0.93329917,0.09653607,0.00185895,0.03205437,1.93938687
-5.91595798,2.66974466,1.26766380,0.97249715,0.09282525,0.00182221,0.03023869,2.01773664
-5.90995498,2.76597995,1.30503179,1.02335124,0.08946138,0.00180245,0.02860167,2.11467268
-5.90395198,2.88358015,1.34955020,1.08539798,0.08648176,0.00179846,0.02715365,2.22907964
-5.89794897,3.02096117,1.40075983,1.15801312,0.08391921,0.00180889,0.02590258,2.35954351
-5.89194597,3.17618604,1.45802569,1.24040873,0.08180151,0.00183219,0.02485402,2.50435381
-5.88594297,3.34698066,1.52054087,1.33163390,0.08015125,0.00186671,0.02401112,2.66151479
-5.87993997,3.53076128,1.58733762,1.43057970,0.07898591,0.00191072,0.02337472,2.82876643
-5.87393697,3.72467373,1.65730540,1.53598887,0.07831831,0.00196242,0.02294344,3.00361538
-5.86793397,3.92564360,1.72921564,1.64647048,0.07815726,0.00201999,0.02271380,3.18337535
-5.86193097,4.13043607,1.80175213,1.76051941,0.07850834,0.00208163,0.02268033,3.36521639
-5.85592796,4.33572339,1.87354603,1.87654055,0.07937481,0.00214559,0.02283572,3.54622132
-5.84992496,4.53815763,1.94321394,1.99287693,0.08075836,0.00221020,0.02317091,3.72344773
-5.84392196,4.73444592,2.00939755,2.10784125,0.08265984,0.00227390,0.02367521,3.89399332
-5.83791896,4.92142511,2.07080303,2.21974953,0.08507976,0.00233524,0.02433637,4.05506191
-5.83191596,5.09613299,2.12623841,2.32695584,0.08801841,0.00239294,0.02514062,4.20402788
-5.82591296,5.25587299,2.17464735,2.42788690,0.09147576,0.00244586,0.02607272,4.33849613
-5.81990995,5.39826990,2.21513783,2.52107500,0.09545094,0.00249305,0.02711595,4.45635544
-5.81390695,5.52131441,2.24700443,2.60518826,0.09994137,0.00253368,0.02825219,4.55582291
-5.80790395,5.62339488,2.26974334,2.67905691,0.10494156,0.00256714,0.02946194,4.63547789
-5.80190095,5.70331544,2.28305957,2.74169462,0.11044164,0.00259292,0.03072437,4.69428422
-5.79589795,5.76030022,2.28686624,2.79231437,0.11642571,0.00261069,0.03201746,4.73160010
-5.78989495,5.79398415,2.28127611,2.83033813,0.12287009,0.00262021,0.03331819,4.74717566
-5.78389195,5.80439141,2.26658609,2.85540045,0.12974160,0.00262138,0.03460274,4.74113872
-5.77788894,5.79190338,2.24325568,2.86734602,0.13699597,0.00261419,0.03584681,4.71396990
-5.77188594,5.75721805,2.21188055,2.86622164,0.14457659,0.00259869,0.03702601,4.66646867
-5.76588294,5.70130344,2.17316280,2.85226329,0.15241359,0.00257502,0.03811628,4.59971227
-5.75987994,5.62534760,2.12787942,2.82587918,0.16042346,0.00254336,0.03909437,4.51500952
-5.75387694,5.53070779,2.07685057,2.78762974,0.16850926,0.00250395,0.03993837,4.41385207
-5.74787394,5.41886114,2.02090916,2.73820559,0.17656145,0.00245706,0.04062824,4.29786493
-5.74187094,5.29135902,1.96087316,2.67840465,0.18445945,0.00240302,0.04114630,4.16875872
-5.73586793,5.14978675,1.89752174,2.60910907,0.19207380,0.00234218,0.04147776,4.02828505
-5.72986493,4.99572976,1.83157610,2.53126322,0.19926898,0.00227494,0.04161108,3.87819675
-5.72386193,4.83074710,1.76368556,2.44585299,0.20590673,0.00220174,0.04153837,3.72021380
-5.71785893,4.65635211,1.69441905,2.35388718,0.21184982,0.00212309,0.04125558,3.55599569
-5.71185593,4.47400035,1.62426199,2.25638123,0.21696611,0.00203950,0.04076268,3.38712016
-5.70585293,4.28508360,1.55361803,2.15434324,0.22113263,0.00195157,0.04006361,3.21506847
-5.69984992,4.09092920,1.48281506,2.04876240,0.22423967,0.00185993,0.03916619,3.04121628
-5.69384692,3.89280328,1.41211463,1.94059956,0.22619458,0.00176525,0.03808192,2.86682964
-5.68784392,3.69191655,1.34172374,1.83077967,0.22692515,0.00166824,0.03682560,2.69306503
-5.68184092,3.48943119,1.27180803,1.72018577,0.22638234,0.00156965,0.03541490,2.52097243
-5.67583792,3.28646770,1.20250532,1.60965416,0.22454233,0.00147023,0.03386989,2.35150043
-5.66983492,3.08411057,1.13393855,1.49997051,0.22140772,0.00137075,0.03221247,2.18550243
-5.66383192,2.88341199,1.06622733,1.39186652,0.21700775,0.00127195,0.03046581,2.02374308
-5.65782891,2.68539304,0.99949749,1.28601707,0.21139771,0.00117459,0.02865372,1.86690453
-5.65182591,2.49104230,0.93388817,1.18303773,0.20465737,0.00107936,0.02680017,1.71559170
-5.64582291,2.30131178,0.86955626,1.08348247,0.19688859,0.00098693,0.02492870,1.57033681
-5.63981991,2.11711080,0.80667816,0.98784182,0.18821223,0.00089789,0.02306201,1.43160270
-5.63381691,1.93929809,0.74544908,0.89654152,0.17876445,0.00081278,0.02122154,1.29978542
