energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,11.86913675,0.63913102,10.63225192,0.41052360,0.01293045,0.13018633,0.70356329
-5.99399700,11.76551047,0.63810905,10.53541834,0.40824061,0.01296224,0.12985576,0.70228165
-5.98799400,11.68630370,0.63949097,10.46043069,0.40712248,0.01302217,0.12983922,0.70201305
-5.98199100,11.63321375,0.64345583,10.40875107,0.40725381,0.01311046,0.13015394,0.70285845
-5.97598799,11.60736379,0.65014515,10.38131494,0.40869748,0.01322679,0.13081365,0.70488996
-5.96998499,11.60929255,0.65965870,10.37852504,0.41149216,0.01337028,0.13182814,0.70815028
-5.96398199,11.63895758,0.67205120,10.40025765,0.41565032,0.01353953,0.13320285,0.71265302
-5.95797899,11.69575110,0.68732969,10.44588035,0.42115685,0.01373266,0.13493857,0.71838378
-5.95197599,11.77852751,0.70545204,10.51428012,0.42796837,0.01394731,0.13703114,0.72530197
-5.94597299,11.88564124,0.72632655,10.60390067,0.43601325,0.01418074,0.13947132,0.73334316
-5.93996998,12.01499372,0.74981270,10.71278749,0.44519231,0.01442989,0.14224476,0.74242193
-5.93396698,12.16408807,0.77572321,10.83863944,0.45538035,0.01469141,0.14533204,0.75243498
-5.92796398,12.33008997,0.80382739,10.97886540,0.46642836,0.01496180,0.14870896,0.76326448
-5.92196098,12.50989323,0.83385565,11.13064455,0.47816646,0.01523745,0.15234687,0.77478152
-5.91595798,12.70018865,0.86550522,11.29098900,0.49040742,0.01551471,0.15621316,0.78684941
-5.90995498,12.89753441,0.89844672,11.45680722,0.50295082,0.01578998,0.16027185,0.79932700
-5.90395198,13.09842662,0.93233159,11.62496712,0.51558746,0.01605978,0.16448428,0.81207163
-5.89794897,13.29936835,0.96679993,11.79235733,0.52810425,0.01632081,0.16880987,0.82494183
-5.89194597,13.49693574,1.00148863,11.95594546,0.54028903,0.01656997,0.17320694,0.83779971
-5.88594297,13.68783963,1.03603925,12.11283226,0.55193550,0.01680448,0.17763344,0.85051288
-5.87993997,13.86898160,1.07010562,12.26030048,0.56284784,0.01702183,0.18204779,0.86295593
-5.87393697,14.03750302,1.10336058,12.39585767,0.57284500,0.01721985,0.18640956,0.87501153
-5.86793397,14.19082652,1.13550176,12.51727212,0.58176448,0.01739672,0.19068020,0.88657106
-5.86193097,14.32668889,1.16625619,12.62260150,0.58946547,0.01755097,0.19482352,0.89753483
-5.85592796,14.44316546,1.19538346,12.71021389,0.59583123,0.01768146,0.19880627,0.90781197
-5.84992496,14.53868569,1.22267753,12.77880138,0.60077071,0.01778738,0.20259846,0.91732006
