energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,1.76954362,0.37453294,0.39869549,0.06976042,0.00302013,0.11934963,0.31808353
-5.99399700,1.70456066,0.35704686,0.37935722,0.06653391,0.00291037,0.11627831,0.30827009
-5.98799400,1.64014367,0.33952387,0.36173891,0.06324561,0.00279572,0.11289068,0.29849435
-5.98199100,1.57673793,0.32206555,0.34587991,0.05991393,0.00267718,0.10922686,0.28887465
-5.97598799,1.51477440,0.30477337,0.33178499,0.05655847,0.00255580,0.10533142,0.27954067
-5.96998499,1.45466380,0.28774739,0.31942655,0.05319978,0.00243266,0.10125211,0.27063205
-5.96398199,1.39679034,0.27108478,0.30874749,0.04985892,0.00230887,0.09703847,0.26229652
-5.95797899,1.34150536,0.25487809,0.29966442,0.04655707,0.00218551,0.09274044,0.25468777
-5.95197599,1.28912133,0.23921346,0.29207130,0.04331507,0.00206362,0.08840696,0.24796289
-5.94597299,1.23990655,0.22416898,0.28584332,0.04015302,0.00194419,0.08408468,0.24227967
-5.93996998,1.19408091,0.20981309,0.28084103,0.03708987,0.00182813,0.07981687,0.23779364
-5.93396698,1.15181297,0.19620332,0.27691451,0.03414300,0.00171622,0.07564244,0.23465496
-5.92796398,1.11321850,0.18338533,0.27390759,0.03132799,0.00160916,0.07159526,0.23300520
-5.92196098,1.07836055,0.17139237,0.27166196,0.02865837,0.00150749,0.06770376,0.23297402
-5.91595798,1.04725105,0.16024524,0.27002111,0.02614547,0.00141164,0.06399071,0.23467577
-5.90995498,1.01985372,0.14995257,0.26883390,0.02379839,0.00132192,0.06047336,0.23820605
-5.90395198,0.99608821,0.14051170,0.26795784,0.02162403,0.00123849,0.05716376,0.24363825
-5.89794897,0.97583507,0.13190988,0.26726187,0.01962723,0.00116141,0.05406928,0.25102022
-5.89194597,0.95894141,0.12412575,0.26662861,0.01781097,0.00109063,0.05119338,0.26037093
-5.88594297,0.94522683,0.11713126,0.26595608,0.01617661,0.00102602,0.04853640,0.27167755
-5.87993997,0.93448948,0.11089356,0.26515881,0.01472422,0.00096738,0.04609654,0.28489278
-5.87393697,0.92651194,0.10537718,0.26416841,0.01345291,0.00091445,0.04387082,0.29993281
-5.86793397,0.92106681,0.10054603,0.26293349,0.01236119,0.00086695,0.04185604,0.31667594
-5.86193097,0.91792185,0.09636548,0.26141919,0.01144733,0.00082457,0.04004968,0.33496213
-5.85592796,0.91684468,0.09280410,0.25960612,0.01070966,0.00078700,0.03845076,0.35459365
-5.84992496,0.91760698,0.08983534,0.25748900,0.01014695,0.00075396,0.03706054,0.37533689
-5.84392196,0.91998825,0.08743874,0.25507497,0.00975860,0.00072518,0.03588307,0.39692558
-5.83791896,0.92377926,0.08560098,0.25238168,0.00954492,0.00070044,0.03492561,0.41906534
-5.83191596,0.92878511,0.08431639,0.24943532,0.00950726,0.00067955,0.03419885,0.44143962
