energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.05138756,0.00532660,0.00001173,0.03638071,0.00000000,0.00968946,0.02203487
-5.99399700,0.06335808,0.00658028,0.00001413,0.04489664,0.00000000,0.01181140,0.02738603
-5.98799400,0.07785527,0.00808796,0.00001717,0.05521195,0.00000000,0.01441901,0.03382018
-5.98199100,0.09521259,0.00988332,0.00002093,0.06756707,0.00000000,0.01756968,0.04149206
-5.97598799,0.11578481,0.01200168,0.00002547,0.08221811,0.00000000,0.02132595,0.05056467
-5.96998499,0.13994020,0.01447916,0.00003090,0.09943131,0.00000000,0.02575390,0.06120622
-5.96398199,0.16805088,0.01735175,0.00003730,0.11947635,0.00000000,0.03092121,0.07358614
-5.95797899,0.20048150,0.02065410,0.00004478,0.14261825,0.00000000,0.03689493,0.08787032
-5.95197599,0.23757613,0.02441827,0.00005344,0.16910805,0.00000000,0.04373895,0.10421553
-5.94597299,0.27964370,0.02867225,0.00006337,0.19917245,0.00000000,0.05151121,0.12276308
-5.93996998,0.32694237,0.03343847,0.00007467,0.23300248,0.00000000,0.06026071,0.14363198
-5.93396698,0.37966306,0.03873225,0.00008741,0.27074167,0.00000000,0.07002437,0.16691168
-5.92796398,0.43791304,0.04456024,0.00010166,0.31247411,0.00000000,0.08082384,0.19265470
-5.92196098,0.50170009,0.05091909,0.00011745,0.35821281,0.00000000,0.09266251,0.22086949
-5.91595798,0.57091806,0.05779417,0.00013482,0.40788906,0.00000000,0.10552263,0.25151382
-5.90995498,0.64533472,0.06515865,0.00015375,0.46134330,0.00000000,0.11936296,0.28448913
-5.90395198,0.72458283,0.07297300,0.00017420,0.51831816,0.00000000,0.13411689,0.31963614
-5.89794897,0.80815517,0.08118483,0.00019611,0.57845434,0.00000000,0.14969136,0.35673228
-5.89194597,0.89540435,0.08972932,0.00021937,0.64128986,0.00000000,0.16596660,0.39549107
-5.88594297,0.98554813,0.09853023,0.00024384,0.70626310,0.00000000,0.18279690,0.43556390
-5.87993997,1.07768045,0.10750151,0.00026936,0.77272002,0.00000000,0.20001244,0.47654437
-5.87393697,1.17078866,0.11654947,0.00029574,0.83992575,0.00000000,0.21742225,0.51797529
-5.86793397,1.26377656,0.12557563,0.00032275,0.90708042,0.00000000,0.23481835,0.55935832
-5.86193097,1.35549310,0.13448000,0.00035016,0.97333909,0.00000000,0.25198087,0.60016607
-5.85592796,1.44476586,0.14316481,0.00037774,1.03783516,0.00000000,0.26868416,0.63985648
-5.84992496,1.53043829,0.15153861,0.00040526,1.09970671,0.00000000,0.28470364,0.67788884
-5.84392196,1.61140947,0.15952040,0.00043249,1.15812471,0.00000000,0.29982328,0.71374114
-5.83791896,1.68667473,0.16704385,0.00045924,1.21232202,0.00000000,0.31384313,0.74692785
-5.83191596,1.75536545,0.17406124,0.00048535,1.26162216,0.00000000,0.32658707,0.77701756
-5.82591296,1.81678614,0.18054699,0.00051072,1.30546616,0.00000000,0.33790993,0.80364957
-5.81990995,1.87044718,0.18650064,0.00053529,1.34343666,0.00000000,0.34770409,0.82654866
-5.81390695,1.91609118,0.19194902,0.00055907,1.37527766,0.00000000,0.35590491,0.84553743
-5.80790395,1.95371178,0.19694750,0.00058216,1.40090901,0.00000000,0.36249502,0.86054520
-5.80190095,1.98356346,0.20158024,0.00060471,1.42043471,0.00000000,0.36750690,0.87161336
-5.79589795,2.00616159,0.20595933,0.00062696,1.43414438,0.00000000,0.37102390,0.87889641
-5.78989495,2.02227242,0.21022280,0.00064920,1.44250770,0.00000000,0.37317941,0.88265874
-5.78389195,2.03289298,0.21453154,0.00067180,1.44616162,0.00000000,0.37415426,0.88326698
-5.77788894,2.03922154,0.21906527,0.00069519,1.44589099,0.00000000,0.37417237,0.88117836
-5.77188594,2.04261980,0.22401759,0.00071981,1.44260317,0.00000000,0.37349488,0.87692533
-5.76588294,2.04456815,0.22959038,0.00074613,1.43729769,0.00000000,0.37241295,0.87109715
-5.75987994,2.04661607,0.23598774,0.00077465,1.43103234,0.00000000,0.37123952,0.86431924
-5.75387694,2.05032965,0.24340967,0.00080581,1.42488701,0.00000000,0.37030040,0.85723122
-5.74787394,2.05723864,0.25204582,0.00084005,1.41992712,0.00000000,0.36992499,0.85046462
-5.74187094,2.06878530,0.26206945,0.00087774,1.41716807,0.00000000,0.37043710,0.84462115
-5.73586793,2.08627729,0.27363195,0.00091917,1.41754235,0.00000000,0.37214610,0.84025273
-5.72986493,2.11084643,0.28685796,0.00096457,1.42187076,0.00000000,0.37533878,0.83784390
-5.72386193,2.14341519,0.30184138,0.00101406,1.43083881,0.00000000,0.38027220,0.83779755
-5.71785893,2.18467185,0.31864229,0.00106765,1.44497919,0.00000000,0.38716760,0.84042433
-5.71185593,2.23505513,0.33728487,0.00112526,1.46466090,0.00000000,0.39620564,0.84593628
-5.70585293,2.29474839,0.35775624,0.00118671,1.49008498,0.00000000,0.40752289,0.85444458
-5.69984992,2.36368297,0.38000616,0.00125171,1.52128680,0.00000000,0.42120958,0.86596148
-5.69384692,2.44154983,0.40394762,0.00131989,1.55814419,0.00000000,0.43730849,0.88040592
-5.68784392,2.52781816,0.42945793,0.00139081,1.60039048,0.00000000,0.45581486,0.89761244
-5.68184092,2.62175931,0.45638039,0.00146397,1.64763144,0.00000000,0.47667716,0.91734257
-5.67583792,2.72247438,0.48452621,0.00153884,1.69936475,0.00000000,0.49979840,0.93929795
-5.66983492,2.82892342,0.51367666,0.00161485,1.75500068,0.00000000,0.52503800,0.96313447
-5.66383192,2.93995472,0.54358528,0.00169142,1.81388268,0.00000000,0.55221388,0.98847628
-5.65782891,3.05433248,0.57398013,0.00176799,1.87530674,0.00000000,0.58110473,1.01492929
-5.65182591,3.17076171,0.60456603,0.00184401,1.93853864,0.00000000,0.61145248,1.04209315
-5.64582291,3.28790964,0.63502689,0.00191893,2.00282822,0.00000000,0.64296477,1.06957139
-5.63981991,3.40442316,0.66502822,0.00199225,2.06742058,0.00000000,0.67531764,1.09697934
-5.63381691,3.51894243,0.69421991,0.00206351,2.13156387,0.00000000,0.70815848,1.12394966
-5.62781391,3.63011119,0.72223954,0.00213224,2.19451421,0.00000000,0.74110931,1.15013551
-5.62181091,3.73658455,0.74871628,0.00219802,2.25553809,0.00000000,0.77377066,1.17521165
-5.61580790,3.83703540,0.77327559,0.00226042,2.31391302,0.00000000,0.80572600,1.19887376
-5.60980490,3.93016054,0.79554480,0.00231904,2.36892736,0.00000000,0.83654704,1.22083646
-5.60380190,4.01468776,0.81515961,0.00237347,2.41988015,0.00000000,0.86579982,1.24083067
-5.59779890,4.08938487,0.83177147,0.00242328,2.46608185,0.00000000,0.89305158,1.25860069
-5.59179590,4.15307144,0.84505566,0.00246806,2.50685674,0.00000000,0.91787847,1.27390169
-5.58579290,4.20463369,0.85471993,0.00250734,2.54154747,0.00000000,0.93987386,1.28649800
-5.57978989,4.24304253,0.86051323,0.00254067,2.56952212,0.00000000,0.95865695,1.29616251
-5.57378689,4.26737444,0.86223440,0.00256759,2.59018382,0.00000000,0.97388165,1.30267749
-5.56778389,4.27683427,0.85974004,0.00258764,2.60298257,0.00000000,0.98524510,1.30583689
-5.56178089,4.27077916,0.85295148,0.00260035,2.60742901,0.00000000,0.99249569,1.30544995
-5.55577789,4.24874186,0.84186008,0.00260531,2.60310922,0.00000000,0.99544014,1.30134616
-5.54977489,4.21045241,0.82653077,0.00260212,2.58969988,0.00000000,0.99394933,1.29338106
-5.54377189,4.15585641,0.80710328,0.00259046,2.56698276,0.00000000,0.98796253,1.28144259
-5.53776888,4.08512869,0.78379101,0.00257007,2.53485771,0.00000000,0.97748996,1.26545760
-5.53176588,3.99868119,0.75687744,0.00254080,2.49335320,0.00000000,0.96261338,1.24539806
-5.52576288,3.89716435,0.72671008,0.00250258,2.44263378,0.00000000,0.94348480,1.22128643
-5.51975988,3.78146146,0.69369224,0.00245549,2.38300383,0.00000000,0.92032323,1.19320006
-5.51375688,3.65267596,0.65827287,0.00239971,2.31490720,0.00000000,0.89340974,1.16127406
-5.50775388,3.51211216,0.62093499,0.00233556,2.23892288,0.00000000,0.86308105,1.12570257
-5.50175088,3.36125010,0.58218311,0.00226351,2.15575652,0.00000000,0.82972179,1.08673828
-5.49574787,3.20171553,0.54253027,0.00218415,2.06622839,0.00000000,0.79375594,1.04469024
-5.48974487,3.03524658,0.50248527,0.00209818,1.97125819,0.00000000,0.75563780,0.99991987
-5.48374187,2.86365834,0.46254060,0.00200644,1.87184754,0.00000000,0.71584275,0.95283560
-5.47773887,2.68880707,0.42316164,0.00190986,1.76906076,0.00000000,0.67485827,0.90388618
-5.47173587,2.51255557,0.38477740,0.00180944,1.66400500,0.00000000,0.63317562,0.85355308
-5.46573287,2.33674099,0.34777335,0.00170628,1.55781048,0.00000000,0.59128225,0.80234227
-5.45972986,2.16314644,0.31248626,0.00160150,1.45161169,0.00000000,0.54965550,0.75077578
-5.45372686,1.99347726,0.27920144,0.00149628,1.34653021,0.00000000,0.50875740,0.69938338
-5.44772386,1.82934273,0.24815202,0.00139180,1.24365992,0.00000000,0.46903110,0.64869470
-5.44172086,1.67224352,0.21952044,0.00128923,1.14405492,0.00000000,0.43089853,0.59923210
