energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,2.48333110,0.90332554,0.33284651,0.39487122,0.00367360,1.90615000,0.00000000
-5.99399700,2.49531565,0.95869785,0.33272390,0.42747341,0.00379709,1.83598514,0.00000000
-5.98799400,2.51014336,1.01628462,0.33317984,0.46076343,0.00391310,1.76630816,0.00000000
-5.98199100,2.52704296,1.07524401,0.33412400,0.49430752,0.00401938,1.69732812,0.00000000
-5.97598799,2.54517535,1.13468664,0.33545734,0.52764784,0.00411381,1.62923495,0.00000000
-5.96998499,2.56364977,1.19368918,0.33707294,0.56031080,0.00419442,1.56220219,0.00000000
-5.96398199,2.58154212,1.25131044,0.33885698,0.59181667,0.00425946,1.49638830,0.00000000
-5.95797899,2.59791518,1.30660954,0.34069024,0.62169009,0.00430746,1.43193690,0.00000000
-5.95197599,2.61184059,1.35866585,0.34244994,0.64947116,0.00433722,1.36897617,0.00000000
-5.94597299,2.62242244,1.40660012,0.34401211,0.67472693,0.00434790,1.30761796,0.00000000
-5.93996998,2.62882196,1.44959619,0.34525435,0.69706264,0.00433899,1.24795693,0.00000000
-5.93396698,2.63028291,1.48692259,0.34605908,0.71613263,0.00431039,1.19007020,0.00000000
-5.92796398,2.62615700,1.51795334,0.34631707,0.73165029,0.00426238,1.13401782,0.00000000
-5.92196098,2.61592841,1.54218701,0.34593120,0.74339678,0.00419563,1.07984421,0.00000000
-5.91595798,2.59923659,1.55926347,0.34482027,0.75122819,0.00411119,1.02758075,0.00000000
-5.90995498,2.57589620,1.56897734,0.34292274,0.75508077,0.00401048,0.97724935,0.00000000
-5.90395198,2.54591309,1.57128771,0.34020000,0.75497404,0.00389522,0.92886681,0.00000000
-5.89794897,2.50949528,1.56632328,0.33663927,0.75101155,0.00376747,0.88244967,0.00000000
-5.89194597,2.46705789,1.55438263,0.33225557,0.74337920,0.00362949,0.83801912,0.00000000
-5.88594297,2.41922120,1.53592928,0.32709289,0.73234113,0.00348376,0.79560558,0.00000000
-5.87993997,2.36680115,1.51158126,0.32122418,0.71823309,0.00333287,0.75525232,0.00000000
-5.87393697,2.31079209,1.48209558,0.31475017,0.70145363,0.00317951,0.71701797,0.00000000
-5.86793397,2.25234163,1.44834752,0.30779697,0.68245317,0.00302635,0.68097739,0.00000000
-5.86193097,2.19271809,1.41130551,0.30051240,0.66172132,0.00287601,0.64722066,0.00000000
-5.85592796,2.13327135,1.37200224,0.29306123,0.63977281,0.00273099,0.61585030,0.00000000
-5.84992496,2.07538816,1.33150285,0.28561941,0.61713250,0.00259360,0.58697650,0.00000000
-5.84392196,2.02044353,1.29087127,0.27836750,0.59431993,0.00246592,0.56071077,0.00000000
-5.83791896,1.96975002,1.25113606,0.27148366,0.57183390,0.00234974,0.53715820,0.00000000
-5.83191596,1.92450689,1.21325682,0.26513633,0.55013772,0.00224652,0.51640882,0.00000000
-5.82591296,1.88575147,1.17809255,0.25947720,0.52964551,0.00215734,0.49852856,0.00000000
-5.81990995,1.85431471,1.14637337,0.25463447,0.51071020,0.00208292,0.48355046,0.00000000
-5.81390695,1.83078334,1.11867657,0.25070702,0.49361361,0.00202354,0.47146654,0.00000000
-5.80790395,1.81547036,1.09540822,0.24775967,0.47855899,0.00197911,0.46222117,0.00000000
-5.80190095,1.80839563,1.07679109,0.24581976,0.46566634,0.00194911,0.45570622,0.00000000
-5.79589795,1.80927777,1.06285956,0.24487532,0.45497070,0.00193265,0.45175850,0.00000000
-5.78989495,1.81753809,1.05346177,0.24487486,0.44642355,0.00192848,0.45015985,0.00000000
-5.78389195,1.83231693,1.04826908,0.24572901,0.43989712,0.00193506,0.45063993,0.00000000
-5.77788894,1.85250186,1.04679253,0.24731375,0.43519165,0.00195056,0.45288184,0.00000000
-5.77188594,1.87676697,1.04840562,0.24947523,0.43204514,0.00197298,0.45653031,0.00000000
-5.76588294,1.90362176,1.05237260,0.25203601,0.43014530,0.00200014,0.46120225,0.00000000
-5.75987994,1.93146756,1.05788100,0.25480237,0.42914320,0.00202984,0.46649923,0.00000000
-5.75387694,1.95865927,1.06407708,0.25757245,0.42866795,0.00205983,0.47202122,0.00000000
-5.74787394,1.98356955,1.07010260,0.26014468,0.42834197,0.00208797,0.47738110,0.00000000
-5.74187094,2.00465283,1.07513139,0.26232642,0.42779608,0.00211225,0.48221919,0.00000000
-5.73586793,2.02050611,1.07840405,0.26394201,0.42668381,0.00213084,0.48621699,0.00000000
-5.72986493,2.02992383,1.07925929,0.26484024,0.42469442,0.00214221,0.48910958,0.00000000
-5.72386193,2.03194438,1.07716045,0.26490063,0.42156399,0.00214510,0.49069599,0.00000000
-5.71785893,2.02588616,1.07171623,0.26403828,0.41708428,0.00213860,0.49084689,0.00000000
-5.71185593,2.01137142,1.06269458,0.26220726,0.41110890,0.00212216,0.48950936,0.00000000
-5.70585293,1.98833720,1.05002925,0.25940204,0.40355681,0.00209558,0.48670829,0.00000000
-5.69984992,1.95703258,1.03381890,0.25565730,0.39441281,0.00205905,0.48254437,0.00000000
-5.69384692,1.91800295,1.01431879,0.25104582,0.38372541,0.00201307,0.47718869,0.00000000
-5.68784392,1.87206184,0.99192567,0.24567480,0.37160205,0.00195846,0.47087419,0.00000000
-5.68184092,1.82025204,0.96715657,0.23968067,0.35820207,0.00189631,0.46388424,0.00000000
-5.67583792,1.76379786,0.94062269,0.23322270,0.34372790,0.00182794,0.45653902,0.00000000
-5.66983492,1.70405102,0.91299965,0.22647580,0.32841481,0.00175480,0.44918011,0.00000000
-5.66383192,1.64243256,0.88499547,0.21962267,0.31251996,0.00167849,0.44215418,0.00000000
-5.65782891,1.58037379,0.85731796,0.21284595,0.29631097,0.00160062,0.43579639,0.00000000
-5.65182591,1.51925882,0.83064285,0.20632044,0.28005491,0.00152280,0.43041433,0.00000000
-5.64582291,1.46037116,0.80558424,0.20020602,0.26400787,0.00144658,0.42627327,0.00000000
-5.63981991,1.40484695,0.78266861,0.19464137,0.24840572,0.00137341,0.42358331,0.00000000
-5.63381691,1.35363636,0.76231339,0.18973890,0.23345637,0.00130459,0.42248905,0.00000000
-5.62781391,1.30747490,0.74481120,0.18558099,0.21933374,0.00124125,0.42306232,0.00000000
-5.62181091,1.26686541,0.73032000,0.18221777,0.20617365,0.00118432,0.42529816,0.00000000
-5.61580790,1.23207119,0.71885972,0.17966643,0.19407172,0.00113457,0.42911438,0.00000000
-5.60980490,1.20312011,0.71031515,0.17791206,0.18308318,0.00109256,0.43435456,0.00000000
-5.60380190,1.17981907,0.70444494,0.17690995,0.17322452,0.00105868,0.44079445,0.00000000
-5.59779890,1.16177776,0.70089607,0.17658919,0.16447681,0.00103316,0.44815140,0.00000000
-5.59179590,1.14844016,0.69922296,0.17685732,0.15679046,0.00101613,0.45609640,0.00000000
-5.58579290,1.13912217,0.69891038,0.17760586,0.15009106,0.00100761,0.46426815,0.00000000
-5.57978989,1.13305320,0.69939891,0.17871629,0.14428607,0.00100755,0.47228850,0.00000000
-5.57378689,1.12941981,0.70011191,0.18006637,0.13927209,0.00101590,0.47977859,0.00000000
-5.56778389,1.12740930,0.70048265,0.18153626,0.13494220,0.00103260,0.48637488,0.00000000
-5.56178089,1.12625120,0.69998057,0.18301436,0.13119335,0.00105764,0.49174440,0.00000000
-5.55577789,1.12525504,0.69813549,0.18440246,0.12793327,0.00109104,0.49559853,0.00000000
-5.54977489,1.12384265,0.69455884,0.18562003,0.12508682,0.00113293,0.49770473,0.00000000
-5.54377189,1.12157401,0.68896119,0.18660748,0.12260157,0.00118349,0.49789565,0.00000000
-5.53776888,1.11816569,0.68116539,0.18732820,0.12045241,0.00124301,0.49607545,0.00000000
-5.53176588,1.11350142,0.67111500,0.18776951,0.11864504,0.00131183,0.49222294,0.00000000
-5.52576288,1.10763473,0.65887780,0.18794226,0.11721831,0.00139037,0.48639156,0.00000000
-5.51975988,1.10078396,0.64464447,0.18787938,0.11624543,0.00147909,0.47870635,0.00000000
-5.51375688,1.09332018,0.62872261,0.18763337,0.11583377,0.00157845,0.46935807,0.00000000
-5.50775388,1.08574893,0.61152654,0.18727298,0.11612356,0.00168893,0.45859491,0.00000000
-5.50175088,1.07868679,0.59356332,0.18687923,0.11728526,0.00181092,0.44671215,0.00000000
-5.49574787,1.07283408,0.57541576,0.18654099,0.11951576,0.00194477,0.43404039,0.00000000
-5.48974487,1.06894480,0.55772286,0.18635040,0.12303335,0.00209070,0.42093287,0.00000000
-5.48374187,1.06779519,0.54115866,0.18639829,0.12807170,0.00224881,0.40775247,0.00000000
-5.47773887,1.07015200,0.52640993,0.18676986,0.13487265,0.00241903,0.39485882,0.00000000
-5.47173587,1.07674155,0.51415361,0.18754076,0.14367814,0.00260109,0.38259620,0.00000000
-5.46573287,1.08822051,0.50503440,0.18877374,0.15472136,0.00279454,0.37128245,0.00000000
-5.45972986,1.10514913,0.49964325,0.19051589,0.16821717,0.00299871,0.36119931,0.00000000
-5.45372686,1.12796755,0.49849715,0.19279669,0.18435213,0.00321270,0.35258446,0.00000000
-5.44772386,1.15697555,0.50202075,0.19562666,0.20327436,0.00343538,0.34562528,0.00000000
-5.44172086,1.19231617,0.51053013,0.19899681,0.22508345,0.00366540,0.34045449,0.00000000
-5.43571786,1.23396330,0.52421920,0.20287874,0.24982094,0.00390120,0.33714762,0.00000000
-5.42971486,1.28171354,0.54314902,0.20722523,0.27746161,0.00414097,0.33572225,0.00000000
-5.42371186,1.33518237,0.56724041,0.21197151,0.30790607,0.00438271,0.33613888,0.00000000
-5.41770885,1.39380479,0.59626996,0.21703684,0.34097507,0.00462423,0.33830324,0.00000000
-5.41170585,1.45684058,0.62987003,0.22232649,0.37640606,0.00486317,0.34207006,0.00000000
-5.40570285,1.52338425,0.66753260,0.22773404,0.41385216,0.00509700,0.34724790,0.00000000
-5.39969985,1.59237978,0.70861735,0.23314389,0.45288413,0.00532306,0.35360504,0.00000000
-5.39369685,1.66264028,0.75236382,0.23843400,0.49299537,0.00553861,0.36087635,0.00000000
-5.38769385,1.73287236,0.79790779,0.24347874,0.53361022,0.00574085,0.36877071,0.00000000
-5.38169085,1.80170513,0.84430146,0.24815203,0.57409538,0.00592698,0.37697924,0.00000000
-5.37568784,1.86772349,0.89053711,0.25233044,0.61377439,0.00609423,0.38518388,0.00000000
-5.36968484,1.92950498,0.93557381,0.25589652,0.65194472,0.00623996,0.39306635,0.00000000
-5.36368184,1.98565959,0.97836623,0.25874216,0.68789704,0.00636170,0.40031726,0.00000000
-5.35767884,2.03487137,1.01789491,0.26077202,0.72093597,0.00645725,0.40664520,0.00000000
-5.35167584,2.07594063,1.05319681,0.26190688,0.75040145,0.00652473,0.41178567,0.00000000
-5.34567284,2.10782535,1.08339513,0.26208691,0.77569005,0.00656268,0.41550951,0.00000000
-5.33966983,2.12968025,1.10772730,0.26127477,0.79627515,0.00657013,0.41763076,0.00000000
-5.33366683,2.14089191,1.12556994,0.25945835,0.81172516,0.00654666,0.41801354,0.00000000
-5.32766383,2.14110857,1.13645980,0.25665313,0.82171896,0.00649247,0.41657787,0.00000000
-5.32166083,2.13026298,1.14010989,0.25290395,0.82605783,0.00640841,0.41330418,0.00000000
-5.31565783,2.10858740,1.13641989,0.24828623,0.82467327,0.00629604,0.40823626,0.00000000
-5.30965483,2.07661960,1.12548064,0.24290630,0.81763037,0.00615759,0.40148265,0.00000000
-5.30365183,2.03519956,1.10757232,0.23690100,0.80512661,0.00599598,0.39321630,0.00000000
-5.29764882,1.98545645,1.08315646,0.23043636,0.78748593,0.00581479,0.38367244,0.00000000
-5.29164582,1.92878639,1.05286229,0.22370539,0.76514869,0.00561816,0.37314485,0.00000000
-5.28564282,1.86682138,1.01746775,0.21692492,0.73865766,0.00541077,0.36198044,0.00000000
-5.27963982,1.80139044,0.97787631,0.21033159,0.70864087,0.00519768,0.35057235,0.00000000
-5.27363682,1.73447417,0.93509028,0.20417701,0.67579202,0.00498424,0.33935184,0.00000000
-5.26763382,1.66815420,0.89018194,0.19872225,0.64084940,0.00477598,0.32877896,0.00000000
-5.26163082,1.60455907,0.84426348,0.19423162,0.60457401,0.00457843,0.31933244,0.00000000
-5.25562781,1.54580822,0.79845684,0.19096610,0.56772797,0.00439698,0.31149887,0.00000000
-5.24962481,1.49395578,0.75386455,0.18917633,0.53105389,0.00423675,0.30576152,0.00000000
-5.24362181,1.45093566,0.71154234,0.18909554,0.49525599,0.00410245,0.30258890,0.00000000
-5.23761881,1.41850951,0.67247444,0.19093245,0.46098345,0.00399820,0.30242331,0.00000000
-5.23161581,1.39821883,0.63755185,0.19486441,0.42881654,0.00392746,0.30566964,0.00000000
-5.22561281,1.39134244,0.60755424,0.20103087,0.39925575,0.00389288,0.31268447,0.00000000
-5.21960980,1.39886025,0.58313547,0.20952761,0.37271403,0.00389623,0.32376573,0.00000000
-5.21360680,1.42142430,0.56481283,0.22040158,0.34951219,0.00393833,0.33914319,0.00000000
-5.20760380,1.45933766,0.55295993,0.23364687,0.32987718,0.00401900,0.35896972,0.00000000
-5.20160080,1.51254175,0.54780302,0.24920185,0.31394320,0.00413704,0.38331388,0.00000000
-5.19559780,1.58061249,0.54942057,0.26694759,0.30175521,0.00429026,0.41215378,0.00000000
-5.18959480,1.66276554,0.55774566,0.28670786,0.29327440,0.00447550,0.44537257,0.00000000
-5.18359180,1.75787053,0.57257109,0.30825076,0.28838547,0.00468868,0.48275591,0.00000000
-5.17758879,1.86447442,0.59355687,0.33129195,0.28690503,0.00492495,0.52399151,0.00000000
-5.17158579,1.98083341,0.62023974,0.35549963,0.28859102,0.00517875,0.56867108,0.00000000
-5.16558279,2.10495293,0.65204470,0.38050120,0.29315259,0.00544400,0.61629485,0.00000000
-5.15957979,2.23463489,0.68829818,0.40589140,0.30026024,0.00571422,0.66627891,0.00000000
-5.15357679,2.36753103,0.72824280,0.43124174,0.30955586,0.00598274,0.71796524,0.00000000
-5.14757379,2.50120105,0.77105343,0.45611116,0.32066256,0.00624284,0.77063462,0.00000000
-5.14157079,2.63317387,0.81585441,0.48005722,0.33319389,0.00648799,0.82352215,0.00000000
-5.13556778,2.76101028,0.86173769,0.50264786,0.34676250,0.00671200,0.87583512,0.00000000
-5.12956478,2.88236491,0.90778157,0.52347300,0.36098794,0.00690919,0.92677301,0.00000000
-5.12356178,2.99504565,0.95306971,0.54215561,0.37550354,0.00707458,0.97554894,0.00000000
-5.11755878,3.09706840,0.99671008,0.55836201,0.38996239,0.00720396,1.02141207,0.00000000
-5.11155578,3.18670545,1.03785335,0.57181070,0.40404225,0.00729407,1.06367035,0.00000000
-5.10555278,3.26252572,1.07571032,0.58227960,0.41744937,0.00734262,1.10171283,0.00000000
-5.09954977,3.32342575,1.10956788,0.58961128,0.42992139,0.00734836,1.13503080,0.00000000
-5.09354677,3.36865038,1.13880310,0.59371614,0.44122918,0.00731107,1.16323716,0.00000000
-5.08754377,3.39780286,1.16289504,0.59457319,0.45117771,0.00723151,1.18608320,0.00000000
-5.08154077,3.41084429,1.18143389,0.59222879,0.45960621,0.00711142,1.20347244,0.00000000
-5.07553777,3.40808303,1.19412731,0.58679314,0.46638748,0.00695334,1.21547083,0.00000000
-5.06953477,3.39015501,1.20080375,0.57843498,0.47142676,0.00676056,1.22231313,0.00000000
-5.06353177,3.35799614,1.20141273,0.56737468,0.47466004,0.00653697,1.22440515,0.00000000
-5.05752876,3.31280862,1.19602234,0.55387607,0.47605221,0.00628689,1.22232184,0.00000000
-5.05152576,3.25602270,1.18481389,0.53823752,0.47559503,0.00601494,1.21680119,0.00000000
-5.04552276,3.18925582,1.16807447,0.52078257,0.47330517,0.00572588,1.20873407,0.00000000
-5.03951976,3.11427068,1.14618738,0.50185061,0.46922236,0.00542449,1.19915023,0.00000000
-5.03351676,3.03293402,1.11962131,0.48178788,0.46340779,0.00511539,1.18920073,0.00000000
-5.02751376,2.94717712,1.08891848,0.46093925,0.45594290,0.00480300,1.18013700,0.00000000
-5.02151076,2.85895915,1.05468251,0.43964085,0.44692842,0.00449141,1.17328705,0.00000000
-5.01550775,2.77023388,1.01756626,0.41821395,0.43648379,0.00418430,1.17002887,0.00000000
-5.00950475,2.68292004,0.97826031,0.39695992,0.42474689,0.00388494,1.17176160,0.00000000
-5.00350175,2.59887518,0.93748225,0.37615649,0.41187402,0.00359613,1.17987469,0.00000000
-4.99749875,2.51987282,0.89596716,0.35605520,0.39803999,0.00332024,1.19571548,0.00000000
-4.99149575,2.44758231,0.85445946,0.33687984,0.38343831,0.00305918,1.22055549,0.00000000
-4.98549275,2.38355071,0.81370611,0.31882583,0.36828126,0.00281446,1.25555612,0.00000000
-4.97948974,2.32918637,0.77445112,0.30206035,0.35279978,0.00258724,1.30173415,0.00000000
-4.97348674,2.28574335,0.73743140,0.28672292,0.33724312,0.00237836,1.35992782,0.00000000
-4.96748374,2.25430660,0.70337343,0.27292645,0.32187801,0.00218839,1.43076432,0.00000000
-4.96148074,2.23577768,0.67299075,0.26075838,0.30698738,0.00201770,1.51462958,0.00000000
-4.95547774,2.23086102,0.64698164,0.25028200,0.29286856,0.00186648,1.61164144,0.00000000
-4.94947474,2.24005122,0.62602686,0.24153765,0.27983080,0.00173480,1.72162731,0.00000000
-4.94347174,2.26362184,0.61078684,0.23454395,0.26819220,0.00162266,1.84410753,0.00000000
-4.93746873,2.30161629,0.60189797,0.22929884,0.25827594,0.00152997,1.97828555,0.00000000
-4.93146573,2.35384184,0.59996772,0.22578067,0.25040588,0.00145660,2.12304592,0.00000000
-4.92546273,2.41986726,0.60556819,0.22394919,0.24490149,0.00140239,2.27696105,0.00000000
-4.91945973,2.49902504,0.61922784,0.22374651,0.24207221,0.00136714,2.43830739,0.00000000
-4.91345673,2.59041869,0.64142142,0.22509826,0.24221120,0.00135060,2.60509120,0.00000000
-4.90745373,2.69293540,0.67255792,0.22791478,0.24558876,0.00135246,2.77508402,0.00000000
-4.90145073,2.80526431,0.71296685,0.23209251,0.25244532,0.00137236,2.94586717,0.00000000
-4.89544772,2.92592017,0.76288315,0.23751554,0.26298435,0.00140982,3.11488453,0.00000000
-4.88944472,3.05327185,0.82243111,0.24405744,0.27736526,0.00146428,3.27950201,0.00000000
-4.88344172,3.18557504,0.89160812,0.25158312,0.29569663,0.00153504,3.43707215,0.00000000
-4.87743872,3.32100818,0.97026890,0.25995101,0.31802993,0.00162128,3.58500159,0.00000000
-4.87143572,3.45771048,1.05811131,0.26901515,0.34435420,0.00172200,3.72081908,0.00000000
-4.86543272,3.59382076,1.15466456,0.27862745,0.37459181,0.00183606,3.84224160,0.00000000
-4.85942971,3.72751589,1.25928104,0.28863983,0.40859581,0.00196218,3.94723593,0.00000000
-4.85342671,3.85704762,1.37113270,0.29890628,0.44614902,0.00209891,4.03407344,0.00000000
-4.84742371,3.98077667,1.48921289,0.30928478,0.48696521,0.00224468,4.10137572,0.00000000
-4.84142071,4.09720303,1.61234435,0.31963894,0.53069255,0.00239781,4.14814951,0.00000000
-4.83541771,4.20499186,1.73919393,0.32983950,0.57691932,0.00255654,4.17380930,0.00000000
-4.82941471,4.30299430,1.86829404,0.33976548,0.62518201,0.00271905,4.17818702,0.00000000
-4.82341171,4.39026288,1.99807075,0.34930511,0.67497554,0.00288353,4.16152842,0.00000000
-4.81740870,4.46606140,2.12687789,0.35835649,0.72576537,0.00304818,4.12447656,0.00000000
-4.81140570,4.52986928,2.25303602,0.36682803,0.77700103,0.00321129,4.06804329,0.00000000
-4.80540270,4.58138057,2.37487516,0.37463868,0.82813054,0.00337128,3.99357010,0.00000000
-4.79939970,4.62049797,2.49077935,0.38171797,0.87861511,0.00352671,3.90268022,0.00000000
-4.79339670,4.64732214,2.59923126,0.38800595,0.92794335,0.00367634,3.79722402,0.00000000
-4.78739370,4.66213692,2.69885471,0.39345296,0.97564428,0.00381916,3.67922010,0.00000000
-4.78139070,4.66539081,2.78845321,0.39801941,1.02129850,0.00395436,3.55079448,0.00000000
-4.77538769,4.65767540,2.86704246,0.40167534,1.06454674,0.00408142,3.41412025,0.00000000
-4.76938469,4.63970123,2.93387527,0.40440009,1.10509558,0.00420001,3.27135980,0.00000000
-4.76338169,4.61227187,2.98845761,0.40618180,1.14271966,0.00431004,3.12461164,0.00000000
-4.75737869,4.57625682,3.03055497,0.40701689,1.17726065,0.00441161,2.97586345,0.00000000
-4.75137569,4.53256398,3.06018892,0.40690950,1.20862276,0.00450497,2.82695253,0.00000000
-4.74537269,4.48211272,3.07762402,0.40587090,1.23676537,0.00459047,2.67953439,0.00000000
-4.73936968,4.42580819,3.08334616,0.40391887,1.26169322,0.00466852,2.53506014,0.00000000
-4.73336668,4.36451793,3.07803355,0.40107700,1.28344493,0.00473954,2.39476244,0.00000000
-4.72736368,4.29905174,3.06252234,0.39737409,1.30208064,0.00480390,2.25964986,0.00000000
-4.72136068,4.23014548,3.03776873,0.39284352,1.31766985,0.00486188,2.13050888,0.00000000
-4.71535768,4.15844974,3.00481002,0.38752269,1.33028029,0.00491366,2.00791283,0.00000000
-4.70935468,4.08452389,2.96472661,0.38145258,1.33996866,0.00495927,1.89223654,0.00000000
