energy_ev,total_up,B_p_up,B_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,2.54804325,0.27746063,0.00000000,1.09791636,0.00000000,0.75011793,0.76475973
-5.99399700,2.51319737,0.25596126,0.00000000,1.10137225,0.00000000,0.75834042,0.72987938
-5.98799400,2.49565326,0.23793901,0.00000000,1.11069327,0.00000000,0.77128375,0.70307576
-5.98199100,2.49525022,0.22307023,0.00000000,1.12612787,0.00000000,0.78857621,0.68408774
-5.97598799,2.51158577,0.21101654,0.00000000,1.14781201,0.00000000,0.80976092,0.67258848
-5.96998499,2.54401944,0.20143391,0.00000000,1.17576180,0.00000000,0.83430487,0.66819124
-5.96398199,2.59168088,0.19398064,0.00000000,1.20986953,0.00000000,0.86161033,0.67045443
-5.95797899,2.65348214,0.18832419,0.00000000,1.24990280,0.00000000,0.89102858,0.67888601
-5.95197599,2.72813390,0.18414709,0.00000000,1.29550680,0.00000000,0.92187551,0.69294751
-5.94597299,2.81416525,0.18115180,0.00000000,1.34620933,0.00000000,0.95344885,0.71205799
-5.93996998,2.90994641,0.17906466,0.00000000,1.40142820,0.00000000,0.98504635,0.73559797
-5.93396698,3.01371391,0.17763891,0.00000000,1.46048088,0.00000000,1.01598442,0.76291367
-5.92796398,3.12359776,0.17665700,0.00000000,1.52259586,0.00000000,1.04561643,0.79332177
-5.92196098,3.23765005,0.17593199,0.00000000,1.58692568,0.00000000,1.07335015,0.82611483
-5.91595798,3.35387456,0.17530829,0.00000000,1.65256118,0.00000000,1.09866351,0.86056754
-5.90995498,3.47025728,0.17466174,0.00000000,1.71854704,0.00000000,1.12111819,0.89594385
-5.90395198,3.58479732,0.17389900,0.00000000,1.78389831,0.00000000,1.14037044,0.93150520
-5.89794897,3.69553821,0.17295638,0.00000000,1.84761791,0.00000000,1.15617879,0.96651966
-5.89194597,3.80059929,0.17179809,0.00000000,1.90871493,0.00000000,1.16840821,1.00027208
-5.88594297,3.89820686,0.17041409,0.00000000,1.96622352,0.00000000,1.17703086,1.03207500
-5.87993997,3.98672488,0.16881747,0.00000000,2.01922220,0.00000000,1.18212311,1.06128018
-5.87393697,4.06468461,0.16704151,0.00000000,2.06685322,0.00000000,1.18385927,1.08729044
-5.86793397,4.13081246,0.16513653,0.00000000,2.10834147,0.00000000,1.18250213,1.10957137
-5.86193097,4.18405553,0.16316652,0.00000000,2.14301246,0.00000000,1.17839083,1.12766268
-5.85592796,4.22360368,0.16120570,0.00000000,2.17030884,0.00000000,1.17192651,1.14118844
-5.84992496,4.24890729,0.15933509,0.00000000,2.18980460,0.00000000,1.16355639,1.14986608
-5.84392196,4.25968975,0.15763917,0.00000000,2.20121655,0.00000000,1.15375688,1.15351341
-5.83791896,4.25595384,0.15620266,0.00000000,2.20441223,0.00000000,1.14301630,1.15205342
-5.83191596,4.23798119,0.15510758,0.00000000,2.19941392,0.00000000,1.13181810,1.14551648
-5.82591296,4.20632456,0.15443051,0.00000000,2.18639827,0.00000000,1.12062494,1.13403977
-5.81990995,4.16179259,0.15424035,0.00000000,2.16569149,0.00000000,1.10986438,1.11786374
-5.81390695,4.10542756,0.15459629,0.00000000,2.13776002,0.00000000,1.09991669,1.09732584
-5.80790395,4.03847650,0.15554635,0.00000000,2.10319705,0.00000000,1.09110513,1.07285148
-5.80190095,3.96235695,0.15712630,0.00000000,2.06270536,0.00000000,1.08368907,1.04494278
-5.79589795,3.87861852,0.15935912,0.00000000,2.01707730,0.00000000,1.07786017,1.01416545
-5.78989495,3.78890205,0.16225486,0.00000000,1.96717256,0.00000000,1.07374175,0.98113437
-5.78389195,3.69489797,0.16581108,0.00000000,1.91389505,0.00000000,1.07139118,0.94649849
-5.77788894,3.59830598,0.17001368,0.00000000,1.85816969,0.00000000,1.07080537,0.91092577
-5.77188594,3.50079746,0.17483821,0.00000000,1.80092019,0.00000000,1.07192881,0.87508857
-5.76588294,3.40398252,0.18025156,0.00000000,1.74304890,0.00000000,1.07466404,0.83965033
-5.75987994,3.30938262,0.18621397,0.00000000,1.68541925,0.00000000,1.07888382,0.80525375
-5.75387694,3.21840988,0.19268135,0.00000000,1.62884166,0.00000000,1.08444451,0.77251089
-5.74787394,3.13235313,0.19960767,0.00000000,1.57406293,0.00000000,1.09120011,0.74199544
-5.74187094,3.05237086,0.20694749,0.00000000,1.52175945,0.00000000,1.09901596,0.71423697
-5.73586793,2.97949023,0.21465838,0.00000000,1.47253385,0.00000000,1.10778170,0.68971726
-5.72986493,2.91461113,0.22270317,0.00000000,1.42691473,0.00000000,1.11742249,0.66886818
-5.72386193,2.85851384,0.23105184,0.00000000,1.38535888,0.00000000,1.12790800,0.65207094
-5.71785893,2.81186867,0.23968297,0.00000000,1.34825505,0.00000000,1.13925847,0.63965601
-5.71185593,2.77524559,0.24858461,0.00000000,1.31592863,0.00000000,1.15154733,0.63190330
-5.70585293,2.74912235,0.25775439,0.00000000,1.28864614,0.00000000,1.16490007,0.62904212
-5.69984992,2.73388912,0.26719900,0.00000000,1.26661894,0.00000000,1.17948915,0.63125030
-5.69384692,2.72984877,0.27693267,0.00000000,1.25000530,0.00000000,1.19552493,0.63865223
-5.68784392,2.73721150,0.28697498,0.00000000,1.23891042,0.00000000,1.21324289,0.65131558
-5.68184092,2.75608391,0.29734785,0.00000000,1.23338422,0.00000000,1.23288748,0.66924655
-5.67583792,2.78645240,0.30807181,0.00000000,1.23341669,0.00000000,1.25469338,0.69238400
-5.66983492,2.82816199,0.31916181,0.00000000,1.23893133,0.00000000,1.27886486,0.72059241
-5.66383192,2.88089186,0.33062270,0.00000000,1.24977704,0.00000000,1.30555440,0.75365463
-5.65782891,2.94412965,0.34244464,0.00000000,1.26571921,0.00000000,1.33484164,0.79126462
-5.65182591,3.01714661,0.35459866,0.00000000,1.28643109,0.00000000,1.36671387,0.83302133
-5.64582291,3.09897647,0.36703283,0.00000000,1.31148629,0.00000000,1.40104946,0.87842429
-5.63981991,3.18840027,0.37966918,0.00000000,1.34035364,0.00000000,1.43760523,0.92687179
-5.63381691,3.28393996,0.39240171,0.00000000,1.37239539,0.00000000,1.47600895,0.97766258
