energy_ev,total_up,Al_p_up,Al_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,4.61828224,1.43147367,0.00000000,1.95233614,2.51167271,0.06283866,0.57626621
-5.99399700,4.63594426,1.43800224,0.00000000,1.95713408,2.53166260,0.06321937,0.57557413
-5.98799400,4.64866679,1.44282835,0.00000000,1.95890412,2.54886719,0.06355791,0.57437968
-5.98199100,4.65777311,1.44636108,0.00000000,1.95827198,2.56396372,0.06386524,0.57287484
-5.97598799,4.66453019,1.44898524,0.00000000,1.95586454,2.57757888,0.06415074,0.57125605
-5.96998499,4.67007252,1.45103749,0.00000000,1.95227574,2.59024780,0.06442138,0.56971439
-5.96398199,4.67533411,1.45278525,0.00000000,1.94803516,2.60237814,0.06468110,0.56842625
-5.95797899,4.68099255,1.45440981,0.00000000,1.94358117,2.61422182,0.06493030,0.56754506
-5.95197599,4.68742888,1.45599467,0.00000000,1.93924026,2.62585606,0.06516562,0.56719434
-5.94597299,4.69470562,1.45751990,0.00000000,1.93521384,2.63717512,0.06537990,0.56746259
-5.93996998,4.70256462,1.45886307,0.00000000,1.93157316,2.64789358,0.06556243,0.56840005
-5.93396698,4.71044484,1.45980672,0.00000000,1.92826279,2.65756104,0.06569947,0.57001762
-5.92796398,4.71751931,1.46005197,0.00000000,1.92511230,2.66558772,0.06577492,0.57228781
-5.92196098,4.72274916,1.45923775,0.00000000,1.92185537,2.67127962,0.06577134,0.57514757
-5.91595798,4.72495157,1.45696438,0.00000000,1.91815515,2.67388134,0.06567097,0.57850292
-5.90995498,4.72287792,1.45282028,0.00000000,1.91363428,2.67262420,0.06545690,0.58223487
-5.90395198,4.71529747,1.44641021,0.00000000,1.90790763,2.66677700,0.06511431,0.58620652
-5.89794897,4.70108193,1.43738352,0.00000000,1.90061582,2.65569658,0.06463162,0.59027067
-5.89194597,4.67928617,1.42546059,0.00000000,1.89145750,2.63887531,0.06400150,0.59427786
-5.88594297,4.64922056,1.41045609,0.00000000,1.88021840,2.61598285,0.06322178,0.59808418
-5.87993997,4.61051105,1.39229770,0.00000000,1.86679562,2.58690003,0.06229607,0.60155882
-5.87393697,4.56314397,1.37103914,0.00000000,1.85121570,2.55174280,0.06123416,0.60459084
-5.86793397,4.50749332,1.34686686,0.00000000,1.83364565,2.51087520,0.06005205,0.60709518
-5.86193097,4.44432948,1.32009997,0.00000000,1.81439635,2.46491067,0.05877178,0.60901760
-5.85592796,4.37480928,1.29118357,0.00000000,1.79391854,2.41470170,0.05742085,0.61033864
-5.84992496,4.30044845,1.26067565,0.00000000,1.77279148,2.36131869,0.05603146,0.61107649
-5.84392196,4.22307834,1.22922862,0.00000000,1.75170550,2.30601897,0.05463941,0.61128883
-5.83791896,4.14478943,1.19756613,0.00000000,1.73143923,2.25020798,0.05328292,0.61107362
-5.83191596,4.06786500,1.16645679,0.00000000,1.71283314,2.19539450,0.05200125,0.61056909
-5.82591296,3.99470817,1.13668591,0.00000000,1.69676057,2.14314220,0.05083325,0.60995269
-5.81990995,3.92776603,1.10902672,0.00000000,1.68409806,2.09501980,0.04981595,0.60943927
-5.81390695,3.86945410,1.08421260,0.00000000,1.67569605,2.05255210,0.04898316,0.60927839
-5.80790395,3.82208420,1.06291133,0.00000000,1.67235138,2.01717381,0.04836428,0.60975067
-5.80190095,3.78779816,1.04570263,0.00000000,1.67478248,1.99018787,0.04798318,0.61116331
-5.79589795,3.76850934,1.03305971,0.00000000,1.68360797,1.97272950,0.04785739,0.61384448
