energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,6.32164466,0.76552109,0.00000000,1.27445518,2.33783514,0.07726942,2.46740303
-5.99399700,6.19928531,0.75454596,0.00000000,1.24828863,2.30532960,0.07412454,2.41681806
-5.98799400,6.07387472,0.74304083,0.00000000,1.22178029,2.26981750,0.07119973,2.36529281
-5.98199100,5.94609947,0.73080470,0.00000000,1.19503244,2.23126744,0.06854523,2.31342668
-5.97598799,5.81666770,0.71764024,0.00000000,1.16815427,2.18968906,0.06620405,2.26182033
-5.96998499,5.68632815,0.70336462,0.00000000,1.14126924,2.14514937,0.06421086,2.21107265
-5.96398199,5.55588687,0.68782012,0.00000000,1.11452159,2.09778763,0.06259100,2.16177693
-5.95797899,5.42621991,0.67088386,0.00000000,1.08808183,2.04782761,0.06135998,2.11451572
-5.95197599,5.29828063,0.65247612,0.00000000,1.06215048,1.99558634,0.06052310,2.06985473
-5.94597299,5.17310091,0.63256670,0.00000000,1.03696005,1.94147876,0.06007554,2.02833563
-5.93996998,5.05178577,0.61117905,0.00000000,1.01277498,1.88601772,0.06000267,1.99046831
-5.93396698,4.93550180,0.58839190,0.00000000,0.98988958,1.82980932,0.06028068,1.95672286
-5.92796398,4.82545979,0.56433828,0.00000000,0.96862399,1.77354365,0.06087752,1.92752177
-5.92196098,4.72289257,0.53920220,0.00000000,0.94931833,1.71798120,0.06175399,1.90323276
-5.91595798,4.62902917,0.51321294,0.00000000,0.93232531,1.66393570,0.06286516,1.88416260
-5.90995498,4.54506629,0.48663762,0.00000000,0.91800147,1.61225385,0.06416186,1.87055218
-5.90395198,4.47213844,0.45977213,0.00000000,0.90669747,1.56379284,0.06559234,1.86257293
-5.89794897,4.41128747,0.43293119,0.00000000,0.89874756,1.51939653,0.06710395,1.86032446
-5.89194597,4.36343253,0.40643787,0.00000000,0.89445863,1.47987097,0.06864487,1.86383343
-5.88594297,4.32934091,0.38061318,0.00000000,0.89409908,1.44596014,0.07016572,1.87305308
-5.87993997,4.30960036,0.35576605,0.00000000,0.89788773,1.41832263,0.07162106,1.88786324
-5.87393697,4.30459319,0.33218429,0.00000000,0.90598317,1.39750995,0.07297074,1.90807037
-5.86793397,4.31447246,0.31012670,0.00000000,0.91847367,1.38394698,0.07418098,1.93340728
-5.86193097,4.33914087,0.28981667,0.00000000,0.93536815,1.37791525,0.07522516,1.96353239
-5.85592796,4.37823262,0.27143734,0.00000000,0.95658847,1.37953940,0.07608435,1.99802844
-5.84992496,4.43109925,0.25512854,0.00000000,0.98196338,1.38877740,0.07674750,2.03640080
-5.84392196,4.49680029,0.24098532,0.00000000,1.01122466,1.40541495,0.07721131,2.07807586
-5.83791896,4.57409989,0.22905813,0.00000000,1.04400581,1.42906428,0.07747981,2.12239988
-5.83191596,4.66147080,0.21935450,0.00000000,1.07984364,1.45916795,0.07756371,2.16863930
-5.82591296,4.75710684,0.21184197,0.00000000,1.11818320,1.49500761,0.07747950,2.21598295
-5.81990995,4.85894520,0.20645217,0.00000000,1.15838626,1.53571805,0.07724843,2.26354736
-5.81390695,4.96469929,0.20308577,0.00000000,1.19974340,1.58030639,0.07689534,2.31038556
-5.80790395,5.07190271,0.20161803,0.00000000,1.24148972,1.62767621,0.07644756,2.35550012
-5.80190095,5.17796390,0.20190484,0.00000000,1.28282400,1.67665623,0.07593378,2.39786061
-5.79589795,5.28023093,0.20378881,0.00000000,1.32293059,1.72603271,0.07538296,2.43642537
-5.78989495,5.37606437,0.20710540,0.00000000,1.36100361,1.77458482,0.07482351,2.47016728
-5.78389195,5.46291605,0.21168867,0.00000000,1.39627238,1.82112162,0.07428246,2.49810249
-5.77788894,5.53841057,0.21737658,0.00000000,1.42802714,1.86451938,0.07378489,2.51932121
-5.77188594,5.60042569,0.22401557,0.00000000,1.45564376,1.90375771,0.07335355,2.53301879
