energy_ev,total_up,Al_p_up,Al_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,1.56551827,0.02924810,0.00000000,0.71725898,0.80951131,0.00400814,0.97337463
-5.99399700,1.59821967,0.02935280,0.00000000,0.72484972,0.83493000,0.00414538,1.00904364
-5.98799400,1.63878860,0.02983657,0.00000000,0.73784339,0.86204544,0.00436021,1.04884374
-5.98199100,1.68839327,0.03076128,0.00000000,0.75710529,0.89103364,0.00466322,1.09327679
-5.97598799,1.74833417,0.03218968,0.00000000,0.78352501,0.92215954,0.00506531,1.14296211
-5.96998499,1.82003741,0.03418451,0.00000000,0.81800378,0.95578289,0.00557744,1.19863776
-5.96398199,1.90504137,0.03680748,0.00000000,0.86143964,0.99236015,0.00621042,1.26115592
-5.95797899,2.00497519,0.04011822,0.00000000,0.91471002,1.03244139,0.00697462,1.33147134
-5.95197599,2.12152811,0.04417312,0.00000000,0.97865140,1.07666147,0.00787973,1.41062219
-5.94597299,2.25640893,0.04902412,0.00000000,1.05403619,1.12572519,0.00893440,1.49970279
-5.93996998,2.41129555,0.05471743,0.00000000,1.14154684,1.18038616,0.01014601,1.59982815
-5.93396698,2.58777506,0.06129217,0.00000000,1.24174759,1.24141948,0.01152031,1.71209093
-5.92796398,2.78727566,0.06877895,0.00000000,1.35505467,1.30958918,0.01306112,1.83751166
-5.92196098,3.01099230,0.07719852,0.00000000,1.48170578,1.38561093,0.01477005,1.97698377
-5.91595798,3.25980857,0.08656029,0.00000000,1.62173013,1.47011180,0.01664624,2.13121547
-5.90995498,3.53421815,0.09686109,0.00000000,1.77492030,1.56358844,0.01868609,2.30067072
-5.90395198,3.83424917,0.10808384,0.00000000,1.94080746,1.66636572,0.02088308,2.48551222
-5.89794897,4.15939556,0.12019657,0.00000000,2.11864152,1.77855788,0.02322766,2.68554918
-5.89194597,4.50855913,0.13315145,0.00000000,2.30737757,1.90003427,0.02570714,2.90019290
-5.88594297,4.88000619,0.14688420,0.00000000,2.50566995,2.03039172,0.02830571,3.12842294
-5.87993997,5.27134215,0.16131376,0.00000000,2.71187520,2.16893543,0.03100450,3.36876649
-5.87393697,5.67950675,0.17634225,0.00000000,2.92406433,2.31466983,0.03378173,3.61929300
-5.86793397,6.10079212,0.19185536,0.00000000,3.14004520,2.46630063,0.03661293,3.87762557
-5.86193097,6.53088457,0.20772311,0.00000000,3.35739460,2.62224864,0.03947125,4.14096993
-5.85592796,6.96493039,0.22380097,0.00000000,3.57349991,2.78067550,0.04232783,4.40616101
-5.84992496,7.39762448,0.23993156,0.00000000,3.78560915,2.93952081,0.04515223,4.66972626
-5.84392196,7.82331987,0.25594657,0.00000000,3.99088831,3.09654970,0.04791293,4.92796410
-5.83791896,8.23615498,0.27166923,0.00000000,4.18648417,3.24940916,0.05057785,5.17703514
-5.83191596,8.63019462,0.28691714,0.00000000,4.36959075,3.39569130,0.05311496,5.41306302
-5.82591296,8.99958017,0.30150539,0.00000000,4.53751708,3.53300095,0.05549282,5.63224123
-5.81990995,9.33868350,0.31525000,0.00000000,4.68775422,3.65902512,0.05768123,5.83094201
-5.81390695,9.64225930,0.32797163,0.00000000,4.81803909,3.77160150,0.05965182,6.00582302
-5.80790395,9.90559004,0.33949933,0.00000000,4.92641291,3.86878329,0.06137864,6.15392767
-5.80190095,10.12461837,0.34967437,0.00000000,5.01127243,3.94889775,0.06283870,6.27277512
-5.79589795,10.29606181,0.35835404,0.00000000,5.07141188,4.01059613,0.06401253,6.36043633
-5.78989495,10.41750551,0.36541522,0.00000000,5.10605448,4.05289312,0.06488458,6.41559321
-5.78389195,10.48746953,0.37075760,0.00000000,5.11487225,4.07519422,0.06544367,6.43757852
