energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,4.44114574,0.77137226,0.00000000,1.51779709,2.26559261,0.10352536,0.96992281
-5.99399700,4.52606642,0.80153364,0.00000000,1.52759465,2.33002030,0.10186889,0.98503521
-5.98799400,4.61494461,0.83311494,0.00000000,1.53728081,2.39822933,0.10016455,1.00123055
-5.98199100,4.70853789,0.86613915,0.00000000,1.54726784,2.47057313,0.09848803,1.01850796
-5.97598799,4.80746915,0.90059179,0.00000000,1.55793363,2.54733542,0.09691468,1.03682003
-5.96998499,4.91219771,0.93641905,0.00000000,1.56960887,2.62871804,0.09551733,1.05606953
-5.96398199,5.02299961,0.97352792,0.00000000,1.58256753,2.71483352,0.09436422,1.07610832
-5.95797899,5.13995799,1.01178833,0.00000000,1.59702094,2.80570261,0.09351723,1.09673840
-5.95197599,5.26296405,1.05103700,0.00000000,1.61311590,2.90125692,0.09303014,1.11771532
-5.94597299,5.39172795,1.09108282,0.00000000,1.63093657,3.00134645,0.09294726,1.13875380
-5.93996998,5.52579882,1.13171328,0.00000000,1.65050979,3.10575112,0.09330224,1.15953533
-5.93396698,5.66459196,1.17270147,0.00000000,1.67181341,3.21419551,0.09411708,1.17971740
-5.92796398,5.80742130,1.21381318,0.00000000,1.69478676,3.32636555,0.09540150,1.19894387
-5.92196098,5.95353450,1.25481372,0.00000000,1.71934235,3.44192571,0.09715241,1.21685606
-5.91595798,6.10214826,1.29547380,0.00000000,1.74537804,3.56053549,0.09935375,1.23310391
-5.90995498,6.25248117,1.33557433,0.00000000,1.77278848,3.68186356,0.10197651,1.24735673
-5.90395198,6.40378207,1.37490985,0.00000000,1.80147515,3.80559871,0.10497906,1.25931296
-5.89794897,6.55535185,1.41329039,0.00000000,1.83135428,3.93145639,0.10830770,1.26870862
-5.89194597,6.70655763,1.45054188,0.00000000,1.86236182,4.05918036,0.11189756,1.27532406
-5.88594297,6.85683840,1.48650519,0.00000000,1.89445554,4.18853924,0.11567379,1.27898869
-5.87993997,7.00570222,1.52103404,0.00000000,1.92761374,4.31931795,0.11955300,1.27958386
-5.87393697,7.15271549,1.55399205,0.00000000,1.96183096,4.45130464,0.12344507,1.27704363
-5.86793397,7.29748538,1.58524942,0.00000000,1.99711086,4.58427394,0.12725520,1.27135376
-5.86193097,7.43963708,1.61467944,0.00000000,2.03345683,4.71796763,0.13088622,1.26254906
-5.85592796,7.57878765,1.64215534,0.00000000,2.07086102,4.85207399,0.13424106,1.25070947
-5.84992496,7.71451871,1.66754774,0.00000000,2.10929241,4.98620731,0.13722539,1.23595512
-5.84392196,7.84634990,1.69072290,0.00000000,2.14868487,5.11988902,0.13975030,1.21844082
-5.83791896,7.97371532,1.71154201,0.00000000,2.18892589,5.25253167,0.14173486,1.19835024
-5.83191596,8.09594461,1.72986156,0.00000000,2.22984669,5.38342727,0.14310860,1.17589018
-5.82591296,8.21225028,1.74553478,0.00000000,2.27121455,5.51174064,0.14381372,1.15128510
-5.81990995,8.32172227,1.75841402,0.00000000,2.31272765,5.63650890,0.14380690,1.12477220
-5.81390695,8.42333062,1.76835406,0.00000000,2.35401308,5.75664736,0.14306075,1.09659719
-5.80790395,8.51593639,1.77521599,0.00000000,2.39462817,5.87096203,0.14156466,1.06701072
-5.80190095,8.59831083,1.77887153,0.00000000,2.43406521,5.97816878,0.13932521,1.03626569
