energy_ev,total_up,Al_p_up,Al_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,2.93675036,0.37758521,0.00000000,1.08556647,0.70787324,0.09859177,0.64878611
-5.99399700,2.93906336,0.37767181,0.00000000,1.08924237,0.70650215,0.10100630,0.65236712
-5.98799400,2.93043240,0.37640728,0.00000000,1.08923307,0.70221273,0.10348873,0.65399973
-5.98199100,2.91237667,0.37398996,0.00000000,1.08609311,0.69538340,0.10608457,0.65402598
-5.97598799,2.88667261,0.37064743,0.00000000,1.08046668,0.68646097,0.10883886,0.65284377
-5.96998499,2.85530108,0.36662929,0.00000000,1.07306834,0.67594758,0.11179455,0.65089611
-5.96398199,2.82038718,0.36219920,0.00000000,1.06466092,0.66438575,0.11499085,0.64865866
-5.95797899,2.78413469,0.35762642,0.00000000,1.05603172,0.65234193,0.11846155,0.64662585
-5.95197599,2.74875758,0.35317711,0.00000000,1.04796751,0.64038923,0.12223347,0.64529593
-5.94597299,2.71641091,0.34910590,0.00000000,1.04122948,0.62908983,0.12632504,0.64515567
-5.93996998,2.68912358,0.34564778,0.00000000,1.03652885,0.61897787,0.13074499,0.64666486
-5.93396698,2.66873524,0.34301077,0.00000000,1.03450408,0.61054318,0.13549135,0.65024147
-5.92796398,2.65683948,0.34136956,0.00000000,1.03570043,0.60421657,0.14055072,0.65624769
-5.92196098,2.65473527,0.34086032,0.00000000,1.04055251,0.60035709,0.14589780,0.66497758
-5.91595798,2.66338813,0.34157690,0.00000000,1.04937056,0.59924169,0.15149540,0.67664652
-5.90995498,2.68340237,0.34356835,0.00000000,1.06233071,0.60105763,0.15729474,0.69138319
-5.90395198,2.71500518,0.34683807,0.00000000,1.07946977,0.60589777,0.16323615,0.70922402
-5.89794897,2.75804291,0.35134438,0.00000000,1.10068441,0.61375897,0.16925026,0.73011067
-5.89194597,2.81198969,0.35700256,0.00000000,1.12573507,0.62454352,0.17525940,0.75389054
-5.88594297,2.87596786,0.36368818,0.00000000,1.15425415,0.63806354,0.18117949,0.78032029
-5.87993997,2.94877934,0.37124171,0.00000000,1.18575837,0.65404820,0.18692212,0.80907249
-5.87393697,3.02894688,0.37947409,0.00000000,1.21966473,0.67215334,0.19239686,0.83974493
-5.86793397,3.11476346,0.38817312,0.00000000,1.25530962,0.69197326,0.19751365,0.87187256
-5.86193097,3.20434825,0.39711043,0.00000000,1.29197017,0.71305416,0.20218534,0.90494144
-5.85592796,3.29570687,0.40604881,0.00000000,1.32888742,0.73490875,0.20633004,0.93840432
-5.84992496,3.38679388,0.41474957,0.00000000,1.36529005,0.75703146,0.20987341,0.97169715
-5.84392196,3.47557527,0.42297979,0.00000000,1.40041817,0.77891378,0.21275066,1.00425608
-5.83791896,3.56008863,0.43051908,0.00000000,1.43354607,0.80005911,0.21490824,1.03553402
-5.83191596,3.63849890,0.43716581,0.00000000,1.46400321,0.81999657,0.21630517,1.06501639
-5.82591296,3.70914776,0.44274241,0.00000000,1.49119266,0.83829348,0.21691392,1.09223525
-5.81990995,3.77059500,0.44709973,0.00000000,1.51460630,0.85456581,0.21672087,1.11678132
-5.81390695,3.82165049,0.45012029,0.00000000,1.53383630,0.86848654,0.21572623,1.13831347
-5.80790395,3.86139588,0.45172033,0.00000000,1.54858245,0.87979160,0.21394362,1.15656532
-5.80190095,3.88919551,0.45185056,0.00000000,1.55865529,0.88828325,0.21139917,1.17134873
-5.79589795,3.90469660,0.45049580,0.00000000,1.56397479,0.89383095,0.20813030,1.18255424
-5.78989495,3.90781914,0.44767336,0.00000000,1.56456500,0.89636978,0.20418421,1.19014839
-5.78389195,3.89873639,0.44343046,0.00000000,1.56054497,0.89589673,0.19961616,1.19416841
-5.77788894,3.87784735,0.43784068,0.00000000,1.55211640,0.89246501,0.19448761,1.19471452
-5.77188594,3.84574285,0.43099971,0.00000000,1.53954881,0.88617688,0.18886430,1.19194033
-5.76588294,3.80316714,0.42302060,0.00000000,1.52316298,0.87717540,0.18281444,1.18604210
-5.75987994,3.75097702,0.41402870,0.00000000,1.50331345,0.86563549,0.17640690,1.17724729
-5.75387694,3.69010063,0.40415654,0.00000000,1.48037112,0.85175492,0.16970966,1.16580320
-5.74787394,3.62149784,0.39353886,0.00000000,1.45470658,0.83574551,0.16278840,1.15196621
-5.74187094,3.54612404,0.38230806,0.00000000,1.42667515,0.81782497,0.15570538,1.13599225
-5.73586793,3.46489899,0.37059011,0.00000000,1.39660424,0.79820984,0.14851856,1.11812891
-5.72986493,3.37868179,0.35850125,0.00000000,1.36478344,0.77710954,0.14128103,1.09860950
-5.72386193,3.28825279,0.34614538,0.00000000,1.33145789,0.75472197,0.13404062,1.07764931
-5.71785893,3.19430279,0.33361244,0.00000000,1.29682497,0.73123048,0.12683981,1.05544399
-5.71185593,3.09742943,0.32097754,0.00000000,1.26103429,0.70680230,0.11971580,1.03217007
-5.70585293,2.99814030,0.30830102,0.00000000,1.22419078,0.68158843,0.11270079,1.00798729
-5.69984992,2.89686176,0.29562923,0.00000000,1.18636060,0.65572454,0.10582232,0.98304232
-5.69384692,2.79395252,0.28299599,0.00000000,1.14757913,0.62933288,0.09910375,0.95747351
-5.68784392,2.68972029,0.27042457,0.00000000,1.10786062,0.60252490,0.09256474,0.93141608
-5.68184092,2.58444036,0.25793000,0.00000000,1.06720874,0.57540417,0.08622179,0.90500727
-5.67583792,2.47837425,0.24552160,0.00000000,1.02562732,0.54806939,0.08008866,0.87839084
-5.66983492,2.37178724,0.23320554,0.00000000,0.98313051,0.52061734,0.07417685,0.85172054
-5.66383192,2.26496343,0.22098726,0.00000000,0.93975198,0.49314525,0.06849596,0.82516214
-5.65782891,2.15821728,0.20887360,0.00000000,0.89555237,0.46575278,0.06305398,0.79889380
-5.65182591,2.05190101,0.19687458,0.00000000,0.85062472,0.43854314,0.05785751,0.77310458
-5.64582291,1.94640735,0.18500473,0.00000000,0.80509770,0.41162359,0.05291189,0.74799118
-5.63981991,1.84216776,0.17328390,0.00000000,0.75913638,0.38510501,0.04822134,0.72375301
-5.63381691,1.73964622,0.16173755,0.00000000,0.71294076,0.35910094,0.04378894,0.70058596
-5.62781391,1.63932939,0.15039656,0.00000000,0.66674205,0.33372590,0.03961666,0.67867524
-5.62181091,1.54171376,0.13929664,0.00000000,0.62079727,0.30909326,0.03570532,0.65818769
-5.61580790,1.44729100,0.12847728,0.00000000,0.57538232,0.28531289,0.03205457,0.63926426
-5.60980490,1.35653239,0.11798056,0.00000000,0.53078416,0.26248864,0.02866289,0.62201311
-5.60380190,1.26987375,0.10784969,0.00000000,0.48729247,0.24071591,0.02552754,0.60650387
-5.59779890,1.18770165,0.09812754,0.00000000,0.44519142,0.22007958,0.02264465,0.59276357
-5.59179590,1.11034211,0.08885521,0.00000000,0.40475187,0.20065218,0.02000926,0.58077458
-5.58579290,1.03805237,0.08007070,0.00000000,0.36622448,0.18249279,0.01761543,0.57047481
-5.57978989,0.97101650,0.07180791,0.00000000,0.32983413,0.16564648,0.01545644,0.56176030
-5.57378689,0.90934493,0.06409575,0.00000000,0.29577565,0.15014440,0.01352493,0.55449020
-5.56778389,0.85307812,0.05695771,0.00000000,0.26421137,0.13600466,0.01181320,0.54849392
-5.56178089,0.80219413,0.05041168,0.00000000,0.23527016,0.12323382,0.01031349,0.54358016
-5.55577789,0.75661966,0.04447015,0.00000000,0.20904818,0.11182900,0.00901826,0.53954738
-5.54977489,0.71624389,0.03914071,0.00000000,0.18561114,0.10178049,0.00792055,0.53619521
-5.54377189,0.68093446,0.03442681,0.00000000,0.16499777,0.09307471,0.00701432,0.53333626
-5.53776888,0.65055468,0.03032876,0.00000000,0.14722443,0.08569751,0.00629483,0.53080765
-5.53176588,0.62498103,0.02684487,0.00000000,0.13229044,0.07963746,0.00575896,0.52848181
-5.52576288,0.60412009,0.02397274,0.00000000,0.12018385,0.07488908,0.00540556,0.52627581
-5.51975988,0.58792396,0.02171049,0.00000000,0.11088738,0.07145592,0.00523571,0.52415901
-5.51375688,0.57640343,0.02005801,0.00000000,0.10438411,0.06935314,0.00525305,0.52215840
-5.50775388,0.56963825,0.01901806,0.00000000,0.10066275,0.06860960,0.00546390,0.52036153
-5.50175088,0.56778375,0.01859724,0.00000000,0.09972213,0.06926927,0.00587747,0.51891681
-5.49574787,0.57107361,0.01880664,0.00000000,0.10157468,0.07139182,0.00650585,0.51803114
-5.48974487,0.57981837,0.01966230,0.00000000,0.10624870,0.07505230,0.00736400,0.51796491
-5.48374187,0.59439957,0.02118530,0.00000000,0.11378931,0.08033988,0.00846960,0.51902453
-5.47773887,0.61525953,0.02340157,0.00000000,0.12425792,0.08735553,0.00984276,0.52155286
-5.47173587,0.64288694,0.02634128,0.00000000,0.13773017,0.09620866,0.01150566,0.52591758
-5.46573287,0.67779865,0.03003797,0.00000000,0.15429239,0.10701275,0.01348203,0.53249811
-5.45972986,0.72051790,0.03452730,0.00000000,0.17403663,0.11988007,0.01579651,0.54167137
-5.45372686,0.77154988,0.03984561,0.00000000,0.19705437,0.13491545,0.01847392,0.55379679
-5.44772386,0.83135509,0.04602811,0.00000000,0.22342923,0.15220954,0.02153840,0.56920108
-5.44172086,0.90032155,0.05310707,0.00000000,0.25322878,0.17183149,0.02501252,0.58816314
-5.43571786,0.97873678,0.06110980,0.00000000,0.28649595,0.19382145,0.02891630,0.61089967
-5.42971486,1.06676060,0.07005671,0.00000000,0.32324030,0.21818320,0.03326623,0.63755188
-5.42371186,1.16440008,0.07995943,0.00000000,0.36342972,0.24487724,0.03807433,0.66817383
-5.41770885,1.27148759,0.09081913,0.00000000,0.40698284,0.27381460,0.04334728,0.70272277
-5.41170585,1.38766330,0.10262512,0.00000000,0.45376270,0.30485192,0.04908563,0.74105214
-5.40570285,1.51236321,0.11535380,0.00000000,0.50357209,0.33778794,0.05528320,0.78290727
-5.39969985,1.64481354,0.12896801,0.00000000,0.55615082,0.37236195,0.06192662,0.82792452
-5.39369685,1.78403228,0.14341689,0.00000000,0.61117539,0.40825423,0.06899518,0.87563385
-5.38769385,1.92883840,0.15863616,0.00000000,0.66826099,0.44508882,0.07646075,0.92546503
-5.38169085,2.07786870,0.17454885,0.00000000,0.72696606,0.48243871,0.08428812,0.97675759
-5.37568784,2.22960213,0.19106654,0.00000000,0.78679927,0.51983327,0.09243542,1.02877430
-5.36968484,2.38239086,0.20809079,0.00000000,0.84722859,0.55676800,0.10085482,1.08071789
-5.36368184,2.53449711,0.22551496,0.00000000,0.90769224,0.59271618,0.10949337,1.13175060
-5.35767884,2.68413435,0.24322606,0.00000000,0.96761090,0.62714203,0.11829397,1.18101589
-5.35167584,2.82951104,0.26110671,0.00000000,1.02640065,0.65951508,0.12719643,1.22766157
-5.34567284,2.96887526,0.27903690,0.00000000,1.08348601,0.68932488,0.13613848,1.27086341
-5.33966983,3.10055814,0.29689557,0.00000000,1.13831249,0.71609580,0.14505681,1.30984846
-5.33366683,3.22301407,0.31456192,0.00000000,1.19035784,0.73940090,0.15388797,1.34391684
