energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,6.50768976,1.30692607,0.00000000,1.78633615,4.44981952,1.45296864,0.00000000
-5.99399700,6.85413240,1.38103929,0.00000000,1.85956662,4.69693604,1.52708781,0.00000000
-5.98799400,7.20940743,1.45786253,0.00000000,1.93462370,4.95230374,1.60129047,0.00000000
-5.98199100,7.57104337,1.53671589,0.00000000,2.01116684,5.21399383,1.67520775,0.00000000
-5.97598799,7.93636006,1.61687138,0.00000000,2.08880920,5.47990329,1.74845216,0.00000000
-5.96998499,8.30248421,1.69756379,0.00000000,2.16711346,5.74777398,1.82061463,0.00000000
-5.96398199,8.66637119,1.77800265,0.00000000,2.24558903,6.01521641,1.89126275,0.00000000
-5.95797899,9.02483418,1.85738509,0.00000000,2.32369105,6.27973874,1.95994034,0.00000000
-5.95197599,9.37458200,1.93490971,0.00000000,2.40082197,6.53878166,2.02616892,0.00000000
-5.94597299,9.71226593,2.00979127,0.00000000,2.47633598,6.78975925,2.08945118,0.00000000
-5.93996998,10.03453586,2.08127611,0.00000000,2.54954677,7.03010577,2.14927679,0.00000000
-5.93396698,10.33810519,2.14865797,0.00000000,2.61973851,7.25732782,2.20513036,0.00000000
-5.92796398,10.61982323,2.21129405,0.00000000,2.68618013,7.46906086,2.25650159,0.00000000
-5.92196098,10.87675337,2.26862078,0.00000000,2.74814252,7.66312868,2.30289731,0.00000000
-5.91595798,11.10625457,2.32016895,0.00000000,2.80491805,7.83760391,2.34385512,0.00000000
-5.90995498,11.30606309,2.36557755,0.00000000,2.85584188,7.99086745,2.37895792,0.00000000
-5.90395198,11.47437128,2.40460596,0.00000000,2.90031396,8.12166439,2.40784898,0.00000000
-5.89794897,11.60989970,2.43714372,0.00000000,2.93782110,8.22915370,2.43024677,0.00000000
-5.89194597,11.71195908,2.46321752,0.00000000,2.96795775,8.31294944,2.44595877,0.00000000
-5.88594297,11.78049868,2.48299485,0.00000000,2.99044484,8.37315080,2.45489374,0.00000000
-5.87993997,11.81613797,2.49678396,0.00000000,3.00514552,8.41035916,2.45707159,0.00000000
-5.87393697,11.82017904,2.50502976,0.00000000,3.01207704,8.42568037,2.45263026,0.00000000
-5.86793397,11.79459813,2.50830575,0.00000000,3.01141810,8.42071121,2.44182919,0.00000000
