energy_ev,total_up,Al_p_up,Al_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,0.71227994,0.06169959,0.00000000,0.24469079,0.12293673,0.33017154,0.00000000
-5.99399700,0.75239944,0.06204492,0.00000000,0.25889727,0.12743970,0.36131429,0.00000000
-5.98799400,0.80032601,0.06290410,0.00000000,0.27638101,0.13318603,0.39637617,0.00000000
-5.98199100,0.85636298,0.06431536,0.00000000,0.29732954,0.14023009,0.43538212,0.00000000
-5.97598799,0.92069159,0.06630911,0.00000000,0.32189763,0.14860777,0.47828391,0.00000000
-5.96998499,0.99335712,0.06890668,0.00000000,0.35020156,0.15833398,0.52495403,0.00000000
-5.96398199,1.07425961,0.07211948,0.00000000,0.38231456,0.16940096,0.57518236,0.00000000
-5.95797899,1.16314968,0.07594853,0.00000000,0.41826349,0.18177733,0.62867572,0.00000000
-5.95197599,1.25962952,0.08038437,0.00000000,0.45802671,0.19540817,0.68506066,0.00000000
-5.94597299,1.36315901,0.08540742,0.00000000,0.50153323,0.21021573,0.74388936,0.00000000
-5.93996998,1.47306675,0.09098862,0.00000000,0.54866306,0.22610115,0.80464869,0.00000000
-5.93396698,1.58856551,0.09709045,0.00000000,0.59924860,0.24294672,0.86677205,0.00000000
-5.92796398,1.70877120,0.10366814,0.00000000,0.65307702,0.26061876,0.92965359,0.00000000
-5.92196098,1.83272472,0.11067114,0.00000000,0.70989331,0.27897103,0.99266428,0.00000000
-5.91595798,1.95941543,0.11804464,0.00000000,0.76940396,0.29784824,1.05516911,0.00000000
-5.90995498,2.08780524,0.12573118,0.00000000,0.83128096,0.31708976,1.11654464,0.00000000
-5.90395198,2.21685212,0.13367220,0.00000000,0.89516583,0.33653322,1.17619624,0.00000000
-5.89794897,2.34553205,0.14180952,0.00000000,0.96067368,0.35601776,1.23357408,0.00000000
-5.89194597,2.47285829,0.15008656,0.00000000,1.02739693,0.37538696,1.28818721,0.00000000
-5.88594297,2.59789728,0.15844939,0.00000000,1.09490865,0.39449120,1.33961511,0.00000000
-5.87993997,2.71978056,0.16684757,0.00000000,1.16276551,0.41318934,1.38751626,0.00000000
-5.87393697,2.83771246,0.17523452,0.00000000,1.23051025,0.43134981,1.43163330,0.00000000
-5.86793397,2.95097355,0.18356776,0.00000000,1.29767377,0.44885104,1.47179476,0.00000000
-5.86193097,3.05892008,0.19180879,0.00000000,1.36377695,0.46558124,1.50791339,0.00000000
-5.85592796,3.16098004,0.19992267,0.00000000,1.42833249,0.48143769,1.53998134,0.00000000
-5.84992496,3.25664665,0.20787747,0.00000000,1.49084683,0.49632571,1.56806271,0.00000000
-5.84392196,3.34547012,0.21564356,0.00000000,1.55082260,0.51015734,1.59228387,0.00000000
-5.83791896,3.42704891,0.22319273,0.00000000,1.60776169,0.52285001,1.61282246,0.00000000
-5.83191596,3.50102140,0.23049746,0.00000000,1.66116936,0.53432536,1.62989549,0.00000000
-5.82591296,3.56705910,0.23753020,0.00000000,1.71055938,0.54450829,1.64374756,0.00000000
-5.81990995,3.62486220,0.24426281,0.00000000,1.75546058,0.55332654,1.65463962,0.00000000
-5.81390695,3.67415819,0.25066628,0.00000000,1.79542463,0.56071072,1.66283896,0.00000000
-5.80790395,3.71470377,0.25671071,0.00000000,1.83003512,0.56659500,1.66861078,0.00000000
-5.80190095,3.74629040,0.26236563,0.00000000,1.85891772,0.57091844,1.67221173,0.00000000
-5.79589795,3.76875302,0.26760064,0.00000000,1.88175113,0.57362682,1.67388542,0.00000000
-5.78989495,3.78198167,0.27238643,0.00000000,1.89827851,0.57467509,1.67385991,0.00000000
-5.78389195,3.78593503,0.27669602,0.00000000,1.90831879,0.57403013,1.67234706,0.00000000
-5.77788894,3.78065522,0.28050634,0.00000000,1.91177737,0.57167378,1.66954327,0.00000000
-5.77188594,3.76628252,0.28379988,0.00000000,1.90865572,0.56760587,1.66563148,0.00000000
-5.76588294,3.74306911,0.28656646,0.00000000,1.89905917,0.56184724,1.66078381,0.00000000
-5.75987994,3.71139067,0.28880496,0.00000000,1.88320237,0.55444226,1.65516458,0.00000000
-5.75387694,3.67175494,0.29052488,0.00000000,1.86141202,0.54546103,1.64893318,0.00000000
-5.74787394,3.62480634,0.29174769,0.00000000,1.83412642,0.53500080,1.64224667,0.00000000
-5.74187094,3.57132634,0.29250775,0.00000000,1.80189156,0.52318673,1.63526177,0.00000000
-5.73586793,3.51222895,0.29285286,0.00000000,1.76535378,0.51017176,1.62813606,0.00000000
-5.72986493,3.44855160,0.29284423,0.00000000,1.72524884,0.49613561,1.62102854,0.00000000
-5.72386193,3.38144139,0.29255595,0.00000000,1.68238790,0.48128293,1.61409931,0.00000000
-5.71785893,3.31213723,0.29207389,0.00000000,1.63764043,0.46584061,1.60750872,0.00000000
-5.71185593,3.24194845,0.29149397,0.00000000,1.59191492,0.45005426,1.60141598,0.00000000
-5.70585293,3.17223052,0.29092010,0.00000000,1.54613776,0.43418417,1.59597736,0.00000000
-5.69984992,3.10435877,0.29046147,0.00000000,1.50123103,0.41850053,1.59134410,0.00000000
-5.69384692,3.03970081,0.29022974,0.00000000,1.45809013,0.40327833,1.58766017,0.00000000
-5.68784392,2.97958837,0.29033584,0.00000000,1.41756171,0.38879196,1.58505986,0.00000000
-5.68184092,2.92528934,0.29088677,0.00000000,1.38042298,0.37530954,1.58366515,0.00000000
-5.67583792,2.87798060,0.29198247,0.00000000,1.34736277,0.36308727,1.58358286,0.00000000
-5.66983492,2.83872206,0.29371279,0.00000000,1.31896514,0.35236378,1.58490156,0.00000000
-5.66383192,2.80843243,0.29615484,0.00000000,1.29569591,0.34335472,1.58768799,0.00000000
-5.65782891,2.78786712,0.29937072,0.00000000,1.27789252,0.33624751,1.59198310,0.00000000
-5.65182591,2.77759849,0.30340574,0.00000000,1.26575737,0.33119657,1.59779770,0.00000000
-5.64582291,2.77799898,0.30828715,0.00000000,1.25935479,0.32831898,1.60510771,0.00000000
-5.63981991,2.78922731,0.31402356,0.00000000,1.25861157,0.32769074,1.61384926,0.00000000
-5.63381691,2.81121826,0.32060486,0.00000000,1.26332085,0.32934376,1.62391388,0.00000000
-5.62781391,2.84367647,0.32800276,0.00000000,1.27314922,0.33326364,1.63514418,0.00000000
-5.62181091,2.88607472,0.33617189,0.00000000,1.28764658,0.33938842,1.64733038,0.00000000
-5.61580790,2.93765720,0.34505131,0.00000000,1.30625849,0.34760835,1.66020821,0.00000000
-5.60980490,2.99744822,0.35456655,0.00000000,1.32834053,0.35776682,1.67345872,0.00000000
-5.60380190,3.06426677,0.36463183,0.00000000,1.35317437,0.36966254,1.68671028,0.00000000
-5.59779890,3.13674712,0.37515263,0.00000000,1.37998491,0.38305292,1.69954323,0.00000000
-5.59179590,3.21336554,0.38602832,0.00000000,1.40795836,0.39765879,1.71149745,0.00000000
-5.58579290,3.29247294,0.39715491,0.00000000,1.43626064,0.41317028,1.72208273,0.00000000
-5.57978989,3.37233274,0.40842762,0.00000000,1.46405594,0.42925386,1.73079196,0.00000000
-5.57378689,3.45116342,0.41974343,0.00000000,1.49052485,0.44556036,1.73711670,0.00000000
-5.56778389,3.52718431,0.43100334,0.00000000,1.51488198,0.46173362,1.74056460,0.00000000
-5.56178089,3.59866327,0.44211432,0.00000000,1.53639252,0.47741975,1.74067800,0.00000000
-5.55577789,3.66396458,0.45299084,0.00000000,1.55438757,0.49227641,1.73705276,0.00000000
-5.54977489,3.72159506,0.46355611,0.00000000,1.56827780,0.50598201,1.72935639,0.00000000
-5.54377189,3.77024651,0.47374262,0.00000000,1.57756529,0.51824425,1.71734454,0.00000000
-5.53776888,3.80883252,0.48349237,0.00000000,1.58185305,0.52880780,1.70087481,0.00000000
-5.53176588,3.83651794,0.49275644,0.00000000,1.58085210,0.53746079,1.67991710,0.00000000
-5.52576288,3.85273942,0.50149416,0.00000000,1.57438584,0.54403970,1.65455968,0.00000000
-5.51975988,3.85721601,0.50967168,0.00000000,1.56239152,0.54843255,1.62501063,0.00000000
-5.51375688,3.84994915,0.51726031,0.00000000,1.54491876,0.55058031,1.59159429,0.00000000
-5.50775388,3.83121190,0.52423436,0.00000000,1.52212504,0.55047627,1.55474279,0.00000000
-5.50175088,3.80152802,0.53056896,0.00000000,1.49426834,0.54816369,1.51498296,0.00000000
-5.49574787,3.76164174,0.53623766,0.00000000,1.46169712,0.54373167,1.47291908,0.00000000
-5.48974487,3.71247986,0.54121029,0.00000000,1.42483793,0.53730958,1.42921249,0.00000000
-5.48374187,3.65510804,0.54545095,0.00000000,1.38418113,0.52906025,1.38455869,0.00000000
-5.47773887,3.59068361,0.54891647,0.00000000,1.34026522,0.51917249,1.33966335,0.00000000
-5.47173587,3.52040719,0.55155549,0.00000000,1.29366038,0.50785301,1.29521815,0.00000000
-5.46573287,3.44547570,0.55330815,0.00000000,1.24495183,0.49531843,1.25187773,0.00000000
-5.45972986,3.36703897,0.55410660,0.00000000,1.19472371,0.48178759,1.21023877,0.00000000
-5.45372686,3.28616203,0.55387635,0.00000000,1.14354396,0.46747455,1.17082211,0.00000000
-5.44772386,3.20379467,0.55253840,0.00000000,1.09195092,0.45258257,1.13405873,0.00000000
-5.44172086,3.12074957,0.55001217,0.00000000,1.04044195,0.43729922,1.10028000,0.00000000
-5.43571786,3.03768939,0.54621899,0.00000000,0.98946445,0.42179290,1.06971258,0.00000000
-5.42971486,2.95512308,0.54108618,0.00000000,0.93940953,0.40621061,1.04247786,0.00000000
-5.42371186,2.87341077,0.53455125,0.00000000,0.89060833,0.39067702,1.01859585,0.00000000
-5.41770885,2.79277622,0.52656623,0.00000000,0.84333092,0.37529484,0.99799294,0.00000000
-5.41170585,2.71332558,0.51710173,0.00000000,0.79778751,0.36014604,0.98051289,0.00000000
-5.40570285,2.63507062,0.50615052,0.00000000,0.75413182,0.34529404,0.96593043,0.00000000
-5.39969985,2.55795464,0.49373038,0.00000000,0.71246599,0.33078630,0.95396646,0.00000000
-5.39369685,2.48187926,0.47988612,0.00000000,0.67284678,0.31665730,0.94430414,0.00000000
-5.38769385,2.40673026,0.46469047,0.00000000,0.63529241,0.30293154,0.93660491,0.00000000
-5.38169085,2.33240110,0.44824386,0.00000000,0.59978981,0.28962644,0.93052388,0.00000000
-5.37568784,2.25881277,0.43067313,0.00000000,0.56630169,0.27675489,0.92572391,0.00000000
-5.36968484,2.18592929,0.41212898,0.00000000,0.53477319,0.26432744,0.92188792,0.00000000
-5.36368184,2.11376841,0.39278263,0.00000000,0.50513786,0.25235388,0.91872925,0.00000000
-5.35767884,2.04240764,0.37282153,0.00000000,0.47732273,0.24084453,0.91599997,0.00000000
-5.35167584,1.97198573,0.35244456,0.00000000,0.45125261,0.22981088,0.91349705,0.00000000
-5.34567284,1.90270059,0.33185689,0.00000000,0.42685329,0.21926593,0.91106681,0.00000000
-5.33966983,1.83480428,0.31126471,0.00000000,0.40405408,0.20922432,0.90860770,0.00000000
-5.33366683,1.76859615,0.29087019,0.00000000,0.38278959,0.19970213,0.90607174,0.00000000
-5.32766383,1.70441511,0.27086688,0.00000000,0.36300094,0.19071675,0.90346506,0.00000000
-5.32166083,1.64263185,0.25143570,0.00000000,0.34463663,0.18228675,0.90084754,0.00000000
-5.31565783,1.58364185,0.23274169,0.00000000,0.32765320,0.17443181,0.89833193,0.00000000
-5.30965483,1.52785947,0.21493165,0.00000000,0.31201567,0.16717290,0.89608236,0.00000000
-5.30365183,1.47571348,0.19813272,0.00000000,0.29769807,0.16053254,0.89431229,0.00000000
-5.29764882,1.42764382,0.18245181,0.00000000,0.28468382,0.15453524,0.89328164,0.00000000
-5.29164582,1.38409935,0.16797587,0.00000000,0.27296619,0.14920804,0.89329295,0.00000000
-5.28564282,1.34553598,0.15477284,0.00000000,0.26254855,0.14458096,0.89468622,0.00000000
-5.27963982,1.31241453,0.14289315,0.00000000,0.25344446,0.14068747,0.89783211,0.00000000
-5.27363682,1.28519748,0.13237161,0.00000000,0.24567750,0.13756467,0.90312333,0.00000000
-5.26763382,1.26434411,0.12322943,0.00000000,0.23928050,0.13525314,0.91096390,0.00000000
-5.26163082,1.25030317,0.11547628,0.00000000,0.23429438,0.13379651,0.92175630,0.00000000
-5.25562781,1.24350279,0.10911220,0.00000000,0.23076627,0.13324036,0.93588673,0.00000000
-5.24962481,1.24433762,0.10412911,0.00000000,0.22874694,0.13363084,0.95370858,0.00000000
-5.24362181,1.25315304,0.10051206,0.00000000,0.22828768,0.13501260,0.97552487,0.00000000
-5.23761881,1.27022721,0.09823987,0.00000000,0.22943642,0.13742643,1.00157013,0.00000000
-5.23161581,1.29575145,0.09728543,0.00000000,0.23223357,0.14090642,1.03199283,0.00000000
-5.22561281,1.32981020,0.09761544,0.00000000,0.23670738,0.14547694,1.06683912,0.00000000
-5.21960980,1.37236152,0.09918978,0.00000000,0.24286936,0.15114948,1.10603904,0.00000000
-5.21360680,1.42321964,0.10196066,0.00000000,0.25070980,0.15791967,1.14939620,0.00000000
-5.20760380,1.48204076,0.10587144,0.00000000,0.26019376,0.16576446,1.19658172,0.00000000
-5.20160080,1.54831338,0.11085559,0.00000000,0.27125768,0.17463979,1.24713337,0.00000000
-5.19559780,1.62135431,0.11683560,0.00000000,0.28380700,0.18447892,1.30046020,0.00000000
-5.18959480,1.70031092,0.12372221,0.00000000,0.29771479,0.19519149,1.35585298,0.00000000
-5.18359180,1.78417033,0.13141394,0.00000000,0.31282173,0.20666344,1.41250029,0.00000000
-5.17758879,1.87177543,0.13979710,0.00000000,0.32893737,0.21875793,1.46950974,0.00000000
-5.17158579,1.96184743,0.14874632,0.00000000,0.34584268,0.23131712,1.52593358,0.00000000
-5.16558279,2.05301412,0.15812561,0.00000000,0.36329397,0.24416503,1.58079751,0.00000000
-5.15957979,2.14384277,0.16778995,0.00000000,0.38102785,0.25711104,1.63313139,0.00000000
-5.15357679,2.23287626,0.17758740,0.00000000,0.39876710,0.26995427,1.68200042,0.00000000
-5.14757379,2.31867065,0.18736171,0.00000000,0.41622725,0.28248839,1.72653503,0.00000000
-5.14157079,2.39983260,0.19695516,0.00000000,0.43312350,0.29450677,1.76595815,0.00000000
