energy_ev,total_up,Ga_p_up,Ga_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,0.90467795,0.17529007,0.00000000,0.33875153,0.33803491,0.02503612,0.31420389
-5.99399700,0.87996012,0.17557818,0.00000000,0.32183654,0.33270145,0.02318538,0.30353366
-5.98799400,0.86943364,0.17855945,0.00000000,0.31062147,0.33238298,0.02162166,0.29815822
-5.98199100,0.87337421,0.18433811,0.00000000,0.30516035,0.33726591,0.02036118,0.29810155
-5.97598799,0.89190851,0.19298745,0.00000000,0.30545777,0.34747927,0.01941619,0.30333757
-5.96998499,0.92501787,0.20454882,0.00000000,0.31147571,0.36309404,0.01879538,0.31379254
-5.96398199,0.97254370,0.21903129,0.00000000,0.32314027,0.38412375,0.01850435,0.32934782
-5.95797899,1.03419508,0.23641197,0.00000000,0.34034820,0.41052620,0.01854609,0.34984291
-5.95197599,1.10955844,0.25663710,0.00000000,0.36297315,0.44220645,0.01892154,0.37507902
-5.94597299,1.19810926,0.27962389,0.00000000,0.39087156,0.47902088,0.01963009,0.40482311
-5.93996998,1.29922586,0.30526303,0.00000000,0.42388808,0.52078236,0.02067011,0.43881249
-5.93396698,1.41220479,0.33342180,0.00000000,0.46186040,0.56726620,0.02203931,0.47675998
-5.92796398,1.53627752,0.36394771,0.00000000,0.50462335,0.61821678,0.02373517,0.51835945
-5.92196098,1.67062757,0.39667236,0.00000000,0.55201195,0.67335437,0.02575514,0.56329166
-5.91595798,1.81440733,0.43141541,0.00000000,0.60386335,0.73238186,0.02809675,0.61123013
-5.90995498,1.96675355,0.46798829,0.00000000,0.66001724,0.79499098,0.03075763,0.66184667
-5.90395198,2.12680024,0.50619743,0.00000000,0.72031454,0.86086731,0.03373526,0.71481626
-5.89794897,2.29368806,0.54584673,0.00000000,0.78459414,0.92969393,0.03702670,0.76982089
-5.89194597,2.46656902,0.58673896,0.00000000,0.85268754,1.00115305,0.04062806,0.82655189
-5.88594297,2.64460581,0.62867599,0.00000000,0.92441136,1.07492542,0.04453382,0.88471067
-5.87993997,2.82696524,0.67145764,0.00000000,0.99955784,1.15068743,0.04873609,0.94400735
-5.87393697,3.01280585,0.71487926,0.00000000,1.07788365,1.22810569,0.05322369,1.00415747
-5.86793397,3.20126009,0.75872804,0.00000000,1.15909742,1.30682964,0.05798123,1.06487668
-5.86193097,3.39141220,0.80277837,0.00000000,1.24284687,1.38648241,0.06298815,1.12587386
-5.85592796,3.58227345,0.84678666,0.00000000,1.32870616,1.46665071,0.06821782,1.18684295
-5.84992496,3.77275658,0.89048598,0.00000000,1.41616472,1.54687466,0.07363678,1.24745428
-5.84392196,3.96165225,0.93358125,0.00000000,1.50461850,1.62663851,0.07920413,1.30734607
-5.83791896,4.14760986,0.97574542,0.00000000,1.59336483,1.70536345,0.08487127,1.36611711
-5.83191596,4.32912575,1.01661742,0.00000000,1.68160198,1.78240350,0.09058181,1.42332140
-5.82591296,4.50454100,1.05580234,0.00000000,1.76843425,1.85704568,0.09627203,1.47846565
-5.81990995,4.67205117,1.09287432,0.00000000,1.85288327,1.92851508,0.10187163,1.53101048
-5.81390695,4.82972932,1.12738249,0.00000000,1.93390586,1.99598556,0.10730493,1.58037575
-5.80790395,4.97556294,1.15886008,0.00000000,2.01041837,2.05859623,0.11249251,1.62595049
-5.80190095,5.10750456,1.18683651,0.00000000,2.08132698,2.11547357,0.11735321,1.66710727
-5.79589795,5.22353462,1.21085232,0.00000000,2.14556307,2.16575851,0.12180641,1.70322082
-5.78989495,5.32173438,1.23047616,0.00000000,2.20212230,2.20863757,0.12577463,1.73369017
