energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.46466939,0.02204465,0.00093996,0.01595912,1.01469953,0.48716203,0.56404314
-5.99399700,1.43598095,0.02120390,0.00095429,0.01485224,0.99501499,0.47723469,0.55363831
-5.98799400,1.40616843,0.02042927,0.00096510,0.01379555,0.97440177,0.46686786,0.54258080
-5.98199100,1.37476694,0.01970292,0.00097191,0.01279029,0.95257577,0.45593198,0.53073886
-5.97598799,1.34138548,0.01900964,0.00097430,0.01183758,0.92929885,0.44431883,0.51800340
-5.96998499,1.30571906,0.01833696,0.00097194,0.01093834,0.90438728,0.43194507,0.50429294
-5.96398199,1.26755954,0.01767523,0.00096460,0.01009334,0.87771950,0.41875547,0.48955815
-5.95797899,1.22680470,0.01701768,0.00095219,0.00930320,0.84924266,0.40472573,0.47378585
-5.95197599,1.18346501,0.01636044,0.00093472,0.00856846,0.81897755,0.38986464,0.45700205
-5.94597299,1.13766749,0.01570252,0.00091232,0.00788966,0.78702170,0.37421540,0.43927406
-5.93996998,1.08965644,0.01504578,0.00088524,0.00726743,0.75355011,0.35785600,0.42071127
-5.93396698,1.03979091,0.01439488,0.00085384,0.00670259,0.71881388,0.34089853,0.40146466
-5.92796398,0.98853874,0.01375715,0.00081859,0.00619627,0.68313636,0.32348753,0.38172508
-5.92196098,0.93646769,0.01314251,0.00078003,0.00574996,0.64690715,0.30579730,0.36172009
-5.91595798,0.88423372,0.01256333,0.00073879,0.00536561,0.61057424,0.28802843,0.34170987
-5.90995498,0.83256723,0.01203428,0.00069555,0.00504567,0.57463447,0.27040361,0.32198205
-5.90395198,0.78225769,0.01157223,0.00065103,0.00479312,0.53962292,0.25316304,0.30284586
-5.89794897,0.73413748,0.01119606,0.00060596,0.00461145,0.50610156,0.23655955,0.28462584
-5.89194597,0.68906557,0.01092657,0.00056110,0.00450460,0.47464769,0.22085376,0.26765524
-5.88594297,0.64791166,0.01078639,0.00051718,0.00447691,0.44584261,0.20630951,0.25226951
-5.87993997,0.61154141,0.01079990,0.00047492,0.00453297,0.42026087,0.19318958,0.23879991
-5.87393697,0.58080314,0.01099317,0.00043503,0.00467749,0.39846047,0.18175213,0.22756751
