energy_ev,total_up,Cu_p_up,Cu_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-6.00000000,2.77307437,0.77712859,0.50941745,0.09628374,0.00252350,0.10097540,1.91462386
-5.99399700,2.85171473,0.80085230,0.52576588,0.09967943,0.00260326,0.10333119,1.96085789
-5.98799400,2.92039120,0.82147303,0.54001071,0.10262449,0.00267217,0.10527291,2.00136457
-5.98199100,2.97778276,0.83858791,0.55186883,0.10506278,0.00272897,0.10676019,2.03537441
-5.97598799,3.02282287,0.85187671,0.56111122,0.10694812,0.00277269,0.10776393,2.06226949
-5.96998499,3.05473427,0.86111254,0.56757063,0.10824578,0.00280260,0.10826714,2.08160336
-5.96398199,3.07305369,0.86616953,0.57114712,0.10893375,0.00281831,0.10826550,2.09311471
-5.95797899,3.07764546,0.86702716,0.57181138,0.10900352,0.00281972,0.10776740,2.09673399
-5.95197599,3.06870324,0.86377086,0.56960545,0.10846044,0.00280705,0.10679358,2.09258270
-5.94597299,3.04673966,0.85658891,0.56464097,0.10732360,0.00278084,0.10537631,2.08096541
-5.93996998,3.01256442,0.84576574,0.55709483,0.10562524,0.00274192,0.10355817,2.06235478
-5.93396698,2.96725168,0.83167172,0.54720265,0.10340969,0.00269135,0.10139053,2.03737045
-5.92796398,2.91209830,0.81474999,0.53525008,0.10073195,0.00263044,0.09893168,2.00675265
-5.92196098,2.84857474,0.79550074,0.52156251,0.09765578,0.00256067,0.09624480,1.97133199
-5.91595798,2.77827094,0.77446361,0.50649355,0.09425169,0.00248361,0.09339574,1.93199678
-5.90995498,2.70283951,0.75219893,0.49041274,0.09059460,0.00240094,0.09045083,1.88965944
-5.90395198,2.62393869,0.72926849,0.47369306,0.08676146,0.00231433,0.08747469,1.84522368
-5.89794897,2.54317769,0.70621675,0.45669877,0.08282884,0.00222542,0.08452818,1.79955372
-5.89194597,2.46206637,0.68355297,0.43977396,0.07887068,0.00213577,0.08166655,1.75344703
-5.88594297,2.38197148,0.66173524,0.42323232,0.07495613,0.00204681,0.07893789,1.70761165
-5.87993997,2.30408079,0.64115680,0.40734856,0.07114773,0.00195978,0.07638187,1.66264879
-5.87393697,2.22937645,0.62213514,0.39235158,0.06749988,0.00187577,0.07402883,1.61904139
-5.86793397,2.15861804,0.60490438,0.37841971,0.06405770,0.00179563,0.07189928,1.57714857
-5.86193097,2.09233557,0.58961093,0.36567815,0.06085627,0.00171998,0.07000376,1.53720613
-5.85592796,2.03083222,0.57631269,0.35419845,0.05792029,0.00164924,0.06834307,1.49933250
-5.84992496,1.97419599,0.56498160,0.34400012,0.05526420,0.00158360,0.06690884,1.46353945
-5.84392196,1.92231933,0.55550942,0.33505411,0.05289257,0.00152306,0.06568443,1.42974697
-5.83791896,1.87492545,0.54771634,0.32728791,0.05080096,0.00146744,0.06464605,1.39780110
-5.83191596,1.83159978,0.54136206,0.32059211,0.04897699,0.00141639,0.06376415,1.36749380
-5.82591296,1.79182496,0.53615886,0.31482796,0.04740173,0.00136948,0.06300488,1.33858386
-5.81990995,1.75501785,0.53178600,0.30983568,0.04605118,0.00132615,0.06233171,1.31081772
-5.81390695,1.72056685,0.52790501,0.30544316,0.04489798,0.00128583,0.06170704,1.28394934
-5.80790395,1.68786812,0.52417515,0.30147469,0.04391305,0.00124792,0.06109378,1.25775834
-5.80190095,1.65635927,0.52026848,0.29775942,0.04306737,0.00121183,0.06045686,1.23206569
-5.79589795,1.62554952,0.51588406,0.29413921,0.04233356,0.00117704,0.05976457,1.20674631
-5.78989495,1.59504525,0.51076070,0.29047566,0.04168748,0.00114311,0.05898976,1.18173846
-5.78389195,1.56457038,0.50468788,0.28665612,0.04110964,0.00110970,0.05811076,1.15704939
-5.77788894,1.53398094,0.49751454,0.28259845,0.04058644,0.00107662,0.05711214,1.13275738
-5.77188594,1.50327387,0.48915543,0.27825442,0.04011126,0.00104379,0.05598513,1.10901018
-5.76588294,1.47258982,0.47959502,0.27361184,0.03968538,0.00101135,0.05472780,1.08601994
-5.75987994,1.44221040,0.46888881,0.26869519,0.03931867,0.00097955,0.05334499,1.06405507
-5.75387694,1.41255016,0.45716230,0.26356499,0.03903017,0.00094888,0.05184796,1.04342936
-5.74787394,1.38414412,0.44460765,0.25831594,0.03884847,0.00091997,0.05025385,1.02448878
-5.74187094,1.35763137,0.43147841,0.25307398,0.03881199,0.00089365,0.04858486,1.00759669
-5.73586793,1.33373594,0.41808259,0.24799244,0.03896911,0.00087093,0.04686739,0.99311795
-5.72986493,1.31324552,0.40477452,0.24324752,0.03937820,0.00085302,0.04513093,0.98140255
-5.72386193,1.29698933,0.39194584,0.23903333,0.04010759,0.00084129,0.04340698,0.97276954
-5.71785893,1.28581586,0.38001607,0.23555660,0.04123538,0.00083727,0.04172791,0.96749190
-5.71185593,1.28057144,0.36942306,0.23303149,0.04284921,0.00084267,0.04012582,0.96578290
-5.70585293,1.28208036,0.36061377,0.23167439,0.04504586,0.00085935,0.03863150,0.96778457
-5.69984992,1.29112713,0.35403552,0.23169920,0.04793073,0.00088930,0.03727350,0.97355887
-5.69384692,1.30844129,0.35012790,0.23331296,0.05161712,0.00093465,0.03607730,0.98308177
-5.68784392,1.33468497,0.34931558,0.23671195,0.05622524,0.00099762,0.03506465,0.99624070
-5.68184092,1.37044317,0.35200184,0.24207846,0.06188096,0.00108054,0.03425315,1.01283532
-5.67583792,1.41621653,0.35856281,0.24957791,0.06871423,0.00118576,0.03365589,1.03258173
-5.66983492,1.47241620,0.36934239,0.25935656,0.07685699,0.00131567,0.03328139,1.05511981
-5.66383192,1.53936025,0.38464751,0.27153949,0.08644081,0.00147263,0.03313359,1.08002354
-5.65782891,1.61727104,0.40474365,0.28622887,0.09759390,0.00165890,0.03321208,1.10681352
-5.65182591,1.70627273,0.42985028,0.30350236,0.11043775,0.00187664,0.03351239,1.13497155
-5.64582291,1.80638850,0.46013623,0.32341151,0.12508330,0.00212776,0.03402640,1.16395614
-5.63981991,1.91753677,0.49571471,0.34598011,0.14162673,0.00241392,0.03474275,1.19321861
-5.63381691,2.03952626,0.53663797,0.37120234,0.16014492,0.00273642,0.03564738,1.22221891
-5.62781391,2.17204951,0.58289179,0.39904090,0.18069086,0.00309610,0.03672400,1.25044045
-5.62181091,2.31467529,0.63438977,0.42942498,0.20328890,0.00349331,0.03795454,1.27740343
-5.61580790,2.46684006,0.69096783,0.46224822,0.22793036,0.00392778,0.03931960,1.30267618
-5.60980490,2.62783934,0.75237919,0.49736697,0.25456946,0.00439857,0.04079884,1.32588408
-5.60380190,2.79681978,0.81829034,0.53459875,0.28311995,0.00490405,0.04237126,1.34671592
-5.59779890,2.97277320,0.88827843,0.57372150,0.31345256,0.00544178,0.04401556,1.36492768
-5.59179590,3.15453364,0.96183063,0.61447352,0.34539369,0.00600857,0.04571028,1.38034383
-5.58579290,3.34077873,1.03834580,0.65655467,0.37872523,0.00660043,0.04743406,1.39285636
-5.57978989,3.53003645,1.11713909,0.69962868,0.41318596,0.00721263,0.04916577,1.40242197
-5.57378689,3.72069818,1.19744951,0.74332703,0.44847445,0.00783972,0.05088469,1.40905785
-5.56778389,3.91103846,1.27845073,0.78725430,0.48425356,0.00847566,0.05257069,1.41283639
-5.56178089,4.09924186,1.35926509,0.83099496,0.52015637,0.00911388,0.05420435,1.41387944
-5.55577789,4.28343625,1.43898044,0.87412155,0.55579368,0.00974747,0.05576720,1.41235237
-5.54977489,4.46173201,1.51666946,0.91620395,0.59076247,0.01036927,0.05724192,1.40845834
-5.54377189,4.63226553,1.59141084,0.95681941,0.62465543,0.01097210,0.05861256,1.40243289
-5.53776888,4.79324545,1.66231144,0.99556296,0.65707093,0.01154890,0.05986475,1.39453910
-5.53176588,4.94299937,1.72852855,1.03205766,0.68762318,0.01209291,0.06098597,1.38506306
-5.52576288,5.08001880,1.78929121,1.06596418,0.71595204,0.01259789,0.06196570,1.37430973
-5.51975988,5.20299992,1.84391972,1.09698926,0.74173215,0.01305820,0.06279562,1.36259898
-5.51375688,5.31087783,1.89184214,1.12489244,0.76468098,0.01346900,0.06346967,1.35026136
-5.50775388,5.40285227,1.93260723,1.14949083,0.78456528,0.01382633,0.06398414,1.33763363
-5.50175088,5.47840322,1.96589296,1.17066142,0.80120586,0.01412719,0.06433757,1.32505362
-5.49574787,5.53729527,1.99151025,1.18834101,0.81448033,0.01436960,0.06453063,1.31285430
-5.48974487,5.57957049,2.00940180,1.20252346,0.82432376,0.01455256,0.06456593,1.30135710
-5.48374187,5.60552983,2.01963605,1.21325470,0.83072730,0.01467608,0.06444772,1.29086429
-5.47773887,5.61570437,2.02239668,1.22062557,0.83373487,0.01474103,0.06418152,1.28165082
-5.47173587,5.61081773,2.01796835,1.22476298,0.83343806,0.01474913,0.06377377,1.27395564
-5.46573287,5.59174203,2.00671939,1.22582002,0.82996972,0.01470276,0.06323139,1.26797295
-5.45972986,5.55944978,1.98908258,1.22396546,0.82349654,0.01460487,0.06256140,1.26384386
-5.45372686,5.51496466,1.96553502,1.21937344,0.81421100,0.01445881,0.06177061,1.26164871
-5.44772386,5.45931382,1.93657830,1.21221384,0.80232322,0.01426818,0.06086524,1.26140071
-5.44172086,5.39348453,1.90271985,1.20264397,0.78805319,0.01403671,0.05985077,1.26304118
-5.43571786,5.31838739,1.86445660,1.19080205,0.77162361,0.01376812,0.05873181,1.26643689
-5.42971486,5.23482804,1.82226158,1.17680282,0.75325381,0.01346606,0.05751208,1.27137963
-5.42371186,5.14348857,1.77657397,1.16073542,0.73315496,0.01313394,0.05619449,1.27758834
-5.41770885,5.04491922,1.72779294,1.14266368,0.71152666,0.01277498,0.05478134,1.28471372
-5.41170585,4.93954044,1.67627526,1.12262865,0.68855499,0.01239213,0.05327456,1.29234545
-5.40570285,4.82765432,1.62233638,1.10065306,0.66441203,0.01198807,0.05167604,1.30002163
-5.39969985,4.70946437,1.56625465,1.07674745,0.63925647,0.01156524,0.04998799,1.30724037
